"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
3,0.1146113849,0.01095417627
3.014,0.1154309167,-0.003302483465
3.028,0.1131107448,-0.017465796
3.042,0.1078193545,-0.0304937015
3.056,0.1001311756,-0.04147383366
3.07,0.09094280831,-0.04978855681
3.084,0.0813225749,-0.05523030535
3.098,0.07232125841,-0.05804125606
3.112,0.06478132651,-0.05886634013
3.126,0.05918355499,-0.05862656092
3.14,0.05556318644,-0.05833650148
3.154,0.05351403211,-0.05890208913
3.168,0.05228101633,-0.06093956084
3.182,0.05092321825,-0.0646528668
3.196,0.04851454213,-0.06979501787
3.21,0.04434106686,-0.07572161005
3.224,0.03805464262,-0.08152566918
3.238,0.02975131669,-0.08622605959
3.252,0.01995885443,-0.08897062044
3.266,0.009536611807,-0.08921238804
3.28,-0.0004908678186,-0.08682328791
3.294,-0.009131763176,-0.08212310528
3.308,-0.01561570333,-0.07581944488
3.322,-0.0195354137,-0.06887292062
3.336,-0.02091415298,-0.06231691912
3.35,-0.02018806163,-0.05706973851
3.364,-0.01811057415,-0.05377707335
3.378,-0.01560194541,-0.05271490236
3.392,-0.01357729907,-0.0537687813
3.406,-0.01278930803,-0.05648861754
3.42,-0.01371634179,-0.06020210883
3.434,-0.01651520413,-0.06415860683
3.448,-0.02104225637,-0.06767056691
3.462,-0.02693138469,-0.07022278027
3.476,-0.03370549946,-0.07152921512
3.49,-0.04089256193,-0.0715309377
3.504,-0.04811854256,-0.07034293088
3.518,-0.05515761879,-0.06816927927
3.532,-0.06193218827,-0.06521243985
3.546,-0.06846873806,-0.06160181838
3.56,-0.07482687939,-0.05735997757
3.574,-0.08102513652,-0.05241346991
3.588,-0.08698699498,-0.04664255657
3.602,-0.0925244516,-0.03995308299
3.616,-0.09736539876,-0.03234730002
3.63,-0.1012183999,-0.02397026447
3.644,-0.1038572216,-0.01511473793
3.658,-0.1052008289,-0.006178571467
3.672,-0.1053641337,0.002418342265
3.686,-0.1046609632,0.01033857647
3.7,-0.1035521671,0.01742663381
3.714,-0.102545763,0.02377578926
3.728,-0.1020691454,0.02974062755
3.742,-0.1023423762,0.03588535922
3.756,-0.103283975,0.0428730516
3.77,-0.1044755143,0.05131570126
3.784,-0.1051996169,0.06161606129
3.798,-0.1045500567,0.07383657877
3.812,-0.1015960622,0.08762730847
3.826,-0.09556946809,0.1022336466
3.84,-0.08603629896,0.1165884333
3.854,-0.07301549391,0.1294748955
3.868,-0.05701682988,0.1397309736
3.882,-0.0389859142,0.1464553891
3.896,-0.02016312917,0.1491737911
3.91,-0.001881556557,0.1479301454
3.924,0.0146577717,0.143282914
3.938,0.02858937456,0.1362045592
3.952,0.03952514829,0.1279025747
3.966,0.04760606482,0.1195963869
3.98,0.05345324797,0.1122936239
3.994,0.05802808343,0.1066094819
4.008,0.06242918656,0.1026642425
4.022,0.06766649048,0.1000781915
4.036,0.0744568444,0.09806359285
4.05,0.08308056657,0.0955941039
4.064,0.09332554622,0.09161707632
4.078,0.1045275726,0.08526656608
4.092,0.1156964142,0.07603594023
4.106,0.1257007141,0.06387820249
4.12,0.1334742177,0.04921745359
4.134,0.1382032226,0.03287299032
4.148,0.1394607427,0.0159145379
4.162,0.1372651265,-0.0005205427692
4.176,0.1320567954,-0.01541174496
4.19,0.1246030026,-0.02800731999
4.204,0.1158537279,-0.03791812358
4.218,0.1067793859,-0.04514124165
4.232,0.098221793,-0.0500159087
4.246,0.09078417693,-0.05312713437
4.26,0.08477559614,-0.05518101054
4.274,0.0802125946,-0.05687839432
4.288,0.07686917417,-0.05881052119
4.302,0.07435765563,-0.06139235942
4.316,0.07221927625,-0.06483927398
4.33,0.07000486306,-0.06918240226
4.344,0.06733170939,-0.07431045184
4.358,0.0639110054,-0.08002194066
4.372,0.05954860567,-0.08607266087
4.386,0.05412843757,-0.0922077484
4.4,0.04759092671,-0.09817462047
4.414,0.03991793586,-0.1037201352
4.428,0.03113143538,-0.1085806987
4.442,0.02130680844,-0.1124762783
4.456,0.0105952421,-0.1151178194
4.47,-0.0007550321854,-0.1162328857
4.484,-0.01239042688,-0.1156078013
4.498,-0.02386623291,-0.1131380163
4.512,-0.0346876211,-0.1088737538
4.526,-0.04437435427,-0.1030466282
4.54,-0.0525388252,-0.09606542489
4.554,-0.0589616053,-0.08847526293
4.568,-0.0636467276,-0.08088262816
4.582,-0.06684123076,-0.07385734978
4.596,-0.06900980036,-0.06782934253
4.61,-0.0707643521,-0.06300111926
4.624,-0.07275819544,-0.05929578755
4.638,-0.07556287368,-0.05635450082
4.652,-0.07955094273,-0.05358808233
4.666,-0.08480839738,-0.05027662137
4.68,-0.09109585919,-0.04570066866
4.694,-0.09786888258,-0.03928044525
4.708,-0.1043565187,-0.03069676284
4.722,-0.109685794,-0.01996985692
4.736,-0.1130304049,-0.007479712312
4.75,-0.1137566712,0.006077722476
4.764,-0.1115397486,0.01979192011
4.778,-0.1064283266,0.03267925367
4.792,-0.09884552663,0.04383941286
4.806,-0.0895255203,0.0525987765
4.82,-0.07939724073,0.05861524359
4.834,-0.06943614869,0.06192632987
4.848,-0.06051048145,0.06293293825
4.862,-0.0532488338,0.06232296897
4.876,-0.04795136649,0.06094960751
4.89,-0.04455840495,0.05968671343
4.904,-0.04267946268,0.0592868754
4.918,-0.04167496761,0.06026602389
4.932,-0.04077417584,0.06283259953
4.946,-0.03920743314,0.06687046225
4.96,-0.03632992082,0.07197481109
4.974,-0.03171718602,0.07753133441
4.988,-0.02521917514,0.08282223486
5.002,-0.01696771362,0.08713967245
5.016,-0.007340719831,0.0898878228
5.03,0.003106667016,0.09065866355
5.044,0.01372954672,0.0892727008
5.058,0.02388357011,0.08578275653
5.072,0.03300408199,0.08044526311
5.086,0.04066401851,0.07366811586
5.1,0.04660555352,0.06594640098
5.114,0.05074554553,0.05779722919
5.128,0.05315897468,0.04970287904
5.142,0.05404714381,0.04206815576
5.156,0.05369814255,0.03519419252
5.17,0.05244614705,0.029267804
5.184,0.05063424055,0.02436353973
5.198,0.04858330933,0.02045484131
5.212,0.04656772693,0.01743100333
5.226,0.0447974051,0.01511763101
5.24,0.04340555722,0.01329942416
5.254,0.04244198895,0.01174486854
5.268,0.04187250845,0.01023251452
5.282,0.04158569075,0.008577913608
5.296,0.04140829156,0.006659162811
5.31,0.04112983494,0.004437842063
5.324,0.04053538166,0.001971422109
5.338,0.03944351794,-0.0005866480914
5.352,0.037744675,-0.00300177521
5.366,0.03543356611,-0.0049884035
5.38,0.03262927723,-0.006253176485
5.394,0.02957762376,-0.00654583913
5.408,0.02663277936,-0.005710341091
5.422,0.02421855634,-0.003727486041
5.436,0.02277343718,-0.0007409325673
5.45,0.02268679464,0.002939574747
5.464,0.0242360036,0.006860426548
5.478,0.02753476775,0.0104702675
5.492,0.03250173829,0.01318425201
5.506,0.03885556962,0.01445726435
