"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
3,0.04500073743,-0.06971829588
3.014,0.03716796882,-0.07372489391
3.028,0.02899432542,-0.07686024722
3.042,0.02057587533,-0.07909737957
3.056,0.01201055043,-0.0804198263
3.07,0.003397004067,-0.0808217241
3.084,-0.00516652899,-0.0803077773
3.098,-0.01358335735,-0.0788931024
3.112,-0.02175942942,-0.07660295352
3.126,-0.02960438893,-0.0734723332
3.14,-0.03703257776,-0.06954549399
3.154,-0.04396397471,-0.06487533776
3.168,-0.05032505997,-0.05952272053
3.182,-0.05604959585,-0.05355567202
3.196,-0.06107931537,-0.04704853957
3.21,-0.06536451176,-0.04008106738
3.224,-0.06886452263,-0.03273742232
3.238,-0.07154810446,-0.02510517819
3.252,-0.07339369388,-0.01727427087
3.266,-0.07438955398,-0.009335936585
3.28,-0.07453380489,-0.001381646238
3.294,-0.07383433964,0.006497952018
3.308,-0.07230862729,0.01421406944
3.322,-0.06998340686,0.02168078079
3.336,-0.06689427679,0.02881598431
3.35,-0.06308518579,0.03554230696
3.364,-0.0586078321,0.04178794471
3.378,-0.05352097925,0.04748742885
3.392,-0.04788969711,0.05258230999
3.406,-0.0417845381,0.05702175283
3.42,-0.03528065883,0.06076303542
3.434,-0.02845689816,0.06377194836
3.448,-0.02139482295,0.06602309027
3.462,-0.01417775308,0.06750005709
3.476,-0.006889777484,0.06819552454
3.49,0.0003852272137,0.06811122364
3.504,0.007564563865,0.06725781102
3.518,0.01456765665,0.06565463682
3.532,0.02131695677,0.06332941393
3.546,0.02773880182,0.06031779383
3.56,0.0337642192,0.0566628551
3.574,0.03932966496,0.0524145116
3.588,0.04437768996,0.0476288484
3.602,0.04885752663,0.04236739408
3.616,0.05272559027,0.03669633878
3.63,0.05594589014,0.030685708
3.644,0.05849034666,0.0244085022
3.658,0.06033901214,0.01793981306
3.672,0.06148019376,0.01135592685
3.686,0.06191047866,0.004733425869
3.7,0.06163466207,-0.00185170173
3.714,0.06066558059,-0.008324933046
3.728,0.05902385406,-0.01461405273
3.742,0.05673754005,-0.02064995679
3.756,0.05384170643,-0.02636740914
3.77,0.05037792809,-0.03170574239
3.784,0.04639371475,-0.03660949572
3.798,0.04194187774,-0.04102898298
3.812,0.0370798438,-0.04492078542
3.826,0.03186892496,-0.04824816435
3.84,0.0263735536,-0.05098138997
3.854,0.0206604922,-0.0530979838
3.868,0.01479802741,-0.05458287307
3.882,0.00885515828,-0.0554284565
3.896,0.002900788029,-0.05563458223
3.91,-0.002997070979,-0.05520843913
3.924,-0.008772070055,-0.05416436443
3.938,-0.01436026603,-0.05252357091
3.952,-0.01970082387,-0.05031379824
3.966,-0.02473667249,-0.04756889368
3.98,-0.02941510675,-0.04432832807
3.994,-0.03368832939,-0.04063665395
4.008,-0.03751392757,-0.03654291288
4.022,-0.04085527947,-0.03209999983
4.036,-0.04368188715,-0.02736399269
4.05,-0.04596963314,-0.02239345528
4.064,-0.04770095888,-0.0172487225
4.078,-0.04886496411,-0.01199117621
4.092,-0.04945742754,-0.006682520464
4.106,-0.04948074957,-0.001384064508
4.12,-0.04894381917,0.003843978086
4.134,-0.04786180768,0.00894316638
4.148,-0.04625589305,0.01385747755
4.162,-0.04415291902,0.01853391391
4.176,-0.04158499408,0.02292306501
4.19,-0.0385890361,0.02697961913
4.204,-0.03520626868,0.03066281883
4.218,-0.03148167582,0.03393685652
4.232,-0.02746342216,0.03677120608
4.246,-0.02320224588,0.03914088814
4.26,-0.01875083185,0.04102666668
4.274,-0.01416317263,0.04241517611
4.288,-0.009493924908,0.04329897839
4.302,-0.004797768905,0.04367655068
4.316,-0.0001287781374,0.04355220495
4.33,0.004460193398,0.04293594147
4.344,0.008918099781,0.04184323911
4.358,0.0131962611,0.04029478591
4.372,0.0172488848,0.03831615396
4.386,0.02103354514,0.03593742333
4.4,0.02451161576,0.0331927603
4.414,0.02764865132,0.03011995542
4.428,0.03041471463,0.02675992737
4.442,0.0327846463,0.02315619909
4.456,0.03473827491,0.01935435241
4.47,0.03626056618,0.01540146806
4.484,0.0373417105,0.01134555755
4.498,0.0379771487,0.007234993684
4.512,0.03816753693,0.003117946285
4.526,0.03791865198,-0.0009581705601
4.54,0.03724123906,-0.004947233464
4.554,0.03615080475,-0.008804921132
4.568,0.03466735848,-0.01248919666
4.582,0.03281510607,-0.01596075568
4.596,0.03062209996,-0.01918343572
4.61,0.02811985046,-0.02212458277
4.624,0.02534290344,-0.02475537143
4.638,0.02232838956,-0.02705107568
4.652,0.01911555084,-0.02899128808
4.666,0.01574525017,-0.03056008548
4.68,0.01225946989,-0.03174614023
4.694,0.008700805131,-0.03254277653
4.708,0.005111957973,-0.03294797187
4.722,0.001535238151,-0.03296430459
4.736,-0.001987924025,-0.03259884883
4.75,-0.005417447094,-0.03186301879
4.764,-0.008715045088,-0.03077236502
4.778,-0.01184464654,-0.0293463255
4.792,-0.01477278145,-0.02760793526
4.806,-0.01746893215,-0.02558349832
4.82,-0.01990584448,-0.02330222627
4.834,-0.0220597964,-0.02079584824
4.848,-0.02391082113,-0.01809819696
4.862,-0.02544288329,-0.0152447762
4.876,-0.02664400619,-0.01227231475
4.89,-0.02750634968,-0.009218312355
4.904,-0.02802623821,-0.00612058294
4.918,-0.02820413934,-0.003016800519
4.932,-0.02804459363,5.594695708E-05
4.946,-0.02755609724,0.003061590696
4.96,-0.02675093934,0.005965496179
4.974,-0.02564499652,0.008734855645
4.988,-0.02425748735,0.01133905358
5.002,-0.02261069026,0.01375000122
5.016,-0.02072962863,0.01594243646
5.03,-0.01864172704,0.01789418603
5.044,-0.01637644312,0.01958638719
5.058,-0.01396487972,0.02100366676
5.072,-0.01143938202,0.02213427583
5.086,-0.00883312476,0.02297017897
5.1,-0.006179694497,0.02350709729
5.114,-0.003512671996,0.02374450541
5.128,-0.0008652197642,0.02368558265
5.142,0.001730320346,0.02333711967
5.156,0.00424281468,0.0227093819
5.17,0.006642705929,0.02181593201
5.184,0.008902357563,0.02067341374
5.198,0.01099637057,0.01930130034
5.212,0.01290186886,0.01772161068
5.226,0.01459875012,0.01595859707
5.24,0.0160698993,0.0140384087
5.254,0.01730136238,0.01198873515
5.268,0.01828247868,0.009838434485
5.282,0.0190059703,0.007617150638
5.296,0.01946798793,0.005354925089
5.31,0.01966811286,0.003081807553
5.324,0.01960931534,0.0008274706736
5.338,0.01929787034,-0.001379166492
5.352,0.01874323189,-0.003510301513
5.366,0.01795786799,-0.005539593637
5.38,0.01695705841,-0.007442486605
5.394,0.01575865824,-0.009196505262
5.408,0.01438283041,-0.01078152234
5.422,0.01285175083,-0.01217999222
5.436,0.0111892901,-0.01337714876
5.45,0.009420676095,-0.01436116508
5.464,0.007572141804,-0.01512327318
5.478,0.005670563226,-0.01565784234
5.492,0.003743091992,-0.01596241531
5.506,0.001816787602,-0.01603770222
5.52,-8.17459146E-05,-0.01588753241
5.534,-0.001926714139,-0.01551876511
5.548,-0.003693472595,-0.01494116031
5.562,-0.005358848821,-0.01416721182
5.576,-0.006901441992,-0.01321194483
5.59,-0.008301896224,-0.01209268093
5.604,-0.00954314401,-0.01082877382
5.618,-0.01061061668,-0.009441319458
5.632,-0.01149241917,-0.007952844631
5.646,-0.01217946697,-0.006386978193
5.66,-0.01266558347,-0.00476810961
5.674,-0.01294755661,-0.003121039402
5.688,-0.01302515419,-0.001470626324
5.702,-0.01290109782,0.0001585639093
5.716,-0.01258099603,0.001742603528
5.73,-0.01207323756,0.003258536558
5.744,-0.01138884645,0.004684697031
5.758,-0.01054130117,0.006001007245
5.772,-0.00954632017,0.007189251986
5.786,-0.008421617205,0.008233325002
5.8,-0.007186629735,0.009119444381
5.814,-0.005862224319,0.009836333908
5.828,-0.004470383214,0.01037536798
5.842,-0.003033876558,0.01073067812
5.856,-0.001575924817,0.0108992197
5.87,-0.000119856236,0.01088079808
5.884,0.001311235856,0.01067805372
5.898,0.002694831056,0.01029640678
5.912,0.004009310434,0.009743961881
5.926,0.005234270984,0.009031374577
5.94,0.006350821543,0.008171681365
5.954,0.007341855981,0.007180095835
5.968,0.008192299828,0.006073773805
5.982,0.008889326825,0.004871550884
5.996,0.009422542359,0.00359365621
6.01,0.009784131178,0.002261406478
6.024,0.009968967298,0.000896884673
6.038,0.009974684548,-0.0004773919098
6.052,0.009801706767,-0.001838809562
6.066,0.009453237218,-0.003164997141
6.08,0.008935207388,-0.004434161252
6.094,0.008256185911,-0.005625412807
6.108,0.007427248906,-0.006719080271
6.122,0.006461813615,-0.007697005065
6.136,0.005375437693,-0.008542814875
6.15,0.004185587051,-0.009242170905
6.164,0.002911375569,-0.009782985497
6.178,0.001573280408,-0.01015560695
6.192,0.0001928370206,-0.01035296884
6.206,-0.001207681771,-0.01037070167
6.22,-0.002605598012,-0.01020720513
6.234,-0.003978167382,-0.00986367999
6.248,-0.005302919622,-0.009344118987
6.262,-0.006557995701,-0.008655256836
6.276,-0.007722476864,-0.007806480028
6.29,-0.008776700795,-0.006809697624
6.304,-0.009702560321,-0.005679174836
6.318,-0.01048378032,-0.004431331733
6.332,-0.01110616878,-0.003084509892
6.346,-0.01155783844,-0.001658710275
6.36,-0.01182939553,-0.0001753060522
6.374,-0.01191409319,0.00134326557
6.388,-0.01180794688,0.002873828152
6.402,-0.01150981035,0.004392802821
6.416,-0.01102141081,0.005876552304
6.43,-0.01034734275,0.007301727249
6.444,-0.009495020383,0.008645609946
6.458,-0.008474589251,0.00988645049
6.472,-0.007298798211,0.01100379061
6.486,-0.005982833421,0.01197877048
6.5,-0.004544116633,0.01279441418
6.514,-0.003002070537,0.0134358896
6.528,-0.001377854381,0.01389073909
6.542,0.0003059264839,0.0141490775
6.556,0.002025533108,0.01420375471
6.57,0.00375642316,0.01405048026
6.584,0.00547359427,0.0136879082
6.598,0.007151935717,0.01311768082
6.612,0.008766583548,0.01234443064
6.626,0.01029327419,0.0113757403
6.64,0.0117086916,0.01022206099
6.654,0.01299080311,0.008896590312
6.668,0.01411917925,0.007415111134
6.682,0.01507529307,0.005795793634
6.696,0.01584279476,0.004058963092
6.71,0.01640775772,0.00222683656
6.724,0.01675889254,0.0003232319401
6.738,0.01688772593,-0.001626746611
6.752,0.01678874196,-0.003597042717
6.766,0.01645948369,-0.005560996732
6.78,0.01590061354,-0.007491704892
6.794,0.01511593156,-0.009362383814
6.808,0.01411235118,-0.01114673539
6.822,0.01289983273,-0.01281930717
6.836,0.01149127535,-0.01435584328
6.85,0.009902368849,-0.01573362125
6.864,0.008151407176,-0.01693177003
6.878,0.006259066101,-0.01793156498
6.892,0.004248147823,-0.01871669582
6.906,0.002143295936,-0.01927350391
6.92,-2.93155914E-05,-0.01959118552
6.934,-0.002242315337,-0.01966195853
6.948,-0.0044674849,-0.01948118995
6.962,-0.006676122354,-0.01904748289
6.976,-0.008839413932,-0.01836272132
6.99,-0.01092880908,-0.01743207228
7.004,-0.01291639397,-0.01626394522
7.018,-0.01477525867,-0.01486990897
7.032,-0.01647985307,-0.01326456733
7.046,-0.01800632699,-0.01146539483
7.06,-0.01933285014,-0.009492534635
7.074,-0.02043990754,-0.007368561198
7.088,-0.02131056676,-0.005118210596
7.102,-0.02193071346,-0.002768081957
7.116,-0.02228925207,-0.0003463137501
7.13,-0.02237826914,0.002117761011
7.144,-0.02219315705,0.004593976294
7.158,-0.02173269664,0.007051706758
7.172,-0.02099909747,0.009460248966
7.186,-0.01999799528,0.0117892053
7.2,-0.01873840643,0.0140088658
7.214,-0.0172326401,0.01609058307
7.228,-0.01549616891,0.01800713571
7.242,-0.0135474599,0.01973307562
7.256,-0.01140776753,0.02124505483
7.27,-0.009100891496,0.02252212795
7.284,-0.006652902071,0.02354602629
7.298,-0.004091836439,0.02430140035
7.312,-0.001447369603,0.02477602764
7.326,0.001249536116,0.02496098325
7.34,0.003966998778,0.02485077095
7.354,0.006672597279,0.02444341339
7.368,0.00933376,0.0237404999
7.382,0.01191815696,0.02274719157
7.396,0.01439409077,0.02147218332
7.41,0.01673088173,0.0199276233
7.424,0.01889924243,0.01812899061
7.438,0.02087163732,0.01609493268
7.452,0.02262262313,0.01384706411
7.466,0.02412916582,0.01140972938
7.48,0.02537093046,0.008809732072
7.494,0.02633054051,0.006076033742
7.508,0.02699380337,0.003239425938
7.522,0.02734989945,0.0003321791216
7.536,0.02739153257,-0.002612327456
7.55,0.02711503974,-0.005559990656
