"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
3,-0.003331779076,-0.03400723433
3.014,-0.006988656018,-0.03338225547
3.028,-0.01054951544,-0.0323657999
3.042,-0.01397263031,-0.03097129163
3.056,-0.01721804914,-0.02921658386
3.07,-0.0202480643,-0.02712373258
3.084,-0.02302765222,-0.02471872082
3.098,-0.02552488026,-0.02203113705
3.112,-0.02771127548,-0.01909381152
3.126,-0.02956215112,-0.01594241528
3.14,-0.0310568868,-0.01261502647
3.154,-0.03217915946,-0.00915166941
3.168,-0.03291712214,-0.005593831971
3.182,-0.03326352897,-0.001983967076
3.196,-0.03321580467,0.001635015607
3.21,-0.03277605816,0.005220261689
3.224,-0.0319510402,0.008729481652
3.238,-0.03075204572,0.01212145189
3.252,-0.02919476228,0.01535650123
3.266,-0.02729906659,0.01839697717
3.28,-0.0250887717,0.02120768621
3.294,-0.02259132814,0.02375630323
3.308,-0.01983748271,0.02601374504
3.322,-0.01686089917,0.02795450361
3.336,-0.01369774553,0.02955693544
3.35,-0.0103862531,0.03080350341
3.364,-0.006966252507,0.0316809687
3.378,-0.003478692643,0.03218053037
3.392,3.485190389E-05,0.0322979114
3.406,0.003532678766,0.03203339018
3.42,0.006973455134,0.03139177744
3.434,0.01031670852,0.03038233894
3.448,0.0135233051,0.02901866538
3.462,0.01655590983,0.02731849092
3.476,0.01937942312,0.02530346314
3.49,0.02196138858,0.02299886714
3.504,0.02427236737,0.02043330737
3.518,0.02628627467,0.01763835129
3.532,0.02798067437,0.0146481393
3.546,0.02933702875,0.01149896571
3.56,0.03034090023,0.008228836006
3.574,0.03098210317,0.004877005922
3.588,0.03125480392,0.001483507762
3.602,0.03115756846,-0.001911330079
3.616,0.03069335706,-0.00526736468
3.63,0.02986946652,-0.008545115428
3.644,0.02869742078,-0.01170623041
3.658,0.02719281169,-0.01471393682
3.672,0.02537509196,-0.01753347005
3.686,0.02326732313,-0.02013247644
3.7,0.02089588184,-0.02248138496
3.714,0.01829012815,-0.02455374366
3.728,0.01548204009,-0.02632651684
3.742,0.01250581915,-0.02778033983
3.756,0.009397471378,-0.02889972845
3.77,0.00619436954,-0.02967324091
3.784,0.002934801516,-0.03009359058
3.798,-0.0003424895001,-0.03015770849
3.812,-0.003598767432,-0.02986675523
3.826,-0.006795762843,-0.02922608233
3.84,-0.009896124045,-0.02824514398
3.854,-0.01286385447,-0.0269373604
3.868,-0.01566473116,-0.02531993497
3.882,-0.01826669943,-0.0234136274
3.896,-0.02064023929,-0.02124248609
3.91,-0.02275869931,-0.01883354317
3.924,-0.02459859418,-0.01621647606
3.938,-0.02613986271,-0.0134232398
3.952,-0.02736608353,-0.01048767482
3.966,-0.02826464602,-0.007445095013
3.98,-0.02882687497,-0.004331861067
3.994,-0.0290481077,-0.001184944306
4.008,-0.02892772308,0.001958513679
4.022,-0.02846912256,0.005061640368
4.036,-0.02767966361,0.008088265395
4.05,-0.02657054688,0.01100334227
4.064,-0.02515665878,0.01377335385
4.078,-0.02345637149,0.01636669676
4.092,-0.02149130339,0.01875404058
4.106,-0.0192860428,0.02090865747
4.12,-0.01686783872,0.02280671881
4.134,-0.01426626255,0.02442755537
4.148,-0.01151284482,0.02575387851
4.162,-0.00864069166,0.02677195976
4.176,-0.005684085486,0.02747176731
4.19,-0.002678074934,0.02784705794
4.204,0.0003419411751,0.02789542381
4.218,0.003340630821,0.0276182938
4.232,0.006283141824,0.02702088985
4.246,0.009135506103,0.02611213921
4.26,0.01186503049,0.02490454385
4.274,0.01444066962,0.02341400914
4.288,0.01683337664,0.02165963395
4.302,0.01901642788,0.01966346506
4.316,0.02096571786,0.0174502191
4.33,0.02266002141,0.01504697541
4.344,0.0240812202,0.01248284381
4.358,0.02521449126,0.009788611253
4.372,0.02604845567,0.006996371774
4.386,0.02657528599,0.004139144082
4.4,0.02679077162,0.001250481451
4.414,0.02669434152,-0.001635921547
4.428,0.02628904462,-0.004486620841
4.442,0.02558148836,-0.007268808669
4.456,0.02458173646,-0.009950688961
4.47,0.02330316753,-0.01250183805
4.484,0.02176229642,-0.01489354666
4.498,0.01997856073,-0.01709913937
4.512,0.01797407524,-0.01909426811
4.526,0.01577335747,-0.02085717639
4.54,0.01340302754,-0.02236893172
4.554,0.01089148634,-0.02361362353
4.568,0.008268575614,-0.02457852484
4.582,0.00556522418,-0.02525421604
4.596,0.002813084421,-0.02563466967
4.61,4.416329843E-05,-0.02571729563
4.624,-0.002709547833,-0.02550294658
4.638,-0.005416440367,-0.02499588388
4.652,-0.008045648366,-0.02420370473
4.666,-0.01056739722,-0.02313723169
4.68,-0.01295333718,-0.02181036618
4.694,-0.01517685799,-0.02023990794
4.708,-0.01721338144,-0.01844534278
4.722,-0.01904062833,-0.01644860124
4.736,-0.02063885742,-0.01427379129
4.75,-0.02199107355,-0.01194690812
4.764,-0.02308320309,-0.00949552472
4.778,-0.02390423478,-0.006948466716
4.792,-0.02444632481,-0.004335475382
4.806,-0.02470486516,-0.001686862702
4.82,-0.02467851474,0.0009668375578
4.834,-0.02436919326,0.0035952188
4.848,-0.02378203819,0.006168346631
4.862,-0.02292532565,0.008657096133
4.876,-0.02181035627,0.01103347762
4.89,-0.02045130769,0.01327094731
4.904,-0.01886505554,0.01534469957
4.918,-0.01707096516,0.0172319375
4.932,-0.0150906566,0.01891211909
4.946,-0.0129477458,0.0203671763
4.96,-0.01066756491,0.02158170481
4.974,-0.00827686506,0.02254312252
4.988,-0.00580350513,0.02324179531
5.002,-0.003276129932,0.02367112876
5.016,-0.0007238415972,0.02382762513
5.03,0.001824132181,0.02371090519
5.044,0.004338769301,0.02332369481
5.058,0.006791580122,0.02267177678
5.072,0.009154926428,0.02176390859
5.086,0.01140232899,0.02061170722
5.1,0.01350876035,0.01922950256
5.114,0.01545091969,0.01763416117
5.128,0.01720748679,0.01584488256
5.142,0.01875935242,0.01388297045
5.156,0.02008982266,0.01177158159
5.17,0.02118479515,0.009535455149
5.184,0.02203290526,0.007200625818
5.198,0.02262564098,0.004794123754
5.212,0.02295742514,0.002343664916
5.226,0.02302566442,-0.0001226647863
5.24,0.02283076465,-0.002576727986
5.254,0.02237611248,-0.004990653427
5.268,0.02166802364,-0.007337149093
5.282,0.02071565873,-0.009589807442
5.296,0.0195309074,-0.01172339937
5.31,0.01812824248,-0.01371415371
5.324,0.0165245458,-0.01554001921
5.338,0.01473890768,-0.0171809061
5.352,0.0127924025,-0.0186189048
5.366,0.01070784284,-0.01983847918
5.38,0.008509515215,-0.02082663251
5.394,0.0062229001,-0.02157304432
5.408,0.00387437971,-0.0220701767
5.422,0.001490936661,-0.0223133489
5.436,-0.0009001530357,-0.02230077972
5.45,-0.003271629229,-0.02203359705
