"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
3,0.09231867693,-0.02946205955
3.014,0.08852781272,-0.03851171517
3.028,0.08385833479,-0.04709701342
3.042,0.07836523022,-0.05513359395
3.056,0.07211147985,-0.06254344634
3.07,0.06516733925,-0.06925565537
3.084,0.05760955169,-0.07520706628
3.098,0.04952050173,-0.08034286382
3.112,0.04098731896,-0.08461706011
3.126,0.03210094144,-0.08799288703
3.14,0.02295514899,-0.09044309032
3.154,0.01364557652,-0.0919501232
3.168,0.004268717739,-0.09250623849
3.182,-0.005079070317,-0.09211347951
3.196,-0.01430255193,-0.09078357071
3.21,-0.02330857637,-0.08853771028
3.224,-0.03200701096,-0.08540626778
3.238,-0.04031163442,-0.08142839097
3.252,-0.04814098154,-0.07665152667
3.266,-0.05541913127,-0.07113086152
3.28,-0.06207643058,-0.06492868911
3.294,-0.06805014747,-0.0581137108
3.308,-0.07328504719,-0.05076027784
3.322,-0.07773388647,-0.04294758339
3.336,-0.08135782178,-0.03475881294
3.35,-0.08412672807,-0.02628026236
3.364,-0.08601942599,-0.01760043279
3.378,-0.08702381594,-0.008809111871
3.392,-0.08713691873,3.549255899E-06
3.406,-0.08636482326,0.008747953776
3.42,-0.08472254288,0.01733596256
3.434,-0.08223378261,0.0256817741
3.448,-0.07893062069,0.03370277232
3.462,-0.07485310838,0.04132033404
3.476,-0.07004879313,0.04846058842
3.49,-0.06457217036,0.0550551209
3.504,-0.05848407049,0.06104161557
3.518,-0.05185098784,0.06636442975
3.532,-0.0447443588,0.07097509582
3.546,-0.03723979706,0.07483274601
3.56,-0.02941629405,0.07790445658
3.574,-0.02135539291,0.08016550883
3.588,-0.01314034468,0.0815995651
3.602,-0.004855255189,0.08219875888
3.616,0.003415768549,0.08196369897
3.63,0.01158946396,0.0809033886
3.644,0.01958424218,0.07903506094
3.658,0.02732099276,0.07638393384
3.672,0.03472385608,0.07298288666
3.686,0.04172095606,0.06887206355
3.7,0.0482450862,0.06409840758
3.714,0.05423434264,0.05871513121
3.728,0.05963269839,0.05278112905
3.742,0.06439051358,0.04636033904
3.756,0.06846497737,0.03952105935
3.77,0.07182047764,0.03233522778
3.784,0.07442889562,0.02487767149
3.798,0.07626982315,0.01722533468
3.812,0.07733070127,0.009456492088
3.826,0.07760687933,0.001649956272
3.84,0.077101595,-0.006115713422
3.854,0.07582587601,-0.01376299237
3.868,0.07379836525,-0.02121615504
3.882,0.07104507189,-0.02840201479
3.896,0.06759905144,-0.03525063204
3.91,0.06350001869,-0.04169598403
3.924,0.05879389793,-0.04767659008
3.938,0.05353231555,-0.05313608646
3.952,0.04777204024,-0.05802374545
3.966,0.04157437724,-0.06229493446
3.98,0.03500452261,-0.06591151086
3.994,0.02813088448,-0.06884214923
4.008,0.0210243781,-0.07106259854
4.022,0.01375770194,-0.07255586719
4.036,0.006404602073,-0.07331233485
4.05,-0.0009608677713,-0.07332979055
4.064,-0.008265083263,-0.07261339719
4.078,-0.01543557636,-0.0711755837
4.092,-0.02240174499,-0.06903586617
4.106,-0.02909553875,-0.06622060057
4.12,-0.03545211401,-0.0627626699
4.134,-0.04141045235,-0.05870110945
4.148,-0.0469139365,-0.05408067418
4.162,-0.05191087846,-0.0489513532
4.176,-0.05635499504,-0.04336783623
4.19,-0.06020582666,-0.03738893783
