"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
3,0.06194740459,-0.06275503276
3.014,0.05476029725,-0.06850382066
3.028,0.04705369474,-0.07344058466
3.042,0.03891830348,-0.07752009117
3.056,0.03044855305,-0.0807071401
3.07,0.02174149582,-0.08297684306
3.084,0.01289568972,-0.08431478188
3.098,0.004010077182,-0.08471704691
3.112,-0.004817127183,-0.08419015612
3.126,-0.01348952728,-0.0827508574
3.14,-0.0219136026,-0.08042581753
3.154,-0.02999971996,-0.07725120296
3.168,-0.03766308892,-0.07327215831
3.182,-0.04482465058,-0.06854218986
3.196,-0.05141189062,-0.06312246228
3.21,-0.05735956806,-0.05708101771
3.224,-0.0626103526,-0.05049192695
3.238,-0.06711536436,-0.04343438355
3.252,-0.07083461118,-0.03599175163
3.266,-0.07373731975,-0.0282505791
3.28,-0.07580215823,-0.02029958789
3.294,-0.0770173492,-0.01222865302
3.308,-0.07738067313,-0.004127782416
3.322,-0.07689936389,0.003913891005
3.336,-0.07558989874,0.01180909354
3.35,-0.07347768694,0.01947336035
3.364,-0.07059666165,0.0268259401
3.378,-0.06698878136,0.03379064495
3.392,-0.06270344767,0.04029663696
3.406,-0.05779684738,0.04627914272
3.42,-0.0523312274,0.05168008917
3.434,-0.04637411181,0.05644865448
3.448,-0.03999747083,0.06054172884
3.462,-0.03327685202,0.06392428137
3.476,-0.02629048397,0.06656963018
3.49,-0.01911836348,0.06845961412
3.504,-0.01184133666,0.06958466564
3.518,-0.004540184647,0.06994378551
3.532,0.002705275594,0.0695444212
3.546,0.009817065486,0.06840225181
3.56,0.01671988433,0.06654088354
3.574,0.02334190508,0.0639914606
3.588,0.02961551804,0.06079219732
3.602,0.03547801467,0.05698783829
3.616,0.04087220498,0.05262905367
3.63,0.04574696212,0.04777177786
3.644,0.05005768964,0.0424765
3.658,0.05376670701,0.03680751515
3.672,0.05684355061,0.03083214559
3.686,0.05926518823,0.02461994144
3.7,0.06101614599,0.01824187035
3.714,0.06208854798,0.01176950552
3.728,0.06248206964,0.005274221454
3.742,0.06220380698,-0.001173593454
3.756,0.06126806471,-0.007505298926
3.77,0.05969606719,-0.01365473104
3.784,0.05751559701,-0.01955888908
3.798,0.05476056655,-0.02515857393
3.812,0.05147052891,-0.03039897162
3.826,0.04769013478,-0.03523017641
3.84,0.04346854264,-0.03960764864
3.854,0.0388587898,-0.04349260345
3.868,0.03391713248,-0.04685232713
3.882,0.02870236281,-0.04966041921
3.896,0.02327511122,-0.05189695876
3.91,0.0176971424,-0.05354859475
3.924,0.01203065301,-0.05460856098
3.938,0.006337579141,-0.05507661684
3.952,0.0006789211469,-0.05495891637
3.966,-0.004885906668,-0.0542678085
3.98,-0.01029969479,-0.05302157227
3.994,-0.0155080192,-0.05124409145
4.008,-0.02045977827,-0.04896447365
4.022,-0.02510768071,-0.04621661951
4.036,-0.02940868013,-0.0430387479
4.05,-0.03332435246,-0.03947288367
4.064,-0.03682121315,-0.0355643146
4.078,-0.03987097218,-0.03136102445
4.092,-0.04245072509,-0.0269131091
4.106,-0.04454307968,-0.02227218288
4.12,-0.04613621835,-0.01749078216
4.134,-0.04722389686,-0.01262177285
4.148,-0.04780538123,-0.007717768644
4.162,-0.04788532495,-0.002830566362
4.176,-0.04747358937,0.00198939576
4.19,-0.04658501084,0.006693551082
4.204,-0.04523911856,0.01123568385
4.218,-0.04345980754,0.0155723702
4.232,-0.0412749718,0.01966337675
4.246,-0.03871610281,0.02347201357
4.26,-0.03581785874,0.02696543847
4.274,-0.03261761029,0.03011491072
4.288,-0.02915496884,0.0328959925
4.302,-0.02547130273,0.0352886974
4.316,-0.02160924765,0.03727758561
4.33,-0.01761221671,0.03885180635
4.344,-0.01352391599,0.04000508855
4.358,-0.009387870668,0.04073568135
4.372,-0.005246967016,0.04104624658
4.386,-0.001143014935,0.040943706
4.4,0.002883664633,0.0404390462
4.414,0.006794623453,0.03954708489
4.428,0.01055363742,0.03828620232
4.442,0.0141270227,0.03667804201
4.456,0.01748391409,0.03474718525
4.47,0.02059650362,0.03252080381
4.484,0.0234402381,0.03002829576
4.498,0.02599397457,0.0273009088
4.512,0.02824009345,0.02437135615
4.526,0.03016456942,0.02127342947
4.54,0.03175700087,0.01804161329
4.554,0.03301059892,0.01471070553
4.568,0.0339221376,0.01131544795
4.582,0.03449186736,0.00789017062
4.596,0.03472339403,0.004468453798
4.61,0.03462352611,0.001082810552
4.624,0.03420209335,-0.002235607137
4.638,0.0334717397,-0.005457276306
4.652,0.03244769425,-0.008554542942
4.666,0.03114752353,-0.01150183232
4.68,0.02959086881,-0.01427582859
4.694,0.02779917215,-0.01685562275
4.708,0.02579539482,-0.01922282887
4.722,0.0236037315,-0.02136166846
4.736,0.02124932411,-0.0232590235
4.75,0.01875797814,-0.02490445903
4.764,0.01615588505,-0.02629021645
4.778,0.01346935336,-0.02741117895
4.792,0.01072455132,-0.02826481097
4.806,0.007947263405,-0.02885107367
4.82,0.00516266285,-0.02917231853
4.834,0.00239510197,-0.02923316173
4.848,-0.0003320782607,-0.02904034148
4.862,-0.00299671821,-0.02860256134
4.876,-0.005577988377,-0.02793032173
4.89,-0.008056516468,-0.02703574268
4.904,-0.01041449261,-0.02593238026
4.918,-0.01263575279,-0.02463503918
4.932,-0.01470584105,-0.02315958426
4.946,-0.016612051,-0.02152275286
4.96,-0.01834344762,-0.01974197053
4.974,-0.01989087062,-0.01783517185
4.988,-0.02124692053,-0.01582062823
5.002,-0.02240592909,-0.0137167842
5.016,-0.02336391554,-0.01154210342
5.03,-0.02411853059,-0.009314925686
5.044,-0.02466898972,-0.007053335432
5.058,-0.02501599764,-0.004775042607
5.072,-0.02516166579,-0.002497276027
5.086,-0.02510942448,-0.0002366894033
5.1,-0.02486393141,0.00199072013
5.114,-0.02443097824,0.004169681297
5.128,-0.0238173965,0.006285706324
5.142,-0.02303096436,0.008325137609
5.156,-0.02208031535,0.01027518428
5.17,-0.02097484997,0.01212394953
5.184,-0.01972465122,0.01386044991
5.198,-0.01834040444,0.01547462746
5.212,-0.01683332212,0.01695735603
5.226,-0.0152150739,0.01830044285
5.24,-0.01349772169,0.01949662643
5.254,-0.01169366006,0.02053957199
5.268,-0.009815561415,0.02142386529
5.282,-0.007876325698,0.02214500597
5.296,-0.00588903398,0.022699401
5.31,-0.003866905315,0.02308435908
5.324,-0.001823256086,0.02329808656
5.338,0.0002285389707,0.02333968501
5.352,0.002275084949,0.02320915107
5.366,0.004303005049,0.02290737822
5.38,0.006298979842,0.02243616071
5.394,0.008249788374,0.02179819914
5.408,0.01014235191,0.02099710736
5.422,0.01196378106,0.02003742011
5.436,0.01370142685,0.01892460066
5.45,0.01534293634,0.01766504758
5.464,0.01687631302,0.01626609981
5.478,0.01828998227,0.01473603884
5.492,0.01957286189,0.01308408708
5.506,0.02071443752,0.01132040127
5.52,0.02170484271,0.009456059742
5.534,0.022534943,0.007503042498
5.548,0.02319642338,0.005474203127
5.562,0.02368187827,0.003383231466
5.576,0.02398490287,0.001244606229
5.59,0.02410018484,-0.0009264631487
