"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
3,7.805866899E-05,-9.121344165E-05
3.014,6.296271574E-05,-0.0001000847804
3.028,4.698823049E-05,-0.0001065643584
3.042,3.049988835E-05,-0.0001105896762
3.056,1.386151351E-05,-0.000112151849
3.07,-2.571516536E-06,-0.0001112940262
3.084,-1.84594316E-05,-0.0001081087769
3.098,-3.348465997E-05,-0.0001027345332
3.112,-4.735773316E-05,-9.535119918E-05
3.126,-5.982240558E-05,-8.617504457E-05
3.14,-7.065991044E-05,-7.545301648E-05
3.154,-7.969229428E-05,-6.345660606E-05
3.168,-8.678479334E-05,-5.04754135E-05
3.182,-9.184723646E-05,-3.681055462E-05
3.196,-9.483447976E-05,-2.276805065E-05
3.21,-9.574589801E-05,-8.652337946E-06
3.224,-9.462397623E-05,5.239973332E-06
3.238,-9.155206162E-05,1.862597215E-05
3.252,-8.665135131E-05,3.12418438E-05
3.266,-8.007720384E-05,4.284769765E-05
3.28,-7.201487295E-05,5.323174667E-05
3.294,-6.267477058E-05,6.221377616E-05
3.308,-5.228737123E-05,6.96478556E-05
3.322,-4.109787339E-05,7.542426471E-05
3.336,-2.936073414E-05,7.94706215E-05
3.35,-1.733419148E-05,8.175221671E-05
3.364,-5.274885119E-06,8.227157468E-05
3.378,6.567319565E-06,8.106727553E-05
3.392,1.795420751E-05,7.821208688E-05
3.406,2.866370232E-05,7.381046549E-05
3.42,3.849389019E-05,6.799549938E-05
3.434,4.726651464E-05,6.092536972E-05
3.448,5.482988979E-05,5.277941834E-05
3.462,6.106119314E-05,4.375391157E-05
3.476,6.586811255E-05,3.405759394E-05
3.49,6.918983528E-05,2.39071261E-05
3.504,7.099738037E-05,1.352250047E-05
3.518,7.129328821E-05,3.122525423E-06
3.532,7.011069335E-05,-7.07953555E-06
3.546,6.751181732E-05,-1.68800891E-05
3.56,6.358592853E-05,-2.608902813E-05
3.574,5.844682483E-05,-3.453317369E-05
3.588,5.222990183E-05,-4.205928647E-05
3.602,4.508887592E-05,-4.853660205E-05
3.616,3.71922355E-05,-5.385885432E-05
3.63,2.87194968E-05,-5.794576218E-05
3.644,1.98573422E-05,-6.074396594E-05
3.658,1.079571881E-05,-6.222741023E-05
3.672,1.723973659E-06,-6.239718095E-05
3.686,-7.172900907E-06,-6.128081406E-05
3.7,-1.571784236E-05,-5.893110301E-05
3.714,-2.374504934E-05,-5.542444088E-05
3.728,-3.110301136E-05,-5.085874055E-05
3.742,-3.765718619E-05,-4.535098345E-05
3.756,-4.329228187E-05,-3.903445285E-05
3.77,-4.791410911E-05,-3.20557123E-05
3.784,-5.14509784E-05,-2.457139316E-05
3.798,-5.385462544E-05,-1.674485724E-05
3.812,-5.510065764E-05,-8.742801241E-06
3.826,-5.518852357E-05,-7.318697092E-07
3.84,-5.414101614E-05,7.124658906E-06
3.854,-5.200332879E-05,1.467005076E-05
3.868,-4.884169197E-05,2.175710142E-05
3.882,-4.474162449E-05,2.825087337E-05
3.896,-3.980584102E-05,3.403113837E-05
3.91,-3.415186249E-05,3.899448311E-05
3.924,-2.790938126E-05,4.305604391E-05
3.938,-2.121743619E-05,4.615084358E-05
3.952,-1.422145591E-05,4.823471167E-05
3.966,-7.070229771E-06,4.928477758E-05
3.98,8.713352331E-08,4.929953407E-05
3.994,7.104200076E-06,4.829847724E-05
4.008,1.384010034E-05,4.632133665E-05
4.022,2.01622592E-05,4.342691739E-05
4.036,2.594891565E-05,3.969158246E-05
4.05,3.109138597E-05,3.520741106E-05
4.064,3.549602962E-05,3.008007339E-05
4.078,3.908588357E-05,2.442646827E-05
4.092,4.180193763E-05,1.837217344E-05
4.106,4.36040304E-05,1.204876162E-05
4.12,4.447135355E-05,5.591037403E-06
4.134,4.440255954E-05,-8.657490073E-07
4.148,4.341547607E-05,-7.18865549E-06
4.162,4.1546438E-05,-1.324971447E-05
4.176,3.884925524E-05,-1.892845997E-05
4.19,3.539384181E-05,-2.411426635E-05
4.204,3.126453808E-05,-2.870845404E-05
4.218,2.65581637E-05,-3.262612271E-05
4.232,2.138184412E-05,-3.579767827E-05
4.246,1.585065729E-05,-3.817002648E-05
4.26,1.008515068E-05,-3.970741299E-05
4.274,4.208780662E-06,-4.039189702E-05
4.288,-1.654672498E-06,-4.022345344E-05
4.302,-7.383660974E-06,-3.921970558E-05
4.316,-1.28613449E-05,-3.741529867E-05
4.33,-1.797793724E-05,-3.48609312E-05
4.344,-2.263287124E-05,-3.162206798E-05
4.358,-2.673674791E-05,-2.777736554E-05
4.372,-3.02130259E-05,-2.34168456E-05
4.386,-3.299942179E-05,-1.863985774E-05
4.4,-3.504899522E-05,-1.35528758E-05
4.414,-3.633090017E-05,-8.26717613E-06
4.428,-3.683079068E-05,-2.896447332E-06
4.442,-3.655087678E-05,2.445617684E-06
4.456,-3.550963378E-05,7.647696784E-06
4.47,-3.374117528E-05,1.260313146E-05
4.484,-3.129430726E-05,1.721209035E-05
4.498,-2.823128701E-05,2.138355956E-05
4.512,-2.462631708E-05,2.503712012E-05
4.526,-2.056380895E-05,2.810447778E-05
4.54,-1.613645648E-05,3.0530716E-05
4.554,-1.144316207E-05,3.227524938E-05
4.568,-6.586861501E-06,3.331246113E-05
4.582,-1.672294862E-06,3.363201541E-05
4.596,3.196228354E-06,3.323884224E-05
4.61,7.917022477E-06,3.215279969E-05
4.624,1.239313112E-05,3.04080251E-05
4.638,1.653430125E-05,2.805199344E-05
4.652,2.025878576E-05,2.514430692E-05
4.666,2.349493838E-05,2.175524566E-05
4.68,2.618257005E-05,1.79641136E-05
4.694,2.827404127E-05,1.38574182E-05
4.708,2.973507082E-05,9.526925091E-06
4.722,3.054524806E-05,5.06763123E-06
4.736,3.069824219E-05,5.757012229E-07
4.75,3.020170861E-05,-3.853588594E-06
4.764,2.90768993E-05,-8.127854302E-06
4.778,2.735799E-05,-1.215951473E-05
4.792,2.509114321E-05,-1.586756849E-05
4.806,2.233333142E-05,-1.917920189E-05
4.82,1.915094953E-05,-2.203119582E-05
4.834,1.561824984E-05,-2.437110512E-05
4.848,1.181563596E-05,-2.615818851E-05
4.862,7.827854715E-06,-2.736407385E-05
4.876,3.742126448E-06,-2.797314854E-05
4.89,-3.537451628E-07,-2.798267179E-05
4.904,-4.373242917E-06,-2.740261102E-05
4.918,-8.232945865E-06,-2.625521082E-05
4.932,-1.18542414E-05,-2.457430838E-05
4.946,-1.516490477E-05,-2.240441475E-05
4.96,-1.810051472E-05,-1.979958566E-05
4.974,-2.060567787E-05,-1.682210998E-05
4.988,-2.263503946E-05,-1.354104717E-05
5.002,-2.415406267E-05,-1.003064778E-05
5.016,-2.513956429E-05,-6.36869281E-06
5.03,-2.558000013E-05,-2.634788944E-06
5.044,-2.547549864E-05,1.091343261E-06
5.058,-2.483764709E-05,4.731551688E-06
5.072,-2.368903951E-05,8.210870289E-06
5.086,-2.206260072E-05,1.145903897E-05
5.1,-2.000070529E-05,1.441189546E-05
5.114,-1.755411393E-05,1.701261215E-05
5.128,-1.478075362E-05,1.921275495E-05
5.142,-1.174437042E-05,2.097314527E-05
5.156,-8.513085754E-06,2.226451099E-05
5.17,-5.157888762E-06,2.306791688E-05
5.184,-1.751097592E-06,2.337497004E-05
5.198,1.635177331E-06,2.318780051E-05
5.212,4.930535891E-06,2.251882219E-05
5.226,8.06772595E-06,2.139028348E-05
5.24,1.098398736E-05,1.98336215E-05
5.254,1.362227624E-05,1.788863736E-05
5.268,1.593234635E-05,1.560251335E-05
5.282,1.787166827E-05,1.302869589E-05
5.296,1.940617034E-05,1.022567014E-05
5.31,2.051078999E-05,7.255653943E-06
5.324,2.116982778E-05,4.183239886E-06
5.338,2.137710099E-05,1.074014489E-06
5.352,2.113589785E-05,-2.006816401E-06
5.366,2.04587372E-05,-4.995767905E-06
5.38,1.936694291E-05,-7.832355234E-06
5.394,1.789004518E-05,-1.046028666E-05
5.408,1.606502491E-05,-1.282854769E-05
5.422,1.393541946E-05,-1.489235643E-05
5.436,1.15503111E-05,-1.661397336E-05
5.45,8.963220958E-06,-1.796335191E-05
5.464,6.230932869E-06,-1.891861974E-05
5.478,3.412272465E-06,-1.946638448E-05
5.492,5.668670173E-07,-1.9601861E-05
5.506,-2.246088451E-06,-1.932882132E-05
5.52,-4.96903403E-06,-1.865937145E-05
5.534,-7.547193095E-06,-1.761356305E-05
5.548,-9.929643736E-06,-1.621885088E-05
5.562,-1.207029335E-05,-1.450940977E-05
5.576,-1.392873865E-05,-1.252532743E-05
5.59,-1.547099594E-05,-1.031169154E-05
5.604,-1.667008936E-05,-7.917591343E-06
5.618,-1.750648802E-05,-5.395055105E-06
5.632,-1.796838565E-05,-2.797945818E-06
5.646,-1.805182023E-05,-1.808378875E-07
5.66,-1.776063368E-05,2.402102533E-06
5.674,-1.710627517E-05,4.898211344E-06
5.688,-1.61074545E-05,7.257373117E-06
5.702,-1.47896548E-05,9.433000488E-06
5.716,-1.318451643E-05,1.138292795E-05
5.73,-1.132910627E-05,1.307020364E-05
5.744,-9.265088679E-06,1.446376486E-05
5.758,-7.037815808E-06,1.55389858E-05
5.772,-4.695356682E-06,1.62780883E-05
5.786,-2.287484968E-06,1.667040941E-05
5.8,1.353538653E-07,1.671252257E-05
5.814,2.523075271E-06,1.64082117E-05
5.828,4.826967764E-06,1.576830081E-05
5.842,7.000664644E-06,1.481034418E-05
5.856,9.00105653E-06,1.355818511E-05
5.87,1.078912727E-05,1.204139343E-05
5.884,1.233069754E-05,1.029459434E-05
5.898,1.359706226E-05,8.356703322E-06
5.912,1.456551049E-05,6.27008314E-06
5.926,1.521971852E-05,4.079640715E-06
5.94,1.55500096E-05,1.831882446E-06
5.954,1.555347661E-05,-4.260527287E-07
5.968,1.523396639E-05,-2.647362979E-06
5.982,1.460192732E-05,-4.786536471E-06
5.996,1.367412462E-05,-6.800268549E-06
6.01,1.247323005E-05,-8.648325081E-06
6.024,1.102729546E-05,-1.029433505E-05
6.038,9.369121782E-06,-1.170649701E-05
6.052,7.535536952E-06,-1.285818578E-05
6.066,5.566598214E-06,-1.3728448E-05
6.08,3.504735469E-06,-1.430237714E-05
6.094,1.393853567E-06,-1.457136149E-05
6.108,-7.215879188E-07,-1.453320079E-05
6.122,-2.797498468E-06,-1.41920902E-05
6.136,-4.791065055E-06,-1.355847274E-05
6.15,-6.661626741E-06,-1.264876422E-05
6.164,-8.371497675E-06,-1.148495713E-05
6.178,-9.886721928E-06,-1.009411236E-05
6.192,-1.117774501E-05,-8.507750013E-06
6.206,-1.221998878E-05,-6.761152628E-06
6.22,-1.299431832E-05,-4.892595599E-06
6.234,-1.348739199E-05,-2.942521376E-06
6.248,-1.36918878E-05,-9.526749114E-07
6.262,-1.360660244E-05,1.034781394E-06
6.276,-1.323642147E-05,2.978154614E-06
6.29,-1.259216217E-05,4.837091535E-06
6.304,-1.169029317E-05,6.573414027E-06
6.318,-1.055253733E-05,8.151902243E-06
6.332,-9.205367233E-06,9.541009436E-06
6.346,-7.679404334E-06,1.071349376E-05
6.36,-6.008735237E-06,1.164695419E-05
6.374,-4.230160066E-06,1.232425985E-05
6.388,-2.382389301E-06,1.27338643E-05
6.402,-5.05206515E-07,1.286999878E-05
6.416,1.361384928E-06,1.273274124E-05
6.43,3.17801291E-06,1.232796036E-05
6.444,4.906767136E-06,1.166713669E-05
6.458,6.511991608E-06,1.076706554E-05
6.472,7.961022277E-06,9.649448919E-06
6.486,9.2248544E-06,8.340385959E-06
6.5,1.027872578E-05,6.86977362E-06
6.514,1.11026039E-05,5.270631241E-06
6.528,1.16815673E-05,3.578364093E-06
6.542,1.200607356E-05,1.829982325E-06
6.556,1.207210924E-05,6.329256991E-08
6.57,1.188121936E-05,-1.683920065E-06
6.584,1.144041675E-05,-3.374701781E-06
6.598,1.076197442E-05,-4.973714139E-06
6.612,9.863106362E-06,-6.447975548E-06
6.626,8.765544734E-06,-7.767544444E-06
6.64,7.495023701E-06,-8.906129797E-06
6.654,6.08068195E-06,-9.84161633E-06
6.668,4.554397768E-06,-1.05564938E-05
6.682,2.950071846E-06,-1.103818189E-05
6.696,1.302874041E-06,-1.127924473E-05
6.71,-3.51529076E-07,-1.127749139E-05
6.724,-1.97774876E-06,-1.103596144E-05
6.738,-3.541433726E-06,-1.056279708E-05
6.752,-5.009998407E-06,-9.871005951E-06
6.766,-6.353304206E-06,-8.978121006E-06
6.78,-7.544279345E-06,-7.905766112E-06
6.794,-8.559464444E-06,-6.679138061E-06
6.808,-9.37947273E-06,-5.326417332E-06
6.822,-9.98935584E-06,-3.878121441E-06
6.836,-1.037886837E-05,-2.366415792E-06
6.85,-1.054262665E-05,-8.243977313E-07
6.864,-1.048015967E-05,7.146301409E-07
6.878,-1.019585243E-05,2.217881271E-06
6.892,-9.698784536E-06,3.653785308E-06
6.906,-9.002468878E-06,4.992652031E-06
6.92,-8.124497736E-06,6.207284974E-06
6.934,-7.086105277E-06,7.273532011E-06
6.948,-5.911657345E-06,8.170761749E-06
6.962,-4.628080827E-06,8.882256382E-06
6.976,-3.264246014E-06,9.395513666E-06
6.99,-1.850316241E-06,9.702452827E-06
7.004,-4.170795729E-07,9.799521384E-06
7.018,1.004722549E-06,9.687702163E-06
7.032,2.385054954E-06,9.372421973E-06
7.046,3.695222451E-06,8.863365586E-06
7.06,4.908464202E-06,8.174200664E-06
