"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
3,8.048083296E-05,-8.262322835E-05
3.014,6.677274306E-05,-9.229830105E-05
3.028,5.19885047E-05,-9.979143299E-05
3.042,3.646359989E-05,-0.0001049974722
3.056,2.054118035E-05,-0.000107861308
3.07,4.564804427E-06,-0.0001083779023
3.084,-1.112868304E-05,-0.000106591293
3.098,-2.621598557E-05,-0.000102592609
3.112,-4.039377043E-05,-9.651715567E-05
3.126,-5.338454112E-05,-8.854064902E-05
3.14,-6.494185655E-05,-7.887469086E-05
3.154,-7.485480178E-05,-6.776159242E-05
3.168,-8.29516321E-05,-5.546866531E-05
3.182,-8.910253031E-05,-4.228210744E-05
3.196,-9.322143651E-05,-2.850061807E-05
3.21,-9.526692949E-05,-1.442887933E-05
3.224,-9.524215876E-05,-3.710421156E-07
3.238,-9.319384592E-05,1.337564778E-05
3.252,-8.921039339E-05,2.652695311E-05
3.266,-8.341915619E-05,3.881735529E-05
3.28,-7.598294942E-05,5.00052588E-05
3.294,-6.709587858E-05,5.987758985E-05
3.308,-5.69785929E-05,6.825370367E-05
3.322,-4.587307229E-05,7.498853094E-05
3.336,-3.403706641E-05,7.997491066E-05
3.35,-2.17383099E-05,8.314507543E-05
3.364,-9.24864038E-06,8.447127323E-05
3.378,3.161854368E-06,8.396552853E-05
3.392,1.523053613E-05,8.167856381E-05
3.406,2.670764467E-05,7.76979202E-05
3.42,3.736134425E-05,7.214533223E-05
3.434,4.698228789E-05,6.517342667E-05
3.448,5.538761103E-05,5.696182888E-05
3.462,6.242428009E-05,4.771277111E-05
3.476,6.797173659E-05,3.764630621E-05
3.49,7.194379381E-05,2.699523708E-05
3.504,7.42897597E-05,1.599987585E-05
3.518,7.499477702E-05,4.90274887E-06
3.532,7.407938875E-05,-6.056637807E-06
3.546,7.159835339E-05,-1.664686099E-05
3.56,6.763875053E-05,-2.664936538E-05
3.574,6.231743157E-05,-3.586287361E-05
3.588,5.577788393E-05,-4.410733362E-05
3.602,4.818658801E-05,-5.122732766E-05
3.616,3.972895607E-05,-5.709488031E-05
3.63,3.060494916E-05,-6.161161709E-05
3.644,2.10244736E-05,-6.471024055E-05
3.658,1.120266105E-05,-6.635530593E-05
3.672,1.355136631E-06,-6.654329448E-05
3.686,-8.306622086E-06,-6.530199749E-05
3.7,-1.75797369E-05,-6.268923906E-05
3.714,-2.627409917E-05,-5.879097938E-05
3.728,-3.42161741E-05,-5.371885288E-05
3.742,-4.125236482E-05,-4.760720685E-05
3.756,-4.725187277E-05,-4.060971559E-05
3.77,-5.210900367E-05,-3.289565259E-05
3.784,-5.574488136E-05,-2.46459093E-05
3.798,-5.810854544E-05,-1.604885213E-05
3.812,-5.917742296E-05,-7.296111111E-06
3.826,-5.895717781E-05,1.421606986E-06
3.84,-5.748095543E-05,9.918591103E-06
3.854,-5.480805289E-05,1.801799832E-05
3.868,-5.102205626E-05,2.555544706E-05
3.882,-4.622849805E-05,3.238225988E-05
3.896,-4.055209642E-05,3.836829382E-05
3.91,-3.413364561E-05,4.340430681E-05
3.924,-2.712663309E-05,4.740382003E-05
3.938,-1.96936628E-05,5.030444788E-05
3.952,-1.200276634E-05,5.206867955E-05
3.966,-4.223684347E-06,5.268410852E-05
3.98,3.475801145E-06,5.216311842E-05
3.994,1.093340561E-05,5.054204492E-05
4.008,1.799567916E-05,4.78798448E-05
4.022,2.452107523E-05,4.425631257E-05
4.036,3.038269132E-05,3.976989417E-05
4.05,3.547063122E-05,3.45351547E-05
4.064,3.969394754E-05,2.867996285E-05
4.078,4.298213313E-05,2.234245955E-05
4.092,4.52861411E-05,1.566788102E-05
4.106,4.657892324E-05,8.80530768E-06
4.12,4.685548759E-05,1.904410348E-06
4.134,4.613248609E-05,-4.88773705E-06
4.148,4.444735297E-05,-1.142971192E-05
4.162,4.185702364E-05,-1.758860314E-05
4.176,3.843627199E-05,-2.324262105E-05
4.19,3.427571115E-05,-2.828340835E-05
4.204,2.947950854E-05,-3.261801075E-05
4.218,2.416287106E-05,-3.617047425E-05
4.232,1.844935923E-05,-3.888304507E-05
4.246,1.246809139E-05,-4.071695711E-05
4.26,6.350899704E-06,-4.165280104E-05
4.274,2.294987766E-07,-4.169047798E-05
4.288,-5.767273789E-06,-4.084874955E-05
4.302,-1.151608916E-05,-3.916440408E-05
4.316,-1.690157951E-05,-3.669106625E-05
4.33,-2.181856425E-05,-3.34976844E-05
4.344,-2.617400962E-05,-2.966673514E-05
4.358,-2.988868775E-05,-2.529218991E-05
4.372,-3.28985085E-05,-2.047729194E-05
4.386,-3.515550484E-05,-1.533219441E-05
4.4,-3.662846022E-05,-9.97151231E-06
4.414,-3.73031741E-05,-4.5118407E-06
4.428,-3.718236941E-05,9.307085757E-07
4.442,-3.628525282E-05,6.242901532E-06
4.456,-3.464674571E-05,1.131666058E-05
4.47,-3.231640974E-05,1.605118317E-05
4.484,-2.935709672E-05,2.035486116E-05
4.498,-2.584335716E-05,2.414696666E-05
