"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
3,-1.975045754E-05,-2.632178587E-05
3.014,-2.275679816E-05,-2.299595755E-05
3.028,-2.525282223E-05,-1.937338133E-05
3.042,-2.721745672E-05,-1.552502781E-05
3.056,-2.863826961E-05,-1.152175577E-05
3.07,-2.951104746E-05,-7.433493342E-06
3.084,-2.983934672E-05,-3.328522743E-06
3.098,-2.963403612E-05,7.271451191E-07
3.112,-2.891284222E-05,4.670322124E-06
3.126,-2.769990535E-05,8.441137019E-06
3.14,-2.602534779E-05,1.198348835E-05
3.154,-2.39248517E-05,1.524547095E-05
3.168,-2.143924049E-05,1.817978817E-05
3.182,-1.861405395E-05,2.074415891E-05
3.196,-1.549910533E-05,2.290172447E-05
3.21,-1.214800765E-05,2.462145631E-05
3.224,-8.617656009E-06,2.587856124E-05
3.238,-4.967654064E-06,2.665487645E-05
3.252,-1.259674379E-06,2.693924298E-05
3.266,2.443254416E-06,2.672784278E-05
3.28,6.077537312E-06,2.602448188E-05
3.294,9.579878814E-06,2.484080047E-05
3.308,1.288821976E-05,2.319638997E-05
3.322,1.594273495E-05,2.111879719E-05
3.336,1.868687681E-05,1.864339741E-05
3.35,2.106844554E-05,1.58131201E-05
3.364,2.304066239E-05,1.267801482E-05
3.378,2.456321927E-05,9.294648889E-06
3.392,2.560327508E-05,5.72533335E-06
3.406,2.613636817E-05,2.037179464E-06
3.42,2.614721321E-05,-1.699006123E-06
3.434,2.563035205E-05,-5.409973382E-06
3.448,2.459062966E-05,-9.021407871E-06
3.462,2.30434696E-05,-1.245941075E-05
3.476,2.101492743E-05,-1.565204885E-05
3.49,1.854150587E-05,-1.853093926E-05
3.504,1.56697215E-05,-2.103282965E-05
3.518,1.245541943E-05,-2.310113295E-05
3.532,8.962839836E-06,-2.4687374E-05
3.546,5.263447469E-06,-2.575250594E-05
3.56,1.434542914E-06,-2.626805563E-05
3.574,-2.442318539E-06,-2.621706025E-05
3.588,-6.283067728E-06,-2.559476133E-05
3.602,-1.000298346E-05,-2.440902816E-05
3.616,-1.351863166E-05,-2.268048845E-05
3.63,-1.674983409E-05,-2.044235215E-05
3.644,-1.962161634E-05,-1.773992178E-05
3.658,-2.206608353E-05,-1.46297916E-05
3.672,-2.402417237E-05,-1.117874649E-05
3.686,-2.544723004E-05,-7.462380137E-06
3.7,-2.629837357E-05,-3.563460544E-06
3.714,-2.655358825E-05,4.299213562E-07
3.728,-2.620252945E-05,4.426377229E-06
3.742,-2.524899944E-05,8.333372324E-06
3.756,-2.371107942E-05,1.205944859E-05
3.77,-2.162090517E-05,1.551646336E-05
3.784,-1.902408511E-05,1.862178528E-05
3.798,-1.597876849E-05,2.130038925E-05
3.812,-1.255438168E-05,2.348679346E-05
3.826,-8.830059622E-06,2.512678508E-05
3.84,-4.892808293E-06,2.617888569E-05
3.854,-8.354421185E-07,2.661551406E-05
3.868,3.245653154E-06,2.642381095E-05
3.882,7.252875938E-06,2.560609972E-05
3.896,1.108982253E-05,2.417996565E-05
3.91,1.466369653E-05,2.217794709E-05
3.924,1.788765078E-05,1.964684178E-05
3.938,2.068299964E-05,1.664664248E-05
3.952,2.298124219E-05,1.324912567E-05
3.966,2.472584161E-05,9.536127049E-06
3.98,2.587371166E-05,5.597546268E-06
3.994,2.639636895E-05,1.529130824E-06
4.008,2.628071806E-05,-2.569904423E-06
4.022,2.55294463E-05,-6.59936086E-06
4.036,2.416101524E-05,-1.046057839E-05
4.05,2.220924666E-05,-1.40589304E-05
4.064,1.972251165E-05,-1.730622589E-05
4.078,1.676254219E-05,-2.01229551E-05
4.092,1.340289462E-05,-2.244031928E-05
4.106,9.727104143E-06,-2.420199019E-05
4.12,5.826577576E-06,-2.536555251E-05
4.134,1.798279018E-06,-2.590359018E-05
4.148,-2.257731382E-06,-2.580438742E-05
4.162,-6.240841213E-06,-2.507222516E-05
4.176,-1.005244549E-05,-2.372726467E-05
4.19,-1.359845509E-05,-2.180502078E-05
4.204,-1.679168797E-05,-1.935543845E-05
4.218,-1.955408049E-05,-1.644159676E-05
4.232,-2.181866067E-05,-1.313807449E-05
4.246,-2.353123187E-05,-9.529020389E-06
4.26,-2.465172283E-05,-5.70597909E-06
4.274,-2.515516922E-05,-1.765530168E-06
4.288,-2.503230152E-05,2.193197368E-06
4.302,-2.428972465E-05,6.071069578E-06
4.316,-2.294968576E-05,9.771484122E-06
4.33,-2.104943732E-05,1.320283222E-05
4.344,-1.864021376E-05,1.628082162E-05
4.358,-1.578584982E-05,1.893060006E-05
4.372,-1.256107828E-05,2.108862428E-05
4.386,-9.04955337E-06,2.27042265E-05
4.4,-5.341652827E-06,2.374083872E-05
4.414,-1.532117579E-06,2.417684434E-05
4.428,2.282408112E-06,2.400603672E-05
4.442,6.00587088E-06,2.323767478E-05
4.456,9.545271114E-06,2.18961367E-05
4.47,1.281302994E-05,2.002018323E-05
4.484,1.572919878E-05,1.766185256E-05
4.498,1.822345452E-05,1.488501831E-05
4.512,2.023682935E-05,1.176365092E-05
4.526,2.172313191E-05,8.379830429E-06
4.54,2.265002471E-05,4.82156462E-06
4.554,2.299973228E-05,1.180471563E-06
4.568,2.276936462E-05,-2.45061148E-06
4.582,2.197085059E-05,-5.980029322E-06
4.596,2.063048666E-05,-9.3196571E-06
4.61,1.878811625E-05,-1.238713429E-05
4.624,1.64959648E-05,-1.510792686E-05
4.638,1.381716445E-05,-1.741716507E-05
4.652,1.082401034E-05,-1.926121082E-05
4.666,7.595996911E-06,-2.059891616E-05
4.68,4.217688296E-06,-2.140254321E-05
4.694,7.764804583E-07,-2.165832482E-05
4.708,-2.639684895E-06,-2.136665533E-05
4.722,-5.944594001E-06,-2.05419106E-05
4.736,-9.05596272E-06,-1.921190626E-05
4.75,-1.189750922E-05,-1.741701273E-05
4.764,-1.440084473E-05,-1.520895448E-05
4.778,-1.650713496E-05,-1.264932882E-05
4.792,-1.816849136E-05,-9.807886885E-06
4.806,-1.934905919E-05,-6.760624909E-06
4.82,-2.002577775E-05,-3.58773842E-06
4.834,-2.018879712E-05,-3.714950583E-07
4.848,-1.98415453E-05,2.805917072E-06
4.862,-1.900044854E-05,5.864508596E-06
4.876,-1.769431746E-05,8.728520372E-06
4.89,-1.59634195E-05,1.132831519E-05
4.904,-1.385826704E-05,1.3602082E-05
4.918,-1.14381569E-05,1.54973106E-05
4.932,-8.769503631E-06,1.697200166E-05
4.946,-5.92401341E-06,1.799558407E-05
4.96,-2.976749014E-06,1.854952039E-05
4.974,-4.138514846E-09,1.862758914E-05
4.988,2.918019119E-06,1.823584189E-05
5.002,5.716499055E-06,1.739224152E-05
5.016,8.322495954E-06,1.612599637E-05
5.03,1.067332284E-05,1.447661307E-05
5.044,1.271392133E-05,1.24926975E-05
5.058,1.439814686E-05,1.023053998E-05
5.072,1.568979895E-05,7.752525433E-06
5.086,1.656337415E-05,5.125413621E-06
5.1,1.700452672E-05,2.418536807E-06
5.114,1.701023041E-05,-2.980361639E-07
5.128,1.658864258E-05,-2.955320565E-06
5.142,1.575867976E-05,-5.487173689E-06
5.156,1.454932145E-05,-7.831944974E-06
5.17,1.299866556E-05,-9.933977053E-06
5.184,1.115276521E-05,-1.174492123E-05
5.198,9.064281799E-06,-1.322483648E-05
5.212,6.790993396E-06,-1.434304742E-05
5.226,4.394200589E-06,-1.507874369E-05
5.24,1.937073782E-06,-1.542131016E-05
5.254,-5.170134198E-07,-1.537038508E-05
5.268,-2.906120655E-06,-1.493565025E-05
5.282,-5.171304737E-06,-1.413636452E-05
5.296,-7.25807155E-06,-1.300065837E-05
5.31,-9.117680226E-06,-1.156461338E-05
5.324,-1.070826862E-05,-9.871155558E-06
5.338,-1.19957745E-05,-7.968795654E-06
5.352,-1.295463295E-05,-5.910253199E-06
5.366,-1.356823676E-05,-3.751002938E-06
5.38,-1.382915319E-05,-1.547783724E-06
5.394,-1.37390973E-05,6.428901008E-07
5.408,-1.330866816E-05,2.766175803E-06
5.422,-1.25568607E-05,4.770270807E-06
5.436,-1.15103715E-05,6.607668692E-06
5.45,-1.020272174E-05,8.236272405E-06
5.464,-8.673225086E-06,9.620339046E-06
5.478,-6.965831336E-06,1.073123565E-05
5.492,-5.127879556E-06,1.154799098E-05
5.506,-3.20879568E-06,1.205763408E-05
5.52,-1.25877027E-06,1.225531638E-05
5.534,6.725483158E-07,1.214421973E-05
5.548,2.537311444E-06,1.173525871E-05
5.562,4.290646751E-06,1.10465905E-05
5.576,5.891725024E-06,1.010295044E-05
5.59,7.30469248E-06,8.934835775E-06
5.604,8.499447733E-06,7.577562977E-06
5.618,9.452247499E-06,6.070227326E-06
5.632,1.014613006E-05,4.454594631E-06
5.646,1.05711507E-05,2.773956314E-06
5.66,1.072442849E-05,1.071978921E-06
5.674,1.061000884E-05,-6.084215292E-07
5.688,1.023855099E-05,-2.226151591E-06
5.702,9.626854042E-06,-3.74293232E-06
5.716,8.797238931E-06,-5.124187549E-06
5.73,7.776807173E-06,-6.339808436E-06
5.744,6.596599668E-06,-7.364778183E-06
5.758,5.290680927E-06,-8.179645017E-06
5.772,3.895175151E-06,-8.770835979E-06
5.786,2.447281079E-06,-9.130808559E-06
5.8,9.842921353E-07,-9.258041617E-06
5.814,-4.573525667E-07,-9.156871292E-06
5.828,-1.842962535E-06,-8.837181523E-06
5.842,-3.140413968E-06,-8.313962375E-06
5.856,-4.320872801E-06,-7.60675242E-06
5.87,-5.359407171E-06,-6.738983944E-06
5.884,-6.235477235E-06,-5.737251697E-06
5.898,-6.933294001E-06,-4.63052716E-06
5.912,-7.442042647E-06,-3.449340985E-06
5.926,-7.755969586E-06,-2.224956247E-06
5.94,-7.874336223E-06,-9.885545459E-07
5.954,-7.801245794E-06,2.295441904E-07
5.968,-7.545352832E-06,1.400609077E-06
5.982,-7.119467589E-06,2.498155852E-06
5.996,-6.540070044E-06,3.498520256E-06
6.01,-5.826749974E-06,4.381335656E-06
6.024,-5.001590861E-06,5.129906387E-06
6.038,-4.08851618E-06,5.731471464E-06
6.052,-3.112616832E-06,6.17735649E-06
6.066,-2.099478178E-06,6.463014671E-06
6.08,-1.074524334E-06,6.587960814E-06
6.094,-6.239613588E-08,6.555604889E-06
6.108,9.136224718E-07,6.372994148E-06
6.122,1.832116865E-06,6.050474833E-06
6.136,2.673982465E-06,5.601286199E-06
6.15,3.422785693E-06,5.041100743E-06
6.164,4.065039632E-06,4.387525374E-06
6.178,4.590391465E-06,3.659578549E-06
6.192,4.991721296E-06,2.877158301E-06
6.206,5.265154392E-06,2.060515593E-06
6.22,5.409991131E-06,1.229746493E-06
6.234,5.428560971E-06,4.043154671E-07
6.248,5.326008453E-06,-3.97379442E-07
6.262,5.110020718E-06,-1.158390538E-06
6.276,4.790507019E-06,-1.863546366E-06
6.29,4.379241495E-06,-2.49971447E-06
6.304,3.889480749E-06,-3.055997939E-06
6.318,3.335567828E-06,-3.523864674E-06
6.332,2.732533828E-06,-3.897210249E-06
6.346,2.095707714E-06,-4.172357007E-06
6.36,1.440344046E-06,-4.347993645E-06
6.374,7.812771269E-07,-4.425060928E-06
6.388,1.326088123E-07,-4.406590274E-06
6.402,-4.925642706E-07,-4.297502838E-06
6.416,-1.082379841E-06,-4.104377257E-06
6.43,-1.626392734E-06,-3.835194545E-06
6.444,-2.115710153E-06,-3.499068588E-06
6.458,-2.543079696E-06,-3.105970494E-06
6.472,-2.902931777E-06,-2.666454521E-06
6.486,-3.191379263E-06,-2.191392652E-06
6.5,-3.406178153E-06,-1.691724003E-06
6.514,-3.54665393E-06,-1.178224281E-06
6.528,-3.613598827E-06,-6.612994156E-07
6.542,-3.609145614E-06,-1.508063885E-07
6.556,-3.536623678E-06,3.440968799E-07
6.57,-3.400403111E-06,8.150717774E-07
6.584,-3.205732302E-06,1.254689628E-06
6.598,-2.958574088E-06,1.656493849E-06
6.612,-2.665444994E-06,2.015035598E-06
6.626,-2.333261422E-06,2.325885486E-06
6.64,-1.969195888E-06,2.585624454E-06
6.654,-1.580545644E-06,2.791817197E-06
6.668,-1.174615214E-06,2.94297168E-06
6.682,-7.586135741E-07,3.03848827E-06
6.696,-3.39566029E-07,3.078601854E-06
6.71,7.575985526E-08,3.064319998E-06
6.724,4.809154206E-07,2.99735981E-06
6.738,8.698207811E-07,2.880085673E-06
6.752,1.236805274E-06,2.715449447E-06
6.766,1.576640547E-06,2.506934194E-06
6.78,1.884568368E-06,2.258501858E-06
6.794,2.156325124E-06,1.974544803E-06
6.808,2.38816477E-06,1.659840621E-06
6.822,2.576881673E-06,1.319509168E-06
6.836,2.719834344E-06,9.589704846E-07
6.85,2.814970657E-06,5.839020276E-07
6.864,2.860854583E-06,2.001935392E-07
6.878,2.856694001E-06,-1.861021043E-07
6.892,2.802368642E-06,-5.688235718E-07
6.906,2.698456762E-06,-9.417625429E-07
6.92,2.546258785E-06,-1.298732859E-06
6.934,2.347815828E-06,-1.633647818E-06
6.948,2.10592086E-06,-1.940605546E-06
6.962,1.824120142E-06,-2.213981864E-06
6.976,1.506702671E-06,-2.448529437E-06
6.99,1.158675513E-06,-2.639481489E-06
7.004,7.857232E-07,-2.782657808E-06
7.018,3.941498063E-07,-2.874570284E-06
7.032,-9.197181492E-09,-2.912524883E-06
7.046,-4.170214768E-07,-2.894716615E-06
7.06,-8.216906914E-07,-2.820313953E-06
7.074,-1.215366017E-06,-2.689529097E-06
7.088,-1.590147065E-06,-2.503670589E-06
7.102,-1.938229323E-06,-2.265175067E-06
7.116,-2.252071039E-06,-1.977615335E-06
7.13,-2.524565722E-06,-1.645682432E-06
7.144,-2.749215972E-06,-1.27514008E-06
7.158,-2.920303949E-06,-8.72750619E-07
7.172,-3.033053568E-06,-4.461723555E-07
7.186,-3.083779402E-06,-3.829170549E-09
7.2,-3.070017342E-06,4.452458862E-07
7.214,-2.990632327E-06,8.915903751E-07
7.228,-2.845898839E-06,1.325512113E-06
7.242,-2.637550433E-06,1.737304388E-06
7.256,-2.368795299E-06,2.117471738E-06
7.27,-2.044295678E-06,2.456960727E-06
7.284,-1.670109906E-06,2.747389709E-06
7.298,-1.253596914E-06,2.981271321E-06
7.312,-8.032840635E-07,3.152221381E-06
7.326,-3.287003075E-07,3.255147948E-06
7.34,1.598222509E-07,3.286414655E-06
7.354,6.51374304E-07,3.243972874E-06
7.368,1.134717753E-06,3.127457996E-06
7.382,1.598550719E-06,2.938245922E-06
7.396,2.031782611E-06,2.679466866E-06
7.41,2.423812193E-06,2.355974661E-06
7.424,2.764801291E-06,1.974270983E-06
7.438,3.045936641E-06,1.542385113E-06
7.452,3.259672535E-06,1.069711168E-06
7.466,3.399947188E-06,5.668059306E-07
7.48,3.46236632E-06,4.51516371E-08
7.494,3.444348185E-06,-4.831108503E-07
7.508,3.345225176E-06,-1.005472096E-06
7.522,3.166298252E-06,-1.509360159E-06
7.536,2.910841618E-06,-1.982454876E-06
7.55,2.584056436E-06,-2.41300212E-06
7.564,2.192973703E-06,-2.79011965E-06
7.578,1.746307842E-06,-3.104086205E-06
7.592,1.254263956E-06,-3.34660577E-06
7.606,7.283029953E-07,-3.511039512E-06
7.62,1.808703673E-07,-3.592598589E-06
7.634,-3.749054281E-07,-3.588492005E-06
7.648,-9.255365787E-07,-3.498024821E-06
7.662,-1.457513882E-06,-3.322643311E-06
7.676,-1.957650014E-06,-3.065925037E-06
7.69,-2.41341906E-06,-2.733513314E-06
7.704,-2.813283214E-06,-2.33299703E-06
7.718,-3.146997762E-06,-1.873738297E-06
7.732,-3.405885938E-06,-1.366651874E-06
7.746,-3.583075982E-06,-8.239416364E-07
7.76,-3.673693626E-06,-2.588006384E-07
7.774,-3.675004422E-06,3.1491765E-07
7.788,-3.586501571E-06,8.830484723E-07
7.802,-3.409936402E-06,1.431476183E-06
7.816,-3.14929015E-06,1.946496425E-06
7.83,-2.810687269E-06,2.41517045E-06
7.844,-2.402252102E-06,2.825662109E-06
7.858,-1.9339123E-06,3.167548378E-06
7.872,-1.417153816E-06,3.432094994E-06
7.886,-8.647336837E-07,3.612489607E-06
7.9,-2.903579451E-07,3.704026003E-06
7.914,2.91666898E-07,3.704234184E-06
7.928,8.667997856E-07,3.61295258E-06
7.942,1.420638703E-06,3.432340179E-06
7.956,1.939292086E-06,3.166827978E-06
7.97,2.409738139E-06,2.823010823E-06
7.984,2.820162477E-06,2.409482268E-06
7.998,3.16026503E-06,1.9366167E-06
8.012,3.421527982E-06,1.416304352E-06
8.026,3.597437521E-06,8.61646144E-07
8.04,3.683653413E-06,2.866163972E-07
8.054,3.678121824E-06,-2.942976747E-07
8.068,3.581128318E-06,-8.664701354E-07
8.082,3.395289578E-06,-1.415514221E-06
