"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
3,-4.988845913E-05,-4.563014743E-05
3.014,-5.53505897E-05,-3.691403109E-05
3.028,-5.936058584E-05,-2.762585625E-05
3.042,-6.187458804E-05,-1.799769131E-05
3.056,-6.288438027E-05,-8.261381402E-06
3.07,-6.241629933E-05,1.356705729E-06
3.084,-6.052940476E-05,1.064061301E-05
3.098,-5.73129796E-05,1.938930812E-05
3.112,-5.28834445E-05,2.742069361E-05
3.126,-4.738077742E-05,3.457504318E-05
3.14,-4.096453818E-05,4.071780982E-05
3.154,-3.380960177E-05,4.574176795E-05
3.168,-2.610170663E-05,4.956846774E-05
3.182,-1.803292361E-05,5.214899631E-05
3.196,-9.797148683E-06,5.346405562E-05
3.21,-1.585717867E-06,5.352338149E-05
3.224,6.416764026E-06,5.236454195E-05
3.238,1.403629762E-05,5.005116456E-05
3.252,2.111299274E-05,4.667065312E-05
3.266,2.750413928E-05,4.23314626E-05
3.28,3.308679468E-05,3.716000789E-05
3.294,3.775984965E-05,3.129728696E-05
3.308,4.144554691E-05,2.489530168E-05
3.322,4.409043978E-05,1.811336084E-05
3.336,4.566579046E-05,1.111434902E-05
3.35,4.616741929E-05,4.061042403E-06
3.364,4.561502755E-05,-2.887451376E-06
3.378,4.405102663E-05,-9.579057755E-06
3.392,4.153891553E-05,-1.587183942E-05
3.406,3.816125631E-05,-2.163678312E-05
3.42,3.401730395E-05,-2.676022084E-05
3.434,2.922035215E-05,-3.114584631E-05
3.448,2.389486008E-05,-3.471629764E-05
3.462,1.817342774E-05,-3.741428675E-05
3.476,1.219368801E-05,-3.920326624E-05
3.49,6.095183218E-06,-4.006763421E-05
3.504,1.629190562E-08,-4.00124869E-05
3.518,-5.908731508E-06,-3.906293788E-05
3.532,-1.155254583E-05,-3.726303089E-05
3.546,-1.679728782E-05,-3.467428078E-05
3.56,-2.15368657E-05,-3.137388334E-05
3.574,-2.567894115E-05,-2.745264065E-05
3.588,-2.914656747E-05,-2.301265272E-05
3.602,-3.187945877E-05,-1.81648295E-05
3.616,-3.383487392E-05,-1.302627979E-05
3.63,-3.49881064E-05,-7.717634103E-06
3.644,-3.533258015E-05,-2.360358783E-06
3.658,-3.487955886E-05,2.925882711E-06
3.672,-3.365748397E-05,8.025767814E-06
3.686,-3.171096401E-05,1.283070182E-05
3.7,-2.909944392E-05,1.724100768E-05
3.714,-2.589558937E-05,2.116787757E-05
3.728,-2.218342574E-05,2.453505074E-05
3.742,-1.805627577E-05,2.728018867E-05
3.756,-1.361454293E-05,2.935592492E-05
3.77,-8.963390035E-06,3.073057452E-05
3.784,-4.210363549E-06,3.138849474E-05
3.798,5.369855984E-07,3.133009625E-05
3.812,5.173434713E-06,3.057151118E-05
3.826,9.598327437E-06,2.914393121E-05
3.84,1.371767182E-05,2.709263558E-05
3.854,1.744605657E-05,2.447573489E-05
3.868,2.070834809E-05,2.136266207E-05
3.882,2.344113606E-05,1.78324468E-05
3.896,2.559390089E-05,1.39718134E-05
3.91,2.71298828E-05,9.873145565E-06
3.924,2.802663853E-05,5.632363346E-06
