"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
3,-0.08603807905,0.1070981133
3.014,-0.1034170593,0.1150243012
3.028,-0.113128654,0.1384601554
3.042,-0.1063619163,0.1676704133
3.056,-0.08453919486,0.1901796243
3.07,-0.05691686162,0.1994184407
3.084,-0.03299929933,0.1975660579
3.098,-0.01645457356,0.1917210789
3.112,-0.004482086626,0.1874963289
3.126,0.007781915319,0.1849783921
3.14,0.02156122277,0.1800684982
3.154,0.03259369596,0.1702659836
3.168,0.03568787146,0.159421641
3.182,0.03176267254,0.1557077423
3.196,0.02955553385,0.1636378369
3.21,0.03892283757,0.1781822163
3.224,0.06187694146,0.1877329015
3.238,0.09037166267,0.1834857535
3.252,0.1129029376,0.1662860388
3.266,0.1235046608,0.1450400624
3.28,0.1254171998,0.128854792
3.294,0.1270247992,0.1197809394
3.308,0.1336791787,0.1118931224
3.322,0.1421115255,0.09770190331
3.336,0.1429234793,0.07697323475
3.35,0.130338803,0.05954167701
3.364,0.1105313248,0.05761413231
3.378,0.09907431251,0.07346956606
3.392,0.1081040411,0.09490893904
3.406,0.1351647974,0.1042567153
3.42,0.1649765305,0.09284782487
3.434,0.1824378381,0.06717248679
3.448,0.1842746365,0.04152045938
3.462,0.179073994,0.02504071712
3.476,0.1770717265,0.01529379198
3.49,0.179936035,0.003293023611
3.504,0.1799373322,-0.01547706237
3.518,0.1691833742,-0.03482575028
3.532,0.1500447055,-0.04311187447
3.546,0.135686418,-0.03578683595
3.56,0.1385089674,-0.02257910362
3.574,0.1572717244,-0.0205390205
3.588,0.1766492136,-0.03861517971
3.602,0.1806972375,-0.06929830129
3.616,0.1668278353,-0.09604181659
3.63,0.1463992019,-0.1086329116
3.644,0.1323387441,-0.111012072
3.658,0.1269476346,-0.1148817335
3.672,0.1213250246,-0.1267602923
3.686,0.1057251253,-0.1412082158
3.7,0.08050459474,-0.1460390969
3.714,0.05755261767,-0.1344680192
3.728,0.05053195493,-0.1131524764
3.742,0.0622582818,-0.09820312401
3.756,0.08107225527,-0.1018352594
3.77,0.09049064505,-0.1218776572
3.784,0.08329524727,-0.1445713394
3.798,0.06615817025,-0.1578896493
3.812,0.05067943923,-0.1616357531
3.826,0.04104431667,-0.1644821712
3.84,0.03122442792,-0.172458003
3.854,0.01344713694,-0.1817307403
3.868,-0.01196896629,-0.1826289306
3.882,-0.03543487956,-0.1699324257
3.896,-0.04628030949,-0.1491059089
3.91,-0.04250962455,-0.1327142204
3.924,-0.03328034414,-0.1300854063
3.938,-0.03148298815,-0.1392598572
3.952,-0.04262145849,-0.1488369646
3.966,-0.06037250477,-0.1485974873
3.98,-0.07349025462,-0.1388342479
3.994,-0.07725069698,-0.1289657264
4.008,-0.07763488508,-0.1270590266
4.022,-0.08432999902,-0.1314922794
4.036,-0.1005889276,-0.1330461188
4.05,-0.1203242548,-0.1241449866
4.064,-0.1340716582,-0.1054558317
4.078,-0.1368821617,-0.08451649699
4.092,-0.1312705958,-0.06925916462
4.106,-0.1241272637,-0.06249697013
4.12,-0.1210588599,-0.06113320331
4.134,-0.1226701678,-0.05997863844
4.148,-0.1256603175,-0.05676277343
4.162,-0.1276770339,-0.05363581964
4.176,-0.1308792633,-0.0533916938
4.19,-0.1398718709,-0.05439573878
4.204,-0.1558315485,-0.05029271135
4.218,-0.1734023148,-0.03545603172
4.232,-0.1840616819,-0.01053734232
4.246,-0.1825506772,0.01751818098
4.26,-0.1702506071,0.04051658058
4.274,-0.1532896452,0.054169904
4.288,-0.1379383874,0.05961062034
4.302,-0.1269503356,0.06111573352
4.316,-0.1190497217,0.0621490504
4.33,-0.1117825015,0.0626892587
4.344,-0.1053996736,0.06033401927
4.358,-0.1037315435,0.05458442351
4.372,-0.1103416299,0.04984265508
4.386,-0.1235960631,0.05315373515
4.4,-0.1361799276,0.06839994556
4.414,-0.1398622267,0.09281198579
4.428,-0.1307133552,0.1188808233
4.442,-0.1104511962,0.1389463337
4.456,-0.08443854118,0.148322986
4.47,-0.05917789251,0.1460705575
4.484,-0.04039871466,0.1346934062
4.498,-0.03145435574,0.1191404023
4.512,-0.03258874169,0.1049507302
4.526,-0.04167934992,0.09665729043
4.54,-0.05526485864,0.09757293438
