"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
3,-0.03421514688,0.05367645695
3.014,-0.08918888942,0.05145430851
3.028,-0.1328173611,0.08314731852
3.042,-0.1510103891,0.1347120159
3.056,-0.1401322091,0.1901439354
3.07,-0.1031814703,0.2360259574
3.084,-0.04726759354,0.2614321898
3.098,0.01578757604,0.2584888576
3.112,0.0699800224,0.2259776607
3.126,0.09987610079,0.172386675
3.14,0.09716558915,0.1143182645
3.154,0.06453961179,0.07055417344
3.168,0.01488449534,0.0550543564
3.182,-0.03359151302,0.07194793888
3.196,-0.06430199839,0.1146532264
3.21,-0.06789217746,0.1697380194
3.224,-0.04330840599,0.2228763497
3.238,0.004994831904,0.2624047551
3.252,0.06932858094,0.279318868
3.266,0.138334953,0.2674412295
3.28,0.1971845832,0.2265308543
3.294,0.2320302064,0.1651891353
3.308,0.2362701243,0.09868874527
3.322,0.2127994645,0.04255461307
3.336,0.1710279396,0.007575108187
3.35,0.1231045079,-0.001065355703
3.364,0.08237014841,0.01647389521
3.378,0.0617706609,0.0533972258
3.392,0.06952875072,0.0957216162
3.406,0.1042110691,0.1260565731
3.42,0.1538839534,0.130889653
3.434,0.2009184393,0.1066862157
3.448,0.2296366104,0.06106436929
3.462,0.2326224175,0.008693576761
3.476,0.2125658387,-0.03574332163
3.49,0.1787781977,-0.06349070981
3.504,0.1411360026,-0.07277874022
3.518,0.1066899472,-0.06520911123
3.532,0.08131809073,-0.04257685136
3.546,0.07240676993,-0.008476361809
3.56,0.0868273762,0.02778399504
3.574,0.1247078448,0.05161929413
3.588,0.17581804,0.04999080476
3.602,0.2232911021,0.01900200382
3.616,0.2517842912,-0.03426303468
3.63,0.253624508,-0.09616554924
3.644,0.2297915129,-0.1528107094
3.658,0.1870984612,-0.1943012454
3.672,0.1343738009,-0.215749662
3.686,0.0800408416,-0.2157850039
3.7,0.03236229038,-0.1948753516
3.714,0.0008157214156,-0.1562747303
3.728,-0.005427474625,-0.1092796543
3.742,0.01653345518,-0.06987733259
3.756,0.05780940544,-0.05460107689
3.77,0.09960792216,-0.07074312625
3.784,0.1228917811,-0.1114224171
3.798,0.118213214,-0.16000059
3.812,0.08837119336,-0.1995591706
3.826,0.04391949696,-0.2198324736
3.84,-0.003083125911,-0.2183818582
3.854,-0.0428120125,-0.1981648836
3.868,-0.06842722072,-0.1648775236
3.882,-0.0755212905,-0.1258353559
3.896,-0.06229822612,-0.09023840172
3.91,-0.03154347305,-0.06889615253
3.924,0.007194161718,-0.07110228486
3.938,0.03885861567,-0.09923988541
3.952,0.04894510513,-0.1455673503
3.966,0.03047277369,-0.1949353019
3.98,-0.01352708825,-0.2315954563
3.994,-0.07276163255,-0.2447349238
4.008,-0.1338627286,-0.2302436006
4.022,-0.1833884365,-0.1906179748
4.036,-0.210582805,-0.1346176072
4.05,-0.2106016118,-0.07541852401
4.064,-0.1861245471,-0.0264923829
4.078,-0.1457164467,0.002405922002
4.092,-0.1007837471,0.006718277858
4.106,-0.06364030058,-0.01291036726
4.12,-0.04590724952,-0.04991684268
4.134,-0.05500692435,-0.0914211546
4.148,-0.08975564055,-0.1212078956
4.162,-0.1390698845,-0.1261803863
4.176,-0.1858899787,-0.1023924676
4.19,-0.2142381108,-0.0568862308
4.204,-0.2157271605,-0.004633609931
4.218,-0.1927572543,0.03792647432
4.232,-0.1567331802,0.0600887089
4.246,-0.1216299793,0.06088716474
4.26,-0.09693432534,0.0469475007
4.274,-0.08545393892,0.02621704058
4.288,-0.08691333551,0.003861628146
4.302,-0.1018880213,-0.01608002224
4.316,-0.1306909955,-0.02692960365
4.33,-0.1686206594,-0.01977287754
4.344,-0.2038563874,0.01088154981
4.358,-0.2216076097,0.06130570173
4.372,-0.2119742389,0.1180551798
4.386,-0.1759694663,0.1637698265
4.4,-0.1255081262,0.1859067048
4.414,-0.07680613442,0.1829105558
4.428,-0.04127787519,0.1632056318
4.442,-0.02101538193,0.1374903927
4.456,-0.01270156829,0.111403098
4.47,-0.01512353594,0.08597937045
4.484,-0.03086166263,0.06459933424
4.498,-0.05947928189,0.05667960848
4.512,-0.09066021682,0.07153258943
4.526,-0.1071876631,0.107855315
