"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
3,-0.09642081141,0.09123712966
3.014,-0.121020117,0.1061413548
3.028,-0.1342861862,0.1390099698
3.042,-0.1266413568,0.1790702366
3.056,-0.09825744159,0.2119776361
3.07,-0.05823586075,0.2275588464
3.084,-0.01906748347,0.2240785356
3.098,0.009640865115,0.2076519197
3.112,0.02520955913,0.1878664025
3.126,0.03165185841,0.1718460961
3.14,0.03486887441,0.1606265447
3.154,0.0369642258,0.1512099419
3.168,0.03542739399,0.1425731021
3.182,0.02843411079,0.1389581754
3.196,0.02034805393,0.146099585
3.21,0.02065978895,0.1640284371
3.224,0.03665520596,0.1842577392
3.238,0.06676998503,0.1946870671
3.252,0.1007758738,0.1880522254
3.266,0.1266772806,0.1668773337
3.28,0.1388267596,0.1410283877
3.294,0.1408084963,0.1197333592
3.308,0.1404293773,0.1046539972
3.322,0.1410441224,0.09063335958
3.336,0.138061037,0.07404934897
3.35,0.1254206144,0.06006253616
3.364,0.1059047057,0.05956800988
3.378,0.09327035265,0.07736700135
3.392,0.1019163249,0.1038225081
3.406,0.1335032257,0.1198446762
3.42,0.1739052505,0.1113990914
3.434,0.2036244432,0.08010221325
3.448,0.2120053032,0.04073784443
3.462,0.203059254,0.00886467102
3.476,0.1890562577,-0.01030550406
3.49,0.1785053579,-0.0227049536
3.504,0.1694843084,-0.03605546853
3.518,0.1544697577,-0.04963474064
3.532,0.1319686715,-0.05384847784
3.546,0.1125582616,-0.04112706975
3.56,0.1114118596,-0.01730133279
3.574,0.1335228167,-0.0005066156075
3.588,0.1667476036,-0.007022221882
3.602,0.1905127703,-0.03753169148
3.616,0.1919922595,-0.07716436385
3.63,0.1744515261,-0.1086042684
3.644,0.1511501313,-0.1252470986
3.658,0.1321541167,-0.1329032843
3.672,0.1167233498,-0.1402666641
3.686,0.0975096589,-0.1482465146
3.7,0.0717572931,-0.1485459598
3.714,0.04813982941,-0.1332140712
3.728,0.04128776821,-0.1061512341
3.742,0.05779433664,-0.08423466455
3.756,0.0872799992,-0.08484612014
3.77,0.1087026324,-0.1107817759
3.784,0.1069873208,-0.147522234
3.798,0.08407068634,-0.1757762535
3.812,0.05427634377,-0.1867470123
3.826,0.03006791042,-0.1857875602
3.84,0.01273010465,-0.1830183716
3.854,-0.004420596295,-0.1819870958
3.868,-0.02562962724,-0.1773298424
3.882,-0.04612770171,-0.1623660244
3.896,-0.05556188342,-0.1384634376
3.91,-0.04819154744,-0.1168910305
3.924,-0.03028948609,-0.1106170175
3.938,-0.01699991392,-0.1229090194
3.952,-0.02041091664,-0.1436281608
3.966,-0.03975389153,-0.1575703041
3.98,-0.06334838648,-0.1571756194
3.994,-0.08011924491,-0.1472223415
4.008,-0.08881799614,-0.1376560493
4.022,-0.09638771293,-0.132983637
4.036,-0.1087886552,-0.1289687238
4.05,-0.124344212,-0.1185140971
4.064,-0.1354036281,-0.09969774838
4.078,-0.1356334596,-0.07842624636
4.092,-0.1261074296,-0.06397759472
4.106,-0.1151873035,-0.06144749449
4.12,-0.1121684836,-0.06734847533
4.134,-0.1198159015,-0.07240330547
4.148,-0.1325704019,-0.06950035394
4.162,-0.1424357746,-0.0593939034
4.176,-0.1467082834,-0.0484263997
4.19,-0.1495199403,-0.04090531315
4.204,-0.1560101743,-0.03451441866
4.218,-0.1659639963,-0.02330641744
4.232,-0.1735352518,-0.00432162254
4.246,-0.1724775199,0.01912867336
4.26,-0.1612810128,0.03987174479
4.274,-0.1441714925,0.0519365466
4.288,-0.1281155784,0.05421475173
4.302,-0.1183599874,0.05060919746
4.316,-0.11552122,0.04679939603
4.33,-0.1164381377,0.04603053619
4.344,-0.1181191688,0.04763942064
4.358,-0.1207789784,0.04982131532
4.372,-0.1265312421,0.05348205215
4.386,-0.1352397379,0.06252690523
4.4,-0.1424226537,0.08007701187
4.414,-0.1415816992,0.104717242
4.428,-0.128506132,0.1303107826
4.442,-0.1039969293,0.1489333395
4.456,-0.0738977614,0.1545566304
4.47,-0.04693688214,0.1459775621
4.484,-0.03089793869,0.1279025803
