"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
3,-0.001987545381,0.008936889853
3.014,-0.08140293633,-0.007010346369
3.028,-0.154816808,0.0269234168
3.042,-0.196588183,0.09694796845
3.056,-0.1948331245,0.1792831352
3.07,-0.1519892555,0.2501262703
3.084,-0.08080231059,0.2916828946
3.098,2.862960215E-05,0.2948815613
3.112,0.07014221081,0.2607705583
3.126,0.1124333396,0.2002779608
3.14,0.1175460756,0.1314573408
3.154,0.08649104721,0.07487213713
3.168,0.03099204,0.04814049208
3.182,-0.02897482346,0.06026785501
3.196,-0.07122898591,0.1076726741
3.21,-0.07940944634,0.174943709
3.224,-0.04859222995,0.2408019083
3.238,0.01438772694,0.2855806473
3.252,0.09438239343,0.2963639099
3.266,0.1722806739,0.2694732859
3.28,0.2298439683,0.2113528526
3.294,0.2551907661,0.1368065669
3.308,0.2462941128,0.06356563913
3.322,0.209544959,0.006164701734
3.336,0.1552697185,-0.02629229179
3.35,0.09537762495,-0.02871715529
3.364,0.044257948,-2.655720647E-05
3.378,0.01804085675,0.05323661401
3.392,0.02851053567,0.1143216285
3.406,0.07523971679,0.1604443814
3.42,0.1432030098,0.1728660302
3.434,0.2088352284,0.1460678572
3.448,0.2508367812,0.08997256539
3.462,0.2592671321,0.02422300192
3.476,0.2379951941,-0.03181405229
3.49,0.1995532507,-0.06718385405
3.504,0.1566396878,-0.08051371735
3.518,0.1173902456,-0.0747624393
3.532,0.08762005795,-0.05234198506
3.546,0.0750702981,-0.0165649332
3.56,0.08804504665,0.02305534203
3.574,0.1280017795,0.05000277992
3.588,0.1840057747,0.04817861252
3.602,0.2358663043,0.0117780381
3.616,0.2640084954,-0.05086024291
3.63,0.2584606249,-0.1218108971
3.644,0.2216142802,-0.1822248733
3.658,0.1647699884,-0.2194999662
3.672,0.1017501071,-0.229719618
3.686,0.04382681471,-0.2151943107
3.7,-0.0009093491094,-0.180304699
3.714,-0.0248583933,-0.1304904212
3.728,-0.02039333159,-0.07557353876
3.742,0.01487184792,-0.03202669768
3.756,0.07131012131,-0.01795205504
3.77,0.1275138517,-0.04238343017
3.784,0.1600666895,-0.09806747621
3.798,0.1557666167,-0.164541258
3.812,0.1171296912,-0.2189265464
3.826,0.05868154152,-0.2462104569
3.84,-0.001524947332,-0.2432815432
3.854,-0.04935907668,-0.2165471534
3.868,-0.07764692634,-0.1763845034
3.882,-0.08462649495,-0.1326011985
3.896,-0.0708874698,-0.09374837285
3.91,-0.03907292608,-0.06909663221
3.924,0.0028936389,-0.06844885609
3.938,0.03983834917,-0.09695784828
3.952,0.05371808123,-0.1487771947
3.966,0.03287693121,-0.206472354
3.98,-0.02096107947,-0.2481804924
3.994,-0.09310264569,-0.2575241852
4.008,-0.1625231068,-0.2300737515
4.022,-0.2102918615,-0.1740061669
4.036,-0.2261557623,-0.1058183985
4.05,-0.2108814312,-0.04320286616
4.064,-0.1733262336,0.001336780458
4.078,-0.1246747807,0.02224879326
4.092,-0.07506959523,0.01814694548
4.106,-0.03487995321,-0.01039515406
4.12,-0.01631007158,-0.05842671126
4.134,-0.02976391944,-0.1126546763
4.148,-0.07607272568,-0.1528844948
4.162,-0.1420217074,-0.1608088248
4.176,-0.2046049794,-0.1302090963
4.19,-0.241852949,-0.07090264527
4.204,-0.2432096764,-0.003817386567
4.218,-0.2134156421,0.04950332493
4.232,-0.1680768094,0.07670809821
4.246,-0.1240905192,0.07795162036
4.26,-0.09182495063,0.06119065858
4.274,-0.07466337302,0.03453154825
4.288,-0.0742710769,0.003377787098
4.302,-0.09367291309,-0.02567573774
4.316,-0.1331289572,-0.04092234805
4.33,-0.1833323816,-0.02907496767
4.344,-0.2250203899,0.01497901565
4.358,-0.2380219206,0.08121899769
4.372,-0.2133377665,0.147465571
4.386,-0.1590059057,0.1908709873
4.4,-0.09551450349,0.2000523344
4.414,-0.04389653906,0.1798330866
4.428,-0.01463145615,0.1455434312
4.442,-0.005365433376,0.1113463956
4.456,-0.008728400716,0.08244135946
4.47,-0.02198987103,0.05802267599
4.484,-0.0478389581,0.04080820687
4.498,-0.08521726016,0.04097462989
4.512,-0.1213733406,0.06802076934
4.526,-0.1362934866,0.1183286626
4.54,-0.1173135895,0.1724094861
4.554,-0.07019152157,0.2064305401
4.568,-0.01596087208,0.2083146747
4.582,0.02369965996,0.1846336921
4.596,0.0401004321,0.1533559461
4.61,0.03963150918,0.1295974504
4.624,0.03411545805,0.1165737981
4.638,0.02911853629,0.1086995878
4.652,0.02137320988,0.1025135045
4.666,0.0074023127,0.1033527769
4.68,-0.006605862786,0.1198148769
4.694,-0.005864648042,0.1514424208
4.708,0.02037604957,0.1835907073
4.722,0.06726783543,0.1965351311
4.736,0.1161114924,0.1806526345
4.75,0.1479357091,0.1431986524
4.764,0.1560590578,0.1012259448
4.778,0.1472836159,0.06846059187
4.792,0.1328978118,0.04781464902
4.806,0.1188133675,0.03431841024
4.82,0.1031579223,0.02400342917
