"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.193114265018988,-0.176476388680434
3.0175,-0.204423686940741,-0.163252966210255
3.035,-0.215025711502963,-0.14861486009183
3.0525,-0.224593249039331,-0.132509102431896
3.07,-0.232767269973212,-0.114985429924446
3.0875,-0.239191501296439,-0.0962039306587975
3.105,-0.243547903811026,-0.0764310790117805
3.1225,-0.245589162315745,-0.0560245459380005
3.14,-0.245164757921347,-0.0354083505097588
3.1575,-0.242237882958814,-0.015040922910132
3.175,-0.23689142898523,0.0046206225643531
3.1925,-0.229322424525123,0.0231563256534207
3.21,-0.219825501561221,0.0402156543104012
3.2275,-0.208722978017511,0.0555119117740196
3.245,-0.19645612146089,0.0688638679397954
3.2625,-0.183506220955007,0.0802825865118415
3.28,-0.170260125794805,0.0898790560645899
3.2975,-0.157028965573634,0.0978580322322963
3.315,-0.144024283384858,0.104486883039929
3.3325,-0.131345633527745,0.110058656136342
3.35,-0.118980850354919,0.114853367826718
3.3675,-0.106818853014695,0.11910167745216
3.385,-0.0946735311564418,0.12295483977421
3.4025,-0.0823160950401355,0.126464153702177
3.42,-0.0695123884462683,0.129572119892802
3.4375,-0.0560611437591426,0.132116287803606
3.455,-0.0415818493972906,0.13414531721743
3.4725,-0.026123489089226,0.134860599999217
3.49,-0.00986177765878298,0.133861936918356
3.5075,0.00688989722838698,0.130805946094778
3.525,0.023705719051434,0.125449243470914
3.5425,0.0400852901691025,0.11768084657593
3.56,0.0554998253258998,0.107540396127111
3.5775,0.0694416053315331,0.0952203664352893
3.595,0.0814713311470108,0.0810521782433399
3.6125,0.0912583165370211,0.0654778510825511
3.63,0.0986092864412814,0.049010356254196
3.6475,0.103482813223751,0.032186999979984
3.665,0.105987985028042,0.0155208621583373
3.6825,0.106367592407361,-0.000544526546335425
3.7,0.104967762886426,-0.0156724774454338
3.7175,0.102197397371461,-0.0296585063067643
3.735,0.098481821302259,-0.0424411599507204
3.7525,0.094215650634811,-0.0540972596524811
3.77,0.089719931175443,-0.0648221722361631
3.7875,0.0852081375262832,-0.074897304773821
3.805,0.0807646677342708,-0.0846483670331161
3.8225,0.0763381421129024,-0.094398919095296
3.84,0.071750249459782,-0.104424221203861
3.8575,0.0667192425857075,-0.114910379262101
3.875,0.0608956371272044,-0.125923236398828
3.8925,0.0536871801427907,-0.138012145379682
3.91,0.0446038676690696,-0.150141830697081
3.9275,0.0334885989524918,-0.161821594319842
3.945,0.020348124000734,-0.172520199748088
3.9625,0.00535684569540673,-0.181721456875884
3.98,-0.0111574864659598,-0.188977417014568
3.9975,-0.0287442336902965,-0.193953567885648
4.015,-0.0468728728081635,-0.196461405607416
4.0325,-0.0649837171348587,-0.196475201050897
4.05,-0.082540824604451,-0.194131511921866
4.0675,-0.0990814577333367,-0.18971183447841
4.085,-0.114256939496823,-0.183610548804446
4.1025,-0.127860752699248,-0.176291810466081
4.12,-0.139841143613551,-0.168240131746212
4.1375,-0.150297160566417,-0.159909974301469
4.155,-0.159458808800467,-0.151679692878933
4.1725,-0.167653654473055,-0.143814635247037
4.19,-0.17526359540515,-0.136443180985468
4.2075,-0.182676498063105,-0.129548103031721
4.225,-0.190237884677807,-0.122974010078208
4.2425,-0.198207799343942,-0.116449942142528
4.26,-0.206727399890131,-0.109624619946606
4.2775,-0.215798778354521,-0.102110547703657
4.295,-0.225280118219342,-0.0935322686388181
4.3125,-0.234896695408425,-0.0835736598242706
4.33,-0.244312182056373,-0.0715011591790981
4.3475,-0.252707083072822,-0.057776027743946
4.365,-0.259644352093288,-0.042608583289835
4.3825,-0.264768555304959,-0.0263344609909986
4.4,-0.267840216558979,-0.00938119997282639
4.4175,-0.26875740063258,0.00777376518641252
4.435,-0.267562684894171,0.0246491544748194
4.4525,-0.264435204496378,0.0408051003373418
4.47,-0.259668979493516,0.0558829916945164
4.4875,-0.253640093798763,0.0696359518385523
4.505,-0.246766364968743,0.0819470466252628
4.5225,-0.239463821866628,0.0928336338155558
4.54,-0.232104536693769,0.102437707788698
4.5575,-0.224980126279633,0.11100352060938
4.575,-0.218274577833405,0.118845029104654
4.5925,-0.212049040878589,0.126306706349075
4.61,-0.206239967042117,0.133721872051703
4.6275,-0.200670601675619,0.141372885762304
4.645,-0.19507447487874,0.149457298241552
4.6625,-0.189128337222423,0.158063401203386
4.68,-0.182491054532143,0.167157624815979
4.6975,-0.174844404277459,0.176585008068729
4.715,-0.165931555416961,0.186082633268119
4.7325,-0.155589275206239,0.195304604656268
4.75,-0.143770560384958,0.203855991988816
4.7675,-0.130219221926794,0.210945904752503
4.785,-0.115745417789125,0.216427447706199
4.8025,-0.100713352520062,0.220130848020253
4.82,-0.0855135586789982,0.221997801283066
4.8375,-0.0705276299723232,0.222081557578398
4.855,-0.0560954179726341,0.22053626648037
4.8725,-0.0424877936697593,0.217597073113548
4.89,-0.0298874127465065,0.213553298665505
4.9075,-0.0183790503594634,0.208717624065571
4.925,-0.00795007793392205,0.203394477958985
4.9425,0.00149935974349808,0.197850792828106
4.96,0.0101378461250027,0.192291950217292
4.9775,0.0181780250134669,0.186845130197895
4.995,0.0258484541147032,0.181551477668809
5.0125,0.0333649313563187,0.176367582077314
5.03,0.0409042098738434,0.171175829158589
5.0475,0.0485826977537186,0.165802314475315
5.065,0.0564421729465305,0.160040291172656
5.0825,0.064443792949403,0.153676624034658
5.1,0.0724708203300772,0.146518481989376
5.1175,0.0803396044677098,0.138417539054817
5.135,0.0878175432195738,0.129289259723657
5.1525,0.0946460736001384,0.1191253837818
5.17,0.100566271091041,0.107998440684122
5.1875,0.105344414865691,0.096057942049915
5.205,0.108794918799996,0.0835187411521934
5.2225,0.110798327390669,0.070642828058513
5.24,0.111312598847874,0.0577164730353401
