"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.200568973445688,-0.172766871469734
3.0175,-0.210209503656041,-0.157428359120755
3.035,-0.218629610537863,-0.14131696900013
3.0525,-0.225707983426841,-0.124463638862996
3.07,-0.231284051277312,-0.106957903763846
3.0875,-0.235198772199239,-0.0889699753443975
3.105,-0.237343351256126,-0.0707450590043804
3.1225,-0.237698053439845,-0.0525691133103005
3.14,-0.236345361424387,-0.0347161203794188
3.1575,-0.233450092161614,-0.017394976362932
3.175,-0.22921110416623,-0.000715909991846899
3.1925,-0.223800562027523,0.0153094142007207
3.21,-0.217312882488121,0.0307317154409012
3.2275,-0.209748700480191,0.0456055850760196
3.245,-0.20101707248679,0.0599285584841954
3.2625,-0.190995575866707,0.0735776704236415
3.28,-0.179622917730605,0.0863186874032899
3.2975,-0.166956526879534,0.0978561127307963
3.315,-0.153195632052328,0.107912829977629
3.3325,-0.138652423349445,0.116311033007742
3.35,-0.123679049273719,0.123022771931618
3.3675,-0.108576124678695,0.12816836366736
3.385,-0.0935173756107418,0.13196006820901
3.4025,-0.0785209076707555,0.134609848243177
3.42,-0.0634811485999683,0.136235398517702
3.4375,-0.0482524855141426,0.136801501714906
3.455,-0.0327097354692905,0.13614036866543
3.4725,-0.016963526778026,0.133904864642217
3.49,-0.00132271310681298,0.129857779256356
3.5075,0.013777286335687,0.123935419465978
3.525,0.027898463594434,0.116295450056114
3.5425,0.0407302047894025,0.10728109350913
3.56,0.0521735551636998,0.097313671116111
3.5775,0.0623449124694331,0.0867545359712893
3.595,0.0714956227440108,0.0757909348496399
3.6125,0.0798776559310211,0.0643923737470511
3.63,0.0876082118292814,0.052357160114196
3.6475,0.0945883181819514,0.039433101927984
3.665,0.100510659767342,0.0254658494773373
3.6825,0.104957189927361,0.0105154557714646
3.7,0.107550874438226,-0.00510779918174375
3.7175,0.108102628813461,-0.0209067545875643
3.735,0.106693934375759,-0.0363391940547204
3.7525,0.103658866260111,-0.0509850275354811
3.77,0.099468001451443,-0.0646731858841631
3.7875,0.0945560744842832,-0.077515772713621
3.805,0.0891596414482708,-0.0898317257651161
3.8225,0.0832300595705024,-0.101985559614296
3.84,0.076460083325782,-0.114201843594861
3.8575,0.0684189053915075,-0.126428629676101
3.875,0.0587470358682044,-0.138307112490328
3.8925,0.0472292791977907,-0.149220088607682
3.91,0.0342982026051696,-0.158507053784081
3.9275,0.0205659088584918,-0.165864167122842
3.945,0.00669223718873399,-0.171357314572288
3.9625,-0.00684013576559327,-0.175375880666184
3.98,-0.0198778405869598,-0.178462357087568
3.9975,-0.0326169187405965,-0.181085960619648
4.015,-0.0454839624976635,-0.183450121635416
4.0325,-0.0589262580958587,-0.185409965474797
4.05,-0.073194767778451,-0.186532219677766
4.0675,-0.0882065624743367,-0.18627353704641
4.085,-0.103541899291323,-0.184206221823446
4.1025,-0.118577836024248,-0.180201300643081
4.12,-0.132706017145551,-0.174495379933912
4.1375,-0.145548433329417,-0.167613434097969
4.155,-0.157085012033467,-0.160176726075933
4.1725,-0.167641068115555,-0.152671051354037
4.19,-0.17773775001615,-0.145267177489468
