"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
3,-0.200865784818588,-0.173604030721134
3.0175,-0.210955764690841,-0.157913815454455
3.035,-0.219520270863663,-0.14124876629363
3.0525,-0.226376947878331,-0.123865735278226
3.07,-0.231453335216912,-0.106071815740146
3.0875,-0.234792799501139,-0.0881578485955975
3.105,-0.236521821931626,-0.0703428462323804
3.1225,-0.236793371115145,-0.0527489681186005
3.14,-0.235729051672847,-0.0354138952934688
3.1575,-0.233381574164014,-0.018332958391132
3.175,-0.22972990453083,-0.0015127852656469
3.1925,-0.224706272325423,0.0149847136743208
3.21,-0.218242332385821,0.0310239492015012
3.2275,-0.210315477725211,0.0464103794865796
3.245,-0.20097456404209,0.0609201657050954
3.2625,-0.190351127129608,0.0743447970883415
3.28,-0.178634158873005,0.0865364998684899
3.2975,-0.166028909392134,0.0974219132572963
3.315,-0.152717554269758,0.106992481709069
3.3325,-0.138834507548545,0.115275767092042
3.35,-0.124463422828719,0.122300404135018
3.3675,-0.109654093710345,0.12806822039206
3.385,-0.0944504013366418,0.132542674181711
3.4025,-0.0789176453866355,0.135655550345777
3.42,-0.0631595484477683,0.137326946959612
3.4375,-0.0473205052083426,0.137489610330706
3.455,-0.0315611285142305,0.13610109847463
3.4725,-0.016093140779826,0.133164877667217
3.49,-0.00110149794058298,0.128741568798956
3.5075,0.013257995227787,0.122925379585518
3.525,0.026863963883334,0.115826606341114
3.5425,0.0396259772043025,0.10755670097183
3.56,0.0514761554031098,0.098218802461211
3.5775,0.0623595055932331,0.0879038118659893
3.595,0.0722250458157108,0.0766906531137199
3.6125,0.0810182908307211,0.0646495330886411
3.63,0.0886753187442814,0.051847965693996
3.6475,0.0951194660636415,0.038359802799284
3.665,0.100262790682942,0.0242766791369373
3.6825,0.104014499961561,0.00971928546826458
3.7,0.106296736983926,-0.00515610134832375
3.7175,0.107064735646061,-0.0201608101099643
3.735,0.106324850216759,-0.0350894370160204
3.7525,0.104142356833311,-0.0497460735766811
3.77,0.100632766905543,-0.0639737938935631
3.7875,0.0959358147833832,-0.077676485461471
3.805,0.0901786057478708,-0.0908225689239161
3.8225,0.0834406188633024,-0.103425483234296
3.84,0.075735211826912,-0.115504649448961
3.8575,0.0670181845948075,-0.127039685786301
3.875,0.0572244689753044,-0.137935917518928
3.8925,0.0462817472023907,-0.148010999857082
3.91,0.0343029899002696,-0.156998811088081
3.9275,0.0214893074987718,-0.164703132953742
3.945,0.00811565342623398,-0.171024816992888
3.9625,-0.00553491641799327,-0.175991275778784
3.98,-0.0192446407458598,-0.179741492182068
3.9975,-0.0329135626607965,-0.182468976409448
4.015,-0.0465687408003635,-0.184342326319716
4.0325,-0.0603235452053587,-0.185433646683497
4.05,-0.074300160177251,-0.185684161477566
4.0675,-0.0885443016760367,-0.18492339122201
4.085,-0.102966386364323,-0.182937669500146
4.1025,-0.117335040409548,-0.179563408620081
4.12,-0.131329346314651,-0.174768733571012
4.1375,-0.144632766028417,-0.168689302469569
4.155,-0.157033536879667,-0.161600394012533
4.1725,-0.168491264159355,-0.153832009713037
4.19,-0.17914037920685,-0.145657349582468
4.2075,-0.189224727024505,-0.137197914274021
4.225,-0.198985068342806,-0.128384717698908
4.2425,-0.208541841510942,-0.118995078942228
4.26,-0.217820350765931,-0.108755218231606
4.2775,-0.226551638849221,-0.097471609505657
4.295,-0.234354033034342,-0.0851398716550181
4.3125,-0.240868157559425,-0.0719854857651306
4.33,-0.245840273216773,-0.0584529116089981
4.3475,-0.249433313592122,-0.045017396024946
4.365,-0.251963281985088,-0.031972179897835
4.3825,-0.253826966197959,-0.0193719670065986
4.4,-0.255345111887979,-0.00703155066442639
4.4175,-0.25663415726158,0.00538163914841252
4.435,-0.257557378096271,0.0181956050328194
4.4525,-0.257776224151078,0.0315810214213418
4.47,-0.256883745097516,0.0454578014774164
4.4875,-0.254569329397963,0.0594991938239523
4.505,-0.250750463563743,0.0732341404632628
4.5225,-0.245618627613728,0.0862099531125558
4.54,-0.239578925749169,0.0981526261506978
4.5575,-0.233104408384633,0.10906136742948
4.575,-0.226560276729405,0.119198122123154
4.5925,-0.220066637962589,0.128973176835075
4.61,-0.213455316935517,0.138768990150703
4.6275,-0.206340817560619,0.148770100543304
4.645,-0.19828109698274,0.158866755428352
4.6625,-0.188967532140423,0.168673060113586
4.68,-0.178369826381143,0.177656645226979
4.6975,-0.166776722394759,0.185332724464729
4.715,-0.154712304076961,0.191448261132119
4.7325,-0.142755956464239,0.196083022920698
4.75,-0.131333122467958,0.199624177192316
4.7675,-0.120606864171794,0.202718960544503
4.785,-0.110158793917565,0.205780400693199
4.8025,-0.0995126298610615,0.208920941755253
4.82,-0.0882283667289982,0.211925248384966
4.8375,-0.0760872786333232,0.214337423108098
4.855,-0.0631892909166341,0.21563855271437
4.8725,-0.0499275044509293,0.215445661979548
4.89,-0.0368517516355065,0.213656231233505
4.9075,-0.0244749500974634,0.210484321954371
4.925,-0.013096915860922,0.206376385756685
4.9425,-0.00271254542950192,0.201840820739106
4.96,0.00696184283280271,0.197257776051292
4.9775,0.0163558292427669,0.192742401719895
4.995,0.0258582983577032,0.188113403301909
5.0125,0.0356494967973187,0.182977786028414
5.03,0.0456164621634434,0.176897879088589
5.0475,0.0553838996668186,0.169575290931315
5.065,0.0644478049785305,0.160980336238156
5.0825,0.072359465118403,0.151376923442858
5.1,0.0788881465270772,0.141233559223576
5.1175,0.0840991965162098,0.131055317559817
5.135,0.0883171751196738,0.121202299853657
5.1525,0.0919883207461384,0.1117654327518
5.17,0.0954958953010413,0.102548306449122
5.1875,0.0990005590046909,0.093162618348915
5.205,0.102368591174496,0.0832004857581934
5.2225,0.105216940362969,0.072416567931623
5.24,0.107058679890874,0.0608484559333401
5.2575,0.107492968717922,0.0488271268032138
5.275,0.106365456752498,0.036871659007743
5.2925,0.103835540682599,0.0255076415298386
5.31,0.100322300519486,0.0150792506757625
5.3275,0.0963479491810904,0.00562872929369241
5.345,0.0923381428495006,-0.00310792611070431
5.3625,0.0884566724334052,-0.0115847217281631
5.38,0.084540390092557,-0.0202516181821549
5.3975,0.0801626225721717,-0.0293569400956789
5.415,0.0748038005410398,-0.0388238462175188
5.4325,0.0680655217776521,-0.0482516686170314
5.45,0.0598454266040975,-0.05704563677656
5.4675,0.0504030196633609,-0.0646285000551681
5.485,0.0402868525244059,-0.0706541387394329
5.5025,0.0301464905138082,-0.0751398179773718
5.52,0.0204983117051708,-0.0784625128261988
5.5375,0.0115345774656497,-0.0812155989415753
5.555,0.00305169959169297,-0.0839762434595906
5.5725,-0.00546969924063868,-0.0870703235291621
5.59,-0.0146578087985886,-0.0904260052383988
5.6075,-0.0249906312758457,-0.0935764603148835
5.625,-0.0365829405134906,-0.0958171084095684
5.6425,-0.0491486256373649,-0.0963637829638052
5.66,-0.0618200026782872,-0.094898052804015
