"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,0.05188132062,0.06248449007
1.01,0.05697050713,0.05859863939
1.02,0.06176566586,0.05432525503
1.03,0.0662387668,0.04968263693
1.04,0.07036223536,0.04469110553
1.05,0.07410911102,0.03937312847
1.06,0.07745324127,0.03375343159
1.07,0.08036950846,0.02785908751
1.08,0.0828340865,0.02171957563
1.09,0.08482472293,0.01536680782
1.1,0.08632104132,0.008835114888
1.11,0.08730485782,0.002161189639
1.12,0.08776050524,-0.004616016661
1.13,0.08767515731,-0.0114554465
1.14,0.08703914581,-0.01831413794
1.15,0.08584626238,-0.0251474758
1.16,0.0840940379,-0.03190949085
1.17,0.08178399136,-0.03855320433
1.18,0.07892184141,-0.04503101387
1.19,0.07551767405,-0.0512951162
1.2,0.07158606052,-0.05729796043
1.21,0.06714612065,-0.06299272547
1.22,0.06222152757,-0.06833381381
1.23,0.05684045122,-0.07327735381
1.24,0.05103543884,-0.07778170194
1.25,0.04484323225,-0.08180793624
1.26,0.03830452288,-0.08532033242
1.27,0.03146364657,-0.08828681392
1.28,0.02436822169,-0.09067936811
1.29,0.01706873525,-0.09247442017
1.3,0.009618082402,-0.09365315875
1.31,0.002071066191,-0.09420180667
1.32,-0.005516135204,-0.09411183167
1.33,-0.01308652552,-0.09338009338
1.34,-0.02058286345,-0.09200892369
1.35,-0.02794824222,-0.09000613862
1.36,-0.03512666763,-0.08738498207
1.37,-0.04206362484,-0.08416400169
1.38,-0.04870662561,-0.0803668596
1.39,-0.05500572788,-0.07602208112
1.4,-0.06091401986,-0.071162746
1.41,-0.0663880619,-0.06582612771
1.42,-0.07138828035,-0.06005328701
1.43,-0.07587930811,-0.05388862689
1.44,-0.07983026831,-0.04737941643
1.45,-0.0832149982,-0.04057529152
1.46,-0.08601221187,-0.0335277406
1.47,-0.08820560118,-0.0262895836
1.48,-0.08978387588,-0.01891445205
1.49,-0.09074074471,-0.01145627811
1.5,-0.09107484029,-0.003968799611
1.51,-0.09078959178,0.003494912061
1.52,-0.08989304981,0.01088289568
1.53,-0.08839766901,0.01814471026
1.54,-0.08632005408,0.02523180746
1.55,-0.08368067546,0.03209786328
1.56,-0.08050356119,0.03869906683
1.57,-0.07681597135,0.04499436507
1.58,-0.07264806157,0.05094566348
