"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,0.0734476641,0.05326707243
1.01,0.07773674751,0.04670290047
1.02,0.08144237342,0.03983419603
1.03,0.08454552196,0.03271283292
1.04,0.08703188271,0.02539152823
1.05,0.08889182116,0.01792339288
1.06,0.09012029844,0.01036150278
1.07,0.0907167499,0.002758496025
1.08,0.09068492799,-0.004833799837
1.09,0.09003271598,-0.01236470725
1.1,0.08877191909,-0.01978500334
1.11,0.08691803922,-0.02704718937
1.12,0.0844900395,-0.03410572573
1.13,0.08151010407,-0.04091723442
1.14,0.07800339772,-0.04744067181
1.15,0.07399782924,-0.05363747506
1.16,0.06952382122,-0.05947168644
1.17,0.06461408765,-0.06491005941
1.18,0.0593034202,-0.06992215095
1.19,0.05362848233,-0.07448040372
1.2,0.04762760996,-0.07856022166
1.21,0.0413406163,-0.08214004152
1.22,0.03480859821,-0.08520140225
1.23,0.02807374078,-0.08772901296
1.24,0.021179117,-0.08971081937
1.25,0.01416847929,-0.09113806748
1.26,0.007086040372,-0.09200536235
1.27,-2.375873916E-05,-0.092310719
1.28,-0.007116494805,-0.09205560188
1.29,-0.0141480228,-0.09124494863
1.3,-0.0210747499,-0.08988717409
1.31,-0.0278539212,-0.08799415018
1.32,-0.03444391412,-0.08558115772
1.33,-0.04080453766,-0.08266680689
1.34,-0.04689733139,-0.07927292376
1.35,-0.05268585904,-0.07542440132
1.36,-0.05813599036,-0.07114901457
1.37,-0.06321616532,-0.06647720054
1.38,-0.06789763444,-0.06144180543
1.39,-0.07215466969,-0.05607780204
1.4,-0.07596474075,-0.05042198225
1.41,-0.07930865265,-0.04451263001
1.42,-0.08217064167,-0.03838918117
1.43,-0.08453842768,-0.03209187718
1.44,-0.08640322268,-0.02566141981
1.45,-0.08775969652,-0.01913863413
1.46,-0.08860590228,-0.01256414669
1.47,-0.08894316506,-0.005978085044
1.48,-0.08877593922,0.0005801958511
1.49,-0.08811163988,0.007072356134
1.5,-0.08696045544,0.0134612795
1.51,-0.08533514801,0.01971124606
1.52,-0.08325084903,0.02578806953
1.53,-0.08072485703,0.03165920024
1.54,-0.07777644374,0.03729379681
1.55,-0.07442667443,0.04266277066
1.56,-0.07069824673,0.04773880841
1.57,-0.06661535137,0.05249637848
1.58,-0.0622035564,0.05691172815
1.59,-0.05748971544,0.06096287797
1.6,-0.05250189816,0.06462962057
1.61,-0.04726934102,0.06789352883
1.62,-0.04182241328,0.07073798043
1.63,-0.03619259345,0.07314820203
1.64,-0.0304124498,0.07511133654
1.65,-0.0245156179,0.07661653503
1.66,-0.01853676803,0.07765507333
1.67,-0.01251155553,0.07822049145
1.68,-0.006476546344,0.07830875302
1.69,-0.0004691127191,0.0779184194
1.7,0.005472706883,0.07705083263
1.71,0.01131038716,0.07571029985
1.72,0.01700513703,0.07390427094
1.73,0.0225181631,0.0716435007
1.74,0.02781097415,0.0689421866
1.75,0.03284572403,0.06581807343
1.76,0.03758558795,0.06229251647
1.77,0.04199516598,0.05839049592
1.78,0.0460409059,0.05414057644
1.79,0.04969153647,0.04957480686
1.8,0.05291850114,0.04472855737
1.81,0.05569638174,0.0396402926
1.82,0.0580033016,0.03435128154
1.83,0.05982129742,0.02890524681
1.84,0.06113664998,0.02334795781
1.85,0.06194016462,0.01772677387
1.86,0.06222739347,0.01209014526
1.87,0.06199879285,0.006487081025
1.88,0.06125981115,0.000966593682
1.89,0.06002090393,-0.004422868568
1.9,0.05829747498,-0.009633991033
1.91,0.05610974412,-0.01462115221
1.92,0.05348254398,-0.0193409633
1.93,0.05044504993,-0.02375277763
1.94,0.04703044877,-0.02781916096
1.95,0.04327555292,-0.03150631491
1.96,0.03922036805,-0.03478444698
1.97,0.03490762274,-0.03762808222
1.98,0.03038226901,-0.04001631319
1.99,0.02569096305,-0.0419329861
2,0.02088153495,-0.04336682298
2.01,0.01600245613,-0.04431148046
2.02,0.01110231235,-0.04476554768
2.03,0.006229289561,-0.04473248615
2.04,0.001430678773,-0.0442205158
2.05,-0.003247594609,-0.0432424516
2.06,-0.00776141285,-0.04181549583
2.07,-0.01206887594,-0.039960991
2.08,-0.01613067729,-0.03770413854
2.09,-0.01991044342,-0.03507368814
2.1,-0.02337503682,-0.03210160225
2.11,-0.02649482156,-0.0288227
2.12,-0.02924389163,-0.02527428412
2.13,-0.03160026237,-0.02149575423
2.14,-0.03354602515,-0.01752820928
2.15,-0.03506746574,-0.0134140416
2.16,-0.03615514644,-0.009196524865
2.17,-0.03680395201,-0.004919397963
2.18,-0.03701309914,-0.0006264468445
2.19,-0.036786109,0.00363891347
2.2,-0.03613074233,0.007834054405
2.21,-0.03505889636,0.01191754418
2.22,-0.03358646297,0.0158495499
2.23,-0.03173314751,0.01959222801
2.24,-0.02952224824,0.023110099
2.25,-0.02698039651,0.02637040223
2.26,-0.02413725854,0.029343426
2.27,-0.02102520046,0.03200280816
2.28,-0.01767891866,0.03432580189
2.29,-0.01413503894,0.03629350205
2.3,-0.0104316884,0.03789102706
2.31,-0.006608045076,0.03910765203
2.32,-0.002703871264,0.03993688959
2.33,0.001240962931,0.04037651501
2.34,0.005186958512,0.04042853426
2.35,0.009095461269,0.04009909364
2.36,0.01292912222,0.03939833148
2.37,0.01665233677,0.03834017353
2.38,0.02023165468,0.03694207484
2.39,0.0236361534,0.03522471239
2.4,0.02683776805,0.03321163378
2.41,0.02981157186,0.03092886846
2.42,0.03253600249,0.02840450883
2.43,0.0349930303,0.02566826937
2.44,0.03716826632,0.02275103241
2.45,0.03905100908,0.01968438938
2.46,0.04063423058,0.01650018652
2.47,0.0419145036,0.01323008359
2.48,0.04289187339,0.009905133855
2.49,0.04356967836,0.006555392718
2.5,0.04395432531,0.00320956155
2.51,0.0440550256,-0.0001053278004
2.52,0.04388349953,-0.003364183596
2.53,0.04345365623,-0.006544076916
2.54,0.04278125709,-0.009624414821
2.55,0.04188357023,-0.01258706362
2.56,0.04077902348,-0.01541642309
2.57,0.03948686283,-0.01809945372
2.58,0.03802682268,-0.02062565993
2.59,0.03641881327,-0.02298703307
2.6,0.03468262993,-0.02517795885
2.61,0.03283768775,-0.02719509392
2.62,0.03090278418,-0.02903721692
2.63,0.02889589134,-0.03070505922
2.64,0.02683397852,-0.03220112033
2.65,0.02473286498,-0.03352947293
2.66,0.0226071019,-0.03469556181
2.67,0.02046988237,-0.03570600059
2.68,0.01833297724,-0.03656836945
2.69,0.0162066949,-0.03729101663
2.7,0.0140998627,-0.0378828655
2.71,0.01201982758,-0.03835322888
2.72,0.00997247406,-0.03871163134
2.73,0.007962257519,-0.0389676402
2.74,0.005992251218,-0.03913070517
2.75,0.004064205894,-0.03921000685
2.76,0.002178620989,-0.03921431393
2.77,0.0003348269956,-0.03915184893
2.78,-0.001468921368,-0.03903016283
2.79,-0.003235341182,-0.03885601858
2.8,-0.004968006507,-0.03863528439
2.81,-0.006671222633,-0.03837283747
2.82,-0.008349889422,-0.03807247961
2.83,-0.01000935397,-0.03773686605
2.84,-0.01165525311,-0.03736744949
2.85,-0.01329334672,-0.03696444107
2.86,-0.01492934316,-0.03652679054
2.87,-0.0165687188,-0.0360521874
2.88,-0.01821653397,-0.03553708495
2.89,-0.01987724828,-0.03497674878
2.9,-0.02155453865,-0.03436533069
2.91,-0.02325112371,-0.0336959688
2.92,-0.02496859866,-0.03296091359
2.93,-0.02670728465,-0.03215167933
2.94,-0.02846609691,-0.03125921927
2.95,-0.03024243552,-0.03027412234
2.96,-0.0320321026,-0.02918682852
2.97,-0.03382924934,-0.02798785892
2.98,-0.03562635519,-0.02666805659
2.99,-0.03741424164,-0.02521883292
3,-0.03918212146,-0.02363241468
3.01,-0.04091768389,-0.02190208616
3.02,-0.04260721513,-0.02002242095
3.03,-0.04423575268,-0.01798949801
3.04,-0.04578727107,-0.01580109683
3.05,-0.04724489586,-0.01345686707
3.06,-0.04859114188,-0.0109584686
3.07,-0.0498081712,-0.008309678332
3.08,-0.05087806565,-0.005516461487
3.09,-0.05178310863,-0.002587005286
3.1,-0.05250607055,0.0004682856452
3.11,-0.05303049231,0.003636832179
3.12,-0.05334096144,0.006903960967
3.13,-0.05342337566,0.01025302035
3.14,-0.05326518929,0.0136655294
3.15,-0.05285563821,0.01712135702
3.16,-0.0521859399,0.02059892737
3.17,-0.05124946575,0.02407544774
3.18,-0.05004188331,0.02752715439
3.19,-0.04856126738,0.03092957231
3.2,-0.04680817892,0.03425778413
3.21,-0.04478571187,0.03748670439
3.22,-0.04249950832,0.0405913549
3.23,-0.03995774304,0.04354713761
3.24,-0.03717107869,0.0463301018
3.25,-0.03415259352,0.04891720256
3.26,-0.03091768323,0.05128654815
3.27,-0.02748393916,0.0534176342
