"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,0.1003990246,0.09521560245
1.01,0.10776102,0.08695731287
1.02,0.1144474965,0.07814858929
1.03,0.1204178154,0.06884375258
1.04,0.1256355921,0.05910013707
1.05,0.1300689274,0.04897777145
1.06,0.1336906172,0.0385390396
1.07,0.1364783365,0.02784832301
1.08,0.1384147976,0.01697162661
1.09,0.1394878795,0.005976190197
1.1,0.1396907272,-0.005069912608
1.11,0.1390218196,-0.01609818469
1.12,0.1374850051,-0.02704012281
1.13,0.1350895033,-0.03782763926
1.14,0.1318498742,-0.04839348456
1.15,0.1277859518,-0.05867166878
1.16,0.1229227456,-0.06859787826
1.17,0.1172903073,-0.07810988514
1.18,0.1109235653,-0.08714794688
1.19,0.1038621271,-0.09565519306
1.2,0.09615005048,-0.1035779971
1.21,0.08783558514,-0.1108663301
1.22,0.07897088546,-0.1174740954
1.23,0.06961169661,-0.12335944
1.24,0.05981701505,-0.1284850429
1.25,0.04964872538,-0.1328183761
1.26,0.03917121516,-0.1363319385
1.27,0.02845096996,-0.1390034591
1.28,0.01755615038,-0.1408160686
1.29,0.006556153572,-0.1417584375
1.3,-0.004478838605,-0.1418248791
1.31,-0.01547832184,-0.1410154161
1.32,-0.02637193961,-0.1393358085
1.33,-0.03708995796,-0.1367975427
1.34,-0.04756374178,-0.1334177801
1.35,-0.05772622893,-0.1292192651
1.36,-0.06751239852,-0.1242301905
1.37,-0.07685972939,-0.1184840224
1.38,-0.08570864471,-0.1120192833
1.39,-0.09400293846,-0.1048792948
1.4,-0.1016901796,-0.09711188134
1.41,-0.1087220901,-0.08876903636
1.42,-0.1150548916,-0.079906554
1.43,-0.120649619,-0.07058362864
1.44,-0.125472395,-0.06086242604
1.45,-0.1294946641,-0.0508076302
1.46,-0.1326933836,-0.04048597011
1.47,-0.1350511674,-0.02996573145
1.48,-0.1365563848,-0.01931625813
1.49,-0.1372032094,-0.008607449175
1.5,-0.1369916215,0.002090743832
1.51,-0.1359273634,0.01270881341
1.52,-0.1340218483,0.02317818177
1.53,-0.1312920268,0.03343167048
1.54,-0.1277602127,0.04340394993
1.55,-0.1234538708,0.05303196455
1.56,-0.118405373,0.06225533073
1.57,-0.112651724,0.07101670466
1.58,-0.1062342626,0.07926211856
1.59,-0.09919834358,0.08694128406
1.6,-0.09159300252,0.09400786253
1.61,-0.08347060929,0.1004197027
1.62,-0.07488651327,0.1061390464
1.63,-0.0658986836,0.1111327048
1.64,-0.05656734685,0.1153722056
1.65,-0.04695462468,0.1188339143
1.66,-0.03712417209,0.121499132
1.67,-0.02714081759,0.1233541714
1.68,-0.01707020494,0.1243904121
1.69,-0.006978436363,0.1246043393
1.7,0.003068283702,0.1239975641
1.71,0.01300400547,0.122576828
1.72,0.02276339238,0.1203539905
