"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,0.09387647252,0.08972124917
1.01,0.101161739,0.08177424397
1.02,0.1077686163,0.07324476675
1.03,0.1136494386,0.06419123329
1.04,0.1187616807,0.05467617469
1.05,0.1230683392,0.04476576309
1.06,0.1265382673,0.03452930136
1.07,0.1291464587,0.02403867962
1.08,0.1308742774,0.01336780471
1.09,0.1317096307,0.002592008285
1.1,0.1316470836,-0.008212559939
1.11,0.1306879138,-0.01896954799
1.12,0.1288401071,-0.02960302018
1.13,0.1261182924,-0.04003807235
1.14,0.1225436181,-0.05020143786
1.15,0.1181435717,-0.06002207873
1.16,0.1129517423,-0.06943175622
1.17,0.1070075317,-0.07836557587
1.18,0.1003558139,-0.08676250196
1.19,0.09304654822,-0.0945658367
1.2,0.08513434818,-0.1017236599
1.21,0.07667801167,-0.1081892254
1.22,0.0677400152,-0.1139213096
1.23,0.05838597773,-0.1188845107
1.24,0.04868409888,-0.1230494934
1.25,0.03870457641,-0.1263931782
1.26,0.02851900914,-0.1288988737
1.27,0.01819979047,-0.1305563478
1.28,0.007819499039,-0.1313618401
1.29,-0.002549707425,-0.1313180128
1.3,-0.01283668862,-0.1304338416
1.31,-0.02297190203,-0.1287244467
1.32,-0.0328879607,-0.1262108673
1.33,-0.04252016206,-0.12291978
1.34,-0.05180698162,-0.1188831666
1.35,-0.06069052585,-0.1141379341
1.36,-0.06911693878,-0.1087254924
1.37,-0.07703675777,-0.1026912956
1.38,-0.08440521447,-0.09608435328
1.39,-0.09118247759,-0.08895671802
1.4,-0.09733383577,-0.08136295792
1.41,-0.1028298189,-0.07335962058
1.42,-0.1076462586,-0.06500469715
1.43,-0.1117642875,-0.05635709417
1.44,-0.1151702821,-0.04747612062
1.45,-0.1178557497,-0.03842099772
1.46,-0.1198171658,-0.02925039801
1.47,-0.1210557664,-0.02002201956
1.48,-0.1215773024,-0.01079220049
1.49,-0.1213917612,-0.001615577525
1.5,-0.1205130646,0.007455208398
1.51,-0.1189587502,0.01636975801
1.52,-0.1167496429,0.02508011081
1.53,-0.113909526,0.03354089396
1.54,-0.1104648174,0.04170942604
1.55,-0.1064442588,0.04954577789
1.56,-0.1018786235,0.05701279566
1.57,-0.09680044664,0.06407609117
1.58,-0.09124378469,0.07070400538
1.59,-0.0852440035,0.07686755181
1.6,-0.0788375991,0.08254034631
1.61,-0.07206205026,0.08769853044
1.62,-0.06495570203,0.09232069496
1.63,-0.05755767822,0.09638780989
1.64,-0.04990781922,0.0998831668
1.65,-0.04204664095,0.1027923385
1.66,-0.03401530971,0.10510316
1.67,-0.02585562698,0.1068057336
1.68,-0.01761001792,0.1078924603
1.69,-0.00932151701,0.1083580978
1.7,-0.001033744124,0.1081998437
1.71,0.007209135072,0.1074174433
1.72,0.01536247054,0.1060133175
1.73,0.02338121625,0.1039927071
1.74,0.03122004996,0.1013638281
1.75,0.03883352788,0.09813803243
1.76,0.04617627647,0.0943299659
1.77,0.05320322259,0.08995771838
1.78,0.0598698617,0.08504295712
1.79,0.06613256273,0.07961103685
1.8,0.07194890696,0.07369107917
1.81,0.07727805676,0.06731601476
1.82,0.0820811494,0.06052258249
1.83,0.08632170955,0.05335128
1.84,0.08996607377,0.04584626182
1.85,0.09298381922,0.03805518182
1.86,0.09534818849,0.03002897818
1.87,0.09703650212,0.02182160022
1.88,0.0980305502,0.01348967783
1.89,0.09831695474,0.005092135504
1.9,0.09788749448,-0.003310245826
1.91,0.09673938474,-0.01165531453
1.92,0.0948755052,-0.01988007617
1.93,0.09230456936,-0.02792125685
1.94,0.08904123083,-0.03571589468
1.95,0.08510612214,-0.04320195114
1.96,0.08052582312,-0.05031893378
1.97,0.07533275728,-0.05700852113
1.98,0.06956501561,-0.06321518084
1.99,0.06326610862,-0.06888677168
2,0.05648464865,-0.07397512058
2.01,0.04927396551,-0.07843656598
2.02,0.04169165994,-0.08223245946
2.03,0.03379909984,-0.0853296181
2.04,0.0256608658,-0.08770072095
2.05,0.0173441526,-0.08932464362
2.06,0.008918134409,-0.09018672625
2.07,0.0004533018635,-0.09027897089
2.08,-0.007979220701,-0.08960016549
2.09,-0.01630836885,-0.08815593251
2.1,-0.02446383402,-0.08595870221
2.11,-0.0323767528,-0.08302760995
2.12,-0.03998038104,-0.07938831978
2.13,-0.04721074451,-0.0750727764
2.14,-0.05400725819,-0.07011888894
2.15,-0.06031330673,-0.06457015081
2.16,-0.06607677944,-0.05847520065
2.17,-0.07125055348,-0.05188733022
2.18,-0.07579292014,-0.04486394559
2.19,-0.07966794943,-0.03746598852
2.2,-0.08284578945,-0.02975732552
2.21,-0.08530289768,-0.02180411207
2.22,-0.08702220227,-0.01367414018
2.23,-0.08799319254,-0.005436177016
2.24,-0.08821193853,0.00284069716
2.25,-0.08768104054,0.01108774393
2.26,-0.08640951067,0.01923720682
2.27,-0.08441258878,0.02722292915
2.28,-0.0817114967,0.03498094267
2.29,-0.0783331347,0.04245002056
2.3,-0.07430972554,0.04957218881
2.31,-0.06967841148,0.056293191
2.32,-0.06448081058,0.06256290185
2.33,-0.05876253883,0.0683356861
2.34,-0.05257270518,0.07357069986
2.35,-0.04596338646,0.0782321327
2.36,-0.03898908962,0.08228938952
2.37,-0.03170620841,0.08571721221
2.38,-0.02417248177,0.08849574211
2.39,-0.01644646045,0.090610525
2.4,-0.008586988639,0.0920524614
2.41,-0.0006527062149,0.09281770551
2.42,0.007298422884,0.09290751701
2.43,0.01520955161,0.09232807039
2.44,0.0230253563,0.09109022704
