"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,0.392587911,-0.3017846757
1.01,0.3804191467,-0.3273418599
1.02,0.3659785156,-0.3519617248
1.03,0.3493700845,-0.3753935846
1.04,0.330730227,-0.3973931105
1.05,0.3102298509,-0.4177270213
1.06,0.2880758565,-0.4361791268
1.07,0.2645113068,-0.4525575706
1.08,0.2398138354,-0.4667029451
1.09,0.2142919101,-0.4784967968
1.1,0.1882787116,-0.4878699082
1.11,0.1621235691,-0.4948096595
1.12,0.1361811006,-0.4993657403
1.13,0.1107984205,-0.5016535119
1.14,0.08630098796,-0.5018544119
1.15,0.06297784752,-0.5002129505
1.16,0.04106715306,-0.4970300487
1.17,0.02074294219,-0.492652716
1.18,0.002104138637,-0.4874603328
1.19,-0.01483330744,-0.4818480699
1.2,-0.0301403727,-0.4762082252
1.21,-0.04397444932,-0.4709104689
1.22,-0.05657407769,-0.4662821333
1.23,-0.06824893594,-0.4625897567
1.24,-0.07936542181,-0.4600230801
1.25,-0.09032847448,-0.4586825916
1.26,-0.1015605658,-0.4585715322
1.27,-0.1134790148,-0.4595930158
1.28,-0.1264729301,-0.4615526039
1.29,-0.1408811438,-0.4641663272
1.3,-0.156972468,-0.4670737923
1.31,-0.1749294716,-0.4698556799
1.32,-0.1948367648,-0.4720546497
1.33,-0.2166744882,-0.4731984523
1.34,-0.2403173761,-0.4728239104
1.35,-0.2655394101,-0.4705003978
1.36,-0.2920237332,-0.465851493
1.37,-0.3193771812,-0.4585736352
1.38,-0.3471485359,-0.4484508237
1.39,-0.3748494122,-0.4353646692
1.4,-0.4019765959,-0.4192994111
1.41,-0.4280346223,-0.4003418094
1.42,-0.452557445,-0.3786761113
1.43,-0.4751281627,-0.3545745367
1.44,-0.4953959426,-0.3283839213
1.45,-0.5130894728,-0.300509299
1.46,-0.5280264864,-0.2713952817
1.47,-0.5401190998,-0.2415061258
1.48,-0.5493748903,-0.2113053569
1.49,-0.5558937965,-0.1812357811
1.5,-0.5598610532,-0.1517006457
1.51,-0.5615364769,-0.1230466425
1.52,-0.5612405014,-0.09554937481
1.53,-0.5593374414,-0.06940184702
1.54,-0.5562165283,-0.04470647185
1.55,-0.5522713486,-0.02147103013
1.56,-0.5478783979,0.000391054349
1.57,-0.543375564,0.02105585454
1.58,-0.5390414539,0.04077934732
1.59,-0.5350765738,0.05988310541
1.6,-0.5315874386,0.07873549982
1.61,-0.5285747199,0.09772889208
1.62,-0.5259265013,0.117253583
1.63,-0.5234175978,0.1376695904
1.64,-0.5207156863,0.1592776297
1.65,-0.5173946857,0.1822909319
1.66,-0.5129554252,0.2068097312
