"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,0.2232975093,-0.2583092203
1.01,0.2199211945,-0.2669495733
1.02,0.2163789076,-0.2764064041
1.03,0.2124368608,-0.2867243272
1.04,0.2078553411,-0.2978839987
1.05,0.2024089883,-0.3098067731
1.06,0.1959021343,-0.3223665025
1.07,0.1881766921,-0.3354051004
1.08,0.1791120799,-0.3487477268
1.09,0.1686187808,-0.3622137764
1.1,0.1566288419,-0.3756211726
1.11,0.1430874482,-0.3887834885
1.12,0.1279494393,-0.4015016078
1.13,0.1111833009,-0.4135534505
1.14,0.09278306728,-0.4246862397
1.15,0.07278622176,-0.4346155898
1.16,0.05129365745,-0.4430343663
1.17,0.02848658784,-0.449632063
1.18,0.004635299991,-0.4541228817
1.19,-0.01990412239,-0.4562783683
1.2,-0.04470675242,-0.4559589347
1.21,-0.06930835891,-0.4531382466
1.22,-0.09324380008,-0.4479154207
1.23,-0.116088598,-0.4405120428
1.24,-0.1374972122,-0.4312537708
1.25,-0.1572320432,-0.4205391033
1.26,-0.1751789139,-0.4088001759
1.27,-0.1913472988,-0.3964617019
1.28,-0.2058563449,-0.3839041591
1.29,-0.2189101288,-0.3714360891
1.3,-0.2307671271,-0.3592782569
1.31,-0.2417092447,-0.3475599209
1.32,-0.252014954,-0.3363251943
1.33,-0.2619394032,-0.325545925
1.34,-0.271702244,-0.3151370056
1.35,-0.2814819454,-0.3049705838
1.36,-0.2914140044,-0.2948870499
1.37,-0.3015900507,-0.2847024884
1.38,-0.312055422,-0.2742139834
1.39,-0.3228041561,-0.2632052618
1.4,-0.3337720878,-0.2514553485
1.41,-0.3448303234,-0.2387521206
1.42,-0.3557823343,-0.2249110917
1.43,-0.3663679171,-0.2097978536
1.44,-0.3762762718,-0.1933508702
1.45,-0.3851686236,-0.1756002682
1.46,-0.3927086122,-0.1566782257
1.47,-0.3985966215,-0.1368176279
1.48,-0.4026028551,-0.1163376415
1.49,-0.4045936698,-0.09561733214
1.5,-0.4045465748,-0.0750608515
1.51,-0.4025512404,-0.05505948261
1.52,-0.39879643,-0.0359565338
1.53,-0.3935453925,-0.01802052235
1.54,-0.3871043539,-0.001430401618
1.55,-0.3797898374,0.01372586673
1.56,-0.3719003928,0.02744075198
1.57,-0.363696972,0.03976822287
1.58,-0.3553939843,0.05080141645
1.59,-0.3471605386,0.0606520372
1.6,-0.3391291213,0.0694355784
1.61,-0.3314075163,0.07726451114
1.62,-0.324089456,0.08424923354
1.63,-0.3172603541,0.09050440985
1.64,-0.3109962541,0.09615689379
1.65,-0.3053563727,0.1013510773
1.66,-0.3003717205,0.10624831
1.67,-0.2960337129,0.1110187836
1.68,-0.2922870587,0.1158265209
1.69,-0.2890304214,0.1208102658
1.7,-0.2861265745,0.1260645964
1.71,-0.2834214376,0.1316260538
1.72,-0.2807690699,0.1374683679
1.73,-0.2780579608,0.1435090964
1.74,-0.2752332629,0.1496275811
1.75,-0.2723101157,0.155691638
1.76,-0.2693748452,0.1615883996
1.77,-0.2665731961,0.1672537198
1.78,-0.2640873375,0.1726947372
1.79,-0.2621055732,0.1780015518
1.8,-0.2607899937,0.1833461505
1.81,-0.2602474561,0.1889692206
1.82,-0.2605082706,0.195157716
1.83,-0.2615150955,0.2022174929
1.84,-0.2631222835,0.210445712
1.85,-0.2651038493,0.2201069723
1.86,-0.267166833,0.2314155656
1.87,-0.2689664446,0.2445242623
1.88,-0.2701200169,0.2595182188
1.89,-0.2702182541,0.2764114232
1.9,-0.2688340853,0.2951428826
1.91,-0.2655310777,0.3155705621
1.92,-0.2598743402,0.3374626759
1.93,-0.2514468177,0.3604878709
1.94,-0.2398727938,0.3842075681
1.95,-0.2248484874,0.4080747215
1.96,-0.2061773238,0.4314431577
1.97,-0.1838053479,0.4535903934
1.98,-0.1578509004,0.4737545846
1.99,-0.1286224975,0.4911835099
2,-0.09661998462,0.5051908325
2.01,-0.06251630768,0.5152129264
2.02,-0.02712023568,0.5208587724
2.03,0.008676542211,0.5219460258
2.04,0.04396196286,0.5185182571
2.05,0.07786830186,0.5108411741
2.06,0.1096314296,0.499378781
2.07,0.1386381832,0.4847532812
