"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,0.2813755258,-0.2780733475
1.01,0.2705766749,-0.296221113
1.02,0.2577437501,-0.313520682
1.03,0.2430381633,-0.3296041155
1.04,0.2267076136,-0.3441595342
1.05,0.2090610447,-0.3569523335
1.06,0.1904390691,-0.3678347029
1.07,0.1711854417,-0.376743144
1.08,0.1516241957,-0.3836863746
1.09,0.1320454429,-0.3887272464
1.1,0.112701178,-0.3919633312
1.11,0.09381000993,-0.3935109484
1.12,0.07556770756,-0.3934963119
1.13,0.05815892269,-0.3920555364
1.14,0.04176539833,-0.3893425609
1.15,0.02656715599,-0.3855423363
1.16,0.01273427338,-0.3808852931
1.17,0.0004089877047,-0.375657919
1.18,-0.01031949281,-0.3702045442
1.19,-0.01944280446,-0.364916882
1.2,-0.02705789321,-0.3602105744
1.21,-0.03338261952,-0.3564906166
1.22,-0.03875784564,-0.3541094101
1.23,-0.0436328646,-0.3533233542
1.24,-0.04853397012,-0.3542551634
1.25,-0.05401921539,-0.3568687257
1.26,-0.06062516099,-0.3609613565
1.27,-0.06881257052,-0.3661755226
1.28,-0.0789184447,-0.3720297581
1.29,-0.09112173403,-0.3779653173
1.3,-0.1054278274,-0.3834020715
1.31,-0.1216738615,-0.3877959135
1.32,-0.139553757,-0.3906896385
1.33,-0.1586586468,-0.3917505385
1.34,-0.1785263512,-0.390790358
1.35,-0.1986923956,-0.3877659978
1.36,-0.2187352122,-0.3827626451
1.37,-0.238309757,-0.3759635669
1.38,-0.257165933,-0.3676126639
1.39,-0.2751513257,-0.3579766894
1.4,-0.2922005978,-0.347313077
1.41,-0.3083158749,-0.3358476996
1.42,-0.3235438558,-0.3237644052
1.43,-0.3379552092,-0.3112053094
1.44,-0.351630557,-0.2982785496
1.45,-0.3646550592,-0.2850685782
1.46,-0.3771208107,-0.2716441003
1.47,-0.3891342707,-0.2580598993
1.48,-0.4008243612,-0.244350432
1.49,-0.4123461468,-0.2305155769
1.5,-0.4238755777,-0.2165015405
1.51,-0.4355927279,-0.2021822615
1.52,-0.4476541354,-0.1873473731
1.53,-0.4601573423,-0.1717018943
1.54,-0.4731029558,-0.1548816947
1.55,-0.4863617924,-0.1364860794
1.56,-0.499654892,-0.1161249191
1.57,-0.5125524991,-0.09347434533
1.58,-0.5244949807,-0.06833273274
1.59,-0.5348351129,-0.0406682358
1.6,-0.5428980323,-0.0106495057
1.61,-0.5480514148,0.02134728127
1.62,-0.5497757011,0.05475809668
1.63,-0.5477237845,0.08887594739
1.64,-0.5417609318,0.1229153
1.65,-0.5319787133,0.1560871664
1.66,-0.5186804163,0.1876741527
1.67,-0.5023399749,0.2170941052
1.68,-0.4835413089,0.2439428736
1.69,-0.4629080008,0.2680105685
1.7,-0.4410345568,0.289270035
1.71,-0.4184300266,0.3078409405
1.72,-0.3954824085,0.3239368612
1.73,-0.3724485409,0.3378056394
1.74,-0.349469289,0.349674244
1.75,-0.3266052865,0.3597080469
1.76,-0.3038847523,0.3679916282
1.77,-0.2813525899,0.3745336591
1.78,-0.2591103468,0.3792935119
1.79,-0.2373385645,0.382223306
1.8,-0.2162965007,0.3833159024
1.81,-0.1962989171,0.3826481793
1.82,-0.1776741767,0.3804097752
1.83,-0.1607119363,0.3769102406
1.84,-0.1456108486,0.3725619733
1.85,-0.1324368279,0.3678407143
1.86,-0.1211011753,0.3632298847
1.87,-0.1113641653,0.3591588676
1.88,-0.1028647279,0.355946767
1.89,-0.0951718547,0.3537624807
1.9,-0.0878491172,0.352609018
1.91,-0.08052126493,0.3523358972
1.92,-0.0729306992,0.3526787541
1.93,-0.06497273557,0.3533196574
1.94,-0.05670269052,0.3539573419
1.95,-0.04831300926,0.3543748694
1.96,-0.04008375913,0.3544926396
1.97,-0.03231427689,0.3543967662
1.98,-0.02524762583,0.3543364346
1.99,-0.01900169262,0.354689639
2,-0.01351941085,0.3559028377
2.01,-0.008547054209,0.3584143779
2.02,-0.003644941084,0.3625742367
2.03,0.001770425996,0.36857335
