"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,0.2370910918,-0.2964965623
1.01,0.2288295126,-0.3048636209
1.02,0.2208685622,-0.3133657342
1.03,0.2130665345,-0.3222128871
1.04,0.2052255098,-0.3315643319
1.05,0.1971081263,-0.3415171812
1.06,0.1884554242,-0.3521003842
1.07,0.1790041468,-0.3632733832
1.08,0.1685025543,-0.3749283497
1.09,0.1567245067,-0.386894914
1.1,0.1434820896,-0.3989466631
1.11,0.1286372451,-0.4108092342
1.12,0.1121126743,-0.4221703669
1.13,0.09390177861,-0.4326925894
1.14,0.07407675298,-0.4420291638
1.15,0.05279336759,-0.4498434511
1.16,0.03029068356,-0.4558310679
1.17,0.006884105167,-0.4597432651
1.18,-0.01704918456,-0.4614091139
1.19,-0.04109230008,-0.4607535741
1.2,-0.06481686161,-0.4578085308
1.21,-0.08781472831,-0.4527144886
1.22,-0.1097297465,-0.445711745
1.23,-0.1302856479,-0.4371213334
1.24,-0.1493065363,-0.4273175638
1.25,-0.1667273391,-0.4166952844
1.26,-0.1825930061,-0.4056357848
1.27,-0.1970468525,-0.3944754027
1.28,-0.2103099488,-0.3834803585
1.29,-0.2226545857,-0.3728302474
1.3,-0.2343753861,-0.3626111986
1.31,-0.2457615286,-0.3528182643
1.32,-0.2570728815,-0.3433653959
1.33,-0.2685217846,-0.3341006311
1.34,-0.2802610543,-0.3248239295
1.35,-0.2923777527,-0.3153054248
1.36,-0.3048915908,-0.3053025592
1.37,-0.3177566106,-0.2945753881
1.38,-0.3308649917,-0.282900075
1.39,-0.3440523335,-0.2700810306
1.4,-0.3571043558,-0.2559622065
1.41,-0.3697654346,-0.2404377524
1.42,-0.3817495739,-0.223461717
1.43,-0.3927542289,-0.2050559043
1.44,-0.4024768773,-0.1853146109
1.45,-0.4106335213,-0.1644049111
1.46,-0.4169775944,-0.142561505
1.47,-0.421317259,-0.1200758505
1.48,-0.4235289795,-0.09728021797
1.49,-0.4235656096,-0.0745282153
1.5,-0.421458002,-0.05217400794
1.51,-0.4173101707,-0.03055271791
1.52,-0.4112890917,-0.009964243421
1.53,-0.4036110599,0.009337963684
1.54,-0.3945269391,0.02715264048
1.55,-0.3843085383,0.04333154288
1.56,-0.3732377423,0.05777683452
1.57,-0.3615990719,0.07043700625
1.58,-0.3496752807,0.08130326976
1.59,-0.3377446781,0.0904078182
1.6,-0.3260783548,0.097824411
1.61,-0.3149355,0.1036706562
1.62,-0.3045555765,0.1081104128
1.63,-0.2951471129,0.1113541779
1.64,-0.2868740672,0.1136553212
1.65,-0.2798417996,0.1153006349
1.66,-0.2740854037,0.1165947541
1.67,-0.2695632679,0.1178393631
1.68,-0.2661582098,0.1193094188
1.69,-0.2636874222,0.1212296055
1.7,-0.2619209972,0.123754638
1.71,-0.2606072526,0.1269567506
1.72,-0.2595017875,0.1308227734
1.73,-0.2583964109,0.1352617868
1.74,-0.2571439646,0.1401227285
