"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,-0.01738481924,-0.03577084576
1.01,-0.01872764749,-0.0350814932
1.02,-0.02004881933,-0.03434121131
1.03,-0.02134630594,-0.03355050395
1.04,-0.02261808998,-0.03270995091
1.05,-0.02386216669,-0.03182020738
1.06,-0.02507654511,-0.03088200364
1.07,-0.02625924932,-0.02989614491
1.08,-0.0274083197,-0.02886351141
1.09,-0.02852181432,-0.02778505856
1.1,-0.0295978105,-0.02666181732
1.11,-0.03063440639,-0.0254948947
1.12,-0.03162972283,-0.02428547432
1.13,-0.03258190533,-0.02303481711
1.14,-0.03348912622,-0.02174426206
1.15,-0.03434958712,-0.02041522698
1.16,-0.03516152148,-0.01904920932
1.17,-0.0359231975,-0.0176477869
1.18,-0.03663292117,-0.01621261871
1.19,-0.03728903958,-0.01474544551
1.2,-0.03788994456,-0.01324809042
1.21,-0.03843407641,-0.01172245936
1.22,-0.03891992798,-0.01017054128
1.23,-0.0393460489,-0.008594408234
1.24,-0.03971105013,-0.006996215287
1.25,-0.04001360855,-0.005378200073
1.26,-0.0402524719,-0.003742682149
1.27,-0.04042646381,-0.002092062032
1.28,-0.04053448896,-0.0004288199068
1.29,-0.04057553839,0.001244486003
1.3,-0.04054869495,0.002925221441
1.31,-0.04045313874,0.0046106785
1.32,-0.04028815266,0.006298078412
1.33,-0.0400531279,0.007984574756
1.34,-0.03974756951,0.009667257083
1.35,-0.0393711018,0.01134315499
1.36,-0.03892347373,0.01300924263
1.37,-0.03840456415,0.01466244367
1.38,-0.03781438682,0.01629963669
1.39,-0.03715309535,0.01791766103
1.4,-0.03642098777,0.01951332307
1.41,-0.03561851092,0.02108340296
1.42,-0.03474626443,0.02262466173
1.43,-0.03380500449,0.02413384881
1.44,-0.03279564707,0.02560770997
1.45,-0.03171927088,0.02704299557
1.46,-0.03057711971,0.0284364692
1.47,-0.02937060445,0.02978491655
1.48,-0.02810130448,0.03108515468
1.49,-0.02677096857,0.03233404141
1.5,-0.02538151517,0.03352848503
1.51,-0.0239350322,0.03466545414
1.52,-0.02243377607,0.03574198758
1.53,-0.02088017025,0.03675520458
1.54,-0.01927680306,0.03770231486
1.55,-0.01762642488,0.03858062875
1.56,-0.01593194462,0.03938756735
1.57,-0.01419642563,0.04012067251
1.58,-0.01242308085,0.04077761677
1.59,-0.01061526726,0.04135621304
1.6,-0.008776479821,0.04185442415
1.61,-0.006910344548,0.04227037204
1.62,-0.005020611112,0.04260234668
1.63,-0.003111144717,0.04284881464
1.64,-0.001185917398,0.0430084272
1.65,0.0007510012743,0.04308002802
1.66,0.002695454054,0.04306266035
1.67,0.004643206407,0.04295557364
1.68,0.00658995741,0.04275822962
1.69,0.0085313511,0.0424703077
1.7,0.01046298827,0.0420917098
1.71,0.01238043862,0.04162256441
1.72,0.0142792533,0.04106322997
1.73,0.01615497772,0.04041429751
1.74,0.01800316458,0.03967659253
1.75,0.01981938715,0.03885117601
1.76,0.02159925271,0.03793934475
1.77,0.02333841602,0.03694263075
1.78,0.02503259288,0.03586279987
1.79,0.02667757366,0.03470184956
1.8,0.02826923678,0.03346200583
