"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,0.007691350493,-0.09555290067
1.01,0.004819478561,-0.09551479131
1.02,0.001945631252,-0.095392445
1.03,-0.0009270285146,-0.09518545762
1.04,-0.003795355366,-0.09489358978
1.05,-0.006656229104,-0.09451676074
1.06,-0.009506561783,-0.09405504228
1.07,-0.01234330426,-0.09350865227
1.08,-0.01516345216,-0.09287794821
1.09,-0.0179640514,-0.09216342073
1.1,-0.02074220305,-0.09136568694
1.11,-0.02349506782,-0.09048548381
1.12,-0.02621986989,-0.08952366154
1.13,-0.02891390042,-0.08848117695
1.14,-0.03157452037,-0.08735908691
1.15,-0.03419916302,-0.08615854185
1.16,-0.03678533594,-0.08488077939
1.17,-0.03933062255,-0.0835271181
1.18,-0.04183268325,-0.08209895134
1.19,-0.04428925611,-0.08059774134
1.2,-0.04669815729,-0.07902501349
1.21,-0.04905728093,-0.07738235071
1.22,-0.05136459882,-0.07567138822
1.23,-0.05361815971,-0.07389380839
1.24,-0.05581608834,-0.07205133599
1.25,-0.05795658415,-0.0701457336
1.26,-0.06003791979,-0.06817879737
1.27,-0.06205843939,-0.06615235308
1.28,-0.06401655666,-0.06406825242
1.29,-0.06591075273,-0.06192836968
1.3,-0.06773957396,-0.05973459873
1.31,-0.06950162956,-0.05748885025
1.32,-0.07119558915,-0.05519304939
1.33,-0.0728201802,-0.05284913367
1.34,-0.0743741855,-0.05045905122
1.35,-0.07585644058,-0.04802475935
1.36,-0.07726583112,-0.04554822346
1.37,-0.07860129042,-0.04303141615
1.38,-0.07986179696,-0.04047631677
1.39,-0.08104637194,-0.03788491114
1.4,-0.08215407702,-0.03525919161
1.41,-0.08318401216,-0.03260115735
1.42,-0.08413531358,-0.02991281494
1.43,-0.08500715189,-0.02719617912
1.44,-0.08579873042,-0.02445327385
1.45,-0.08650928375,-0.02168613344
1.46,-0.08713807643,-0.01889680404
1.47,-0.08768440192,-0.01608734512
1.48,-0.08814758182,-0.0132598312
1.49,-0.08852696532,-0.01041635365
1.5,-0.08882192888,-0.007559022635
1.51,-0.08903187623,-0.004689969066
1.52,-0.08915623862,-0.001811346673
1.53,-0.08919447536,0.001074665932
1.54,-0.0891460746,0.003965863169
1.55,-0.08901055445,0.006860010435
1.56,-0.08878746435,0.009754842078
1.57,-0.08847638673,0.01264805944
1.58,-0.08807693893,0.01553732899
1.59,-0.08758877539,0.01842028059
1.6,-0.08701159015,0.02129450582
1.61,-0.08634511952,0.02415755658
1.62,-0.08558914508,0.02700694376
1.63,-0.08474349681,0.02984013617
1.64,-0.08380805658,0.03265455967
1.65,-0.08278276168,0.03544759654
1.66,-0.08166760865,0.03821658512
1.67,-0.08046265724,0.04095881969
1.68,-0.07916803454,0.04367155067
1.69,-0.07778393916,0.04635198512
1.7,-0.07631064567,0.04899728756
1.71,-0.07474850894,0.05160458107
1.72,-0.07309796872,0.05417094882
1.73,-0.07135955413,0.05669343586
1.74,-0.06953388824,0.05916905131
1.75,-0.0676216926,0.06159477092
1.76,-0.06562379175,0.06396753993
1.77,-0.06354111768,0.06628427641
1.78,-0.0613747142,0.06854187481
1.79,-0.05912574118,0.07073721006
1.8,-0.05679547863,0.07286714185
1.81,-0.05438533071,0.0749285194
1.82,-0.05189682944,0.07691818653
1.83,-0.04933163824,0.07883298705
1.84,-0.04669155525,0.08066977055
1.85,-0.04397851634,0.08242539842
1.86,-0.04119459786,0.08409675026
1.87,-0.03834201906,0.08568073054
1.88,-0.03542314417,0.08717427552
1.89,-0.03244048416,0.0885743605
1.9,-0.02939669807,0.08987800721
1.91,-0.02629459398,0.09108229148
1.92,-0.02313712955,0.0921843511
1.93,-0.0199274121,0.09318139383
1.94,-0.01666869834,0.09407070557
1.95,-0.0133643935,0.09484965862
1.96,-0.01001805011,0.09551572011
1.97,-0.006633366194,0.0960664604
1.98,-0.003214183084,0.09649956158
1.99,0.0002355173797,0.09681282595
2,0.003711616083,0.09700418448
2.01,0.007209860404,0.09707170523
2.02,0.01072586849,0.0970136017
2.03,0.01425513403,0.096828241
2.04,0.01779303158,0.09651415193
2.05,0.02133482232,0.09607003291
2.06,0.02487566041,0.0954947596
2.07,0.02841059972,0.09478739237
2.08,0.03193460116,0.0939471835
2.09,0.03544254036,0.092973584
2.1,0.03892921594,0.09186625018
2.11,0.04238935812,0.09062504983
2.12,0.04581763778,0.08925006801
2.13,0.04920867595,0.08774161242
2.14,0.05255705367,0.08610021836
2.15,0.05585732221,0.08432665319
2.16,0.05910401364,0.08242192031
2.17,0.06229165172,0.08038726262
2.18,0.06541476304,0.07822416548
2.19,0.06846788847,0.07593435905
2.2,0.07144559481,0.07351982013
2.21,0.07434248668,0.07098277334
2.22,0.07715321849,0.06832569176
2.23,0.07987250668,0.06555129692
2.24,0.08249514193,0.06266255812
2.25,0.08501600151,0.05966269119
2.26,0.08743006167,0.05655515657
2.27,0.08973241,0.05334365668
2.28,0.09191825775,0.05003213275
2.29,0.09398295213,0.04662476087
2.3,0.09592198838,0.04312594746
2.31,0.09773102185,0.03954032408
2.32,0.09940587977,0.03587274153
2.33,0.1009425729,0.0321282634
2.34,0.1023373067,0.02831215887
2.35,0.1035864928,0.02442989501
2.36,0.1046867591,0.02048712835
2.37,0.1056349606,0.01648969597
2.38,0.1064281893,0.01244360588
2.39,0.1070637837,0.008355026968
2.4,0.1075393377,0.004230278318
2.41,0.1078527095,7.581804833E-05
2.42,0.1080020293,-0.004101768352
2.43,0.1079857071,-0.008295780153
2.44,0.1078024398,-0.01249941395
2.45,0.1074512169,-0.01670577667
2.46,0.106931327,-0.02090789886
2.47,0.1062423621,-0.0250987485
2.48,0.1053842227,-0.02927124494
2.49,0.104357121,-0.03341827323
2.5,0.1031615842,-0.03753269867
2.51,0.1017984565,-0.04160738157
2.52,0.1002689011,-0.04563519215
2.53,0.09857440049,-0.0496090256
2.54,0.09671675689,-0.05352181725
2.55,0.09469809139,-0.05736655776
2.56,0.09252084255,-0.06113630831
2.57,0.09018776411,-0.06482421583
2.58,0.08770192206,-0.06842352807
2.59,0.08506669085,-0.07192760866
2.6,0.08228574889,-0.07532995195
2.61,0.07936307327,-0.0786241977
2.62,0.07630293378,-0.08180414552
2.63,0.07310988614,-0.08486376907
2.64,0.06978876452,-0.0877972299
2.65,0.06634467345,-0.09059889106
2.66,0.06278297885,-0.09326333018
2.67,0.05910929863,-0.09578535225
2.68,0.05532949241,-0.0981600019
2.69,0.05144965079,-0.1003825752
2.7,0.04747608393,-0.102448631
2.71,0.04341530958,-0.1043540014
2.72,0.03927404059,-0.1060948025
2.73,0.03505917184,-0.1076674431
2.74,0.03077776675,-0.1090686345
2.75,0.02643704331,-0.110295398
2.76,0.02204435973,-0.1113450729
2.77,0.01760719962,-0.1122153232
2.78,0.01313315693,-0.112904144
2.79,0.008629920515,-0.1134098664
2.8,0.004105258459,-0.1137311625
2.81,-0.0004329978396,-0.1138670493
2.82,-0.004976969772,-0.1138168914
2.83,-0.009518747769,-0.1135804037
2.84,-0.01405040767,-0.1131576529
2.85,-0.01856402712,-0.1125490577
2.86,-0.02305170209,-0.1117553892
2.87,-0.02750556324,-0.1107777698
2.88,-0.03191779234,-0.1096176712
2.89,-0.03628063856,-0.1082769125
2.9,-0.04058643461,-0.1067576561
2.91,-0.04482761267,-0.1050624041
2.92,-0.04899672021,-0.1031939934
2.93,-0.05308643539,-0.1011555897
2.94,-0.05708958233,-0.09895068148
2.95,-0.0609991459,-0.0965830725
2.96,-0.06480828625,-0.09405687427
2.97,-0.06851035287,-0.09137649733
2.98,-0.07209889821,-0.08854664204
2.99,-0.07556769084,-0.08557228878
3,-0.07891072815,-0.08245868738
3.01,-0.08212224838,-0.07921134612
3.02,-0.08519674223,-0.07583602002
3.03,-0.0881289638,-0.0723386987
3.04,-0.09091394092,-0.06872559369
3.05,-0.09354698483,-0.06500312526
3.06,-0.09602369925,-0.06117790884
3.07,-0.09833998865,-0.05725674103
3.08,-0.100492066,-0.05324658526
3.09,-0.1024764595,-0.04915455708
3.1,-0.1042900191,-0.04498790922
3.11,-0.1059299215,-0.04075401631
3.12,-0.1073936752,-0.03646035953
3.13,-0.1086791243,-0.03211451092
3.14,-0.1097844517,-0.02772411766
3.15,-0.1107081812,-0.02329688624
3.16,-0.1114491796,-0.01884056655
3.17,-0.1120066572,-0.01436293598
3.18,-0.1123801678,-0.009871783516
3.19,-0.1125696084,-0.005374893902
3.2,-0.112575217,-0.0008800319425
