"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,0.08530502907,0.09075010738
1.01,0.09218104221,0.08346766814
1.02,0.09843959371,0.0756613072
1.03,0.1040404062,0.06738340729
1.04,0.1089476784,0.05868947118
1.05,0.113130327,0.049637735
1.06,0.1165621945,0.04028876305
1.07,0.1192222226,0.03070502709
1.08,0.1210945886,0.02095047298
1.09,0.1221688049,0.01109007807
1.1,0.1224397813,0.001189402313
1.11,0.1219078486,-0.008685863577
1.12,0.1205787443,-0.01847034965
1.13,0.1184635607,-0.02809945484
1.14,0.1155786559,-0.03750978832
1.15,0.1119455272,-0.04663960123
1.16,0.1075906504,-0.05542920544
1.17,0.1025452837,-0.06382137672
1.18,0.09684523947,-0.07176173932
1.19,0.09053062525,-0.07919912937
1.2,0.08364555509,-0.08608593471
1.21,0.07623783461,-0.09237840863
1.22,0.06835862142,-0.09803695569
1.23,0.06006206351,-0.1030263875
1.24,0.05140491835,-0.1073161468
1.25,0.04244615547,-0.1108804989
1.26,0.03324654532,-0.1136986881
1.27,0.02386823743,-0.1157550597
1.28,0.01437433088,-0.1170391458
1.29,0.004828440134,-0.1175457149
1.3,-0.004705740718,-0.1172747848
1.31,-0.01416487217,-0.1162315994
1.32,-0.02348639904,-0.1144265696
1.33,-0.03260897259,-0.1118751786
1.34,-0.04147286236,-0.1085978527
1.35,-0.05002035456,-0.1046197987
1.36,-0.05819613468,-0.09997080929
1.37,-0.0659476514,-0.09468503768
1.38,-0.07322545961,-0.08880074363
1.39,-0.07998354015,-0.08236001248
1.4,-0.08617959421,-0.07540844951
1.41,-0.09177531056,-0.06799485178
1.42,-0.09673660374,-0.06017085996
1.43,-0.101033822,-0.05199059269
1.44,-0.1046419234,-0.04351026608
1.45,-0.1075406196,-0.03478780112
1.46,-0.1097144856,-0.02588242178
1.47,-0.1111530364,-0.01685424671
1.48,-0.1118507682,-0.007763877325
1.49,-0.1118071665,0.001328014757
1.5,-0.1110266791,0.01036109816
1.51,-0.1095186558,0.01927578714
1.52,-0.107297255,0.02801363927
1.53,-0.104381318,0.03651774265
1.54,-0.1007942124,0.04473309004
1.55,-0.0965636454,0.05260693755
1.56,-0.09172144921,0.0600891453
1.57,-0.08630333961,0.06713249814
1.58,-0.08034864986,0.07369300407
1.59,-0.07390004199,0.07973016875
1.6,-0.06700319745,0.08520724413
1.61,-0.05970648958,0.09009144998
1.62,-0.05206064018,0.09435416678
1.63,-0.04411836272,0.09797109898
1.64,-0.03593399471,0.1009224078
1.65,-0.0275631219,0.1031928126
1.66,-0.0190621968,0.1047716612
1.67,-0.01048815438,0.1056529675
1.68,-0.001898027459,0.1058354184
1.69,0.00665143562,0.1053223476
1.7,0.01510414827,0.1041216799
1.71,0.02340505556,0.1022458439
1.72,0.03150049411,0.09971165509
1.73,0.03933853981,0.09654017103
1.74,0.0468693409,0.09275651847
1.75,0.05404543439,0.08838969482
1.76,0.06082204389,0.0834723453
1.77,0.06715735683,0.07804051728
1.78,0.07301277945,0.07213339405
1.79,0.07835316818,0.06579300967
1.8,0.08314703578,0.05906394725
1.81,0.08736673133,0.05199302269
1.82,0.09098859298,0.04462895627
1.83,0.09399307271,0.03702203433
1.84,0.09636483254,0.0292237635
1.85,0.09809281177,0.02128651979
