"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,0.1179824684,0.1417261136
1.01,0.1289359106,0.1317924252
1.02,0.1390600158,0.1210046061
1.03,0.1482873566,0.109431821
1.04,0.1565563082,0.09714861991
1.05,0.163811482,0.08423444659
1.06,0.1700041163,0.07077311147
1.07,0.175092422,0.05685223393
1.08,0.1790418818,0.04256265706
1.09,0.1818254988,0.02799783916
1.1,0.1834239947,0.0132532262
1.11,0.1838259546,-0.001574390458
1.12,0.1830279186,-0.01638752668
1.13,0.1810344185,-0.03108866386
1.14,0.17785796,-0.04558090847
1.15,0.1735189498,-0.05976864825
1.16,0.1680455691,-0.07355820045
1.17,0.1614735927,-0.08685844767
1.18,0.153846157,-0.09958145688
1.19,0.1452134767,-0.1116430773
1.2,0.1356325125,-0.1229635131
1.21,0.1251665931,-0.1334678666
1.22,0.1138849931,-0.1430866489
1.23,0.1018624691,-0.1517562534
1.24,0.08917875947,-0.15941939
1.25,0.07591804837,-0.1660254762
1.26,0.06216839988,-0.1715309825
1.27,0.04802116509,-0.17589973
1.28,0.0335703665,-0.1791031383
1.29,0.0189120639,-0.1811204207
1.3,0.004143706186,-0.1819387276
1.31,-0.01063652654,-0.1815532345
1.32,-0.02533038595,-0.1799671763
1.33,-0.03984021912,-0.1771918263
1.34,-0.05406962812,-0.1732464201
1.35,-0.06792412106,-0.1681580257
1.36,-0.08131175028,-0.1619613599
1.37,-0.09414373296,-0.1546985531
1.38,-0.1063350503,-0.1464188628
1.39,-0.1178050209,-0.1371783393
1.4,-0.1284778442,-0.127039445
1.41,-0.1382831113,-0.1160706302
1.42,-0.1471562776,-0.1043458679
1.43,-0.155039097,-0.09194415199
1.44,-0.1618800115,-0.07894896038
1.45,-0.1676344961,-0.06544768894
1.46,-0.172265355,-0.05153105841
1.47,-0.1757429685,-0.03729249923
1.48,-0.1780454874,-0.02282751836
1.49,-0.1791589749,-0.008233052305
1.5,-0.1790774944,0.006393189042
1.51,-0.1778031428,0.02095338335
1.52,-0.1753460293,0.03535025702
1.53,-0.1717241995,0.04948774208
1.54,-0.1669635058,0.06327162424
1.55,-0.1610974245,0.07661017777
1.56,-0.1541668217,0.08941478285
1.57,-0.1462196689,0.1016005211
1.58,-0.1373107104,0.1130867454
1.59,-0.1275010859,0.1237976198
1.6,-0.1168579087,0.1336626268
1.61,-0.1054538048,0.1426170365
1.62,-0.09336641528,0.1506023377
1.63,-0.08067786392,0.1575666243
1.64,-0.06747419655,0.1634649379
1.65,-0.05384479355,0.1682595614
1.66,-0.03988176084,0.1719202641
1.67,-0.02567930317,0.1744244947
1.68,-0.01133308401,0.1757575225
1.69,0.003060423466,0.1759125247
1.7,0.01740458995,0.1748906204
1.71,0.03160328358,0.1727008499
1.72,0.04556151915,0.1693601009
1.73,0.0591860984,0.1648929813
1.74,0.0723862372,0.1593316393
1.75,0.08507417519,0.1527155333
1.76,0.09716576388,0.145091152
1.77,0.1085810292,0.1365116876
1.78,0.1192447045,0.1270366639
1.79,0.1290867312,0.1167315219
1.8,0.1380427222,0.1056671665
1.81,0.1460543867,0.09391947618
1.82,0.1530699126,0.08156878064
1.83,0.1590443039,0.06869930871
1.84,0.1639396715,0.05539861104
1.85,0.1677254752,0.04175696142
1.86,0.1703787146,0.02786674078
1.87,0.1718840698,0.01382180815
1.88,0.1722339879,-0.0002831370707
1.89,0.1714287185,-0.0143531972
1.9,0.1694762943,-0.02829391838
1.91,0.1663924605,-0.04201192822
1.92,0.1622005511,-0.05541556472
1.93,0.1569313142,-0.06841549219
1.94,0.1506226873,-0.08092530003
1.95,0.1433195246,-0.0928620802
1.96,0.1350732779,-0.1041469798
1.97,0.1259416331,-0.1147057244
1.98,0.1159881059,-0.1244691099
1.99,0.1052815982,-0.1333734577
2,0.09389591986,-0.1413610326
2.01,0.08190927763,-0.148380418
2.02,0.0694037358,-0.1543868484
2.03,0.05646465204,-0.1593424955
2.04,0.04318009227,-0.1632167068
2.05,0.02964022861,-0.1659861941
2.06,0.01593672471,-0.1676351731
2.07,0.002162112373,-0.1681554504
2.08,-0.01159083591,-0.1675464592
2.09,-0.02522973456,-0.1658152439
2.1,-0.03866320812,-0.1629763918
2.11,-0.05180150604,-0.1590519154
2.12,-0.06455710472,-0.1540710833
2.13,-0.07684529289,-0.1480702032
2.14,-0.0885847363,-0.141092358
2.15,-0.09969801799,-0.1331870955
2.16,-0.1101121505,-0.1244100768
2.17,-0.1197590567,-0.114822683
2.18,-0.1285760158,-0.1044915846
2.19,-0.1365060722,-0.09348827692
2.2,-0.1434984037,-0.08188858302
2.21,-0.1495086473,-0.06977212986
2.22,-0.1544991803,-0.05722179948
2.23,-0.1584393553,-0.04432316012
2.24,-0.1613056863,-0.03116388063
2.25,-0.1630819869,-0.01783313252
2.26,-0.163759458,-0.004420983541
2.27,-0.1633367254,0.008982212925
2.28,-0.1618198268,0.0222864286
2.29,-0.1592221495,0.03540256696
2.3,-0.1555643175,0.04824306175
2.31,-0.1508740305,0.06072246327
2.32,-0.1451858556,0.07275800858
2.33,-0.1385409731,0.08427017164
2.34,-0.1309868782,0.09518318998
2.35,-0.1225770412,0.1054255641
2.36,-0.1133705282,0.1149305267
2.37,-0.1034315852,0.123636478
2.38,-0.09282918847,0.1314873851
2.39,-0.08163656466,0.1384331422
2.4,-0.06993068323,0.14442989
2.41,-0.05779172571,0.1494402909
2.42,-0.04530253476,0.1534337605
2.43,-0.03254804713,0.1563866514
2.44,-0.01961471432,0.1582823906
2.45,-0.006589914956,0.1591115679
2.46,0.006438637141,0.1588719763
2.47,0.01938348515,0.1575686026
2.48,0.03215801769,0.1552135705
2.49,0.04467704962,0.1518260351
2.5,0.05685739111,0.1474320308
2.51,0.0686184014,0.1420642721
2.52,0.07988252337,0.1357619116
2.53,0.09057579548,0.1285702542
2.54,0.1006283376,0.1205404313
2.55,0.1099748079,0.1117290364
2.56,0.1185548266,0.1021977257
2.57,0.1263133665,0.0920127858
2.58,0.1332011036,0.0812446709
2.59,0.1391747307,0.06996751478
2.6,0.1441972267,0.05825861889
2.61,0.1482380848,0.0461979211
2.62,0.1512734941,0.03386744873
2.63,0.153286477,0.02135075925
2.64,0.1542669785,0.008732372888
2.65,0.1542119101,-0.003902799278
2.66,0.1531251451,-0.01647002776
2.67,0.1510174681,-0.02888533376
2.68,0.1479064776,-0.0410660511
2.69,0.1438164433,-0.05293137725
2.7,0.1387781186,-0.06440290978
2.71,0.1328285108,-0.07540516457
2.72,0.1260106093,-0.08586607249
2.73,0.1183730751,-0.09571745122
2.74,0.1099698932,-0.1048954491
2.75,0.1008599902,-0.1133409582
2.76,0.09110682041,-0.1209999939
2.77,0.08077792295,-0.1278240383
2.78,0.06994445297,-0.1337703459
2.79,0.0586806905,-0.1388022093
2.8,0.04706353013,-0.1428891828
2.81,0.03517195504,-0.1460072635
2.82,0.02308649904,-0.1481390281
2.83,0.0108887003,-0.149273725
