"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,-0.03193880262,-0.1344865873
1.01,-0.03699009172,-0.1332334552
1.02,-0.04201224844,-0.131779189
1.03,-0.04699601847,-0.130123772
1.04,-0.05193213582,-0.1282676619
1.05,-0.05681134591,-0.1262117892
1.06,-0.06162442841,-0.1239575531
1.07,-0.06636221977,-0.121506818
1.08,-0.07101563558,-0.1188619079
1.09,-0.07557569242,-0.1160256011
1.1,-0.08003352946,-0.1130011225
1.11,-0.08438042963,-0.1097921365
1.12,-0.08860784025,-0.1064027381
1.13,-0.09270739336,-0.1028374435
1.14,-0.09667092532,-0.09910117937
1.15,-0.100490496,-0.09519927237
1.16,-0.1041584075,-0.09113743666
1.17,-0.1076672218,-0.08692176139
1.18,-0.1110097783,-0.08255869721
1.19,-0.1141792105,-0.0780550421
1.2,-0.1171689617,-0.07341792648
1.21,-0.1199728004,-0.06865479768
1.22,-0.1225848345,-0.06377340383
1.23,-0.1249995252,-0.05878177706
1.24,-0.1272116997,-0.05368821624
1.25,-0.1292165632,-0.04850126915
1.26,-0.13100971,-0.0432297142
1.27,-0.1325871338,-0.03788254164
1.28,-0.1339452371,-0.03246893444
1.29,-0.1350808396,-0.02699824878
1.3,-0.1359911857,-0.02147999417
1.31,-0.1366739514,-0.01592381337
1.32,-0.1371272496,-0.01033946201
1.33,-0.1373496349,-0.004736788003
1.34,-0.1373401075,0.0008742891571
1.35,-0.137098116,0.006483799226
1.36,-0.136623559,0.01208174212
1.37,-0.135916786,0.01765810884
1.38,-0.1349785976,0.0232029024
1.39,-0.1338102442,0.02870615864
1.4,-0.1324134236,0.03415796704
1.41,-0.1307902791,0.03954849124
1.42,-0.1289433942,0.04486798954
1.43,-0.1268757889,0.05010683501
1.44,-0.1245909135,0.05525553544
1.45,-0.1220926417,0.06030475295
1.46,-0.1193852635,0.06524532318
1.47,-0.1164734765,0.07006827422
1.48,-0.1133623767,0.07476484499
1.49,-0.1100574487,0.07932650319
1.5,-0.1065645543,0.08374496278
1.51,-0.1028899213,0.0880122009
1.52,-0.09904013074,0.0921204742
1.53,-0.09502210412,0.09606233458
1.54,-0.09084308935,0.0998306443
1.55,-0.0865106463,0.1034185904
1.56,-0.08203263177,0.1068196986
1.57,-0.07741718371,0.1100278459
1.58,-0.07267270498,0.1130372735
1.59,-0.06780784657,0.1158425977
1.6,-0.06283149031,0.118438821
1.61,-0.05775273113,0.1208213419
1.62,-0.0525808589,0.1229859639
1.63,-0.04732533996,0.1249289039
1.64,-0.04199579819,0.1266467994
1.65,-0.03660199593,0.128136715
1.66,-0.03115381451,0.1293961484
1.67,-0.02566123464,0.1304230343
1.68,-0.02013431668,0.1312157492
1.69,-0.0145831806,0.1317731135
1.7,-0.00901798607,0.132094394
1.71,-0.003448912343,0.1321793047
1.72,0.002113861803,0.1320280071
1.73,0.007660178098,0.1316411095
1.74,0.01317991873,0.1310196654
1.75,0.01866302619,0.1301651704
1.76,0.02409952295,0.1290795598
1.77,0.02947953094,0.1277652034
1.78,0.0347932908,0.1262249005
1.79,0.04003118083,0.1244618742
1.8,0.04518373567,0.1224797641
1.81,0.05024166455,0.1202826188
1.82,0.05519586924,0.1178748874
1.83,0.06003746152,0.1152614101
1.84,0.06475778019,0.1124474078
1.85,0.0693484076,0.1094384721
1.86,0.07380118569,0.1062405529
1.87,0.07810823138,0.1028599466
1.88,0.08226195146,0.09930328314
1.89,0.08625505684,0.09557751229
1.9,0.09008057614,0.09168988974
1.91,0.09373186861,0.08764796219
1.92,0.09720263639,0.08345955213
1.93,0.100486936,0.07913274205
1.94,0.1035791893,0.07467585815
1.95,0.106474193,0.07009745362
1.96,0.1091671288,0.06540629155
1.97,0.1116535708,0.0606113274
1.98,0.1139294942,0.05572169116
1.99,0.1159912812,0.05074666925
2,0.1178357277,0.0456956861
2.01,0.1194600483,0.04057828552
2.02,0.1208618801,0.03540411194
2.03,0.1220392872,0.03018289143
2.04,0.1229907622,0.02492441265
2.05,0.1237152288,0.01963850774
2.06,0.1242120423,0.01433503316
2.07,0.1244809896,0.009023850548
2.08,0.1245222886,0.003714807656
2.09,0.1243365864,-0.001582280691
2.1,0.1239249568,-0.006857651451
2.11,0.123288897,-0.01210161209
2.12,0.1224303233,-0.01730455908
2.13,0.1213515662,-0.0224569962
2.14,0.1200553646,-0.02754955253
2.15,0.1185448593,-0.03257300015
2.16,0.1168235854,-0.03751827148
2.17,0.1148954645,-0.04237647628
2.18,0.1127647957,-0.04713891823
2.19,0.1104362459,-0.051797111
2.2,0.10791484,-0.05634279398
2.21,0.1052059495,-0.0607679474
2.22,0.1023152812,-0.06506480696
2.23,0.09924886494,-0.06922587789
2.24,0.09601304101,-0.07324394848
2.25,0.0926144466,-0.0771121029
2.26,0.08906000203,-0.0808237335
2.27,0.08535689642,-0.08437255239
2.28,0.0815125728,-0.08775260237
2.29,0.07753471285,-0.09095826714
2.3,0.07343122124,-0.09398428086
2.31,0.0692102095,-0.09682573691
2.32,0.0648799797,-0.09947809597
2.33,0.06044900768,-0.1019371933
2.34,0.05592592607,-0.1041992454
2.35,0.0513195071,-0.1062608555
2.36,0.04663864512,-0.1081190187
2.37,0.04189233907,-0.1097711265
2.38,0.03708967471,-0.1112149695
2.39,0.03223980681,-0.1124487406
2.4,0.0273519413,-0.1134710364
2.41,0.02243531734,-0.1142808587
2.42,0.01749918944,-0.114877614
2.43,0.01255280963,-0.1152611136
2.44,0.007605409684,-0.1154315719
2.45,0.002666183508,-0.1153896042
2.46,-0.002255730359,-0.1151362239
2.47,-0.007151266043,-0.1146728388
2.48,-0.0120114474,-0.1140012466
2.49,-0.01682740487,-0.1131236296
2.5,-0.02159039196,-0.1120425491
2.51,-0.02629180152,-0.1107609385
2.52,-0.03092318158,-0.1092820961
2.53,-0.03547625086,-0.1076096768
2.54,-0.03994291386,-0.1057476841
2.55,-0.0443152755,-0.1037004601
2.56,-0.04858565533,-0.101472676
2.57,-0.05274660122,-0.09906932136
2.58,-0.05679090256,-0.09649569324
2.59,-0.06071160291,-0.09375738442
2.6,-0.06450201213,-0.09086027132
2.61,-0.06815571785,-0.08781050133
2.62,-0.07166659646,-0.08461447974
2.63,-0.07502882334,-0.08127885622
2.64,-0.07823688258,-0.0778105108
2.65,-0.08128557599,-0.07421653966
2.66,-0.08417003147,-0.07050424037
2.67,-0.08688571065,-0.06668109694
2.68,-0.08942841591,-0.06275476457
2.69,-0.09179429668,-0.0587330541
2.7,-0.09397985497,-0.05462391628
2.71,-0.09598195032,-0.05043542582
2.72,-0.09779780385,-0.04617576533
2.73,-0.09942500176,-0.04185320908
2.74,-0.100861498,-0.03747610673
2.75,-0.1021056162,-0.03305286692
2.76,-0.1031560509,-0.02859194091
