"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,-0.006999117237,-0.2250123549
1.01,-0.01441672585,-0.2241518807
1.02,-0.02181629115,-0.2230367299
1.03,-0.0291868314,-0.2216663893
1.04,-0.03651738124,-0.2200409323
1.05,-0.04379702093,-0.218161009
1.06,-0.05101490471,-0.2160278358
1.07,-0.05816028829,-0.2136431836
1.08,-0.06522255537,-0.2110093648
1.09,-0.07219124317,-0.2081292196
1.1,-0.07905606701,-0.2050061015
1.11,-0.08580694381,-0.2016438614
1.12,-0.09243401457,-0.1980468317
1.13,-0.09892766572,-0.1942198088
1.14,-0.1052785494,-0.1901680353
1.15,-0.1114776027,-0.1858971817
1.16,-0.1175160654,-0.1814133269
1.17,-0.1233854972,-0.1767229386
1.18,-0.129077793,-0.1718328533
1.19,-0.1345851976,-0.1667502553
1.2,-0.139900319,-0.1614826559
1.21,-0.1450161404,-0.1560378718
1.22,-0.1499260312,-0.1504240035
1.23,-0.1546237565,-0.1446494136
1.24,-0.1591034859,-0.1387227045
1.25,-0.1633598006,-0.1326526962
1.26,-0.1673876996,-0.1264484045
1.27,-0.1711826046,-0.1201190185
1.28,-0.1747403641,-0.1136738787
1.29,-0.1780572557,-0.1071224546
1.3,-0.1811299879,-0.1004743235
1.31,-0.1839557007,-0.09373914854
1.32,-0.1865319647,-0.08692665753
1.33,-0.1888567796,-0.08004662193
1.34,-0.1909285719,-0.0731088363
1.35,-0.1927461908,-0.06612309815
1.36,-0.1943089039,-0.05909918822
1.37,-0.1956163917,-0.0520468513
1.38,-0.1966687416,-0.04497577757
1.39,-0.19746644,-0.03789558455
1.4,-0.1980103652,-0.03081579967
1.41,-0.1983017783,-0.02374584342
1.42,-0.1983423137,-0.01669501328
1.43,-0.1981339693,-0.009672468284
1.44,-0.197679096,-0.002687214321
1.45,-0.1969803861,0.004251909784
1.46,-0.1960408617,0.01113624546
1.47,-0.1948638629,0.01795732675
1.48,-0.1934530344,0.02470689194
1.49,-0.1918123135,0.03137689432
1.5,-0.1899459158,0.03795951214
1.51,-0.1878583223,0.04444715779
1.52,-0.1855542655,0.0508324861
1.53,-0.1830387151,0.05710840187
1.54,-0.1803168642,0.06326806652
1.55,-0.1773941148,0.06930490402
1.56,-0.1742760638,0.07521260592
1.57,-0.1709684888,0.08098513565
1.58,-0.1674773336,0.086616732
1.59,-0.1638086942,0.09210191186
1.6,-0.1599688051,0.09743547222
1.61,-0.155964025,0.1026124914
1.62,-0.1518008237,0.1076283297
1.63,-0.1474857683,0.112478629
1.64,-0.1430255103,0.1171593123
1.65,-0.1384267729,0.1216665822
1.66,-0.1336963385,0.1259969187
1.67,-0.1288410362,0.1301470769
1.68,-0.1238677311,0.1341140836
1.69,-0.1187833118,0.1378952337
1.7,-0.1135946806,0.1414880864
1.71,-0.1083087426,0.1448904601
1.72,-0.1029323957,0.148100428
1.73,-0.09747252159,0.1511163122
1.74,-0.09193597652,0.1539366785
1.75,-0.08632958302,0.1565603303
1.76,-0.08066012195,0.1589863022
1.77,-0.07493432521,0.1612138536
1.78,-0.06915886882,0.1632424623
1.79,-0.06334036669,0.1650718174
1.8,-0.0574853648,0.1667018123
1.81,-0.05160033595,0.1681325383
1.82,-0.04569167502,0.1693642768
1.83,-0.03976569475,0.1703974927
1.84,-0.03382862201,0.1712328272
1.85,-0.02788659455,0.1718710907
1.86,-0.02194565825,0.1723132563
1.87,-0.0160117648,0.1725604524
1.88,-0.01009076985,0.1726139566
1.89,-0.004188431563,0.1724751886
1.9,0.00168959043,0.1721457046
1.91,0.007537735672,0.1716271904
1.92,0.01335054319,0.1709214562
1.93,0.01912265145,0.1700304308
1.94,0.02484879802,0.168956156
1.95,0.03052381894,0.1677007818
1.96,0.03614264784,0.1662665617
1.97,0.04170031483,0.1646558479
1.98,0.04719194518,0.1628710879
1.99,0.05261275788,0.1609148198
2,0.05795806396,0.1587896699
2.01,0.06322326481,0.1564983487
2.02,0.06840385034,0.1540436488
2.03,0.07349539709,0.1514284422
2.04,0.07849356641,0.1486556783
2.05,0.08339410247,0.1457283825
2.06,0.08819283049,0.1426496544
