"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,-0.007012407837,-0.1511597558
1.01,-0.01220924721,-0.1507968948
1.02,-0.01741440826,-0.1502477444
1.03,-0.02261984397,-0.1495105788
1.04,-0.02781742696,-0.1485840852
1.05,-0.03299896942,-0.1474673629
1.06,-0.03815624276,-0.1461599226
1.07,-0.04328099714,-0.1446616847
1.08,-0.04836498068,-0.1429729759
1.09,-0.05339995838,-0.1410945269
1.1,-0.05837773079,-0.1390274676
1.11,-0.0632901523,-0.1367733231
1.12,-0.06812914914,-0.1343340075
1.13,-0.07288673698,-0.1317118188
1.14,-0.07755503809,-0.1289094313
1.15,-0.08212629818,-0.125929889
1.16,-0.08659290272,-0.1227765969
1.17,-0.0909473928,-0.119453313
1.18,-0.09518248057,-0.1159641389
1.19,-0.09929106408,-0.1123135099
1.2,-0.1032662417,-0.1085061849
1.21,-0.1071013259,-0.1045472355
1.22,-0.1107898565,-0.1004420346
1.23,-0.1143256133,-0.09619624486
1.24,-0.1177026285,-0.09181580594
1.25,-0.1209151977,-0.08730692227
1.26,-0.1239578908,-0.08267604975
1.27,-0.1268255628,-0.07792988228
1.28,-0.1295133624,-0.07307533801
1.29,-0.1320167419,-0.06811954514
1.3,-0.1343314647,-0.06306982756
1.31,-0.1364536131,-0.05793369012
1.32,-0.1383795952,-0.05271880373
1.33,-0.1401061512,-0.04743299026
1.34,-0.1416303587,-0.04208420723
1.35,-0.1429496375,-0.0366805324
1.36,-0.1440617537,-0.03123014823
1.37,-0.1449648232,-0.02574132624
1.38,-0.1456573145,-0.02022241135
1.39,-0.1461380503,-0.01468180619
1.4,-0.1464062092,-0.009127955374
1.41,-0.1464613264,-0.003569329892
1.42,-0.1463032931,0.00198558852
1.43,-0.1459323564,0.007528322862
1.44,-0.1453491176,0.01305041626
1.45,-0.1445545301,0.01854344719
1.46,-0.1435498971,0.02399904454
1.47,-0.1423368678,0.02940890248
1.48,-0.1409174337,0.0347647951
1.49,-0.1392939242,0.04005859076
1.5,-0.137469001,0.04528226624
1.51,-0.135445653,0.05042792054
1.52,-0.1332271897,0.05548778838
1.53,-0.1308172341,0.06045425334
1.54,-0.128219716,0.06531986067
1.55,-0.1254388637,0.07007732969
1.56,-0.1224791959,0.07471956582
1.57,-0.1193455127,0.07923967214
1.58,-0.1160428864,0.08363096059
1.59,-0.1125766522,0.08788696266
1.6,-0.1089523975,0.09200143962
1.61,-0.105175952,0.09596839231
1.62,-0.1012533766,0.09978207043
1.63,-0.0971909526,0.1034369813
1.64,-0.09299516973,0.106927898
1.65,-0.08867271487,0.1102498673
1.66,-0.08423045987,0.1133982169
1.67,-0.07967544938,0.1163685617
1.68,-0.07501488834,0.1191568105
1.69,-0.07025612941,0.121759171
