"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,-0.03075304676,-0.1923929888
1.01,-0.03766841005,-0.1910111277
1.02,-0.04455319274,-0.1893657731
1.03,-0.05139545821,-0.1874566438
1.04,-0.05818325619,-0.1852840801
1.05,-0.06490465339,-0.1828490388
1.06,-0.07154776359,-0.1801530884
1.07,-0.0781007773,-0.1771984014
1.08,-0.08455199089,-0.1739877465
1.09,-0.09088983512,-0.1705244797
1.1,-0.09710290309,-0.1668125332
1.11,-0.1031799775,-0.1628564046
1.12,-0.1091100571,-0.1586611438
1.13,-0.1148823829,-0.1542323396
1.14,-0.1204864625,-0.1495761048
1.15,-0.1259120952,-0.1446990604
1.16,-0.1311493944,-0.1396083194
1.17,-0.1361888106,-0.1343114684
1.18,-0.1410211529,-0.1288165497
1.19,-0.1456376091,-0.1231320417
1.2,-0.1500297655,-0.1172668385
1.21,-0.1541896252,-0.1112302295
1.22,-0.1581096257,-0.1050318772
1.23,-0.1617826547,-0.09868179506
1.24,-0.1652020659,-0.09219032465
1.25,-0.1683616922,-0.0855681121
1.26,-0.1712558594,-0.07882608406
1.27,-0.1738793973,-0.07197542321
1.28,-0.17622765,-0.06502754346
1.29,-0.1782964858,-0.05799406468
1.3,-0.1800823046,-0.05088678719
1.31,-0.1815820449,-0.043717666
1.32,-0.1827931896,-0.03649878492
1.33,-0.1837137698,-0.02924233048
1.34,-0.1843423684,-0.02196056582
1.35,-0.1846781214,-0.01466580453
1.36,-0.1847207192,-0.007370384608
1.37,-0.1844704052,-8.664246972E-05
1.38,-0.1839279748,0.007173112902
1.39,-0.1830947717,0.01439662555
1.4,-0.1819726841,0.0215717179
1.41,-0.1805641391,0.02868631578
1.42,-0.1788720965,0.0357284731
1.43,-0.1769000408,0.04268639609
1.44,-0.174651973,0.04954846703
1.45,-0.1721324002,0.05630326754
1.46,-0.1693463251,0.06293960127
1.47,-0.1662992343,0.06944651592
1.48,-0.1629970851,0.07581332472
1.49,-0.1594462923,0.0820296271
1.5,-0.1556537131,0.0880853287
1.51,-0.1516266315,0.09397066057
1.52,-0.1473727425,0.09967619758
1.53,-0.1429001346,0.1051928759
1.54,-0.1382172721,0.1105120099
1.55,-0.1333329764,0.1156253076
1.56,-0.128256407,0.1205248855
1.57,-0.1229970415,0.1252032831
1.58,-0.1175646557,0.1296534748
1.59,-0.1119693022,0.1338688825
1.6,-0.1062212894,0.1378433862
1.61,-0.1003311598,0.1415713339
1.62,-0.09430966811,0.1450475503
1.63,-0.08816775852,0.1482673446
1.64,-0.0819165424,0.1512265171
1.65,-0.07556727543,0.1539213647
1.66,-0.06913133464,0.1563486854
1.67,-0.06262019542,0.1585057818
1.68,-0.05604540838,0.1603904636
1.69,-0.04941857634,0.1620010481
1.7,-0.04275133126,0.1633363615
1.71,-0.03605531139,0.1643957369
1.72,-0.02934213847,0.1651790131
1.73,-0.02262339518,0.1656865316
1.74,-0.0159106029,0.165919132
1.75,-0.009215199649,0.1658781478
1.76,-0.002548518454,0.1655653998
1.77,0.00407823391,0.1649831894
1.78,0.01065399776,0.1641342908
1.79,0.01716788089,0.1630219421
1.8,0.02360917837,0.1616498355
1.81,0.02996739192,0.160022107
1.82,0.03623224856,0.1581433248
1.83,0.04239371874,0.1560184773
1.84,0.04844203375,0.1536529599
1.85,0.05436770248,0.1510525619
1.86,0.06016152743,0.1482234514
1.87,0.06581462,0.145172161
1.88,0.07131841501,0.1419055718
1.89,0.07666468439,0.1384308973
1.9,0.08184555007,0.1347556667
1.91,0.08685349606,0.1308877076
1.92,0.09168137963,0.1268351287
1.93,0.09632244165,0.1226063012
1.94,0.100770316,0.1182098409
1.95,0.1050190381,0.113654589
1.96,0.1090630528,0.1089495936
1.97,0.1128972205,0.1041040898
1.98,0.1165168238,0.09912748108
1.99,0.1199175716,0.09402931891
2,0.1230956035,0.08881928363
2.01,0.1260474929,0.08350716455
2.02,0.1287702487,0.07810284017
2.03,0.1312613171,0.07261625856
2.04,0.1335185815,0.06705741766
2.05,0.1355403619,0.06143634583
2.06,0.1373254138,0.05576308242
2.07,0.1388729256,0.05004765867
2.08,0.1401825153,0.04430007876
2.09,0.141254227,0.03853030116
2.1,0.1420885255,0.03274822029
2.11,0.1426862908,0.02696364853
2.12,0.1430488121,0.02118629861
2.13,0.14317778,0.01542576642
2.14,0.143075279,0.009691514269
2.15,0.1427437791,0.003992854613
2.16,0.142186126,-0.001661065708
2.17,0.1414055317,-0.007261280686
2.18,0.1404055636,-0.0127990198
2.19,0.1391901335,-0.01826572212
2.2,0.1377634863,-0.02365304972
2.21,0.1361301872,-0.02895290055
2.22,0.1342951095,-0.03415742064
2.23,0.1322634215,-0.03925901556
2.24,0.1300405726,-0.04425036129
2.25,0.1276322797,-0.04912441437
2.26,0.1250445127,-0.0538744213
2.27,0.1222834804,-0.05849392725
2.28,0.1193556151,-0.06297678405
2.29,0.1162675579,-0.06731715744
2.3,0.113026143,-0.07150953353
2.31,0.109638383,-0.0755487246
2.32,0.1061114526,-0.07942987412
2.33,0.1024526731,-0.08314846096
2.34,0.09866949709,-0.08670030297
2.35,0.09476949213,-0.09008155974
2.36,0.09076032543,-0.09328873464
2.37,0.08664974801,-0.09631867617
