"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,0.1839310096,-0.7821419926
1.01,0.1605194984,-0.7871569822
1.02,0.1368097446,-0.7914855289
1.03,0.1128280796,-0.7951075262
1.04,0.08860173358,-0.7980042965
1.05,0.06415876447,-0.800158607
1.06,0.03952798829,-0.8015546825
1.07,0.01473890938,-0.8021782167
1.08,-0.01017834862,-0.8020163816
1.09,-0.03519311131,-0.8010578343
1.1,-0.06027422148,-0.7992927223
1.11,-0.08539010641,-0.7967126864
1.12,-0.1105088445,-0.7933108616
1.13,-0.1355982314,-0.7890818759
1.14,-0.160625845,-0.784021847
1.15,-0.1855591098,-0.7781283771
1.16,-0.2103653607,-0.7714005455
1.17,-0.2350119057,-0.763838899
1.18,-0.2594660872,-0.7554454409
1.19,-0.2836953431,-0.7462236172
1.2,-0.3076672663,-0.7361783017
1.21,-0.3313496632,-0.7253157782
1.22,-0.3547106112,-0.7136437221
1.23,-0.3777185148,-0.7011711786
1.24,-0.4003421604,-0.6879085407
1.25,-0.4225507702,-0.6738675242
1.26,-0.444314054,-0.6590611415
1.27,-0.4656022608,-0.6435036739
1.28,-0.4863862272,-0.6272106421
1.29,-0.5066374261,-0.6101987749
1.3,-0.5263280128,-0.5924859768
1.31,-0.5454308698,-0.5740912939
1.32,-0.5639196497,-0.5550348789
1.33,-0.5817688176,-0.5353379536
1.34,-0.59895369,-0.5150227719
1.35,-0.6154504735,-0.4941125799
1.36,-0.6312363011,-0.4726315758
1.37,-0.646289267,-0.4506048688
1.38,-0.660588459,-0.4280584363
1.39,-0.6741139904,-0.4050190809
1.4,-0.6868470282,-0.381514386
1.41,-0.6987698213,-0.3575726711
1.42,-0.7098657257,-0.3332229459
1.43,-0.7201192279,-0.3084948637
1.44,-0.7295159672,-0.2834186749
1.45,-0.7380427549,-0.2580251791
1.46,-0.7456875929,-0.2323456774
1.47,-0.7524396892,-0.2064119237
1.48,-0.7582894723,-0.1802560766
1.49,-0.7632286035,-0.1539106497
1.5,-0.767249987,-0.127408463
1.51,-0.7703477784,-0.1007825937
1.52,-0.7725173914,-0.07406632633
1.53,-0.7737555025,-0.04729310419
1.54,-0.7740600534,-0.02049647958
1.55,-0.7734302524,0.006289935018
1.56,-0.7718665733,0.03303251592
1.57,-0.7693707525,0.0596976768
1.58,-0.7659457852,0.08625191698
1.59,-0.7615959181,0.1126618693
1.6,-0.7563266423,0.1388943478
1.61,-0.750144683,0.1649163941
1.62,-0.7430579881,0.1906953245
1.63,-0.7350757153,0.2161987751
