"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,0.1833622272,-0.7822221716
1.01,0.1599442351,-0.7872127446
1.02,0.1362291744,-0.791516475
1.03,0.1122433974,-0.7951133184
1.04,0.08801415152,-0.7979846607
1.05,0.06356950872,-0.8001133327
1.06,0.03893829526,-0.8014836239
1.07,0.01415002222,-0.8020812928
1.08,-0.01076518364,-0.8018935763
1.09,-0.03577664833,-0.8009091962
1.1,-0.06085321859,-0.7991183647
1.11,-0.08596332915,-0.7965127865
1.12,-0.1110750694,-0.7930856602
1.13,-0.136156249,-0.7888316762
1.14,-0.1611744637,-0.7837470136
1.15,-0.1860971588,-0.777829335
1.16,-0.2108916933,-0.7710777783
1.17,-0.235525402,-0.7634929478
1.18,-0.2599656575,-0.7550769023
1.19,-0.2841799305,-0.7458331413
1.2,-0.3081358493,-0.7357665903
1.21,-0.3318012585,-0.7248835826
1.22,-0.3551442759,-0.7131918406
1.23,-0.3781333489,-0.7007004545
1.24,-0.4007373088,-0.6874198593
1.25,-0.4229254247,-0.6733618104
1.26,-0.4446674553,-0.6585393573
1.27,-0.4659336997,-0.6429668153
1.28,-0.4866950466,-0.6266597362
1.29,-0.506923022,-0.6096348773
1.3,-0.5265898355,-0.5919101683
1.31,-0.5456684248,-0.5735046779
1.32,-0.564132499,-0.5544385777
1.33,-0.5819565795,-0.5347331062
1.34,-0.5991160401,-0.5144105301
1.35,-0.615587145,-0.4934941059
1.36,-0.6313470846,-0.4720080388
1.37,-0.6463740105,-0.4499774419
1.38,-0.660647068,-0.4274282939
1.39,-0.6741464271,-0.4043873953
1.4,-0.6868533113,-0.3808823249
1.41,-0.6987500249,-0.3569413944
1.42,-0.7098199788,-0.332593603
1.43,-0.7200477134,-0.307868591
1.44,-0.7294189205,-0.2827965929
1.45,-0.7379204629,-0.2574083902
1.46,-0.7455403925,-0.231735263
1.47,-0.7522679658,-0.2058089423
1.48,-0.7580936581,-0.1796615611
1.49,-0.7630091761,-0.1533256058
1.5,-0.7670074672,-0.1268338669
1.51,-0.7700827286,-0.1002193901
1.52,-0.7722304135,-0.073515427
1.53,-0.7734472357,-0.04675538598
1.54,-0.7737311724,-0.01997278314
1.55,-0.773081465,0.006798806696
1.56,-0.7714986182,0.03352579872
1.57,-0.7689843972,0.06017464659
1.58,-0.7655418235,0.0867118906
1.59,-0.7611751681,0.1131042055
1.6,-0.7558899436,0.1393184475
1.61,-0.7496928948,0.1653217017
1.62,-0.7425919867,0.1910813278
1.63,-0.7345963918,0.2165650056
1.64,-0.725716475,0.2417407808
1.65,-0.7159637775,0.2665771082
1.66,-0.7053509988,0.291042896
1.67,-0.6938919772,0.3151075478
1.68,-0.6816016688,0.3387410048
1.69,-0.6684961251,0.3619137864
1.7,-0.6545924692,0.3845970301
1.71,-0.6399088707,0.4067625305
1.72,-0.6244645187,0.4283827769
1.73,-0.6082795945,0.4494309899
1.74,-0.591375242,0.4698811573
1.75,-0.5737735377,0.4897080682
1.76,-0.555497459,0.5088873462
1.77,-0.5365708518,0.5273954814
1.78,-0.5170183964,0.545209861
1.79,-0.4968655734,0.5623087982
1.8,-0.4761386277,0.578671561
1.81,-0.4548645316,0.5942783978
1.82,-0.4330709481,0.6091105635
1.83,-0.4107861918,0.6231503423
1.84,-0.3880391906,0.6363810707
1.85,-0.3648594452,0.6487871581
1.86,-0.3412769893,0.6603541061
1.87,-0.3173223482,0.6710685259
1.88,-0.2930264974,0.6809181553
1.89,-0.2684208203,0.6898918728
1.9,-0.2435370661,0.6979797111
1.91,-0.2184073065,0.7051728684
1.92,-0.1930638924,0.7114637186
1.93,-0.167539411,0.7168458196
1.94,-0.1418666413,0.7213139201
1.95,-0.1160785108,0.7248639649
1.96,-0.09020805113,0.7274930983
1.97,-0.06428835426,0.7291996662
1.98,-0.03835252836,0.7299832166
1.99,-0.01243365383,0.7298444981
2,0.01343526049,0.7287854574
2.01,0.03922132104,0.7268092346
2.02,0.06489179295,0.7239201575
2.03,0.09041414318,0.7201237339
2.04,0.1157560833,0.7154266424
2.05,0.1408856119,0.7098367219
2.06,0.1657710566,0.7033629596
2.07,0.1903811153,0.6960154768
2.08,0.2146848974,0.6878055141
2.09,0.2386519635,0.6787454148
2.1,0.2622523657,0.6688486067
2.11,0.2854566858,0.6581295823
2.12,0.3082360741,0.6466038785
2.13,0.3305622859,0.6342880541
2.14,0.3524077186,0.6211996659
2.15,0.3737454469,0.6073572443
2.16,0.3945492576,0.5927802667
2.17,0.4147936828,0.5774891306
2.18,0.4344540327,0.5615051246
2.19,0.4535064269,0.544850399
2.2,0.4719278248,0.5275479346
2.21,0.4896960545,0.5096215112
2.22,0.5067898411,0.4910956743
2.23,0.5231888329,0.4719957016
2.24,0.5388736271,0.4523475677
2.25,0.553825794,0.4321779086
2.26,0.5680278994,0.4115139851
2.27,0.5814635259,0.3903836454
2.28,0.5941172933,0.3688152871
2.29,0.6059748768,0.3468378181
2.3,0.6170230242,0.3244806175
2.31,0.6272495712,0.3017734956
2.32,0.6366434559,0.2787466531
2.33,0.6451947312,0.2554306401
2.34,0.6528945759,0.2318563153
2.35,0.6597353039,0.2080548033
2.36,0.6657103726,0.1840574532
2.37,0.6708143891,0.1598957964
2.38,0.6750431147,0.1356015034
2.39,0.6783934686,0.1112063421
2.4,0.6808635293,0.08674213442
2.41,0.6824525345,0.06224071416
2.42,0.6831608798,0.03773388413
2.43,0.6829901156,0.01325337377
2.44,0.6819429422,-0.01116920313
2.45,0.6800232036,-0.03550239051
2.46,0.6772358798,-0.0597149318
2.47,0.6735870774,-0.08377581128
2.48,0.6690840185,-0.1076542951
2.49,0.6637350288,-0.1313199718
2.5,0.6575495231,-0.1547427924
2.51,0.6505379905,-0.1778931094
2.52,0.6427119771,-0.2007417161
2.53,0.6340840681,-0.2232598844
2.54,0.6246678683,-0.2454194019
2.55,0.6144779806,-0.2671926091
2.56,0.6035299842,-0.2885524341
2.57,0.5918404109,-0.3094724284
2.58,0.5794267199,-0.3299267999
2.59,0.5663072724,-0.3498904463
2.6,0.5525013035,-0.3693389867
2.61,0.5380288945,-0.3882487922
2.62,0.5229109432,-0.4065970157
2.63,0.5071691331,-0.42436162
2.64,0.4908259021,-0.4415214055
2.65,0.4739044102,-0.4580560359
2.66,0.4564285056,-0.4739460628
2.67,0.4384226908,-0.4891729494
2.68,0.4199120874,-0.5037190923
2.69,0.4009224005,-0.5175678425
2.7,0.3814798816,-0.5307035244
2.71,0.3616112923,-0.5431114538
2.72,0.3413438659,-0.5547779545
2.73,0.3207052692,-0.5656903732
2.74,0.2997235642,-0.5758370929
2.75,0.2784271684,-0.5852075453
2.76,0.2568448156,-0.5937922209
2.77,0.2350055162,-0.6015826785
2.78,0.2129385167,-0.6085715522
2.79,0.1906732599,-0.6147525581
2.8,0.1682393444,-0.6201204978
2.81,0.1456664843,-0.6246712624
2.82,0.1229844685,-0.6284018331
2.83,0.1002231207,-0.6313102815
2.84,0.07741225899,-0.6333957678
2.85,0.05458165587,-0.6346585381
2.86,0.03176099831,-0.635099919
2.87,0.008979848332,-0.6347223122
2.88,-0.01373239626,-0.6335291869
2.89,-0.03634654064,-0.6315250701
2.9,-0.05883363129,-0.6287155372
2.91,-0.08116499385,-0.6251071993
2.92,-0.1033122704,-0.6207076904
2.93,-0.1252474561,-0.6155256528
2.94,-0.1469429351,-0.609570721
2.95,-0.1683715161,-0.602853505
2.96,-0.1895064666,-0.5953855712
2.97,-0.2103215467,-0.587179423
2.98,-0.230791042,-0.5782484803
2.99,-0.2508897956,-0.5686070567
3,-0.2705932393,-0.558270337
3.01,-0.2898774234,-0.5472543528
3.02,-0.308719046,-0.5355759569
3.03,-0.3270954809,-0.5232527975
3.04,-0.3449848046,-0.5103032907
3.05,-0.3623658223,-0.4967465925
3.06,-0.3792180924,-0.4826025698
3.07,-0.3955219502,-0.4678917705
3.08,-0.4112585302,-0.452635393
3.09,-0.4264097872,-0.4368552551
3.1,-0.4409585161,-0.420573762
3.11,-0.4548883708,-0.4038138733
3.12,-0.4681838816,-0.3865990706
3.13,-0.4808304706,-0.3689533233
3.14,-0.4928144675,-0.3509010549
3.15,-0.5041231221,-0.3324671081
3.16,-0.514744617,-0.3136767103
3.17,-0.5246680783,-0.2945554382
3.18,-0.5338835849,-0.2751291824
3.19,-0.5423821765,-0.2554241118
3.2,-0.5501558607,-0.2354666378
3.21,-0.5571976184,-0.2152833784
3.22,-0.5635014074,-0.1949011224
3.23,-0.5690621657,-0.1743467932
3.24,-0.5738758127,-0.1536474129
3.25,-0.5779392494,-0.1328300668
3.26,-0.5812503568,-0.1119218676
3.27,-0.583807994,-0.09094991979
3.28,-0.5856119941,-0.06994128475
3.29,-0.586663159,-0.04892294556
3.3,-0.5869632534,-0.02792177252
3.31,-0.5865149972,-0.006964488965
3.32,-0.5853220566,0.01392236255
3.33,-0.5833890344,0.03471245359
3.34,-0.5807214586,0.05537970258
3.35,-0.5773257707,0.07589830719
3.36,-0.5732093118,0.0962427759
3.37,-0.5683803087,0.1163879592
3.38,-0.5628478578,0.1363090797
3.39,-0.5566219093,0.1559817624
3.4,-0.5497132493,0.1753820631
3.41,-0.5421334813,0.1944864968
3.42,-0.5338950071,0.2132720655
3.43,-0.5250110064,0.2317162843
3.44,-0.5154954156,0.2497972073
3.45,-0.5053629057,0.2674934531
3.46,-0.4946288601,0.2847842277
3.47,-0.4833093504,0.3016493487
3.48,-0.4714211128,0.3180692669
3.49,-0.4589815229,0.3340250873
3.5,-0.4460085699,0.3494985899
3.51,-0.4325208313,0.3644722485
3.52,-0.4185374453,0.3789292489
3.53,-0.4040780841,0.3928535064
3.54,-0.3891629263,0.4062296816
3.55,-0.3738126282,0.4190431957
3.56,-0.3580482961,0.4312802445
3.57,-0.3418914564,0.4429278114
3.58,-0.3253640274,0.453973679
3.59,-0.3084882889,0.4644064406
3.6,-0.2912868532,0.4742155093
3.61,-0.2737826346,0.4833911269
3.62,-0.2559988193,0.4919243716
3.63,-0.2379588356,0.4998071643
3.64,-0.219686323,0.5070322742
3.65,-0.2012051022,0.513593323
3.66,-0.1825391444,0.5194847881
3.67,-0.163712541,0.5247020051
3.68,-0.1447494734,0.5292411688
3.69,-0.1256741825,0.5330993329
3.7,-0.1065109387,0.5362744099
3.71,-0.08728401201,0.5387651681
3.72,-0.06801764212,0.5405712295
3.73,-0.04873600899,0.5416930651
3.74,-0.02946320354,0.5421319903
3.75,-0.01022319868,0.5418901587
3.76,0.00896017934,0.5409705552
3.77,0.02806327925,0.5393769881
3.78,0.04706265263,0.5371140801
3.79,0.06593508142,0.5341872589
3.8,0.08465760497,0.5306027461
3.81,0.1032075466,0.5263675459
3.82,0.1215625397,0.5214894328
3.83,0.1397005533,0.5159769382
3.84,0.157599917,0.5098393362
3.85,0.1752393454,0.5030866291
3.86,0.1925979622,0.4957295318
3.87,0.2096553231,0.4877794549
3.88,0.2263914384,0.4792484885
3.89,0.242786795,0.4701493834
3.9,0.258822378,0.4604955336
3.91,0.2744796905,0.4503009565
3.92,0.2897407739,0.4395802737
3.93,0.3045882271,0.4283486901
3.94,0.3190052244,0.4166219737
3.95,0.3329755336,0.4044164336
3.96,0.3464835322,0.3917488981
3.97,0.3595142239,0.3786366928
3.98,0.3720532537,0.3650976169
3.99,0.3840869221,0.3511499204
4,0.3956021986,0.3368122803
4.01,0.4065867348,0.3221037764
4.02,0.4170288759,0.3070438665
4.03,0.4269176718,0.2916523622
4.04,0.4362428874,0.2759494035
4.05,0.4449950116,0.2599554334
4.06,0.453165266,0.2436911723
4.07,0.460745612,0.2271775925
4.08,0.4677287581,0.2104358917
4.09,0.4741081648,0.1934874675
4.1,0.4798780504,0.1763538906
4.11,0.485033394,0.1590568788
4.12,0.4895699395,0.1416182705
4.13,0.4934841971,0.1240599983
4.14,0.4967734448,0.1064040625
4.15,0.499435729,0.08867250467
4.16,0.501469864,0.07088738149
4.17,0.5028754302,0.05307073823
4.18,0.5036527726,0.03524458266
4.19,0.5038029971,0.01743085907
4.2,0.5033279667,-0.0003485776915
4.21,0.5022302969,-0.01807198783
4.22,0.5005133497,-0.03571777211
4.23,0.4981812275,-0.05326449706
4.24,0.4952387653,-0.0706909199
4.25,0.4916915228,-0.08797601324
4.26,0.4875457754,-0.1050989893
4.27,0.4828085044,-0.1220393241
4.28,0.4774873864,-0.1387767807
4.29,0.4715907822,-0.1552914328
4.3,0.4651277245,-0.1715636871
4.31,0.4581079048,-0.187574306
4.32,0.4505416605,-0.2033044293
4.33,0.4424399603,-0.2187355955
4.34,0.4338143889,-0.2338497624
4.35,0.4246771319,-0.2486293281
4.36,0.4150409594,-0.26305715
4.37,0.4049192087,-0.2771165643
4.38,0.394325767,-0.2907914043
4.39,0.3832750535,-0.3040660188
4.4,0.371782,-0.3169252888
4.41,0.3598620325,-0.3293546445
4.42,0.3475310504,-0.3413400808
4.43,0.334805407,-0.3528681733
4.44,0.3217018883,-0.3639260919
4.45,0.3082376916,-0.3745016152
4.46,0.2944304042,-0.3845831434
4.47,0.2802979807,-0.3941597104
4.48,0.2658587212,-0.4032209957
4.49,0.2511312476,-0.4117573346
4.5,0.2361344813,-0.4197597285
4.51,0.2208876187,-0.4272198542
4.52,0.2054101083,-0.4341300717
4.53,0.1897216259,-0.4404834319
4.54,0.1738420511,-0.4462736834
4.55,0.1577914421,-0.4514952781
4.56,0.1415900115,-0.4561433763
4.57,0.1252581013,-0.4602138507
4.58,0.1088161583,-0.4637032897
4.59,0.09228470884,-0.4666089999
4.6,0.07568433395,-0.4689290072
4.61,0.05903564432,-0.4706620581
4.62,0.04235925525,-0.4718076189
4.63,0.02567576167,-0.4723658751
4.64,0.009005713266,-0.4723377291
4.65,-0.007630410375,-0.4717247976
4.66,-0.02421222441,-0.4705294079
4.67,-0.04071946328,-0.4687545936
4.68,-0.05713200502,-0.4664040889
4.69,-0.07342989542,-0.4634823228
4.7,-0.08959337183,-0.4599944117
4.71,-0.1056028868,-0.455946152
4.72,-0.1214391314,-0.4513440112
4.73,-0.1370830582,-0.4461951184
4.74,-0.1525159036,-0.4405072544
4.75,-0.1677192104,-0.4342888404
4.76,-0.1826748496,-0.4275489264
4.77,-0.1973650413,-0.4202971787
4.78,-0.2117723763,-0.4125438667
4.79,-0.2258798358,-0.4042998486
4.8,-0.2396708119,-0.3955765575
4.81,-0.2531291264,-0.3863859854
4.82,-0.26623905,-0.3767406675
4.83,-0.2789853205,-0.3666536659
4.84,-0.29135316,-0.3561385517
4.85,-0.3033282922,-0.345209388
4.86,-0.3148969588,-0.3338807108
4.87,-0.3260459349,-0.3221675107
4.88,-0.3367625439,-0.3100852131
4.89,-0.3470346723,-0.2976496583
4.9,-0.3568507824,-0.2848770812
4.91,-0.366199926,-0.2717840904
4.92,-0.3750717556,-0.258387647
4.93,-0.3834565365,-0.2447050429
4.94,-0.3913451566,-0.2307538788
4.95,-0.3987291364,-0.2165520417
4.96,-0.4056006381,-0.2021176827
4.97,-0.4119524735,-0.1874691933
4.98,-0.4177781111,-0.1726251832
4.99,-0.423071683,-0.157604456
5,-0.4278279901,-0.1424259861
5.01,-0.432042507,-0.127108895
5.02,-0.4357113862,-0.1116724271
5.03,-0.4388314608,-0.096135926
5.04,-0.4414002469,-0.08051881048
5.05,-0.443415945,-0.06484055027
5.06,-0.4448774406,-0.04912064207
5.07,-0.4457843037,-0.0333785855
5.08,-0.4461367879,-0.0176338591
5.09,-0.445935828,-0.001905896398
5.1,-0.4451830376,0.01378593785
5.11,-0.4438807053,0.02942237132
5.12,-0.44203179,0.04498424762
5.13,-0.4396399157,0.06045254953
5.14,-0.4367093655,0.07580842207
5.15,-0.4332450745,0.09103319524
5.16,-0.4292526222,0.1061084066
5.17,-0.4247382239,0.1210158232
5.18,-0.4197087217,0.135737464
5.19,-0.4141715741,0.1502556204
5.2,-0.4081348455,0.1645528783
5.21,-0.4016071948,0.178612138
5.22,-0.3945978633,0.1924166349
5.23,-0.3871166613,0.2059499589
5.24,-0.3791739554,0.2191960738
5.25,-0.3707806539,0.2321393361
5.26,-0.3619481917,0.244764513
5.27,-0.3526885158,0.2570568001
5.28,-0.3430140685,0.2690018387
5.29,-0.332937771,0.280585732
5.3,-0.3224730068,0.2917950607
5.31,-0.3116336036,0.3026168989
5.32,-0.3004338152,0.3130388281
5.33,-0.2888883034,0.3230489515
5.34,-0.2770121184,0.3326359066
5.35,-0.2648206797,0.3417888785
5.36,-0.2523297564,0.3504976113
5.37,-0.2395554465,0.3587524191
5.38,-0.2265141569,0.3665441966
5.39,-0.213222582,0.3738644287
5.4,-0.1996976831,0.3807051993
5.41,-0.1859566667,0.3870591994
5.42,-0.1720169628,0.3929197346
5.43,-0.157896203,0.3982807316
5.44,-0.1436121988,0.403136744
5.45,-0.129182919,0.4074829572
5.46,-0.1146264676,0.4113151931
5.47,-0.09996106146,0.4146299131
5.48,-0.08520500752,0.4174242208
5.49,-0.07037668053,0.4196958643
5.5,-0.0554945004,0.4214432368
5.51,-0.04057690969,0.4226653774
5.52,-0.02564235107,0.4233619701
5.53,-0.01070924494,0.4235333432
5.54,0.004204032907,0.4231804666
5.55,0.01907917356,0.4223049495
5.56,0.03389795703,0.4209090368
5.57,0.04864227412,0.4189956046
5.58,0.06329414821,0.4165681553
5.59,0.07783575669,0.4136308117
5.6,0.0922494522,0.4101883108
5.61,0.1065177836,0.406245996
5.62,0.1206235168,0.4018098097
5.63,0.1345496547,0.3968862845
5.64,0.1482794579,0.3914825336
5.65,0.1617964635,0.3856062413
5.66,0.1750845051,0.3792656518
5.67,0.1881277313,0.3724695586
5.68,0.2009106243,0.3652272919
5.69,0.2134180178,0.3575487064
5.7,0.2256351144,0.3494441684
5.71,0.2375475031,0.3409245417
5.72,0.2491411751,0.3320011736
5.73,0.2604025407,0.32268588
5.74,0.271318444,0.3129909303
5.75,0.2818761784,0.3029290314
5.76,0.2920635005,0.2925133114
5.77,0.3018686442,0.281757303
5.78,0.3112803338,0.2706749263
5.79,0.3202877965,0.259280471
5.8,0.3288807744,0.2475885788
5.81,0.3370495356,0.2356142244
5.82,0.3447848853,0.2233726975
5.83,0.3520781753,0.2108795832
5.84,0.3589213138,0.1981507428
5.85,0.3653067735,0.1852022942
5.86,0.3712276,0.172050592
5.87,0.3766774191,0.1587122072
5.88,0.3816504431,0.1452039069
5.89,0.3861414767,0.1315426338
5.9,0.3901459223,0.1177454854
5.91,0.3936597846,0.1038296933
5.92,0.396679674,0.08981260171
5.93,0.3992028095,0.07571164703
5.94,0.4012270215,0.06154433621
5.95,0.402750753,0.04732822573
5.96,0.4037730606,0.03308090032
5.97,0.4042936142,0.01881995175
5.98,0.4043126971,0.004562957601
5.99,0.403831204,-0.009672539875
6,0.4028506392,-0.02386905484
