"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,0.1849973463,-0.7797996015
1.01,0.1616712057,-0.7848717178
1.02,0.1380442656,-0.7892607654
1.03,0.1141426958,-0.7929465229
1.04,0.08999357138,-0.7959101891
1.05,0.06562480229,-0.7981343991
1.06,0.04106506389,-0.7996032378
1.07,0.01634372761,-0.800302252
1.08,-0.008509207738,-0.8002184595
1.09,-0.03346318419,-0.7993403572
1.1,-0.05848715225,-0.7976579264
1.11,-0.083549638,-0.7951626366
1.12,-0.1086188095,-0.7918474464
1.13,-0.1336625426,-0.7877068034
1.14,-0.1586484859,-0.7827366413
1.15,-0.1835441252,-0.776934375
1.16,-0.2083168467,-0.7702988939
1.17,-0.2329339997,-0.7628305531
1.18,-0.2573629585,-0.7545311623
1.19,-0.2815711828,-0.7454039732
1.2,-0.3055262773,-0.7354536648
1.21,-0.3291960506,-0.7246863264
1.22,-0.3525485725,-0.713109439
1.23,-0.3755522301,-0.7007318551
1.24,-0.3981757831,-0.6875637763
1.25,-0.4203884175,-0.6736167292
1.26,-0.442159798,-0.6589035397
1.27,-0.463460119,-0.6434383054
1.28,-0.484260154,-0.627236367
1.29,-0.5045313044,-0.6103142771
1.3,-0.5242456454,-0.5926897686
1.31,-0.5433759717,-0.5743817204
1.32,-0.5618958404,-0.5554101233
1.33,-0.5797796134,-0.5357960427
1.34,-0.5970024973,-0.5155615818
1.35,-0.6135405819,-0.4947298421
1.36,-0.6293708772,-0.4733248839
1.37,-0.6444713483,-0.4513716848
1.38,-0.6588209485,-0.4288960979
1.39,-0.672399651,-0.4059248085
1.4,-0.6851884784,-0.3824852901
1.41,-0.6971695304,-0.3586057598
1.42,-0.70832601,-0.3343151328
1.43,-0.7186422471,-0.3096429757
1.44,-0.728103721,-0.2846194602
1.45,-0.7366970808,-0.2592753153
1.46,-0.7444101634,-0.2336417796
1.47,-0.7512320099,-0.2077505528
1.48,-0.7571528808,-0.1816337474
1.49,-0.7621642678,-0.1553238393
1.5,-0.7662589052,-0.1288536192
1.51,-0.7694307785,-0.1022561426
1.52,-0.7716751312,-0.07556468122
1.53,-0.7729884701,-0.04881267316
1.54,-0.7733685683,-0.02203367368
1.55,-0.7728144666,0.004738693953
1.56,-0.7713264733,0.03147078746
1.57,-0.7689061611,0.05812899432
1.58,-0.7655563635,0.08467978023
1.59,-0.761281169,0.1110897371
1.6,-0.7560859129,0.1373256309
1.61,-0.7499771679,0.1633544484
1.62,-0.7429627335,0.1891434442
1.63,-0.7350516226,0.2146601864
1.64,-0.7262540469,0.2398726022
1.65,-0.7165814014,0.2647490223
1.66,-0.7060462461,0.2892582246
1.67,-0.6946622869,0.3133694777
1.68,-0.682444355,0.3370525826
1.69,-0.6694083843,0.3602779139
1.7,-0.6555713879,0.3830164606
1.71,-0.6409514329,0.4052398647
1.72,-0.6255676139,0.4269204597
1.73,-0.6094400255,0.4480313075
1.74,-0.5925897325,0.4685462347
1.75,-0.5750387406,0.4884398669
1.76,-0.5568099639,0.5076876626
1.77,-0.5379271932,0.526265945
1.78,-0.5184150616,0.5441519338
1.79,-0.49829901,0.5613237739
1.8,-0.4776052517,0.5777605644
1.81,-0.4563607352,0.5934423852
1.82,-0.434593107,0.6083503227
1.83,-0.412330673,0.6224664935
1.84,-0.3896023595,0.6357740674
1.85,-0.3664376733,0.6482572885
1.86,-0.3428666612,0.6599014944
1.87,-0.3189198686,0.6706931347
1.88,-0.2946282979,0.6806197873
1.89,-0.2700233664,0.6896701736
1.9,-0.2451368633,0.6978341715
1.91,-0.2200009068,0.7051028277
1.92,-0.1946479009,0.7114683675
1.93,-0.1691104911,0.7169242037
1.94,-0.1434215211,0.7214649436
1.95,-0.1176139884,0.7250863942
1.96,-0.09172100001,0.7277855661
1.97,-0.06577572854,0.7295606758
1.98,-0.0398113676,0.7304111459
1.99,-0.0138610878,0.7303376044
