"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,0.1759176879,-0.5806810842
1.01,0.1593140691,-0.5854597478
1.02,0.1424563324,-0.5897915138
1.03,0.1253604776,-0.5936602245
1.04,0.1080432106,-0.5970506087
1.05,0.09052189968,-0.5999482931
1.06,0.07281453318,-0.6023398122
1.07,0.05493967669,-0.6042126181
1.08,0.03691643122,-0.6055550895
1.09,0.01876439147,-0.6063565386
1.1,0.000503604574,-0.6066072182
1.11,-0.01784547087,-0.6062983275
1.12,-0.03626200542,-0.6054220163
1.13,-0.05472483908,-0.603971389
1.14,-0.07321252117,-0.6019405077
1.15,-0.09170335,-0.5993243928
1.16,-0.110175412,-0.596119025
1.17,-0.1286066207,-0.5923213436
1.18,-0.1469747553,-0.5879292462
1.19,-0.1652574985,-0.5829415856
1.2,-0.1834324748,-0.5773581667
1.21,-0.2014772871,-0.5711797417
1.22,-0.2193695545,-0.5644080047
1.23,-0.2370869482,-0.5570455854
1.24,-0.2546072277,-0.549096041
1.25,-0.2719082764,-0.540563848
1.26,-0.2889681367,-0.5314543924
1.27,-0.3057650448,-0.5217739589
1.28,-0.3222774642,-0.5115297194
1.29,-0.3384841197,-0.5007297204
1.3,-0.3543640301,-0.4893828691
1.31,-0.3698965405,-0.4774989187
1.32,-0.3850613539,-0.4650884531
1.33,-0.3998385625,-0.4521628698
1.34,-0.4142086777,-0.4387343629
1.35,-0.42815266,-0.4248159042
1.36,-0.4416519477,-0.4104212236
1.37,-0.454688485,-0.3955647894
1.38,-0.4672447496,-0.3802617866
1.39,-0.479303779,-0.3645280949
1.4,-0.4908491962,-0.3483802659
1.41,-0.5018652346,-0.3318354991
1.42,-0.5123367619,-0.3149116176
1.43,-0.522249303,-0.2976270428
1.44,-0.531589062,-0.2800007678
1.45,-0.5403429435,-0.2620523312
1.46,-0.5484985725,-0.2438017893
1.47,-0.5560443134,-0.2252696881
1.48,-0.5629692879,-0.2064770341
1.49,-0.5692633922,-0.1874452656
1.5,-0.5749173124,-0.1681962221
1.51,-0.5799225397,-0.148752114
1.52,-0.5842713835,-0.1291354919
1.53,-0.5879569838,-0.1093692149
1.54,-0.590973323,-0.0894764187
1.55,-0.593315235,-0.06948048377
1.56,-0.594978415,-0.04940500245
1.57,-0.5959594262,-0.02927374632
1.58,-0.5962557069,-0.009110633068
1.59,-0.5958655751,0.01106030673
1.6,-0.5947882328,0.03121496303
1.61,-0.5930237683,0.05132917986
1.62,-0.5905731577,0.07137878885
1.63,-0.5874382649,0.09133964287
1.64,-0.5836218405,0.1111876496
1.65,-0.5791275194,0.1308988048
1.66,-0.573959817,0.1504492261
1.67,-0.5681241242,0.1698151856
1.68,-0.5616267013,0.1889731434
1.69,-0.5544746704,0.2078997796
1.7,-0.5466760069,0.2265720274
1.71,-0.5382395295,0.2449671043
1.72,-0.5291748888,0.2630625444
1.73,-0.5194925554,0.2808362288
1.74,-0.5092038063,0.2982664168
1.75,-0.4983207102,0.3153317755
1.76,-0.4868561116,0.3320114094
1.77,-0.4748236143,0.3482848892
1.78,-0.4622375632,0.3641322799
1.79,-0.4491130254,0.3795341681
1.8,-0.4354657703,0.3944716889
1.81,-0.4213122484,0.4089265513
1.82,-0.4066695694,0.4228810635
1.83,-0.3915554797,0.4363181568
1.84,-0.3759883383,0.4492214088
1.85,-0.3599870921,0.461575066
1.86,-0.3435712512,0.4733640644
1.87,-0.326760862,0.4845740505
1.88,-0.3095764807,0.4951914
1.89,-0.2920391459,0.5052032359
1.9,-0.2741703499,0.5145974464
1.91,-0.2559920106,0.5233626998
1.92,-0.2375264417,0.5314884602
1.93,-0.2187963231,0.5389650008
1.94,-0.1998246705,0.5457834167
1.95,-0.1806348047,0.551935636
1.96,-0.161250321,0.5574144304
1.97,-0.141695057,0.5622134239
1.98,-0.1219930619,0.566327101
1.99,-0.1021685641,0.5697508128
2,-0.0822459391,0.5724807828
2.01,-0.0622496779,0.5745141111
2.02,-0.04220435434,0.5758487772
2.03,-0.02213459299,0.5764836418
2.04,-0.002065036969,0.5764184475
2.05,0.01797968427,0.5756538182
2.06,0.03797498697,0.5741912572
2.07,0.05789636497,0.5720331441
2.08,0.07771942142,0.5691827308
2.09,0.09741990024,0.5656441362
2.1,0.1169737173,0.5614223395
2.11,0.1363569913,0.5565231729
2.12,0.1555460742,0.5509533127
2.13,0.1745175814,0.5447202697
2.14,0.1932484213,0.5378323779
2.15,0.2117158246,0.5302987831
2.16,0.2298973728,0.5221294299
2.17,0.2477710263,0.5133350472
2.18,0.2653151521,0.503927134
2.19,0.2825085505,0.4939179432
2.2,0.2993304815,0.4833204646
2.21,0.3157606903,0.4721484078
2.22,0.3317794321,0.4604161829
2.23,0.3473674965,0.4481388818
2.24,0.3625062304,0.4353322574
2.25,0.3771775611,0.4220127033
2.26,0.3913640178,0.4081972312
2.27,0.4050487524,0.3939034495
2.28,0.4182155602,0.3791495392
2.29,0.4308488982,0.3639542309
2.3,0.4429339043,0.34833678
2.31,0.4544564143,0.3323169418
2.32,0.4654029785,0.3159149462
2.33,0.475760877,0.2991514714
2.34,0.485518135,0.2820476179
2.35,0.4946635357,0.2646248808
2.36,0.5031866334,0.2469051232
2.37,0.511077765,0.228910548
2.38,0.5183280612,0.2106636702
2.39,0.5249294553,0.1921872882
2.4,0.5308746929,0.1735044553
2.41,0.5361573389,0.1546384509
2.42,0.5407717844,0.1356127515
2.43,0.5447132525,0.116451001
