"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,0.7926307581,-0.420503794
1.01,0.7859578319,-0.4223393793
1.02,0.7794291003,-0.4245258144
1.03,0.7730236171,-0.4270507345
1.04,0.7667214334,-0.4299018691
1.05,0.7605035538,-0.433067038
1.06,0.7543518956,-0.4365341482
1.07,0.7482492505,-0.4402911918
1.08,0.742179249,-0.4443262432
1.09,0.7361263268,-0.4486274579
1.1,0.730075693,-0.4531830712
1.11,0.7240133011,-0.457981397
1.12,0.7179258208,-0.4630108274
1.13,0.7118006117,-0.4682598322
1.14,0.7056256991,-0.4737169594
1.15,0.6993897499,-0.4793708351
1.16,0.6930820514,-0.4852101642
1.17,0.68669249,-0.491223731
1.18,0.6802115316,-0.4974004005
1.19,0.6736302026,-0.5037291195
1.2,0.6669400726,-0.5101989178
1.21,0.6601332374,-0.5167989098
1.22,0.6532023023,-0.5235182965
1.23,0.6461403677,-0.530346367
1.24,0.6389410138,-0.5372725004
1.25,0.6315982868,-0.5442861682
1.26,0.6241066853,-0.5513769362
1.27,0.616461148,-0.5585344669
1.28,0.6086570405,-0.5657485216
1.29,0.6006901445,-0.5730089631
1.3,0.5925566452,-0.5803057582
1.31,0.5842531212,-0.5876289797
1.32,0.5757765337,-0.5949688097
1.33,0.5671242156,-0.6023155415
1.34,0.5582938626,-0.6096595827
1.35,0.5492835225,-0.6169914575
1.36,0.5400915865,-0.6243018097
1.37,0.53071678,-0.631581405
1.38,0.5211581534,-0.638821134
1.39,0.511415074,-0.6460120144
1.4,0.5014872171,-0.6531451941
1.41,0.491374558,-0.6602119536
1.42,0.481077364,-0.6672037085
1.43,0.4705961865,-0.6741120123
1.44,0.459931853,-0.6809285589
1.45,0.44908546,-0.6876451849
1.46,0.4380583654,-0.6942538721
1.47,0.4268521809,-0.7007467502
1.48,0.4154687652,-0.7071160989
1.49,0.403910217,-0.7133543504
1.5,0.3921788675,-0.7194540915
1.51,0.3802772741,-0.7254080659
1.52,0.3682082136,-0.7312091763
1.53,0.3559746749,-0.7368504865
1.54,0.3435798533,-0.7423252237
1.55,0.3310271433,-0.74762678
1.56,0.3183201324,-0.7527487146
1.57,0.3054625951,-0.7576847554
1.58,0.2924584858,-0.762428801
1.59,0.2793119332,-0.7669749223
1.6,0.2660272341,-0.7713173639
1.61,0.2526088469,-0.7754505458
1.62,0.2390613858,-0.7793690648
1.63,0.2253896151,-0.7830676959
1.64,0.2115984427,-0.7865413935
1.65,0.1976929145,-0.7897852927
1.66,0.1836782085,-0.7927947101
1.67,0.1695596291,-0.7955651453
1.68,0.1553426015,-0.7980922815
1.69,0.1410326655,-0.8003719866
1.7,0.1266354705,-0.8024003137
1.71,0.1121567694,-0.8041735019
1.72,0.09760241339,-0.805687977
1.73,0.08297834637,-0.8069403518
1.74,0.06829059941,-0.807927427
1.75,0.05354528546,-0.8086461908
1.76,0.03874859397,-0.8090938197
1.77,0.02390678559,-0.8092676786
1.78,0.009026186926,-0.8091653206
1.79,-0.005886814687,-0.8087844875
1.8,-0.0208257763,-0.8081231092
1.81,-0.0357842045,-0.8071793035
1.82,-0.05075556042,-0.8059513765
1.83,-0.06573326478,-0.8044378216
1.84,-0.08071070284,-0.8026373191
1.85,-0.09568122926,-0.8005487361
1.86,-0.110638173,-0.7981711256
1.87,-0.1255748422,-0.7955037259
1.88,-0.1404845286,-0.7925459596
1.89,-0.1553605127,-0.7892974333
1.9,-0.1701960681,-0.7857579362
1.91,-0.1849844661,-0.7819274392
1.92,-0.1997189802,-0.7778060939
1.93,-0.2143928909,-0.7733942315
1.94,-0.2289994897,-0.7686923612
1.95,-0.2435320835,-0.7637011695
1.96,-0.2579839993,-0.7584215183
1.97,-0.2723485879,-0.7528544437
1.98,-0.2866192286,-0.7470011543
1.99,-0.3007893327,-0.7408630298
2,-0.3148523483,-0.7344416191
2.01,-0.3288017637,-0.7277386388
2.02,-0.3426311115,-0.7207559712
2.03,-0.3563339726,-0.7134956625
2.04,-0.3699039799,-0.7059599209
2.05,-0.3833348222,-0.6981511147
2.06,-0.3966202474,-0.6900717698
2.07,-0.4097540667,-0.681724568
2.08,-0.4227301578,-0.6731123448
2.09,-0.4355424686,-0.664238087
2.1,-0.4481850202,-0.6551049302
2.11,-0.4606519108,-0.6457161569
2.12,-0.4729373184,-0.6360751939
2.13,-0.4850355045,-0.6261856095
2.14,-0.4969408168,-0.6160511117
2.15,-0.5086476928,-0.6056755448
2.16,-0.5201506622,-0.5950628873
2.17,-0.53144435,-0.5842172492
2.18,-0.5425234798,-0.5731428691
2.19,-0.5533828758,-0.5618441117
2.2,-0.5640174661,-0.5503254644
2.21,-0.5744222851,-0.5385915354
2.22,-0.5845924762,-0.52664705
2.23,-0.5945232939,-0.5144968479
2.24,-0.6042101068,-0.5021458805
2.25,-0.6136483993,-0.4895992075
2.26,-0.6228337743,-0.4768619942
2.27,-0.6317619554,-0.4639395083
2.28,-0.6404287885,-0.4508371165
2.29,-0.6488302445,-0.437560282
2.3,-0.6569624209,-0.4241145608
2.31,-0.6648215434,-0.4105055985
2.32,-0.6724039684,-0.3967391277
2.33,-0.6797061843,-0.382820964
2.34,-0.6867248129,-0.3687570029
2.35,-0.6934566116,-0.3545532172
2.36,-0.6998984744,-0.3402156525
2.37,-0.7060474336,-0.325750425
2.38,-0.7119006608,-0.3111637174
2.39,-0.7174554687,-0.2964617759
2.4,-0.7227093117,-0.2816509068
2.41,-0.7276597875,-0.2667374727
2.42,-0.7323046378,-0.2517278898
2.43,-0.7366417495,-0.2366286239
2.44,-0.7406691553,-0.2214461872
2.45,-0.7443850349,-0.2061871349
2.46,-0.7477877152,-0.1908580616
2.47,-0.7508756715,-0.175465598
2.48,-0.7536475276,-0.1600164076
2.49,-0.7561020568,-0.1445171827
2.5,-0.7582381817,-0.1289746416
2.51,-0.7600549752,-0.1133955248
2.52,-0.7615516601,-0.09778659161
2.53,-0.7627276101,-0.08215461672
2.54,-0.7635823489,-0.06650638675
2.55,-0.7641155513,-0.05084869687
2.56,-0.7643270425,-0.03518834734
2.57,-0.764216798,-0.0195321401
2.58,-0.7637849438,-0.003886875375
2.59,-0.763031756,0.01174065169
2.6,-0.7619576601,0.02734365445
2.61,-0.7605632313,0.04291535805
2.62,-0.7588491933,0.05844900284
2.63,-0.7568164183,0.07393784763
2.64,-0.7544659263,0.08937517304
2.65,-0.751798884,0.1047542848
2.66,-0.7488166046,0.1200685168
2.67,-0.7455205467,0.1353112348
2.68,-0.7419123133,0.1504758391
2.69,-0.7379936513,0.165555768
2.7,-0.7337664499,0.180544501
2.71,-0.7292327398,0.1954355618
2.72,-0.724394692,0.2102225214
2.73,-0.7192546168,0.2248990013
2.74,-0.713814962,0.2394586763
2.75,-0.7080783121,0.2538952779
2.76,-0.7020473864,0.2682025966
2.77,-0.695725038,0.2823744856
2.78,-0.6891142519,0.2964048631
2.79,-0.6822181435,0.3102877155
2.8,-0.675039957,0.3240171
2.81,-0.6675830637,0.3375871473
2.82,-0.6598509599,0.3509920647
2.83,-0.6518472659,0.3642261386
2.84,-0.6435757229,0.3772837366
2.85,-0.6350401923,0.3901593112
2.86,-0.6262446528,0.4028474013
2.87,-0.6171931987,0.4153426352
2.88,-0.6078900379,0.427639733
2.89,-0.5983394897,0.4397335089
2.9,-0.5885459823,0.4516188736
2.91,-0.5785140511,0.4632908367
2.92,-0.5682483359,0.4747445086
2.93,-0.5577535789,0.4859751032
2.94,-0.5470346221,0.4969779395
2.95,-0.5360964052,0.5077484441
2.96,-0.5249439626,0.5182821528
2.97,-0.5135824215,0.528574713
2.98,-0.5020169991,0.5386218854
2.99,-0.4902529996,0.5484195458
3,-0.4782958125,0.5579636868
3.01,-0.4661509091,0.5672504199
3.02,-0.4538238403,0.5762759768
3.03,-0.4413202336,0.5850367111
3.04,-0.4286457906,0.5935290998
3.05,-0.4158062841,0.6017497451
3.06,-0.4028075553,0.6096953752
3.07,-0.3896555108,0.6173628464
3.08,-0.3763561203,0.6247491436
3.09,-0.3629154129,0.6318513821
3.1,-0.349339475,0.6386668086
3.11,-0.3356344467,0.6451928023
3.12,-0.3218065194,0.6514268756
3.13,-0.3078619326,0.6573666758
3.14,-0.2938069707,0.663009985
3.15,-0.2796479606,0.668354722
3.16,-0.265391268,0.6733989421
3.17,-0.251043295,0.6781408384
3.18,-0.2366104766,0.6825787423
3.19,-0.2220992779,0.6867111238
3.2,-0.2075161911,0.6905365924
3.21,-0.1928677323,0.6940538971
3.22,-0.1781604385,0.6972619271
3.23,-0.1634008647,0.7001597119
3.24,-0.1485955805,0.7027464217
3.25,-0.1337511674,0.7050213672
3.26,-0.1188742156,0.706984
3.27,-0.1039713208,0.7086339127
3.28,-0.08904908153,0.7099708385
3.29,-0.07411409561,0.7109946512
3.3,-0.05917295755,0.7117053654
3.31,-0.04423225531,0.7121031357
3.32,-0.02929856736,0.7121882567
3.33,-0.01437845963,0.7119611625
3.34,0.0005215174566,0.7114224265
3.35,0.01539483195,0.7105727605
3.36,0.03023497333,0.7094130145
3.37,0.04503545548,0.7079441759
3.38,0.05978981956,0.7061673688
3.39,0.07449163694,0.7040838532
3.4,0.08913451207,0.7016950243
3.41,0.1037120853,0.6990024117
3.42,0.1182180359,0.6960076781
3.43,0.1326460845,0.6927126186
3.44,0.1469899963,0.6891191596
3.45,0.1612435834,0.6852293578
3.46,0.1754007079,0.6810453985
3.47,0.1894552844,0.6765695952
3.48,0.2034012827,0.6718043876
3.49,0.2172327303,0.6667523404
3.5,0.2309437154,0.6614161424
3.51,0.2445283888,0.6557986043
3.52,0.2579809672,0.6499026579
3.53,0.271295735,0.6437313539
3.54,0.2844670473,0.6372878608
3.55,0.2974893317,0.6305754631
3.56,0.3103570914,0.6235975594
3.57,0.3230649071,0.6163576611
3.58,0.335607439,0.6088593898
3.59,0.34797943,0.6011064766
3.6,0.3601757067,0.593102759
3.61,0.3721911827,0.5848521801
3.62,0.3840208597,0.5763587856
3.63,0.3956598303,0.5676267225
3.64,0.4071032798,0.558660237
3.65,0.418346488,0.5494636717
3.66,0.4293848315,0.5400414646
3.67,0.4402137849,0.5303981458
3.68,0.4508289236,0.5205383362
3.69,0.4612259246,0.5104667446
3.7,0.471400569,0.500188166
3.71,0.4813487432,0.4897074787
3.72,0.4910664407,0.4790296425
3.73,0.5005497635,0.468159696
3.74,0.5097949241,0.4571027543
3.75,0.5187982462,0.4458640067
3.76,0.527556167,0.434448714
3.77,0.5360652378,0.4228622063
3.78,0.5443221255,0.4111098803
3.79,0.5523236144,0.3991971969
3.8,0.5600666064,0.3871296786
3.81,0.5675481232,0.3749129069
3.82,0.5747653064,0.36255252
3.83,0.5817154194,0.3500542096
3.84,0.5883958476,0.337423719
3.85,0.5948041,0.3246668401
3.86,0.6009378096,0.3117894107
3.87,0.6067947342,0.2987973119
3.88,0.6123727577,0.2856964656
3.89,0.6176698898,0.2724928316
3.9,0.6226842678,0.259192405
3.91,0.6274141561,0.2458012136
3.92,0.6318579476,0.232325315
3.93,0.6360141634,0.2187707941
3.94,0.6398814539,0.2051437601
3.95,0.6434585987,0.1914503441
3.96,0.646744507,0.1776966963
3.97,0.6497382177,0.1638889831
3.98,0.6524389001,0.1500333844
3.99,0.6548458533,0.1361360911
4,0.6569585069,0.1222033024
4.01,0.6587764206,0.1082412226
4.02,0.6602992842,0.0942560589
4.03,0.6615269179,0.08025401855
4.04,0.6624592715,0.06624130604
4.05,0.6630964248,0.05222412049
4.06,0.6634385868,0.03820865296
4.07,0.663486096,0.02420108376
4.08,0.6632394195,0.01020757979
4.09,0.6626991527,-0.003765708118
4.1,0.6618660189,-0.01771264782
4.11,0.6607408689,-0.03162712854
4.12,0.65932468,-0.0455030634
4.13,0.657618556,-0.05933439213
4.14,0.6556237258,-0.07311508353
4.15,0.6533415432,-0.08683913812
4.16,0.6507734859,-0.1005005907
4.17,0.6479211545,-0.1140935127
4.18,0.644786272,-0.1276120149
4.19,0.6413706826,-0.1410502499
4.2,0.6376763507,-0.1544024145
4.21,0.6337053599,-0.167662752
4.22,0.629459912,-0.180825555
4.23,0.6249423259,-0.1938851674
4.24,0.620155036,-0.2068359869
4.25,0.6151005918,-0.2196724676
4.26,0.6097816555,-0.2323891219
4.27,0.604201002,-0.244980523
4.28,0.5983615163,-0.2574413071
4.29,0.592266193,-0.2697661756
4.3,0.5859181342,-0.2819498976
4.31,0.5793205487,-0.2939873116
4.32,0.5724767496,-0.3058733277
4.33,0.5653901537,-0.3176029302
4.34,0.558064279,-0.3291711791
4.35,0.5505027437,-0.3405732122
4.36,0.542709264,-0.3518042475
4.37,0.5346876528,-0.3628595848
4.38,0.5264418176,-0.3737346077
4.39,0.517975759,-0.3844247855
