"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,0.5774853848,-0.298155086
1.01,0.5726030064,-0.2988074635
1.02,0.5678571607,-0.2997198947
1.03,0.5632322789,-0.3008841459
1.04,0.558713506,-0.3022920564
1.05,0.5542866676,-0.3039355348
1.06,0.5499382395,-0.305806556
1.07,0.5456553186,-0.3078971575
1.08,0.5414255967,-0.3101994373
1.09,0.5372373347,-0.3127055516
1.1,0.5330793393,-0.3154077121
1.11,0.5289409411,-0.318298185
1.12,0.5248119737,-0.321369289
1.13,0.5206827543,-0.3246133941
1.14,0.5165440653,-0.3280229204
1.15,0.5123871374,-0.3315903377
1.16,0.5082036331,-0.3353081642
1.17,0.5039856315,-0.3391689664
1.18,0.4997256143,-0.3431653589
1.19,0.4954164514,-0.3472900039
1.2,0.491051389,-0.3515356114
1.21,0.4866240366,-0.3558949393
1.22,0.4821283563,-0.3603607937
1.23,0.4775586512,-0.3649260293
1.24,0.4729095554,-0.3695835499
1.25,0.4681760241,-0.374326309
1.26,0.4633533245,-0.3791473106
1.27,0.4584370264,-0.3840396099
1.28,0.4534229942,-0.3889963145
1.29,0.4483073783,-0.3940105848
1.3,0.443086608,-0.3990756357
1.31,0.4377573836,-0.4041847375
1.32,0.4323166694,-0.409331217
1.33,0.4267616869,-0.4145084587
1.34,0.4210899086,-0.4197099065
1.35,0.415299051,-0.4249290647
1.36,0.4093870692,-0.4301594994
1.37,0.4033521509,-0.4353948403
1.38,0.3971927103,-0.4406287818
1.39,0.3909073833,-0.4458550849
1.4,0.3844950217,-0.4510675783
1.41,0.3779546883,-0.4562601604
1.42,0.3712856518,-0.4614268006
1.43,0.3644873819,-0.4665615412
1.44,0.3575595448,-0.4716584986
1.45,0.3505019983,-0.4767118655
1.46,0.3433147873,-0.481715912
1.47,0.3359981397,-0.4866649879
1.48,0.3285524615,-0.4915535235
1.49,0.3209783332,-0.496376032
1.5,0.3132765051,-0.501127111
1.51,0.3054478933,-0.5058014437
1.52,0.2974935759,-0.5103938011
1.53,0.2894147888,-0.5148990435
1.54,0.2812129219,-0.5193121216
1.55,0.2728895149,-0.5236280789
1.56,0.2644462539,-0.5278420525
1.57,0.2558849673,-0.5319492755
1.58,0.2472076222,-0.5359450775
1.59,0.2384163206,-0.539824887
1.6,0.2295132955,-0.5435842324
1.61,0.2205009078,-0.5472187436
1.62,0.2113816419,-0.5507241532
1.63,0.2021581028,-0.5540962982
1.64,0.192833012,-0.5573311211
1.65,0.1834092042,-0.5604246713
1.66,0.1738896235,-0.5633731062
1.67,0.1642773203,-0.5661726928
1.68,0.1545754471,-0.5688198084
1.69,0.1447872558,-0.571310942
1.7,0.1349160936,-0.5736426954
1.71,0.1249653995,-0.575811784
1.72,0.1149387015,-0.5778150382
1.73,0.1048396125,-0.5796494038
1.74,0.09467182686,-0.5813119435
1.75,0.08443911759,-0.5827998373
1.76,0.07414533231,-0.5841103832
1.77,0.06379439013,-0.5852409986
1.78,0.05339027826,-0.58618922
1.79,0.04293704858,-0.5869527046
1.8,0.03243881435,-0.5875292301
1.81,0.02189974683,-0.5879166958
1.82,0.01132407196,-0.5881131224
1.83,0.0007160670719,-0.5881166531
1.84,-0.009919942426,-0.5879255536
1.85,-0.0205795863,-0.5875382123
1.86,-0.03125845277,-0.5869531407
1.87,-0.04195209173,-0.5861689735
1.88,-0.05265601798,-0.5851844687
1.89,-0.06336571442,-0.5839985078
1.9,-0.07407663524,-0.5826100955
1.91,-0.08478420906,-0.5810183599
1.92,-0.09548384208,-0.5792225524
1.93,-0.1061709212,-0.5772220473
1.94,-0.1168408171,-0.5750163418
1.95,-0.1274888872,-0.5726050555
1.96,-0.1381104791,-0.5699879303
1.97,-0.1487009329,-0.5671648298
1.98,-0.1592555848,-0.5641357389
1.99,-0.1697697698,-0.5609007634
2,-0.1802388248,-0.5574601294
2.01,-0.1906580911,-0.5538141825
2.02,-0.2010229177,-0.5499633874
2.03,-0.2113286639,-0.5459083269
2.04,-0.2215707023,-0.5416497016
2.05,-0.2317444214,-0.5371883284
2.06,-0.2418452282,-0.5325251402
2.07,-0.2518685514,-0.5276611849
2.08,-0.2618098435,-0.522597624
2.09,-0.2716645838,-0.5173357322
2.1,-0.2814282811,-0.5118768958
2.11,-0.2910964757,-0.506222612
2.12,-0.3006647425,-0.5003744876
2.13,-0.3101286933,-0.4943342376
2.14,-0.3194839792,-0.4881036842
2.15,-0.328726293,-0.4816847556
2.16,-0.3378513717,-0.4750794845
2.17,-0.3468549986,-0.4682900066
2.18,-0.355733006,-0.4613185595
2.19,-0.3644812769,-0.4541674811
2.2,-0.3730957477,-0.4468392082
2.21,-0.3815724102,-0.4393362749
2.22,-0.3899073137,-0.431661311
2.23,-0.3980965669,-0.4238170405
2.24,-0.4061363405,-0.4158062801
2.25,-0.4140228687,-0.4076319372
2.26,-0.4217524512,-0.3992970085
2.27,-0.4293214554,-0.3908045782
2.28,-0.4367263181,-0.3821578163
2.29,-0.4439635473,-0.3733599765
2.3,-0.451029724,-0.3644143948
2.31,-0.4579215042,-0.3553244876
2.32,-0.4646356201,-0.3460937494
2.33,-0.4711688822,-0.3367257515
2.34,-0.4775181809,-0.3272241397
2.35,-0.4836804876,-0.3175926323
2.36,-0.4896528569,-0.3078350185
2.37,-0.4954324274,-0.2979551559
2.38,-0.5010164238,-0.287956969
2.39,-0.5064021577,-0.2778444466
2.4,-0.5115870293,-0.2676216403
2.41,-0.5165685286,-0.2572926619
2.42,-0.5213442367,-0.2468616817
2.43,-0.5259118267,-0.2363329261
2.44,-0.5302690654,-0.2257106754
2.45,-0.534413814,-0.2149992619
2.46,-0.5383440293,-0.2042030677
2.47,-0.5420577646,-0.1933265223
2.48,-0.545553171,-0.1823741002
2.49,-0.548828498,-0.1713503192
2.5,-0.5518820942,-0.1602597379
2.51,-0.5547124088,-0.1491069532
2.52,-0.5573179918,-0.1378965984
2.53,-0.5596974949,-0.1266333406
2.54,-0.5618496723,-0.1153218788
2.55,-0.5637733809,-0.103966941
2.56,-0.5654675817,-0.0925732824
2.57,-0.5669313394,-0.08114568288
2.58,-0.5681638237,-0.06968894462
2.59,-0.5691643091,-0.05820788979
2.6,-0.5699321757,-0.0467073582
2.61,-0.5704669093,-0.03519220494
2.62,-0.5707681018,-0.02366729802
2.63,-0.5708354515,-0.01213751599
2.64,-0.5706687632,-0.0006077455847
2.65,-0.5702679482,0.01091712067
2.66,-0.5696330247,0.02243218684
2.67,-0.5687641176,0.0339325559
2.68,-0.5676614584,0.04541333218
2.69,-0.5663253854,0.05686962372
2.7,-0.5647563436,0.06829654459
2.71,-0.5629548842,0.07968921733
2.72,-0.5609216645,0.09104277527
2.73,-0.5586574478,0.1023523649
2.74,-0.556163103,0.1136131481
2.75,-0.5534396042,0.1248203049
2.76,-0.5504880302,0.1359690351
2.77,-0.547309564,0.1470545613
2.78,-0.5439054925,0.1580721309
2.79,-0.5402772059,0.1690170181
2.8,-0.5364261965,0.1798845269
2.81,-0.532354059,0.1906699927
2.82,-0.5280624888,0.201368785
2.83,-0.523553282,0.2119763092
2.84,-0.518828334,0.2224880093
2.85,-0.5138896389,0.2328993697
2.86,-0.5087392886,0.2432059179
2.87,-0.5033794717,0.2534032258
2.88,-0.4978124723,0.2634869127
2.89,-0.4920406695,0.273452647
2.9,-0.4860665357,0.2832961483
2.91,-0.4798926356,0.2930131894
2.92,-0.4735216253,0.3025995987
2.93,-0.4669562505,0.3120512616
2.94,-0.4601993457,0.3213641231
2.95,-0.4532538323,0.3305341894
2.96,-0.446122718,0.3395575297
2.97,-0.4388090945,0.3484302783
2.98,-0.4313161367,0.3571486366
2.99,-0.4236471007,0.3657088744
3,-0.4158053226,0.3741073322
3.01,-0.4077942168,0.3823404226
3.02,-0.399617274,0.3904046321
3.03,-0.3912780603,0.3982965228
3.04,-0.3827802148,0.406012734
3.05,-0.374127448,0.4135499838
3.06,-0.3653235405,0.4209050705
3.07,-0.3563723403,0.4280748742
3.08,-0.3472777619,0.4350563586
3.09,-0.3380437838,0.4418465715
3.1,-0.3286744468,0.4484426473
3.11,-0.3191738521,0.4548418073
3.12,-0.3095461592,0.4610413617
3.13,-0.2997955841,0.4670387105
3.14,-0.2899263971,0.4728313448
3.15,-0.279942921,0.4784168477
3.16,-0.2698495288,0.4837928957
3.17,-0.2596506416,0.4889572596
3.18,-0.2493507268,0.4939078054
3.19,-0.2389542957,0.4986424955
3.2,-0.2284659013,0.5031593893
3.21,-0.2178901367,0.5074566442
3.22,-0.207231632,0.5115325163
3.23,-0.196495053,0.5153853612
3.24,-0.1856850984,0.5190136349
3.25,-0.1748064981,0.5224158939
3.26,-0.1638640103,0.5255907964
3.27,-0.15286242,0.5285371025
3.28,-0.1418065364,0.5312536745
3.29,-0.1307011903,0.533739478
3.3,-0.1195512328,0.5359935815
3.31,-0.108361532,0.5380151573
3.32,-0.09713697142,0.5398034817
3.33,-0.08588244756,0.5413579348
3.34,-0.07460286752,0.5426780014
3.35,-0.06330314686,0.5437632705
3.36,-0.05198820732,0.5446134356
3.37,-0.04066297451,0.5452282951
3.38,-0.02933237573,0.5456077517
3.39,-0.01800133766,0.5457518126
3.4,-0.006674784171,0.5456605894
3.41,0.004642365975,0.5453342981
3.42,0.0159452013,0.5447732586
3.43,0.02722881987,0.5439778945
3.44,0.03848833148,0.542948733
3.45,0.04971885984,0.5416864043
3.46,0.06091554482,0.5401916415
3.47,0.07207354457,0.5384652799
3.48,0.0831880377,0.5365082564
3.49,0.09425422545,0.5343216096
3.5,0.1052673338,0.5319064784
3.51,0.1162226155,0.529264102
3.52,0.1271153524,0.5263958189
3.53,0.1379408574,0.5233030664
3.54,0.1486944762,0.5199873797
3.55,0.1593715901,0.5164503911
3.56,0.1699676172,0.5126938295
3.57,0.180478015,0.5087195189
3.58,0.190898282,0.5045293782
3.59,0.2012239599,0.5001254197
3.6,0.2114506355,0.4955097484
3.61,0.2215739424,0.490684561
3.62,0.2315895632,0.4856521444
3.63,0.2414932311,0.4804148752
3.64,0.251280732,0.4749752182
3.65,0.2609479062,0.4693357253
3.66,0.2704906498,0.4634990343
3.67,0.2799049173,0.4574678677
3.68,0.2891867225,0.4512450312
3.69,0.2983321407,0.4448334127
3.7,0.3073373102,0.4382359807
3.71,0.3161984339,0.4314557831
3.72,0.3249117812,0.4244959457
3.73,0.3334736892,0.4173596707
3.74,0.3418805643,0.4100502353
3.75,0.3501288842,0.4025709901
3.76,0.3582151987,0.394925358
3.77,0.3661361318,0.3871168318
3.78,0.3738883825,0.3791489733
3.79,0.3814687268,0.3710254116
3.8,0.3888740187,0.362749841
3.81,0.3961011914,0.35432602
3.82,0.403147259,0.345757769
3.83,0.4100093176,0.3370489689
3.84,0.4166845462,0.3282035592
3.85,0.4231702083,0.3192255364
3.86,0.4294636529,0.310118952
3.87,0.4355623155,0.3008879108
3.88,0.4414637194,0.291536569
3.89,0.4471654764,0.2820691324
3.9,0.4526652881,0.2724898546
3.91,0.4579609467,0.2628030348
3.92,0.463050336,0.253013016
3.93,0.4679314323,0.2431241832
3.94,0.4726023048,0.2331409616
3.95,0.4770611173,0.2230678139
3.96,0.4813061279,0.212909239
3.97,0.4853356905,0.2026697699
3.98,0.4891482552,0.1923539714
3.99,0.4927423688,0.1819664382
4,0.4961166755,0.1715117928
4.01,0.4992699175,0.1609946837
4.02,0.5022009356,0.1504197829
4.03,0.5049086691,0.1397917841
4.04,0.507392157,0.1291154007
4.05,0.5096505378,0.1183953633
4.06,0.5116830499,0.1076364179
4.07,0.5134890323,0.09684332376
4.08,0.5150679243,0.08602085118
4.09,0.5164192658,0.07517377942
4.1,0.5175426978,0.06430689456
4.11,0.5184379621,0.05342498736
4.12,0.5191049016,0.04253285112
4.13,0.51954346,0.03163527956
4.14,0.5197536822,0.02073706464
4.15,0.5197357139,0.009842994464
4.16,0.5194898015,-0.001042148882
4.17,0.5190162922,-0.01191359146
4.18,0.5183156332,-0.02276656962
4.19,0.5173883721,-0.0335963321
4.2,0.5162351561,-0.04439814217
4.21,0.514856732,-0.05516727973
4.22,0.5132539453,-0.06589904342
4.23,0.5114277405,-0.07658875274
4.24,0.5093791598,-0.08723175009
4.25,0.5071093431,-0.09782340286
4.26,0.5046195271,-0.1083591055
4.27,0.501911045,-0.1188342816
4.28,0.4989853255,-0.1292443859
4.29,0.4958438923,-0.1395849062
4.3,0.4924883632,-0.1498513655
4.31,0.4889204492,-0.1600393241
4.32,0.4851419542,-0.1701443812
4.33,0.4811547733,-0.1801621772
4.34,0.4769608924,-0.1900883955
4.35,0.4725623871,-0.1999187641
4.36,0.4679614218,-0.2096490583
4.37,0.4631602483,-0.2192751015
4.38,0.4581612051,-0.228792768
4.39,0.452966716,-0.238197984
4.4,0.4475792889,-0.2474867301
4.41,0.442001515,-0.2566550425
4.42,0.4362360669,-0.2656990151
4.43,0.4302856978,-0.2746148009
4.44,0.4241532401,-0.2833986138
4.45,0.417841604,-0.2920467304
4.46,0.4113537757,-0.3005554914
4.47,0.4046928169,-0.3089213032
4.48,0.3978618624,-0.3171406395
4.49,0.3908641191,-0.3252100428
4.5,0.3837028643,-0.3331261258
4.51,0.3763814444,-0.3408855731
4.52,0.368903273,-0.3484851421
4.53,0.3612718293,-0.355921665
4.54,0.3534906569,-0.3631920495
4.55,0.3455633614,-0.3702932807
4.56,0.3374936095,-0.3772224219
4.57,0.3292851266,-0.3839766159
4.58,0.3209416955,-0.3905530865
4.59,0.3124671544,-0.3969491392
