"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,0.7818795581,-0.4116387518
1.01,0.7753623383,-0.4133461227
1.02,0.7689924174,-0.4154024177
1.03,0.7627490075,-0.4177955882
1.04,0.7566123011,-0.4205136751
1.05,0.7505634279,-0.4235448054
1.06,0.7445844148,-0.4268771884
1.07,0.7386581478,-0.4304991138
1.08,0.7327683372,-0.4343989485
1.09,0.7268994845,-0.4385651358
1.1,0.7210368512,-0.4429861932
1.11,0.7151664299,-0.4476507116
1.12,0.7092749169,-0.4525473547
1.13,0.7033496865,-0.4576648586
1.14,0.6973787665,-0.4629920315
1.15,0.6913508158,-0.4685177541
1.16,0.6852551022,-0.47423098
1.17,0.6790814824,-0.4801207363
1.18,0.6728203827,-0.4861761245
1.19,0.6664627802,-0.4923863217
1.2,0.6600001859,-0.4987405818
1.21,0.6534246281,-0.5052282368
1.22,0.6467286364,-0.5118386987
1.23,0.639905227,-0.5185614611
1.24,0.6329478882,-0.5253861009
1.25,0.6258505668,-0.5323022806
1.26,0.6186076554,-0.5392997502
1.27,0.6112139792,-0.5463683496
1.28,0.6036647846,-0.5534980104
1.29,0.5959557273,-0.5606787588
1.3,0.5880828614,-0.5679007177
1.31,0.5800426287,-0.5751541094
1.32,0.5718318482,-0.5824292577
1.33,0.5634477064,-0.589716591
1.34,0.5548877474,-0.5970066445
1.35,0.5461498636,-0.6042900628
1.36,0.5372322869,-0.6115576031
1.37,0.5281335795,-0.618800137
1.38,0.5188526257,-0.6260086537
1.39,0.5093886233,-0.6331742627
1.4,0.4997410754,-0.6402881961
1.41,0.4899097827,-0.6473418115
1.42,0.4798948356,-0.6543265945
1.43,0.4696966067,-0.6612341614
1.44,0.459315743,-0.6680562617
1.45,0.4487531592,-0.6747847806
1.46,0.4380100298,-0.6814117417
1.47,0.4270877826,-0.6879293091
1.48,0.4159880916,-0.6943297903
1.49,0.4047128701,-0.7006056383
1.5,0.3932642641,-0.706749454
1.51,0.3816446455,-0.7127539885
1.52,0.3698566058,-0.7186121452
1.53,0.3579029494,-0.7243169822
1.54,0.3457866873,-0.7298617143
1.55,0.3335110309,-0.735239715
1.56,0.3210793857,-0.7404445187
1.57,0.3084953449,-0.7454698221
1.58,0.2957626839,-0.7503094869
1.59,0.2828853535,-0.7549575407
1.6,0.2698674744,-0.7594081794
1.61,0.2567133311,-0.7636557682
1.62,0.2434273663,-0.7676948439
1.63,0.2300141745,-0.7715201157
1.64,0.2164784967,-0.7751264669
1.65,0.2028252145,-0.7785089563
1.66,0.1890593443,-0.7816628194
1.67,0.175186032,-0.7845834694
1.68,0.1612105471,-0.7872664985
1.69,0.1471382771,-0.7897076786
1.7,0.1329747222,-0.7919029626
1.71,0.1187254897,-0.793848485
1.72,0.1043962889,-0.7955405626
1.73,0.08999292491,-0.7969756953
1.74,0.0755212943,-0.7981505667
1.75,0.06098737911,-0.7990620443
1.76,0.04639724184,-0.7997071803
1.77,0.03175702023,-0.8000832117
1.78,0.01707292205,-0.8001875603
1.79,0.002351219979,-0.8000178334
1.8,-0.01240175346,-0.7995718236
