"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,0.5778918135,-0.2988313477
1.01,0.5729919787,-0.2994834166
1.02,0.5682287971,-0.3003952779
1.03,0.5635867069,-0.3015586932
1.04,0.5590508603,-0.3029654982
1.05,0.5546070904,-0.3046075986
1.06,0.5502418805,-0.3064769671
1.07,0.5459423351,-0.3085656404
1.08,0.5416961536,-0.3108657161
1.09,0.5374916044,-0.3133693507
1.1,0.5333175016,-0.3160687573
1.11,0.5291631833,-0.3189562039
1.12,0.5250184901,-0.3220240115
1.13,0.5208737462,-0.3252645533
1.14,0.5167197408,-0.3286702532
1.15,0.512547711,-0.3322335849
1.16,0.5083493256,-0.3359470713
1.17,0.5041166696,-0.339803284
1.18,0.4998422302,-0.343794843
1.19,0.4955188827,-0.3479144163
1.2,0.4911398781,-0.3521547199
1.21,0.4866988308,-0.3565085182
1.22,0.4821897069,-0.3609686239
1.23,0.4776068134,-0.3655278985
1.24,0.4729447882,-0.3701792528
1.25,0.4681985897,-0.3749156475
1.26,0.4633634878,-0.3797300938
1.27,0.458435055,-0.3846156544
1.28,0.4534091577,-0.389565444
1.29,0.4482819485,-0.3945726307
1.3,0.443049858,-0.3996304369
1.31,0.4377095878,-0.4047321401
1.32,0.4322581032,-0.4098710746
1.33,0.4266926266,-0.4150406324
1.34,0.4210106305,-0.4202342645
1.35,0.415209832,-0.4254454825
1.36,0.409288186,-0.4306678597
1.37,0.4032438798,-0.4358950327
1.38,0.3970753272,-0.4411207028
1.39,0.3907811633,-0.4463386378
1.4,0.3843602392,-0.4515426731
1.41,0.3778116166,-0.4567267134
1.42,0.371134563,-0.4618847347
1.43,0.3643285469,-0.4670107854
1.44,0.357393233,-0.472098988
1.45,0.3503284775,-0.4771435411
1.46,0.3431343239,-0.4821387207
1.47,0.3358109982,-0.4870788821
1.48,0.3283589047,-0.4919584612
1.49,0.3207786221,-0.4967719766
1.5,0.3130708988,-0.501514031
1.51,0.3052366491,-0.506179313
1.52,0.297276949,-0.5107625985
1.53,0.2891930327,-0.5152587525
1.54,0.2809862878,-0.5196627308
1.55,0.2726582523,-0.5239695815
1.56,0.2642106103,-0.5281744465
1.57,0.2556451881,-0.5322725632
1.58,0.246963951,-0.5362592659
1.59,0.2381689987,-0.5401299874
1.6,0.2292625627,-0.5438802607
1.61,0.2202470015,-0.5475057198
1.62,0.2111247979,-0.5510021018
1.63,0.2018985547,-0.5543652479
1.64,0.1925709915,-0.557591105
1.65,0.183144941,-0.5606757268
1.66,0.1736233455,-0.5636152749
1.67,0.1640092531,-0.5664060206
1.68,0.1543058145,-0.5690443454
1.69,0.1445162794,-0.5715267427
1.7,0.134643993,-0.5738498186
1.71,0.1246923921,-0.5760102929
1.72,0.1146650026,-0.5780050003
1.73,0.1045654349,-0.5798308911
1.74,0.09439738141,-0.5814850323
1.75,0.08416461244,-0.5829646083
1.76,0.07387097321,-0.5842669219
1.77,0.06352038025,-0.5853893946
1.78,0.05311681805,-0.5863295677
1.79,0.04266433571,-0.5870851027
1.8,0.03216704353,-0.5876537821
1.81,0.02162910973,-0.5880335095
1.82,0.01105475703,-0.5882223104
1.83,0.0004482594277,-0.5882183324
1.84,-0.01018606117,-0.5880198458
1.85,-0.02084383818,-0.5876252435
1.86,-0.03152066365,-0.5870330415
1.87,-0.04221209147,-0.5862418789
1.88,-0.0529136406,-0.5852505182
1.89,-0.0636207983,-0.5840578451
1.9,-0.07432902326,-0.5826628687
1.91,-0.08503374882,-0.5810647212
1.92,-0.09573038608,-0.5792626581
1.93,-0.106414327,-0.5772560576
1.94,-0.1170809475,-0.5750444209
1.95,-0.1277256106,-0.5726273712
1.96,-0.1383436692,-0.570004654
1.97,-0.1489304695,-0.5671761363
1.98,-0.1594813536,-0.5641418064
1.99,-0.1699916626,-0.560901773
2,-0.1804567396,-0.5574562651
2.01,-0.1908719325,-0.553805631
2.02,-0.2012325968,-0.5499503377
2.03,-0.2115340987,-0.5458909705
2.04,-0.2217718175,-0.5416282317
2.05,-0.2319411486,-0.5371629401
2.06,-0.2420375063,-0.53249603
2.07,-0.2520563264,-0.5276285504
2.08,-0.2619930686,-0.5225616638
2.09,-0.2718432196,-0.5172966456
2.1,-0.2816022954,-0.5118348824
2.11,-0.2912658439,-0.5061778714
2.12,-0.3008294475,-0.5003272191
2.13,-0.3102887252,-0.4942846401
2.14,-0.3196393358,-0.4880519557
2.15,-0.3288769793,-0.4816310929
2.16,-0.3379974002,-0.4750240828
2.17,-0.3469963891,-0.4682330594
2.18,-0.3558697855,-0.4612602582
2.19,-0.3646134797,-0.4541080148
2.2,-0.3732234151,-0.4467787632
2.21,-0.3816955904,-0.4392750343
2.22,-0.3900260617,-0.4315994549
2.23,-0.3982109445,-0.4237547453
2.24,-0.4062464159,-0.4157437182
2.25,-0.4141287163,-0.407569277
2.26,-0.4218541517,-0.399234414
2.27,-0.4294190953,-0.3907422086
2.28,-0.4368199897,-0.382095826
2.29,-0.4440533482,-0.3732985146
2.3,-0.4511157571,-0.3643536053
2.31,-0.4580038773,-0.3552645086
2.32,-0.4647144457,-0.3460347136
2.33,-0.4712442773,-0.3366677854
2.34,-0.4775902665,-0.3271673637
2.35,-0.4837493885,-0.3175371606
2.36,-0.4897187015,-0.3077809589
2.37,-0.4954953474,-0.2979026097
2.38,-0.5010765537,-0.2879060308
2.39,-0.5064596345,-0.2777952045
2.4,-0.5116419925,-0.2675741754
2.41,-0.5166211195,-0.2572470486
2.42,-0.5213945982,-0.2468179875
2.43,-0.5259601032,-0.2362912116
2.44,-0.5303154021,-0.2256709944
2.45,-0.534458357,-0.2149616614
2.46,-0.5383869249,-0.2041675877
2.47,-0.5420991593,-0.1932931959
2.48,-0.5455932108,-0.182342954
2.49,-0.5488673285,-0.1713213732
2.5,-0.5519198604,-0.1602330052
2.51,-0.5547492542,-0.1490824408
2.52,-0.5573540587,-0.1378743068
2.53,-0.5597329239,-0.1266132641
2.54,-0.561884602,-0.1153040056
2.55,-0.5638079479,-0.1039512534
2.56,-0.56550192,-0.09255975712
2.57,-0.5669655805,-0.08113429089
2.58,-0.5681980962,-0.06967965155
2.59,-0.5691987386,-0.0582006561
2.6,-0.5699668844,-0.04670213937
2.61,-0.5705020162,-0.03518895168
2.62,-0.5708037222,-0.02366595647
2.63,-0.5708716971,-0.01213802796
