"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,0.7041620739,-0.363058312
1.01,0.6984194486,-0.3641647732
1.02,0.6928304048,-0.3655915179
1.03,0.6873759953,-0.3673283135
1.04,0.6820381396,-0.3693650108
1.05,0.6767995842,-0.3716915396
1.06,0.6716438662,-0.3742979051
1.07,0.6665552786,-0.377174184
1.08,0.661518838,-0.3803105215
1.09,0.6565202548,-0.3836971293
1.1,0.6515459047,-0.3873242824
1.11,0.6465828024,-0.3911823178
1.12,0.6416185765,-0.3952616325
1.13,0.6366414465,-0.3995526822
1.14,0.6316402008,-0.4040459803
1.15,0.6266041759,-0.408732097
1.16,0.6215232371,-0.4136016585
1.17,0.61638776,-0.4186453469
1.18,0.6111886136,-0.4238538997
1.19,0.6059171439,-0.4292181103
1.2,0.6005651579,-0.4347288277
1.21,0.59512491,-0.4403769571
1.22,0.5895890873,-0.4461534602
1.23,0.5839507971,-0.4520493564
1.24,0.5782035541,-0.4580557228
1.25,0.5723412687,-0.464163696
1.26,0.566358236,-0.4703644724
1.27,0.5602491246,-0.4766493101
1.28,0.554008967,-0.4830095293
1.29,0.5476331492,-0.4894365146
1.3,0.5411174021,-0.4959217157
1.31,0.5344577919,-0.5024566495
1.32,0.5276507121,-0.5090329012
1.33,0.5206928749,-0.5156421266
1.34,0.5135813036,-0.5222760532
1.35,0.506313325,-0.5289264827
1.36,0.4988865619,-0.5355852922
1.37,0.4912989262,-0.5422444366
1.38,0.4835486122,-0.5488959504
1.39,0.4756340897,-0.5555319496
1.4,0.4675540978,-0.562144634
1.41,0.4593076387,-0.5687262891
1.42,0.4508939718,-0.5752692881
1.43,0.4423126076,-0.5817660943
1.44,0.433563302,-0.5882092629
1.45,0.4246460509,-0.5945914436
1.46,0.4155610847,-0.6009053822
1.47,0.4063088626,-0.6071439234
1.48,0.3968900682,-0.6133000125
1.49,0.3873056034,-0.6193666978
1.5,0.3775565839,-0.6253371326
1.51,0.3676443342,-0.6312045777
1.52,0.3575703827,-0.6369624033
1.53,0.3473364566,-0.6426040912
1.54,0.3369444776,-0.6481232371
1.55,0.3263965569,-0.6535135524
1.56,0.3156949904,-0.6587688667
1.57,0.3048422546,-0.6638831296
1.58,0.2938410014,-0.6688504128
1.59,0.2826940542,-0.6736649123
1.6,0.2714044029,-0.6783209503
1.61,0.2599751996,-0.6828129769
1.62,0.2484097543,-0.6871355726
1.63,0.2367115302,-0.6912834496
1.64,0.2248841398,-0.6952514541
1.65,0.2129313397,-0.6990345678
1.66,0.200857027,-0.70262791
1.67,0.1886652347,-0.7060267389
1.68,0.176360127,-0.7092264537
1.69,0.1639459957,-0.7122225957
1.7,0.1514272551,-0.7150108506
1.71,0.1388084381,-0.7175870493
1.72,0.1260941922,-0.7199471696
1.73,0.1132892743,-0.7220873379
1.74,0.1003985473,-0.72400383
1.75,0.08742697541,-0.725693073
1.76,0.07437961979,-0.7271516458
1.77,0.0612616345,-0.7283762808
1.78,0.04807826208,-0.7293638648
1.79,0.03483482932,-0.73011144
1.8,0.02153674302,-0.7306162049
1.81,0.008189485688,-0.7308755153
1.82,-0.005201388667,-0.7308868849
1.83,-0.0186302588,-0.7306479864
1.84,-0.03209144048,-0.7301566515
1.85,-0.04557919067,-0.7294108725
1.86,-0.05908771178,-0.7284088015
1.87,-0.0726111559,-0.7271487522
