"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,0.4879489487,-0.2500721628
1.01,0.4838761204,-0.2505880628
1.02,0.4799204663,-0.2513255187
1.03,0.4760687627,-0.2522776338
1.04,0.4723083876,-0.253437571
1.05,0.4686272926,-0.254798549
1.06,0.4650139772,-0.2563538402
1.07,0.4614574647,-0.2580967678
1.08,0.4579472794,-0.2600207034
1.09,0.4544734255,-0.2621190651
1.1,0.4510263673,-0.2643853157
1.11,0.4475970108,-0.2668129614
1.12,0.4441766859,-0.2693955501
1.13,0.4407571303,-0.2721266705
1.14,0.4373304742,-0.2749999513
1.15,0.4338892257,-0.2780090601
1.16,0.4304262571,-0.2811477031
1.17,0.4269347923,-0.2844096247
1.18,0.4234083946,-0.2877886071
1.19,0.4198409554,-0.2912784703
1.2,0.4162266833,-0.294873072
1.21,0.412560094,-0.2985663077
1.22,0.4088360004,-0.3023521111
1.23,0.4050495039,-0.3062244542
1.24,0.4011959856,-0.310177348
1.25,0.3972710977,-0.314204843
1.26,0.3932707562,-0.3183010295
1.27,0.389191133,-0.322460039
1.28,0.3850286491,-0.326676044
1.29,0.3807799676,-0.3309432599
1.3,0.3764419877,-0.3352559451
1.31,0.3720118378,-0.3396084025
1.32,0.36748687,-0.3439949802
1.33,0.3628646545,-0.3484100729
1.34,0.3581429738,-0.3528481227
1.35,0.3533198177,-0.3573036205
1.36,0.3483933782,-0.3617711074
1.37,0.3433620444,-0.3662451755
1.38,0.3382243981,-0.3707204694
1.39,0.3329792091,-0.3751916876
1.4,0.3276254306,-0.3796535839
1.41,0.3221621953,-0.3841009686
1.42,0.3165888108,-0.3885287098
1.43,0.3109047559,-0.3929317351
1.44,0.3051096764,-0.3973050328
1.45,0.2992033812,-0.4016436534
1.46,0.293185839,-0.4059427109
1.47,0.2870571739,-0.4101973846
1.48,0.2808176624,-0.41440292
1.49,0.2744677294,-0.4185546307
1.5,0.2680079452,-0.4226478998
1.51,0.2614390216,-0.4266781808
1.52,0.2547618086,-0.4306409999
1.53,0.2479772913,-0.4345319566
1.54,0.2410865868,-0.4383467255
1.55,0.2340909401,-0.4420810579
1.56,0.2269917219,-0.4457307825
1.57,0.2197904248,-0.4492918075
1.58,0.2124886603,-0.4527601215
1.59,0.205088156,-0.4561317948
1.6,0.1975907518,-0.459402981
1.61,0.1899983977,-0.4625699179
1.62,0.1823131501,-0.465628929
1.63,0.1745371691,-0.4685764247
1.64,0.1666727154,-0.4714089033
1.65,0.1587221472,-0.4741229523
1.66,0.1506879175,-0.4767152493
1.67,0.1425725708,-0.4791825637
1.68,0.1343787406,-0.4815217567
1.69,0.1261091458,-0.4837297835
1.7,0.1177665886,-0.4858036932
1.71,0.1093539509,-0.4877406305
1.72,0.1008741917,-0.4895378363
1.73,0.09233034411,-0.4911926484
1.74,0.08372551267,-0.4927025027
1.75,0.07506287021,-0.4940649334
1.76,0.06634565513,-0.4952775745
1.77,0.05757716854,-0.4963381597
1.78,0.04876077139,-0.4972445236
1.79,0.03989988164,-0.4979946019
1.8,0.03099797146,-0.4985864322
1.81,0.0220585644,-0.4990181545
1.82,0.0130852326,-0.4992880113
1.83,0.004081593986,-0.4993943486
1.84,-0.004948690494,-0.4993356156
1.85,-0.01400191963,-0.4991103655
1.86,-0.02307435471,-0.4987172556
1.87,-0.03216222225,-0.4981550474
1.88,-0.04126171674,-0.4974226069
1.89,-0.0503690033,-0.4965189048
1.9,-0.05948022043,-0.4954430161
1.91,-0.06859148266,-0.4941941208
1.92,-0.07769888322,-0.4927715034
1.93,-0.08679849664,-0.4911745527
1.94,-0.09588638145,-0.4894027624
1.95,-0.1049585827,-0.48745573
1.96,-0.1140111347,-0.4853331573
1.97,-0.1230400633,-0.4830348496
1.98,-0.1320413887,-0.4805607159
1.99,-0.1410111279,-0.4779107679
2,-0.1499452971,-0.4750851204
2.01,-0.1588399144,-0.47208399
2.02,-0.1676910021,-0.4689076953
2.03,-0.1764945889,-0.4655566559
2.04,-0.1852467128,-0.4620313919
2.05,-0.1939434231,-0.4583325235
2.06,-0.202580783,-0.45446077
2.07,-0.2111548716,-0.4504169494
2.08,-0.2196617865,-0.4462019773
2.09,-0.2280976461,-0.4418168664
2.1,-0.2364585916,-0.4372627255
2.11,-0.2447407892,-0.4325407586
2.12,-0.2529404325,-0.4276522641
2.13,-0.2610537447,-0.4225986337
2.14,-0.2690769804,-0.4173813515
2.15,-0.2770064279,-0.412001993
