"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,0.004754930111,-0.05588486545
1.01,0.003069625806,-0.05546474714
1.02,0.001406254755,-0.05499288295
1.03,-0.0002328567862,-0.05446997156
1.04,-0.001845429893,-0.05389685781
1.05,-0.003429240909,-0.05327452734
1.06,-0.004982128989,-0.05260410099
1.07,-0.006502003226,-0.05188682884
1.08,-0.007986849373,-0.05112408409
1.09,-0.009434736137,-0.05031735675
1.1,-0.01084382105,-0.049468247
1.11,-0.01221235593,-0.04857845848
1.12,-0.01353869184,-0.04764979136
1.13,-0.01482128375,-0.04668413529
1.14,-0.0160586946,-0.04568346219
1.15,-0.01724959904,-0.04464981896
1.16,-0.01839278669,-0.04358532011
1.17,-0.01948716496,-0.04249214027
1.18,-0.02053176145,-0.04137250676
1.19,-0.02152572591,-0.04022869201
1.2,-0.02246833177,-0.03906300604
1.21,-0.02335897724,-0.03787778901
1.22,-0.02419718599,-0.03667540366
1.23,-0.02498260742,-0.03545822798
1.24,-0.02571501656,-0.0342286478
1.25,-0.02639431349,-0.03298904957
1.26,-0.02702052241,-0.03174181322
1.27,-0.02759379041,-0.03048930515
1.28,-0.02811438568,-0.0292338714
1.29,-0.02858269559,-0.02797783089
1.3,-0.02899922421,-0.02672346899
1.31,-0.02936458969,-0.02547303116
1.32,-0.02967952113,-0.02422871687
1.33,-0.0299448553,-0.02299267368
1.34,-0.030161533,-0.02176699168
1.35,-0.03033059512,-0.02055369806
1.36,-0.03045317848,-0.019354752
1.37,-0.03053051143,-0.01817203985
1.38,-0.03056390918,-0.01700737054
1.39,-0.03055476895,-0.01586247137
1.4,-0.03050456491,-0.01473898401
1.41,-0.03041484297,-0.01363846091
1.42,-0.0302872154,-0.01256236191
1.43,-0.03012335527,-0.0115120513
1.44,-0.02992499082,-0.01048879512
1.45,-0.02969389972,-0.009493758809
1.46,-0.02943190323,-0.008528005221
1.47,-0.02914086026,-0.007592492946
1.48,-0.02882266149,-0.00668807498
1.49,-0.02847922332,-0.005815497724
1.5,-0.02811248193,-0.004975400331
1.51,-0.02772438725,-0.00416831438
1.52,-0.02731689703,-0.003394663878
1.53,-0.02689197092,-0.002654765598
1.54,-0.0264515646,-0.001948829734
1.55,-0.02599762398,-0.001276960871
1.56,-0.02553207954,-0.0006391592735
1.57,-0.02505684073,-3.532247087E-05
1.58,-0.02457379052,0.0005347528587
1.59,-0.02408478005,0.001071368718
1.6,-0.02359162351,0.001574923341
1.61,-0.02309609309,0.002045908482
1.62,-0.02259991421,0.002484906435
1.63,-0.02210476086,0.002892586826
1.64,-0.0216122512,0.003269703154
1.65,-0.02112394331,0.003617089122
1.66,-0.02064133131,0.00393565476
1.67,-0.0201658415,0.004226382347
1.68,-0.01969882896,0.004490322159
