"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,-0.06619525947,-0.03853515473
1.01,-0.06783796491,-0.03522727118
1.02,-0.06931587042,-0.03184101748
1.03,-0.07062468935,-0.02838500107
1.04,-0.07176062462,-0.02486807349
1.05,-0.07272038141,-0.02129930091
1.06,-0.07350117808,-0.01768793397
1.07,-0.07410075533,-0.01404337724
1.08,-0.07451738349,-0.0103751583
1.09,-0.07474986813,-0.006692896582
1.1,-0.0747975537,-0.003006272006
1.11,-0.07466032553,0.0006750063968
1.12,-0.07433860982,0.004341231828
1.13,-0.07383337203,0.007982730926
1.14,-0.07314611335,0.01158989471
1.15,-0.07227886543,0.01515320921
1.16,-0.07123418343,0.01866328559
1.17,-0.07001513732,0.02211088981
1.18,-0.06862530156,0.0254869716
1.19,-0.06706874309,0.02878269272
1.2,-0.06535000781,0.03198945444
1.21,-0.06347410555,0.03509892406
1.22,-0.06144649353,0.03810306054
1.23,-0.05927305845,0.04099413896
1.24,-0.0569600973,0.04376477396
1.25,-0.05451429677,0.04640794188
1.26,-0.05194271167,0.04891700169
1.27,-0.04925274208,0.05128571461
1.28,-0.04645210956,0.05350826222
1.29,-0.04354883237,0.05557926329
1.3,-0.04055119992,0.057493789
1.31,-0.03746774635,0.05924737672
1.32,-0.03430722348,0.06083604213
1.33,-0.03107857325,0.06225628982
1.34,-0.02779089953,0.06350512222
1.35,-0.02445343967,0.06458004696
1.36,-0.02107553568,0.06547908244
1.37,-0.01766660525,0.06620076187
1.38,-0.01423611264,0.06674413555
1.39,-0.0107935396,0.06710877152
1.4,-0.007348356338,0.06729475455
1.41,-0.003909992716,0.06730268347
1.42,-0.00048780969,0.06713366683
1.43,0.002908928854,0.06678931709
1.44,0.006271083814,0.06627174306
1.45,0.009589668029,0.0655835409
1.46,0.01285587281,0.06472778363
1.47,0.01606109372,0.06370800911
1.48,0.01919695562,0.06252820666
1.49,0.02225533676,0.06119280233
1.5,0.02522839196,0.05970664281
1.51,0.02810857478,0.05807497817
1.52,0.03088865859,0.05630344337
1.53,0.03356175646,0.05439803874
1.54,0.0361213399,0.05236510931
1.55,0.03856125632,0.05021132327
1.56,0.04087574514,0.04794364953
1.57,0.04305945261,0.04556933445
1.58,0.04510744519,0.0430958779
1.59,0.04701522155,0.04053100859
1.6,0.04877872305,0.03788265896
1.61,0.05039434279,0.03515893952
1.62,0.05185893318,0.03236811284
1.63,0.05316981193,0.02951856729
1.64,0.05432476656,0.02661879048
1.65,0.05532205739,0.02367734268
1.66,0.05616041899,0.02070283019
1.67,0.05683906015,0.01770387874
1.68,0.05735766226,0.01468910706
1.69,0.05771637632,0.01166710072
1.7,0.0579158184,0.008646386197
1.71,0.05795706367,0.005635405471
1.72,0.05784163909,0.00264249098
1.73,0.0575715146,-0.0003241587891
1.74,0.05714909312,-0.0032565031
1.75,0.05657719918,-0.006146682053
1.76,0.0558590663,-0.0089870389
1.77,0.05499832323,-0.0117701415
1.78,0.05399897904,-0.01448880288
1.79,0.05286540711,-0.01713610082
1.8,0.05160232817,-0.01970539643
1.81,0.05021479229,-0.02219035159
1.82,0.04870816012,-0.02458494538
1.83,0.04708808323,-0.02688348921
1.84,0.04536048372,-0.02908064087
1.85,0.04353153323,-0.03117141719
1.86,0.04160763127,-0.03315120561
1.87,0.03959538312,-0.03501577426
1.88,0.03750157727,-0.03676128089
1.89,0.03533316247,-0.03838428032
1.9,0.03309722457,-0.03988173065
1.91,0.03080096311,-0.04125099805
1.92,0.02845166784,-0.04248986022
1.93,0.02605669517,-0.04359650849
1.94,0.02362344465,-0.04456954856
1.95,0.02115933563,-0.0454079999
1.96,0.01867178403,-0.04611129386
1.97,0.01616817949,-0.04667927044
1.98,0.01365586272,-0.04711217377
1.99,0.01114210343,-0.04741064642
2,0.00863407858,-0.0475757224
2.01,0.006138851328,-0.04760881902
2.02,0.003663350483,-0.0475117276
2.03,0.001214350702,-0.04728660312
2.04,-0.001201546609,-0.04693595276
2.05,-0.003577931589,-0.04646262346
2.06,-0.005908603377,-0.04586978857
2.07,-0.008187586671,-0.04516093354
2.08,-0.01040914735,-0.04433984083
2.09,-0.01256780713,-0.04341057402
2.1,-0.01465835715,-0.0423774612
2.11,-0.01667587061,-0.04124507778
2.12,-0.01861571421,-0.04001822857
2.13,-0.02047355854,-0.03870192953
2.14,-0.02224538739,-0.03730138892
2.15,-0.02392750579,-0.03582198815
2.16,-0.02551654702,-0.03426926231
2.17,-0.02700947834,-0.03264888044
2.18,-0.02840360565,-0.03096662563
2.19,-0.02969657691,-0.02922837505
2.2,-0.03088638437,-0.02744007992
2.21,-0.03197136572,-0.02560774553
2.22,-0.03295020399,-0.02373741134
2.23,-0.03382192639,-0.02183513129
2.24,-0.03458590197,-0.01990695432
2.25,-0.03524183824,-0.01795890517
2.26,-0.03578977667,-0.01599696559
2.27,-0.03623008717,-0.01402705592
2.28,-0.03656346155,-0.01205501718
2.29,-0.03679090607,-0.01008659369
2.3,-0.03691373292,-0.008127416227
2.31,-0.03693355096,-0.00618298589
2.32,-0.03685225553,-0.004258658588
2.33,-0.03667201744,-0.002359630281
2.34,-0.0363952713,-0.0004909229744
2.35,-0.03602470304,0.001342628477
2.36,-0.03556323684,0.003136388731
2.37,-0.03501402152,0.00488593345
2.38,-0.03438041624,0.006587059902
2.39,-0.03366597588,0.00823579663
2.4,-0.03287443594,0.009828412199
2.41,-0.03200969699,0.01136142297
2.42,-0.03107580898,0.01283159992
2.43,-0.03007695518,0.01423597446
2.44,-0.02901743598,0.01557184331
2.45,-0.02790165254,0.01683677231
2.46,-0.02673409044,0.01802859937
2.47,-0.02551930326,0.01914543628
2.48,-0.02426189618,0.02018566969
2.49,-0.02296650983,0.02114796107
2.5,-0.02163780411,0.02203124569
2.51,-0.02028044241,0.02283473072
2.52,-0.01889907597,0.02355789245
2.53,-0.01749832864,0.02420047252
2.54,-0.01608278195,0.02476247343
2.55,-0.01465696068,0.02524415313
2.56,-0.01322531877,0.02564601884
2.57,-0.01179222592,0.02596882015
2.58,-0.01036195451,0.02621354135
2.59,-0.00893866732,0.02638139308
2.6,-0.007526405712,0.02647380341
2.61,-0.006129078551,0.02649240823
2.62,-0.004750451777,0.02643904116
2.63,-0.003394138684,0.02631572288
2.64,-0.002063590937,0.02612465012
2.65,-0.0007620903389,0.02586818408
2.66,0.0005072586375,0.02554883863
2.67,0.001741535528,0.02516926812
2.68,0.002938009767,0.02473225495
2.69,0.004094145772,0.02424069692
2.7,0.005207607221,0.02369759442
2.71,0.006276260524,0.02310603752
2.72,0.007298177482,0.02246919298
2.73,0.008271637146,0.02179029127
2.74,0.009195126879,0.02107261358
2.75,0.01006734263,0.020319479
2.76,0.01088718843,0.0195342317
2.77,0.01165377517,0.01872022842
2.78,0.01236641853,0.01788082609
2.79,0.01302463637,0.01701936977
2.8,0.01362814523,0.01613918082
2.81,0.01417685629,0.01524354551
2.82,0.01467087066,0.01433570391
2.83,0.015110474,0.01341883928
2.84,0.01549613067,0.01249606784
2.85,0.0158284772,0.01157042907
2.86,0.01610831537,0.01064487648
2.87,0.01633660472,0.009722268966
2.88,0.01651445465,0.008805362629
2.89,0.01664311618,0.007896803278
2.9,0.01672397324,0.006999119464
2.91,0.01675853372,0.00611471615
2.92,0.01674842024,0.005245868999
2.93,0.01669536061,0.004394719306
2.94,0.01660117816,0.003563269574
2.95,0.01646778195,0.002753379732
2.96,0.01629715674,0.001966764019
2.97,0.01609135301,0.001204988511
2.98,0.01585247689,0.0004694693037
2.99,0.01558268015,-0.0002385286602
3,0.01528415016,-0.0009178921257
3.01,0.01495910003,-0.001567659431
3.02,0.01460975881,-0.002187019799
3.03,0.01423836191,-0.00277531202
3.04,0.01384714168,-0.003332022563
3.05,0.01343831824,-0.003856783106
3.06,0.01301409059,-0.004349367528
3.07,0.01257662802,-0.004809688381
3.08,0.0121280618,-0.005237792856
3.09,0.01167047733,-0.005633858281
3.1,0.01120590658,-0.005998187175
3.11,0.01073632097,-0.006331201883
3.12,0.01026362469,-0.006633438824
3.13,0.009789648464,-0.00690554239
3.14,0.009316143786,-0.007148258517
3.15,0.008844777626,-0.007362427966
3.16,0.008377127643,-0.007548979357
3.17,0.007914677909,-0.007708921965
3.18,0.007458815141,-0.007843338349
3.19,0.007010825467,-0.007953376813
3.2,0.006571891706,-0.008040243756
3.21,0.006143091193,-0.008105195946
3.22,0.005725394127,-0.008149532733
3.23,0.005319662441,-0.008174588261
3.24,0.004926649206,-0.008181723699
3.25,0.004546998543,-0.008172319523
3.26,0.004181246047,-0.008147767885
3.27,0.003829819705,-0.008109465108
3.28,0.003493041303,-0.008058804324
3.29,0.003171128296,-0.007997168297
3.3,0.002864196137,-0.007925922449
3.31,0.002572261039,-0.007846408127
3.32,0.002295243157,-0.007759936131
3.33,0.002032970158,-0.007667780528
3.34,0.00178518117,-0.007571172771
3.35,0.001551531078,-0.007471296159
3.36,0.00133159514,-0.007369280637
3.37,0.001124873912,-0.007266197967
3.38,0.0009307984285,-0.007163057292
3.39,0.000748735643,-0.007060801081
3.4,0.0005779940716,-0.006960301504
3.41,0.0004178296292,-0.006862357213
3.42,0.0002674516215,-0.006767690563
3.43,0.0001260288643,-0.006676945262
3.44,-7.304099681E-06,-0.006590684467
3.45,-0.0001334407152,-0.006509389318
3.46,-0.0002532960916,-0.006433457922
3.47,-0.0003678006713,-0.006363204774
3.48,-0.0004778939184,-0.006298860622
3.49,-0.0005845180576,-0.006240572761
3.5,-0.0006886118906,-0.006188405762
3.51,-0.0007911047179,-0.006142342612
3.52,-0.0008929103935,-0.00610228627
3.53,-0.0009949215371,-0.006068061611
3.54,-0.001098003931,-0.006039417763
3.55,-0.001202991121,-0.006016030803
3.56,-0.001310679253,-0.005997506809
3.57,-0.001421822158,-0.005983385243
3.58,-0.001537126703,-0.005973142653
3.59,-0.001657248448,-0.005966196662
3.6,-0.001782787595,-0.005961910233
3.61,-0.00191428527,-0.005959596184
