"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,0.0002760413481,-0.0614970237
1.01,-0.001706530371,-0.06012462031
1.02,-0.003618440593,-0.05869138788
1.03,-0.005456742756,-0.05719994008
1.04,-0.007218626124,-0.0556530986
1.05,-0.008901427837,-0.05405388184
1.06,-0.01050264417,-0.05240549323
1.07,-0.01201994102,-0.05071130909
1.08,-0.01345116353,-0.04897486618
1.09,-0.01479434496,-0.04719984896
1.1,-0.01604771472,-0.04539007643
1.11,-0.01720970555,-0.04354948889
1.12,-0.01827895987,-0.0416821344
1.13,-0.01925433538,-0.03979215504
1.14,-0.02013490969,-0.03788377315
1.15,-0.02091998428,-0.03596127737
1.16,-0.02160908746,-0.03402900873
1.17,-0.02220197668,-0.03209134663
1.18,-0.02269863992,-0.03015269497
1.19,-0.02309929628,-0.02821746821
1.2,-0.02340439585,-0.02629007771
1.21,-0.02361461874,-0.02437491805
1.22,-0.02373087334,-0.02247635369
1.23,-0.0237542939,-0.02059870573
1.24,-0.02368623731,-0.01874623903
1.25,-0.02352827919,-0.01692314957
1.26,-0.02328220936,-0.01513355216
1.27,-0.02295002653,-0.01338146853
1.28,-0.02253393249,-0.01167081577
1.29,-0.02203632556,-0.01000539527
1.3,-0.02145979358,-0.008388882059
1.31,-0.02080710627,-0.006824814644
1.32,-0.02008120708,-0.005316585357
1.33,-0.0192852046,-0.003867431245
1.34,-0.01842236347,-0.002480425495
1.35,-0.01749609489,-0.001158469449
1.36,-0.01650994676,9.571479665E-05
1.37,-0.01546759343,0.001279591183
1.38,-0.01437282516,0.002390815858
1.39,-0.01322953736,0.003427242712
1.4,-0.01204171947,0.004386928272
1.41,-0.01081344379,0.005268135939
1.42,-0.009548854009,0.006069339575
1.43,-0.008252153689,0.006789226427
1.44,-0.006927594666,0.007426699386
1.45,-0.005579465363,0.007980878592
1.46,-0.004212079115,0.00845110237
1.47,-0.002829762514,0.008836927527
1.48,-0.001436843821,0.009138128983
1.49,-3.764146599E-05,0.009354698783
1.5,0.001363547313,0.009486844464
1.51,0.002762457664,0.009534986822
1.52,0.004154868121,0.009499757066
1.53,0.005536611369,0.009381993392
1.54,0.006903584746,0.009182736991
1.55,0.008251760452,0.008903227506
1.56,0.009577195444,0.008544897963
1.57,0.01087604098,0.008109369197
1.58,0.01214455178,0.007598443796
1.59,0.0133790948,0.007014099592
1.6,0.01457615761,0.006358482712
1.61,0.01573235627,0.005633900236
1.62,0.01684444282,0.004842812476
1.63,0.01790931222,0.003987824905
1.64,0.01892400888,0.003071679771
1.65,0.0198857326,0.002097247427
1.66,0.02079184407,0.001067517404
1.67,0.02163986976,-1.441074785E-05
1.68,0.02242750637,-0.001145336797
1.69,0.02315262465,-0.002321969343
1.7,0.02381327273,-0.003540935451
1.71,0.02440767888,-0.004798790386
1.72,0.02493425372,-0.006092027414
1.73,0.02539159186,-0.007417087633
1.74,0.02577847306,-0.008770369812
1.75,0.0260938628,-0.0101482402
1.76,0.02633691228,-0.01154704228
1.77,0.026506958,-0.01296310642
1.78,0.0266035207,-0.01439275944
1.79,0.02662630388,-0.015832334
1.8,0.02657519184,-0.01727817783
1.81,0.02645024712,-0.01872666279
1.82,0.02625170765,-0.02017419362
1.83,0.0259799833,-0.02161721658
1.84,0.02563565211,-0.02305222766
1.85,0.02521945606,-0.02447578066
1.86,0.02473229646,-0.02588449481
1.87,0.024175229,-0.02727506218
1.88,0.02354945841,-0.02864425468
1.89,0.02285633286,-0.02998893067
1.9,0.02209733801,-0.03130604126
1.91,0.02127409083,-0.03259263622
1.92,0.02038833315,-0.03384586937
1.93,0.019441925,-0.03506300371
1.94,0.01843683775,-0.03624141606
1.95,0.01737514708,-0.03737860123
1.96,0.01625902586,-0.03847217586
1.97,0.0150907368,-0.03951988171
1.98,0.01387262513,-0.04051958864
1.99,0.01260711117,-0.04146929703
2,0.01129668283,-0.04236713983
2.01,0.00994388817,-0.04321138419
2.02,0.008551327912,-0.04400043265
2.03,0.00712164802,-0.04473282383
2.04,0.005657532344,-0.04540723285
2.05,0.004161695341,-0.04602247123
2.06,0.002636874908,-0.04657748645
2.07,0.001085825347,-0.04707136107
2.08,-0.0004886895179,-0.04750331159
2.09,-0.002083903053,-0.04787268678
2.1,-0.003697052337,-0.04817896585
2.11,-0.005325384477,-0.04842175616
2.12,-0.006966162692,-0.04860079068
2.13,-0.008616672167,-0.04871592514
2.14,-0.01027422564,-0.04876713492
2.15,-0.01193616874,-0.04875451163
2.16,-0.01359988501,-0.04867825955
2.17,-0.01526280069,-0.04853869175
2.18,-0.01692238916,-0.04833622611
2.19,-0.0185761751,-0.04807138106
2.2,-0.02022173833,-0.04774477127
2.21,-0.02185671732,-0.04735710312
2.22,-0.02347881241,-0.04690917014
2.23,-0.02508578866,-0.0464018483
2.24,-0.02667547844,-0.04583609123
2.25,-0.02824578366,-0.04521292546
2.26,-0.02979467763,-0.04453344552
2.27,-0.03132020671,-0.04379880917
2.28,-0.03282049159,-0.04301023253
2.29,-0.0342937282,-0.04216898529
2.3,-0.03573818846,-0.04127638599
2.31,-0.03715222061,-0.04033379734
2.32,-0.03853424931,-0.03934262162
2.33,-0.0398827755,-0.03830429624
2.34,-0.0411963759,-0.03722028936
2.35,-0.04247370238,-0.0360920957
2.36,-0.04371348102,-0.03492123243
2.37,-0.04491451092,-0.0337092353
2.38,-0.04607566291,-0.03245765493
