"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,-0.1987744096,-0.2803648899
1.01,-0.2090783016,-0.2685056993
1.02,-0.2188446581,-0.2561871534
1.03,-0.2280456877,-0.2434329503
1.04,-0.2366549197,-0.2302686083
1.05,-0.244647307,-0.2167213766
1.06,-0.251999322,-0.2028201416
1.07,-0.2586890482,-0.1885953293
1.08,-0.2646962654,-0.1740788026
1.09,-0.2700025292,-0.1593037563
1.1,-0.2745912445,-0.1443046074
1.11,-0.2784477322,-0.1291168822
1.12,-0.2815592903,-0.1137771026
1.13,-0.2839152481,-0.09832266598
1.14,-0.2855070137,-0.08279172613
1.15,-0.286328115,-0.06722307095
1.16,-0.2863742336,-0.05165599848
1.17,-0.2856432322,-0.03613019184
1.18,-0.2841351749,-0.02068559317
1.19,-0.2818523407,-0.005362277011
1.2,-0.2787992296,0.009799676586
1.21,-0.2749825626,0.02476030881
1.22,-0.2704112739,0.03947990842
1.23,-0.2650964967,0.05391913719
1.24,-0.2590515423,0.06803915426
1.25,-0.252291872,0.08180173902
1.26,-0.2448350628,0.09516941194
1.27,-0.2367007662,0.1081055534
1.28,-0.2279106609,0.1205745201
1.29,-0.2184883992,0.1325417579
1.3,-0.2084595468,0.1439739129
1.31,-0.1978515179,0.1548389373
1.32,-0.186693503,0.1651061928
1.33,-0.1750163923,0.1747465496
1.34,-0.1628526938,0.1837324803
1.35,-0.1502364458,0.1920381504
1.36,-0.1372031247,0.1996395029
1.37,-0.1237895488,0.2065143382
1.38,-0.1100337779,0.2126423889
1.39,-0.09597500776,0.2180053882
1.4,-0.08165346242,0.2225871335
1.41,-0.06711028233,0.2263735433
1.42,-0.05238740976,0.2293527085
1.43,-0.0375274715,0.2315149371
1.44,-0.02257365917,0.2328527926
1.45,-0.00756960868,0.2333611259
1.46,0.007440727346,0.2330371007
1.47,0.02241319771,0.231880212
1.48,0.03730358238,0.2298922977
1.49,0.05206771752,0.2270775443
1.5,0.0666616217,0.2234424845
1.51,0.08104162203,0.2189959891
1.52,0.0951644797,0.2137492515
1.53,0.1089875147,0.2077157654
1.54,0.1224687292,0.2009112966
1.55,0.1355669296,0.1933538469
1.56,0.1482418459,0.1850636126
1.57,0.1604542501,0.1760629361
1.58,0.1721660705,0.1663762508
1.59,0.1833405039,0.1560300212
1.6,0.1939421243,0.1450526751
1.61,0.203936988,0.1334745318
1.62,0.2132927349,0.1213277236
1.63,0.2219786852,0.1086461123
1.64,0.2299659319,0.09546520047
1.65,0.2372274289,0.08182203799
1.66,0.2437380733,0.06775512355
1.67,0.2494747828,0.05330430218
1.68,0.2544165681,0.03851065842
1.69,0.2585445985,0.02341640584
1.7,0.2618422629,0.008064772897
1.71,0.2642952235,-0.007500114174
1.72,0.2658914643,-0.02323335152
1.73,0.2666213323,-0.03908938021
1.74,0.2664775728,-0.05502211105
1.75,0.265455358,-0.07098505117
1.76,0.2635523085,-0.08693143206
1.77,0.2607685085,-0.1028143388
1.78,0.2571065135,-0.1185868402
1.79,0.2525713522,-0.1342021186
1.8,0.2471705201,-0.149613601
1.81,0.2409139675,-0.1647750885
1.82,0.2338140794,-0.1796408859
1.83,0.2258856501,-0.1941659299
1.84,0.2171458493,-0.208305916
1.85,0.2076141829,-0.2220174236
1.86,0.1973124464,-0.2352580388
1.87,0.1862646722,-0.2479864747
1.88,0.1744970703,-0.2601626896
1.89,0.1620379632,-0.2717480008
1.9,0.1489177145,-0.282705196
1.91,0.1351686516,-0.2929986401
1.92,0.1208249831,-0.3025943787
1.93,0.1059227102,-0.3114602366
1.94,0.09049953412,-0.3195659118
1.95,0.074594757,-0.3268830645
1.96,0.05824917954,-0.3333854011
1.97,0.04150499352,-0.3390487523
1.98,0.02440567044,-0.3438511463
1.99,0.006995846422,-0.3477728755
2,-0.01067879643,-0.3507965571
2.01,-0.02857165178,-0.3529071877
2.02,-0.04663531361,-0.3540921915
2.03,-0.06482170326,-0.354341462
2.04,-0.08308219862,-0.3536473966
2.05,-0.101367765,-0.3520049248
2.06,-0.1196290876,-0.3494115292
2.07,-0.1378167048,-0.3458672604
2.08,-0.1558811421,-0.3413747433
2.09,-0.1737730471,-0.3359391783
2.1,-0.1914433231,-0.3295683336
2.11,-0.2088432635,-0.3222725322
2.12,-0.2259246848,-0.3140646301
2.13,-0.2426400586,-0.3049599896
2.14,-0.2589426421,-0.2949764435
2.15,-0.2747866063,-0.2841342544
2.16,-0.290127163,-0.2724560662
2.17,-0.3049206879,-0.259966849
2.18,-0.3191248418,-0.2466938386
2.19,-0.332698688,-0.2326664682
2.2,-0.345602806,-0.2179162953
2.21,-0.3577994019,-0.2024769221
2.22,-0.3692524142,-0.1863839101
2.23,-0.3799276146,-0.1696746895
2.24,-0.3897927052,-0.1523884634
2.25,-0.3988174093,-0.1345661067
2.26,-0.4069735578,-0.1162500606
2.27,-0.4142351697,-0.09748422254
2.28,-0.4205785269,-0.07831383203
2.29,-0.4259822428,-0.05878535268
2.3,-0.430427325,-0.0389463507
2.31,-0.4338972312,-0.01884537022
2.32,-0.4363779191,0.001468194187
2.33,-0.4378578893,0.02194422756
2.34,-0.4383282212,0.04253202665
2.35,-0.4377826026,0.06318043389
2.36,-0.4362173516,0.08383797273
2.37,-0.4336314318,0.1044529841
2.38,-0.4300264607,0.1249737634
2.39,-0.4254067101,0.145348698
2.4,-0.4197791002,0.1655264047
2.41,-0.4131531861,0.1854558665
2.42,-0.4055411374,0.2050865687
2.43,-0.3969577102,0.2243686338
2.44,-0.3874202132,0.2432529552
2.45,-0.3769484657,0.2616913282
2.46,-0.3655647495,0.2796365798
2.47,-0.3532937539,0.2970426946
2.48,-0.3401625144,0.3138649392
2.49,-0.3262003445,0.3300599816
