"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,0.1795543845,-0.234364055
1.01,0.173134342,-0.233786135
1.02,0.1667741704,-0.2331203081
1.03,0.1604763789,-0.2323631306
1.04,0.1542437528,-0.2315115886
1.05,0.1480793216,-0.2305630945
1.06,0.1419863293,-0.2295154832
1.07,0.1359682056,-0.2283670073
1.08,0.1300285375,-0.2271163315
1.09,0.1241710424,-0.2257625275
1.1,0.1183995418,-0.2243050664
1.11,0.1127179359,-0.2227438127
1.12,0.1071301792,-0.2210790154
1.13,0.101640257,-0.2193113006
1.14,0.09625216287,-0.2174416618
1.15,0.09096987629,-0.2154714512
1.16,0.08579734225,-0.2134023689
1.17,0.08073845092,-0.2112364528
1.18,0.07579701843,-0.2089760671
1.19,0.07097676853,-0.2066238912
1.2,0.06628131509,-0.2041829073
1.21,0.0617141454,-0.2016563879
1.22,0.05727860447,-0.1990478832
1.23,0.05297788005,-0.1963612072
1.24,0.04881498861,-0.1936004245
1.25,0.04479276213,-0.1907698362
1.26,0.04091383582,-0.1878739653
1.27,0.03718063663,-0.1849175422
1.28,0.03359537268,-0.18190549
1.29,0.03016002354,-0.1788429092
1.3,0.02687633135,-0.1757350621
1.31,0.0237457928,-0.1725873581
1.32,0.02076965201,-0.1694053374
1.33,0.01794889421,-0.1661946556
1.34,0.01528424026,-0.1629610679
1.35,0.01277614204,-0.1597104132
1.36,0.01042477863,-0.1564485987
1.37,0.008230053354,-0.1531815833
1.38,0.006191591563,-0.1499153627
1.39,0.004308739291,-0.1466559535
1.4,0.002580562639,-0.1434093773
1.41,0.001005847955,-0.140181646
1.42,-0.0004168972373,-0.136978746
1.43,-0.001689442564,-0.1338066235
1.44,-0.00281383241,-0.1306711701
1.45,-0.003792382813,-0.1275782074
1.46,-0.004627677674,-0.1245334737
1.47,-0.005322564301,-0.1215426097
1.48,-0.0058801483,-0.1186111452
1.49,-0.00630378784,-0.1157444854
1.5,-0.006597087316,-0.1129478988
1.51,-0.006763890427,-0.1102265046
1.52,-0.006808272699,-0.1075852604
1.53,-0.00673453347,-0.1050289512
1.54,-0.00654718737,-0.1025621783
1.55,-0.006250955315,-0.1001893484
1.56,-0.00585075505,-0.09791466401
1.57,-0.005351691251,-0.09574211399
1.58,-0.004759045239,-0.09367546422
1.59,-0.004078264303,-0.0917182495
1.6,-0.003314950691,-0.08987376562
1.61,-0.002474850267,-0.08814506208
1.62,-0.001563840893,-0.08653493545
1.63,-0.0005879205362,-0.08504592326
1.64,0.000446804848,-0.08368029848
1.65,0.001534133643,-0.08244006468
1.66,0.002667781069,-0.0813269517
1.67,0.003841391828,-0.08034241202
1.68,0.005048552871,-0.07948761766
1.69,0.006282806247,-0.07876345777
1.7,0.007537662014,-0.07817053679
1.71,0.008806611191,-0.07770917319
1.72,0.0100831387,-0.07737939892
1.73,0.01136073631,-0.07718095934
1.74,0.01263291549,-0.07711331385
1.75,0.01389322022,-0.07717563703
1.76,0.01513523971,-0.07736682045
1.77,0.01635262093,-0.07768547495
1.78,0.01753908107,-0.07812993361
1.79,0.01868841974,-0.07869825515
1.8,0.01979453105,-0.07938822796
1.81,0.02085141538,-0.08019737465
1.82,0.02185319099,-0.08112295706
1.83,0.02279410529,-0.08216198184
1.84,0.02366854587,-0.08331120649
1.85,0.02447105119,-0.08456714588
1.86,0.02519632098,-0.08592607918
1.87,0.02583922622,-0.08738405732
1.88,0.02639481888,-0.08893691078
1.89,0.02685834114,-0.09058025784
1.9,0.02722523432,-0.09230951318
1.91,0.02749114736,-0.09411989684
1.92,0.02765194489,-0.09600644357
1.93,0.02770371482,-0.09796401245
1.94,0.02764277557,-0.09998729681
1.95,0.02746568276,-0.1020708345
1.96,0.02716923547,-0.1042090183
1.97,0.02675048204,-0.1063961066
1.98,0.02620672535,-0.1086262347
1.99,0.02553552764,-0.1108934253
2,0.02473471479,-0.1131916002
2.01,0.02380238019,-0.1155145919
2.02,0.022736888,-0.1178561546
2.03,0.02153687599,-0.1202099765
2.04,0.02020125781,-0.1225696911
2.05,0.01872922478,-0.1249288893
2.06,0.01712024718,-0.1272811309
2.07,0.01537407503,-0.1296199571
