"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,-0.0245262474,-0.1108043742
1.01,-0.02771634804,-0.1079233826
1.02,-0.0307419477,-0.1049453055
1.03,-0.03359821822,-0.1018787058
1.04,-0.03628085892,-0.09873248153
1.05,-0.03878611604,-0.09551582861
1.06,-0.0411108,-0.09223820331
1.07,-0.04325230008,-0.08890928367
1.08,-0.04520859683,-0.08553893047
1.09,-0.04697827191,-0.0821371479
1.1,-0.04856051562,-0.07871404382
1.11,-0.04995513188,-0.07527978999
1.12,-0.05116254081,-0.07184458219
1.13,-0.05218377891,-0.06841860054
1.14,-0.05302049677,-0.06501197004
1.15,-0.05367495447,-0.06163472147
1.16,-0.05415001455,-0.0582967528
1.17,-0.05444913278,-0.05500779131
1.18,-0.05457634652,-0.05177735636
1.19,-0.05453626104,-0.04861472317
1.2,-0.05433403356,-0.04552888746
1.21,-0.05397535526,-0.04252853136
1.22,-0.05346643132,-0.03962199048
1.23,-0.05281395893,-0.0368172223
1.24,-0.0520251036,-0.03412177608
1.25,-0.05110747359,-0.03154276431
1.26,-0.05006909273,-0.0290868357
1.27,-0.04891837173,-0.02676015007
1.28,-0.04766407801,-0.02456835491
1.29,-0.04631530413,-0.02251656392
1.3,-0.04488143513,-0.02060933748
1.31,-0.04337211467,-0.01885066517
1.32,-0.04179721019,-0.01724395031
1.33,-0.04016677729,-0.01579199674
1.34,-0.03849102328,-0.01449699771
1.35,-0.03678027022,-0.01336052699
1.36,-0.03504491744,-0.01238353223
1.37,-0.03329540374,-0.01156633058
1.38,-0.0315421694,-0.01090860663
1.39,-0.02979561807,-0.01040941255
1.4,-0.02806607881,-0.0100671706
1.41,-0.0263637683,-0.009879677816
1.42,-0.0246987533,-0.009844113067
1.43,-0.02308091371,-0.009957046229
1.44,-0.02151990613,-0.01021444962
1.45,-0.02002512817,-0.01061171159
1.46,-0.01860568363,-0.01114365218
1.47,-0.01727034857,-0.0118045409
1.48,-0.01602753859,-0.01258811642
1.49,-0.01488527718,-0.0134876083
1.5,-0.0138511655,-0.01449576047
1.51,-0.01293235347,-0.01560485653
1.52,-0.01213551251,-0.01680674673
1.53,-0.01146680973,-0.01809287658
1.54,-0.010931884,-0.0194543169
1.55,-0.01053582368,-0.02088179529
1.56,-0.01028314632,-0.0223657289
1.57,-0.0101777802,-0.0238962584
1.58,-0.01022304799,-0.02546328292
1.59,-0.01042165238,-0.02705649607
1.6,-0.01077566393,-0.02866542267
1.61,-0.01128651097,-0.03027945621
1.62,-0.01195497185,-0.03188789691
1.63,-0.01278116924,-0.03347999019
1.64,-0.01376456688,-0.03504496545
1.65,-0.01490396847,-0.03657207503
1.66,-0.01619751888,-0.03805063327
1.67,-0.01764270768,-0.03947005534
1.68,-0.01923637485,-0.04081989603
1.69,-0.02097471886,-0.04208988807
1.7,-0.02285330688,-0.04326998
1.71,-0.0248670873,-0.04435037342
1.72,-0.02701040429,-0.04532155952
1.73,-0.02927701461,-0.04617435477
1.74,-0.03166010641,-0.04689993551
1.75,-0.03415232005,-0.04748987162
1.76,-0.0367457709,-0.04793615878
1.77,-0.03943207396,-0.04823124954
