"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,0.005642569175,-0.107456358
1.01,0.00237055932,-0.1067775746
1.02,-0.0008679843397,-0.1059966692
1.03,-0.00406858591,-0.105114697
1.04,-0.007226850521,-0.1041329806
1.05,-0.01033847842,-0.1030531007
1.06,-0.01339927831,-0.1018768859
1.07,-0.01640518004,-0.1006064022
1.08,-0.01935224642,-0.0992439422
1.09,-0.02223668441,-0.09779201361
1.1,-0.02505485549,-0.0962533279
1.11,-0.02780328525,-0.09463078817
1.12,-0.03047867229,-0.09292747699
1.13,-0.03307789624,-0.09114664391
1.14,-0.0355980251,-0.08929169281
1.15,-0.03803632174,-0.08736616908
1.16,-0.04039024969,-0.0853737466
1.17,-0.0426574781,-0.0833182147
1.18,-0.04483588597,-0.08120346499
1.19,-0.04692356561,-0.07903347824
1.2,-0.04891882535,-0.0768123112
1.21,-0.05082019151,-0.07454408349
1.22,-0.05262640962,-0.07223296458
1.23,-0.05433644498,-0.06988316086
1.24,-0.0559494824,-0.06749890289
1.25,-0.0574649254,-0.06508443281
1.26,-0.05888239458,-0.06264399194
1.27,-0.06020172548,-0.06018180867
1.28,-0.0614229657,-0.05770208659
1.29,-0.06254637142,-0.05520899292
1.3,-0.06357240341,-0.05270664732
1.31,-0.06450172236,-0.05019911096
1.32,-0.06533518373,-0.04769037608
1.33,-0.06607383206,-0.04518435589
1.34,-0.06671889483,-0.04268487487
1.35,-0.06727177575,-0.04019565963
1.36,-0.06773404775,-0.03772033012
1.37,-0.06810744544,-0.03526239137
1.38,-0.06839385728,-0.03282522578
1.39,-0.06859531736,-0.03041208585
1.4,-0.06871399687,-0.02802608748
1.41,-0.06875219528,-0.02567020381
1.42,-0.06871233125,-0.02334725963
1.43,-0.0685969334,-0.02105992629
1.44,-0.06840863078,-0.01881071723
1.45,-0.06815014324,-0.0166019841
1.46,-0.06782427166,-0.01443591339
1.47,-0.06743388813,-0.01231452367
1.48,-0.06698192598,-0.01023966341
1.49,-0.06647136985,-0.008213009382
1.5,-0.06590524577,-0.006236065605
1.51,-0.06528661121,-0.004310162879
1.52,-0.06461854523,-0.002436458869
1.53,-0.06390413875,-0.0006159387412
1.54,-0.06314648488,0.001150583655
1.55,-0.06234866945,0.002862464081
1.56,-0.06151376171,0.00451922568
1.57,-0.06064480523,0.006120556249
1.58,-0.059744809,0.007666305015
1.59,-0.05881673886,0.009156478945
1.6,-0.05786350915,0.0105912386
1.61,-0.05688797469,0.01197089355
1.62,-0.05589292306,0.01329589739
1.63,-0.05488106728,0.01456684232
1.64,-0.05385503878,0.0157844534
1.65,-0.05281738085,0.01694958246
1.66,-0.05177054238,0.0180632016
1.67,-0.05071687213,0.0191263965
1.68,-0.04965861331,0.02014035939
1.69,-0.04859789873,0.02110638177
1.7,-0.04753674629,0.02202584695
1.71,-0.04647705502,0.02290022231
1.72,-0.04542060153,0.02373105149
1.73,-0.04436903697,0.0245199464
1.74,-0.04332388448,0.02526857906
1.75,-0.04228653708,0.0259786734
1.76,-0.04125825612,0.02665199707
1.77,-0.04024017016,0.02729035307
1.78,-0.03923327434,0.02789557149
1.79,-0.03823843029,0.02846950126
1.8,-0.03725636646,0.0290140019
1.81,-0.03628767894,0.02953093539
1.82,-0.0353328328,0.03002215817
1.83,-0.0343921638,0.03048951317
1.84,-0.03346588062,0.03093482215
1.85,-0.03255406749,0.03135987806
1.86,-0.03165668729,0.03176643773
1.87,-0.03077358503,0.03215621473
1.88,-0.02990449168,0.03253087248
1.89,-0.02904902851,0.03289201765
1.9,-0.02820671166,0.03324119386
1.91,-0.02737695711,0.03357987566
1.92,-0.02655908601,0.03390946289
1.93,-0.02575233025,0.03423127531
1.94,-0.02495583836,0.0345465477
1.95,-0.02416868164,0.03485642525
1.96,-0.02338986054,0.03516195936
1.97,-0.02261831127,0.03546410389
1.98,-0.02185291258,0.03576371177
1.99,-0.02109249271,0.03606153205
2,-0.02033583647,0.03635820741
2.01,-0.01958169248,0.03665427204
2.02,-0.01882878043,0.03695015008
2.03,-0.01807579847,0.03724615435
2.04,-0.01732143056,0.03754248566
2.05,-0.01656435394,0.03783923251
2.06,-0.01580324644,0.03813637125
2.07,-0.01503679393,0.03843376667
2.08,-0.0142636975,0.03873117303
2.09,-0.0134826807,0.03902823559
2.1,-0.01269249663,0.03932449244
2.11,-0.01189193483,0.03961937689
2.12,-0.01107982804,0.03991222016
2.13,-0.01025505882,0.04020225456
2.14,-0.009416565858,0.04048861696
2.15,-0.008563350129,0.04077035271
2.16,-0.007694480753,0.0410464199
2.17,-0.006809100596,0.04131569392
2.18,-0.005906431564,0.04157697243
2.19,-0.0049857796,0.04182898054
2.2,-0.004046539336,0.04207037632
2.21,-0.003088198407,0.04229975662
2.22,-0.002110341406,0.04251566306
2.23,-0.001112653461,0.04271658829
2.24,-9.492342789E-05,0.04290098242
2.25,0.0009429533114,0.04306725968
2.26,0.002000972458,0.0432138052
2.27,0.003079018819,0.04333898188
2.28,0.004176864751,0.04344113748
2.29,0.005294169026,0.04351861163
2.3,0.006430476131,0.04356974308
2.31,0.007585215994,0.04359287681
2.32,0.008757704145,0.04358637124
2.33,0.009947142305,0.04354860542
2.34,0.01115261941,0.04347798614
2.35,0.01237311304,0.04337295496
2.36,0.01360749131,0.04323199521
2.37,0.0148545151,0.04305363877
2.38,0.01611284081,0.04283647281
