"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,0.08552853746,-0.233289299
1.01,0.07928550214,-0.231425774
1.02,0.07317872384,-0.2294127271
1.03,0.06721539748,-0.2272544901
1.04,0.06140247278,-0.2249560087
1.05,0.05574661542,-0.2225228148
1.06,0.05025417025,-0.2199609971
1.07,0.04493112674,-0.2172771704
1.08,0.0397830865,-0.2144784441
1.09,0.03481523299,-0.2115723887
1.1,0.03003230357,-0.2085670021
1.11,0.02543856371,-0.2054706743
1.12,0.02103778346,-0.2022921516
1.13,0.01683321636,-0.1990404998
1.14,0.01282758051,-0.1957250665
1.15,0.009023042108,-0.1923554435
1.16,0.005421201279,-0.1889414277
1.17,0.002023080254,-0.185492983
1.18,-0.001170886072,-0.1820202004
1.19,-0.004160857234,-0.1785332593
1.2,-0.00694759196,-0.1750423879
1.21,-0.009532450585,-0.1715578239
1.22,-0.01191739517,-0.168089776
1.23,-0.01410498734,-0.1646483843
1.24,-0.01609838382,-0.161243683
1.25,-0.01790132984,-0.1578855618
1.26,-0.01951815025,-0.1545837295
1.27,-0.0209537386,-0.1513476769
1.28,-0.02221354408,-0.148186642
1.29,-0.02330355644,-0.1451095748
1.3,-0.02423028897,-0.1421251043
1.31,-0.02500075956,-0.139241506
1.32,-0.02562246994,-0.1364666706
1.33,-0.0261033832,-0.1338080748
1.34,-0.02645189958,-0.1312727523
1.35,-0.02667683072,-0.1288672677
1.36,-0.02678737242,-0.1265976908
1.37,-0.026793076,-0.1244695731
1.38,-0.0267038183,-0.1224879264
1.39,-0.02652977054,-0.1206572025
1.4,-0.02628136607,-0.118981275
1.41,-0.0259692671,-0.1174634232
1.42,-0.02560433056,-0.1161063178
1.43,-0.02519757317,-0.1149120086
1.44,-0.02476013588,-0.1138819145
1.45,-0.02430324773,-0.1130168149
1.46,-0.02383818929,-0.1123168438
1.47,-0.02337625577,-0.111781486
1.48,-0.02292871998,-0.1114095752
1.49,-0.02250679516,-0.1111992939
1.5,-0.02212159785,-0.1111481762
1.51,-0.02178411097,-0.1112531123
1.52,-0.0215051471,-0.1115103547
1.53,-0.02129531217,-0.1119155272
1.54,-0.02116496972,-0.1124636358
1.55,-0.02112420566,-0.113149081
1.56,-0.02118279386,-0.1139656729
1.57,-0.02135016251,-0.1149066476
1.58,-0.02163536143,-0.1159646862
1.59,-0.02204703046,-0.1171319346
1.6,-0.02259336897,-0.1184000262
1.61,-0.02328210656,-0.1197601056
1.62,-0.02412047522,-0.121202854
1.63,-0.02511518274,-0.1227185164
1.64,-0.02627238779,-0.1242969304
1.65,-0.02759767646,-0.1259275554
1.66,-0.02909604054,-0.1275995047
1.67,-0.03077185746,-0.1293015776
1.68,-0.03262887209,-0.1310222929
1.69,-0.03467018034,-0.1327499235
1.7,-0.03689821469,-0.1344725321
1.71,-0.03931473167,-0.1361780074
1.72,-0.04192080134,-0.137854101
1.73,-0.04471679879,-0.1394884653
1.74,-0.0477023977,-0.1410686911
1.75,-0.05087656601,-0.1425823465
1.76,-0.05423756368,-0.1440170154
1.77,-0.05778294252,-0.1453603361
1.78,-0.06150954825,-0.1466000403
1.79,-0.06541352456,-0.1477239921
1.8,-0.06949031934,-0.1487202261
1.81,-0.07373469302,-0.1495769855
1.82,-0.07814072895,-0.1502827604
1.83,-0.08270184586,-0.1508263245
1.84,-0.08741081233,-0.1511967716
1.85,-0.09225976323,-0.1513835517
1.86,-0.09724021813,-0.1513765053
1.87,-0.1023431015,-0.1511658981
1.88,-0.1075587651,-0.1507424526
1.89,-0.1128770114,-0.1500973807
1.9,-0.1182871195,-0.1492224135
1.91,-0.1237778723,-0.1481098304
1.92,-0.1293375853,-0.1467524864
1.93,-0.1349541368,-0.1451438381
1.94,-0.1406149995,-0.1432779678
1.95,-0.1463072737,-0.1411496066
1.96,-0.1520177211,-0.1387541545
1.97,-0.1577328005,-0.1360877001
1.98,-0.1634387039,-0.1331470371
1.99,-0.1691213937,-0.1299296798
2,-0.1747666409,-0.1264338763
2.01,-0.1803600635,-0.1226586192
2.02,-0.1858871663,-0.1186036554
2.03,-0.1913333803,-0.1142694923
2.04,-0.1966841032,-0.1096574033
2.05,-0.2019247394,-0.1047694298
2.06,-0.2070407411,-0.09960838265
2.07,-0.2120176485,-0.09417783974
2.08,-0.2168411305,-0.08848214272
2.09,-0.2214970249,-0.08252639093
2.1,-0.2259713784,-0.07631643342
2.11,-0.2302504861,-0.06985885877
2.12,-0.2343209305,-0.06316098286
2.13,-0.2381696199,-0.05623083459
2.14,-0.2417838261,-0.04907713956
2.15,-0.2451512206,-0.04170930174
2.16,-0.2482599107,-0.03413738328
2.17,-0.2510984741,-0.02637208241
2.18,-0.2536559924,-0.01842470951
2.19,-0.255922083,-0.01030716142
2.2,-0.2578869302,-0.002031894175
2.21,-0.2595413143,0.006388106049
2.22,-0.2608766397,0.01493935335
2.23,-0.261884961,0.02360789403
2.24,-0.2625590073,0.03237933991
2.25,-0.2628922053,0.04123890285
2.26,-0.2628787001,0.05017143045
2.27,-0.2625133742,0.05916144287
2.28,-0.2617918643,0.06819317056
2.29,-0.2607105773,0.07725059293
2.3,-0.2592667024,0.08631747767
2.31,-0.2574582228,0.09537742083
2.32,-0.2552839242,0.1044138874
2.33,-0.2527434018,0.1134102523
2.34,-0.249837065,0.1223498417
2.35,-0.2465661399,0.1312159746
