"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,0.01445678904,-0.04144717876
1.01,0.01334506147,-0.04126479032
1.02,0.01224774002,-0.0410559459
1.03,0.01116598583,-0.04082095755
1.04,0.01010093844,-0.0405602306
1.05,0.00905371006,-0.04027425994
1.06,0.008025380247,-0.0399636262
1.07,0.007016990841,-0.03962899172
1.08,0.006029541213,-0.03927109638
1.09,0.005063983807,-0.03889075326
1.1,0.004121220001,-0.03848884418
1.11,0.003202096266,-0.03806631511
1.12,0.002307400643,-0.03762417146
1.13,0.001437859525,-0.03716347328
1.14,0.000594134764,-0.03668533037
1.15,-0.0002231789223,-0.03619089731
1.16,-0.001013556218,-0.03568136841
1.17,-0.001776543167,-0.03515797269
1.18,-0.002511758817,-0.03462196872
1.19,-0.003218896551,-0.03407463953
1.2,-0.003897725107,-0.03351728746
1.21,-0.004548089292,-0.03295122907
1.22,-0.005169910395,-0.03237779004
1.23,-0.005763186287,-0.03179830011
1.24,-0.006327991241,-0.0312140881
1.25,-0.006864475451,-0.03062647695
1.26,-0.007372864266,-0.03003677895
1.27,-0.007853457153,-0.02944629088
1.28,-0.008306626379,-0.02885628948
1.29,-0.008732815441,-0.02826802687
1.3,-0.00913253723,-0.02768272618
1.31,-0.009506371954,-0.02710157733
1.32,-0.009854964834,-0.02652573296
1.33,-0.01017902356,-0.02595630451
1.34,-0.01047931553,-0.02539435852
1.35,-0.01075666494,-0.02484091309
1.36,-0.01101194956,-0.02429693458
1.37,-0.0112460975,-0.02376333447
1.38,-0.01146008365,-0.0232409665
1.39,-0.01165492609,-0.02273062396
1.4,-0.01183168228,-0.02223303731
1.41,-0.01199144518,-0.02174887197
1.42,-0.01213533922,-0.02127872636
1.43,-0.01226451621,-0.02082313025
1.44,-0.01238015115,-0.02038254328
1.45,-0.01248343797,-0.01995735381
1.46,-0.01257558524,-0.01954787798
1.47,-0.01265781185,-0.01915435908
1.48,-0.01273134261,-0.01877696711
1.49,-0.01279740395,-0.0184157987
1.5,-0.01285721952,-0.01807087717
1.51,-0.0129120059,-0.01774215297
1.52,-0.01296296832,-0.01742950429
1.53,-0.01301129643,-0.01713273793
1.54,-0.01305816012,-0.01685159047
1.55,-0.01310470549,-0.01658572964
1.56,-0.01315205084,-0.01633475589
1.57,-0.01320128284,-0.0160982043
1.58,-0.01325345274,-0.01587554656
1.59,-0.01330957282,-0.0156661933
1.6,-0.01337061289,-0.01546949655
1.61,-0.01343749699,-0.0152847524
1.62,-0.01351110029,-0.01511120385
1.63,-0.01359224609,-0.01494804385
1.64,-0.01368170309,-0.01479441848
1.65,-0.0137801828,-0.01464943029
1.66,-0.01388833718,-0.01451214177
1.67,-0.01400675646,-0.01438157894
1.68,-0.01413596725,-0.0142567351
1.69,-0.01427643078,-0.0141365746
1.7,-0.01442854141,-0.01402003674
1.71,-0.0145926254,-0.0139060398
1.72,-0.01476893987,-0.01379348497
1.73,-0.01495767199,-0.01368126052
1.74,-0.01515893847,-0.01356824583
1.75,-0.01537278523,-0.01345331556
1.76,-0.01559918731,-0.01333534376
1.77,-0.01583804906,-0.01321320796
1.78,-0.01608920452,-0.01308579329
1.79,-0.01635241806,-0.01295199653
1.8,-0.01662738526,-0.01281073007
1.81,-0.01691373394,-0.01266092591
1.82,-0.01721102555,-0.01250153948
1.83,-0.01751875664,-0.01233155339
1.84,-0.01783636058,-0.01214998116
1.85,-0.01816320954,-0.01195587072
1.86,-0.01849861662,-0.01174830789
1.87,-0.01884183813,-0.01152641966
1.88,-0.01919207609,-0.01128937732
1.89,-0.01954848095,-0.01103639953
1.9,-0.01991015434,-0.01076675509
1.91,-0.02027615212,-0.01047976566
1.92,-0.02064548743,-0.01017480824
1.93,-0.02101713397,-0.009851317469
1.94,-0.02139002937,-0.009508787755
1.95,-0.02176307862,-0.009146775185
1.96,-0.02213515767,-0.008764899249
1.97,-0.02250511705,-0.00836284435
1.98,-0.02287178561,-0.007940361105
1.99,-0.02323397428,-0.007497267434
2,-0.02359047987,-0.007033449436
2.01,-0.02394008896,-0.006548862042
2.02,-0.02428158178,-0.006043529458
2.03,-0.02461373605,-0.005517545386
2.04,-0.02493533092,-0.00497107303
2.05,-0.0252451508,-0.004404344885
2.06,-0.02554198919,-0.003817662312
2.07,-0.02582465256,-0.003211394907
2.08,-0.026091964,-0.002585979652
2.09,-0.026342767,-0.001941919869
2.1,-0.02657592901,-0.001279783978
2.11,-0.02679034501,-0.0006002040483
2.12,-0.02698494095,9.612582937E-05
2.13,-0.02715867706,0.000808451356
2.14,-0.02731055112,0.001535960016
2.15,-0.02743960155,0.002277783236
2.16,-0.02754491037,0.003032998707
2.17,-0.02762560605,0.003800632859
2.18,-0.0276808662,0.004579663479
2.19,-0.02770992009,0.005369022471
2.2,-0.02771205104,0.006167598737
2.21,-0.02768659862,0.00697424118
2.22,-0.02763296068,0.007787761814
2.23,-0.02755059522,0.00860693897
2.24,-0.02743902205,0.009430520594
2.25,-0.02729782427,0.01025722762
2.26,-0.02712664961,0.01108575739
2.27,-0.0269252115,0.01191478721
2.28,-0.02669328998,0.01274297781
2.29,-0.02643073245,0.01356897697
2.3,-0.02613745415,0.01439142312
2.31,-0.02581343854,0.01520894893
2.32,-0.02545873735,0.01602018493
2.33,-0.02507347058,0.01682376315
2.34,-0.02465782619,0.01761832065
2.35,-0.02421205969,0.01840250311
2.36,-0.02373649345,0.01917496834
2.37,-0.02323151589,0.01993438974
2.38,-0.02269758045,0.02067945972
2.39,-0.02213520445,0.02140889303
2.4,-0.02154496762,0.02212142997
2.41,-0.02092751069,0.02281583965
2.42,-0.02028353357,0.02349092298
2.43,-0.01961379357,0.02414551564
2.44,-0.01891910339,0.02477849099
2.45,-0.01820032892,0.02538876272
2.46,-0.01745838701,0.02597528751
2.47,-0.01669424301,0.02653706745
2.48,-0.01590890827,0.02707315241
2.49,-0.01510343748,0.02758264215
2.5,-0.01427892589,0.02806468841
2.51,-0.01343650654,0.02851849671
2.52,-0.01257734724,0.02894332808
2.53,-0.01170264763,0.02933850063
2.54,-0.0108136361,0.02970339082
2.55,-0.009911566614,0.03003743476
2.56,-0.008997715605,0.03034012915
2.57,-0.008073378709,0.03061103214
2.58,-0.007139867551,0.03084976404
2.59,-0.006198506484,0.03105600773
2.6,-0.005250629323,0.03122950901
2.61,-0.00429757609,0.03137007677
2.62,-0.00334068976,0.03147758284
2.63,-0.002381313038,0.03155196189
2.64,-0.001420785167,0.03159321096
2.65,-0.0004604387682,0.03160138891
2.66,0.0004984032568,0.03157661573
2.67,0.001454430772,0.03151907161
2.68,0.002406349384,0.03142899591
2.69,0.00335288334,0.03130668596
2.7,0.004292778347,0.03115249569
2.71,0.00522480429,0.03096683419
2.72,0.006147757864,0.03075016399
2.73,0.007060465084,0.0305029994
2.74,0.007961783693,0.03022590456
2.75,0.00885060545,0.02991949146
2.76,0.009725858282,0.02958441782
2.77,0.01058650832,0.0292213849
2.78,0.0114315618,0.02883113518
2.79,0.0122600668,0.02841444999
2.8,0.01307111485,0.02797214699
2.81,0.01386384242,0.0275050777
2.82,0.01463743222,0.02701412488
2.83,0.01539111436,0.02650019987
2.84,0.01612416735,0.02596423992
2.85,0.01683591897,0.02540720547
2.86,0.01752574695,0.0248300774
2.87,0.01819307953,0.02423385428
2.88,0.01883739582,0.0236195496
2.89,0.01945822605,0.02298818902
2.9,0.02005515163,0.02234080761
2.91,0.02062780507,0.02167844712
2.92,0.0211758698,0.02100215331
2.93,0.02169907972,0.02031297325
2.94,0.02219721873,0.01961195273
2.95,0.02267012007,0.01890013371
2.96,0.02311766552,0.01817855177
2.97,0.02353978449,0.01744823374
2.98,0.02393645292,0.01671019532
2.99,0.02430769218,0.01596543877
3,0.02465356772,0.01521495079
3.01,0.02497418773,0.01445970037
3.02,0.02526970158,0.01370063685
3.03,0.02554029829,0.01293868799
3.04,0.02578620477,0.0121747582
3.05,0.02600768412,0.01140972693
3.06,0.02620503377,0.01064444705
3.07,0.02637858354,0.009879743473
3.08,0.0265286937,0.00911641184
3.09,0.02665575294,0.008355217358
3.1,0.02676017631,0.007596893745
3.11,0.0268424031,0.006842142322
3.12,0.02690289472,0.006091631228
3.13,0.02694213254,0.005345994768
3.14,0.02696061574,0.004605832892
3.15,0.02695885913,0.00387171081
3.16,0.02693739098,0.003144158728
3.17,0.02689675085,0.002423671726
3.18,0.02683748747,0.001710709748
3.19,0.02676015663,0.001005697732
3.2,0.02666531908,0.0003090258495
3.21,0.0265535385,-0.0003789501223
3.22,0.02642537947,-0.001057908324
3.23,0.02628140559,-0.001727560218
3.24,0.02612217752,-0.002387649885
3.25,0.02594825122,-0.003037953221
3.26,0.02576017617,-0.003678277025
3.27,0.02555849366,-0.004308458006
3.28,0.02534373528,-0.004928361692
3.29,0.02511642134,-0.005537881255
3.3,0.02487705944,-0.006136936263
3.31,0.02462614322,-0.006725471362
3.32,0.02436415103,-0.007303454884
3.33,0.02409154486,-0.007870877405
3.34,0.02380876931,-0.008427750246
3.35,0.02351625063,-0.008974103929
3.36,0.02321439591,-0.009509986591
3.37,0.02290359239,-0.01003546237
3.38,0.02258420684,-0.01055060977
3.39,0.02225658506,-0.01105551998
3.4,0.02192105152,-0.01155029523
3.41,0.02157790906,-0.01203504708
3.42,0.02122743875,-0.01250989476
3.43,0.02086989979,-0.01297496351
3.44,0.02050552964,-0.01343038289
3.45,0.02013454409,-0.01387628519
3.46,0.01975713756,-0.01431280377
3.47,0.01937348346,-0.01474007152
3.48,0.01898373464,-0.01515821933
3.49,0.01858802395,-0.01556737455
3.5,0.01818646487,-0.01596765959
3.51,0.01777915226,-0.01635919051
3.52,0.01736616314,-0.0167420757
3.53,0.01694755764,-0.01711641461
3.54,0.01652337993,-0.01748229655
3.55,0.01609365927,-0.01783979958
3.56,0.01565841112,-0.01818898947
3.57,0.01521763831,-0.0185299187
3.58,0.01477133225,-0.01886262563
3.59,0.01431947422,-0.01918713364
3.6,0.01386203668,-0.01950345049
3.61,0.0133989846,-0.01981156766
3.62,0.01293027689,-0.02011145987
3.63,0.01245586779,-0.02040308458
3.64,0.01197570832,-0.02068638175
3.65,0.01148974769,-0.02096127353
3.66,0.01099793481,-0.02122766416
3.67,0.01050021974,-0.02148543992
3.68,0.009996555128,-0.02173446918
3.69,0.00948689767,-0.02197460254
3.7,0.008971209563,-0.02220567312
3.71,0.008449459903,-0.02242749683
3.72,0.007921626083,-0.02263987286
3.73,0.007387695151,-0.02284258418
3.74,0.006847665131,-0.02303539815
3.75,0.006301546304,-0.02321806718
3.76,0.005749362442,-0.02339032958
3.77,0.005191151989,-0.02355191034
3.78,0.004626969186,-0.02370252212
3.79,0.004056885135,-0.02384186622
3.8,0.003480988801,-0.02396963363
3.81,0.00289938794,-0.02408550624
3.82,0.002312209957,-0.02418915793
3.83,0.001719602691,-0.02428025593
3.84,0.001121735115,-0.02435846203
3.85,0.0005187979598,-0.02442343398
3.86,-8.899575181E-05,-0.02447482682
3.87,-0.0007014102514,-0.02451229438
3.88,-0.001318186665,-0.02453549065
3.89,-0.001939042739,-0.02454407131
3.9,-0.002563672662,-0.02453769517
3.91,-0.003191746973,-0.02451602573
3.92,-0.003822912567,-0.02447873266
3.93,-0.004456792793,-0.02442549333
3.94,-0.00509298764,-0.02435599431
3.95,-0.005731074023,-0.02426993289
3.96,-0.006370606156,-0.02416701854
3.97,-0.007011116015,-0.02404697441
3.98,-0.007652113895,-0.02390953877
3.99,-0.008293089048,-0.02375446641
4,-0.008933510415,-0.02358153
4.01,-0.009572827432,-0.02339052147
4.02,-0.01021047093,-0.02318125329
4.03,-0.01084585408,-0.02295355967
4.04,-0.01147837348,-0.02270729779
4.05,-0.01210741024,-0.02244234893
4.06,-0.01273233116,-0.02215861948
4.07,-0.01335249,-0.02185604201
4.08,-0.01396722877,-0.02153457613
4.09,-0.01457587912,-0.02119420938
4.1,-0.01517776371,-0.02083495801
4.11,-0.0157721977,-0.02045686763
4.12,-0.01635849028,-0.02006001388
4.13,-0.01693594614,-0.0196445029
4.14,-0.0175038671,-0.01921047183
4.15,-0.01806155368,-0.01875808909
4.16,-0.01860830673,-0.0182875547
4.17,-0.01914342908,-0.01779910044
4.18,-0.01966622714,-0.0172929899
4.19,-0.02017601261,-0.0167695185
4.2,-0.02067210409,-0.01622901335
4.21,-0.02115382876,-0.0156718331
4.22,-0.02162052399,-0.01509836759
4.23,-0.02207153898,-0.01450903752
4.24,-0.02250623635,-0.01390429396
4.25,-0.0229239937,-0.0132846178
4.26,-0.02332420522,-0.01265051909
4.27,-0.0237062831,-0.01200253633
4.28,-0.02406965909,-0.01134123563
4.29,-0.02441378585,-0.01066720988
4.3,-0.02473813838,-0.009981077696
4.31,-0.02504221529,-0.009283482466
4.32,-0.02532554011,-0.008575091181
4.33,-0.02558766246,-0.007856593279
4.34,-0.02582815918,-0.007128699402
4.35,-0.02604663543,-0.006392140095
4.36,-0.02624272564,-0.00564766445
4.37,-0.02641609448,-0.0048960387
4.38,-0.02656643767,-0.004138044769
4.39,-0.02669348274,-0.003374478775
4.4,-0.02679698974,-0.002606149499
4.41,-0.02687675184,-0.00183387682
4.42,-0.0269325958,-0.001058490126
4.43,-0.02696438247,-0.0002808266949
4.44,-0.02697200707,0.0004982699337
4.45,-0.02695539948,0.001277951607
4.46,-0.02691452439,0.00205736721
4.47,-0.02684938141,0.002835664326
4.48,-0.02676000503,0.003611990886
4.49,-0.02664646453,0.00438549682
4.5,-0.02650886383,0.005155335694
4.51,-0.02634734119,0.005920666328
4.52,-0.0261620689,0.006680654393
4.53,-0.02595325279,0.007434473991
4.54,-0.02572113179,0.008181309191
4.55,-0.02546597731,0.008920355545
4.56,-0.02518809255,0.009650821554
4.57,-0.02488781181,0.0103719301
4.58,-0.02456549966,0.01108291982
4.59,-0.02422155007,0.01178304646
4.6,-0.02385638547,0.01247158413
4.61,-0.02347045577,0.01314782654
4.62,-0.02306423726,0.01381108816
4.63,-0.02263823156,0.01446070534
4.64,-0.02219296442,0.0150960373
4.65,-0.02172898453,0.01571646715
4.66,-0.02124686227,0.01632140279
4.67,-0.02074718843,0.01691027768
4.68,-0.02023057292,0.01748255169
4.69,-0.01969764336,0.01803771171
4.7,-0.01914904377,0.01857527227
4.71,-0.01858543316,0.01909477612
4.72,-0.01800748412,0.01959579466
4.73,-0.0174158814,0.02007792828
4.74,-0.01681132048,0.02054080674
4.75,-0.01619450618,0.02098408936
4.76,-0.01556615116,0.02140746516
4.77,-0.01492697458,0.02181065297
4.78,-0.0142777006,0.02219340143
4.79,-0.01361905707,0.02255548887
4.8,-0.01295177408,0.02289672324
4.81,-0.01227658263,0.02321694187
4.82,-0.0115942133,0.02351601119
4.83,-0.0109053949,0.02379382635
4.84,-0.01021085325,0.0240503109
4.85,-0.009511309913,0.02428541623
