"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,-0.002835525382,-0.08490014773
1.01,-0.005351495592,-0.08326179348
1.02,-0.007776723539,-0.0815467786
1.03,-0.01010739294,-0.07975914542
1.04,-0.01233992637,-0.07790320493
1.05,-0.01447100094,-0.07598351833
1.06,-0.01649756278,-0.07400487799
1.07,-0.01841684027,-0.0719722878
1.08,-0.02022635596,-0.06989094307
1.09,-0.02192393726,-0.06776621001
1.1,-0.02350772581,-0.0656036048
1.11,-0.02497618553,-0.0634087724
1.12,-0.02632810943,-0.0611874651
1.13,-0.02756262498,-0.05894552091
1.14,-0.02867919832,-0.05668884185
1.15,-0.02967763702,-0.05442337218
1.16,-0.03055809166,-0.05215507669
1.17,-0.03132105603,-0.04988991906
1.18,-0.03196736609,-0.04763384044
1.19,-0.03249819766,-0.04539273813
1.2,-0.0329150629,-0.04317244477
1.21,-0.0332198055,-0.04097870766
1.22,-0.0334145948,-0.03881716866
1.23,-0.03350191862,-0.0366933445
1.24,-0.03348457506,-0.03461260771
1.25,-0.03336566318,-0.03258016803
1.26,-0.03314857262,-0.03060105461
1.27,-0.03283697225,-0.02868009885
1.28,-0.03243479786,-0.026821918
1.29,-0.03194623885,-0.02503089965
1.3,-0.03137572421,-0.02331118698
1.31,-0.03072790758,-0.02166666495
1.32,-0.03000765161,-0.02010094753
1.33,-0.02922001159,-0.01861736571
1.34,-0.0283702185,-0.01721895675
1.35,-0.02746366141,-0.01590845431
1.36,-0.02650586947,-0.01468827974
1.37,-0.02550249336,-0.01356053443
1.38,-0.02445928639,-0.01252699328
1.39,-0.02338208532,-0.01158909937
1.4,-0.02227679087,-0.01074795967
1.41,-0.02114934808,-0.01000434196
1.42,-0.02000572658,-0.009358672958
1.43,-0.01885190072,-0.008811037512
1.44,-0.01769382986,-0.008361179042
1.45,-0.01653743857,-0.008008501086
1.46,-0.01538859716,-0.007752070008
1.47,-0.0142531023,-0.00759061884
1.48,-0.01313665795,-0.007522552234
1.49,-0.01204485669,-0.007545952511
1.5,-0.01098316136,-0.007658586778
1.51,-0.00995688725,-0.007857915092
1.52,-0.008971184787,-0.008141099632
1.53,-0.008031022767,-0.008505014852
1.54,-0.007141172271,-0.008946258572
1.55,-0.006306191242,-0.009461163976
1.56,-0.005530409803,-0.01004581246
1.57,-0.004817916361,-0.01069604731
1.58,-0.004172544532,-0.01140748809
1.59,-0.003597860937,-0.01217554587
1.6,-0.003097153907,-0.01299543894
1.61,-0.002673423127,-0.01386220929
1.62,-0.002329370248,-0.01477073953
1.63,-0.002067390513,-0.0157157704
1.64,-0.001889565396,-0.01669191863
1.65,-0.0017976563,-0.01769369519
1.66,-0.001793099314,-0.01871552392
1.67,-0.001877001054,-0.01975176033
1.68,-0.0020501356,-0.02079671062
1.69,-0.002312942518,-0.02184465079
1.7,-0.002665526003,-0.02288984592
1.71,-0.003107655107,-0.02392656927
1.72,-0.003638765078,-0.02494912146
1.73,-0.004257959781,-0.02595184949
1.74,-0.004964015207,-0.02692916547
1.75,-0.005755384038,-0.02787556526
1.76,-0.006630201271,-0.02878564666
1.77,-0.007586290855,-0.02965412726
1.78,-0.008621173342,-0.03047586193
1.79,-0.009732074505,-0.03124585973
1.8,-0.01091593489,-0.03195930031
1.81,-0.01216942031,-0.03261154976
1.82,-0.01348893315,-0.03319817575
1.83,-0.01487062456,-0.03371496203
1.84,-0.01631040743,-0.03415792215
1.85,-0.01780397007,-0.03452331244
1.86,-0.01934679062,-0.03480764417
1.87,-0.02093415213,-0.03500769478
1.88,-0.02256115815,-0.03512051834
1.89,-0.02422274898,-0.03514345501
1.9,-0.02591371834,-0.0350741395
1.91,-0.02762873045,-0.03491050872
1.92,-0.02936233758,-0.03465080825
1.93,-0.03110899782,-0.03429359791
1.94,-0.03286309313,-0.03383775628
1.95,-0.03461894768,-0.03328248411
1.96,-0.03637084619,-0.03262730681
1.97,-0.03811305243,-0.03187207577
1.98,-0.03983982774,-0.03101696867
1.99,-0.04154544949,-0.03006248874
2,-0.04322422942,-0.029009463
2.01,-0.04487053185,-0.0278590394
2.02,-0.04647879164,-0.026612683
2.03,-0.04804353192,-0.02527217111
2.04,-0.04955938141,-0.02383958744
2.05,-0.05102109146,-0.02231731533
2.06,-0.05242355249,-0.02070802996
2.07,-0.05376181011,-0.01901468973
2.08,-0.05503108056,-0.01724052674
2.09,-0.05622676564,-0.01538903637
2.1,-0.05734446693,-0.01346396613
2.11,-0.0583799994,-0.01146930373
2.12,-0.05932940422,-0.009409264352
2.13,-0.06018896091,-0.007288277336
2.14,-0.06095519854,-0.005110972172
2.15,-0.06162490628,-0.002882163924
2.16,-0.0621951429,-0.0006068381127
2.17,-0.06266324554,0.001709864889
2.18,-0.06302683748,0.004062665889
2.19,-0.06328383497,0.006446163297
2.2,-0.06343245317,0.008854849859
2.21,-0.06347121103,0.01128312968
2.22,-0.06339893529,0.01372533542
2.23,-0.06321476342,0.01617574571
2.24,-0.06291814559,0.01862860262
2.25,-0.06250884566,0.02107812913
2.26,-0.06198694117,0.02351854673
2.27,-0.06135282229,0.02594409276
2.28,-0.06060718992,0.02834903777
2.29,-0.05975105266,0.03072770264
2.3,-0.05878572296,0.03307447546
2.31,-0.05771281226,0.03538382809
2.32,-0.05653422525,0.0376503325
2.33,-0.0552521532,0.03986867653
2.34,-0.05386906648,0.0420336794
2.35,-0.05238770619,0.04414030655
2.36,-0.05081107505,0.04618368412
2.37,-0.04914242741,0.04815911267
2.38,-0.04738525866,0.05006208048
2.39,-0.04554329386,0.05188827597
2.4,-0.04362047573,0.05363359964
2.41,-0.04162095202,0.05529417511
2.42,-0.03954906239,0.0568663595
2.43,-0.03740932463,0.05834675295
2.44,-0.03520642054,0.05973220743
2.45,-0.0329451813,0.06101983456
2.46,-0.03063057252,0.0622070127
2.47,-0.02826767892,0.06329139309
2.48,-0.02586168877,0.06427090516
2.49,-0.02341787811,0.06514376085
2.5,-0.02094159478,0.06590845809
2.51,-0.01843824236,0.06656378338
2.52,-0.01591326403,0.06710881337
2.53,-0.01337212644,0.06754291559
2.54,-0.0108203036,0.06786574824
2.55,-0.008263260899,0.06807725913
2.56,-0.005706439234,0.06817768362
2.57,-0.003155239362,0.06816754177
2.58,-0.0006150064914,0.0680476346
2.59,0.001908984837,0.06781903949
2.6,0.00441154552,0.06748310474
2.61,0.00688758628,0.06704144341
2.62,0.009332131617,0.06649592624
2.63,0.01174033329,0.065848674
2.64,0.01410748331,0.06510204895
2.65,0.0164290263,0.06425864577
2.66,0.01870057139,0.06332128174
2.67,0.02091790341,0.06229298636
2.68,0.02307699341,0.06117699038
2.69,0.02517400859,0.05997671431
2.7,0.02720532145,0.05869575644
2.71,0.02916751822,0.05733788044
2.72,0.03105740654,0.05590700249
2.73,0.03287202242,0.05440717815
2.74,0.03460863632,0.05284258883
2.75,0.0362647585,0.05121752811
2.76,0.03783814354,0.0495363877
2.77,0.03932679403,0.04780364339
2.78,0.04072896347,0.04602384075
2.79,0.04204315833,0.04420158088
2.8,0.04326813925,0.042341506
2.81,0.04440292149,0.04044828523
2.82,0.04544677452,0.03852660027
2.83,0.04639922084,0.03658113136
2.84,0.04726003397,0.03461654327
2.85,0.04802923568,0.03263747158
