"Freq [GHz]","re(S(Tx_p1,Tx_p1)) []","im(S(Tx_p1,Tx_p1)) []"
1,-0.04660164607,-0.03485588669
1.01,-0.04788319572,-0.03243929769
1.02,-0.04904183058,-0.02997081676
1.03,-0.05007499274,-0.02745701805
1.04,-0.05098051269,-0.024904614
1.05,-0.05175661583,-0.02232043091
1.06,-0.05240192736,-0.01971138419
1.07,-0.0529154757,-0.01708445362
1.08,-0.05329669446,-0.01444665852
1.09,-0.05354542283,-0.01180503299
1.1,-0.0536619045,-0.009166601338
1.11,-0.05364678514,-0.006538353678
1.12,-0.05350110845,-0.003927221916
1.13,-0.05322631071,-0.001340056086
1.14,-0.05282421402,0.001216398808
1.15,-0.05229701819,0.003735525402
1.16,-0.05164729125,0.006210855936
1.17,-0.0508779588,0.008636093521
1.18,-0.04999229207,0.01100513262
1.19,-0.04899389484,0.01331207869
1.2,-0.04788668927,0.01555126691
1.21,-0.04667490072,0.01771727992
1.22,-0.04536304152,0.01980496462
1.23,-0.04395589387,0.02180944775
1.24,-0.04245849193,0.02372615048
1.25,-0.04087610311,0.02555080178
1.26,-0.03921420865,0.02727945054
1.27,-0.03747848364,0.02890847656
1.28,-0.03567477645,0.03043460015
1.29,-0.03380908771,0.0318548905
1.3,-0.03188754898,0.03316677278
1.31,-0.02991640102,0.03436803379
1.32,-0.0279019719,0.03545682638
1.33,-0.02585065501,0.03643167249
1.34,-0.02376888695,0.03729146488
1.35,-0.02166312549,0.03803546741
1.36,-0.01953982765,0.03866331417
1.37,-0.01740542795,0.03917500714
1.38,-0.01526631694,0.03957091266
1.39,-0.01312882006,0.03985175658
1.4,-0.01099917696,0.04001861819
1.41,-0.008883521235,0.04007292294
1.42,-0.006787860833,0.04001643398
1.43,-0.004718058992,0.0398512426
1.44,-0.002679815925,0.03957975756
1.45,-0.0006786512484,0.03920469339
1.46,0.001280112776,0.03872905775
1.47,0.003191367132,0.03815613777
1.48,0.005050231015,0.03748948564
1.49,0.006852065842,0.0367329033
1.5,0.008592488239,0.03589042643
1.51,0.01026738199,0.03496630778
1.52,0.01187290891,0.03396499981
1.53,0.01340551856,0.03289113693
1.54,0.01486195693,0.03174951711
1.55,0.01623927381,0.03054508324
1.56,0.01753482911,0.02928290406
1.57,0.01874629795,0.02796815491
1.58,0.01987167454,0.02660609826
1.59,0.02090927486,0.02520206417
1.6,0.02185773817,0.02376143074
1.61,0.02271602732,0.02228960451
1.62,0.02348342785,0.02079200113
1.63,0.02415954594,0.01927402606
1.64,0.02474430526,0.01774105567
1.65,0.02523794261,0.01619841857
1.66,0.02564100254,0.0146513774
1.67,0.02595433083,0.01310511103
1.68,0.02617906706,0.0115646973
1.69,0.02631663604,0.01003509635
1.7,0.02636873842,0.008521134619
1.71,0.02633734029,0.007027489424
1.72,0.02622466206,0.005558674417
1.73,0.02603316635,0.004119025748
1.74,0.02576554535,0.002712689085
1.75,0.02542470727,0.001343607513
1.76,0.02501376234,1.551032884E-05
1.77,0.02453600811,-0.001268097202
1.78,0.0239949143,-0.002503943133
1.79,0.02339410718,-0.003688997117
1.8,0.02273735358,-0.004820477673
1.81,0.02202854456,-0.00589585842
1.82,0.02127167881,-0.006912873261
1.83,0.02047084597,-0.007869520514
1.84,0.01963020968,-0.008764065985
1.85,0.01875399064,-0.00959504498
1.86,0.01784644977,-0.01036126326
