"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
1,-0.798057833274723,-0.496002891316768
1.01,-0.817605029586611,-0.456502574507482
1.02,-0.835555407731072,-0.41476402768411
1.03,-0.851661893834661,-0.370717979629896
1.04,-0.86564252104749,-0.32430621040286
1.05,-0.877176136560187,-0.275487026901515
1.06,-0.885898037730423,-0.224242383175982
1.07,-0.891395803719859,-0.170587032749301
1.08,-0.893205740656334,-0.114580146606702
1.09,-0.890810567194943,-0.0563398525982954
1.1,-0.883639245449551,0.00393887556285004
1.11,-0.871070217105891,0.065962667740326
1.12,-0.852439731697627,0.129314494523858
1.13,-0.827057424708043,0.193425123158753
1.14,-0.794231745295084,0.25754251657006
1.15,-0.753308106921426,0.320701595002006
1.16,-0.703862866630125,0.38171386994453
1.17,-0.645587753317167,0.439179212589615
1.18,-0.578092302173803,0.491384359863536
1.19,-0.501569930501437,0.536401963290022
1.2,-0.416671119801737,0.572158639094185
1.21,-0.324597761038773,0.59655427945476
1.22,-0.227164071724325,0.607630086003303
1.23,-0.126798620699879,0.603775628483194
1.24,-0.0264647647760072,0.583950941548834
1.25,0.070511633401737,0.547886134981838
1.26,0.160698253286223,0.496214180342838
1.27,0.240863297870175,0.430498086420961
1.28,0.308281448775148,0.353133331461769
1.29,0.360981251669742,0.267135513563535
1.3,0.397888393882841,0.175851591724627
1.31,0.418845222547473,0.082650010394958
1.32,0.424997791141301,-0.00978446598094798
1.33,0.41729136919833,-0.0985854117203588
1.34,0.397303598395408,-0.1815319232024
1.35,0.367006112585733,-0.257133725387636
1.36,0.32841903795429,-0.324461992331229
1.37,0.283476524115816,-0.383070745660158
1.38,0.233938723850076,-0.432899563719455
1.39,0.181344548429354,-0.474174860187151
1.4,0.126995938817816,-0.507320650122438
1.41,0.0719638770131847,-0.532884195836424
1.42,0.0171076129507877,-0.551477932746332
1.43,-0.0368994587006441,-0.563736634408537
1.44,-0.0895418463306362,-0.570287568141072
1.45,-0.140434821889267,-0.571731018692367
1.46,-0.189299707904177,-0.568628669554537
1.47,-0.235942322889056,-0.561497677643266
1.48,-0.280234754325074,-0.550808697606161
1.49,-0.322100300696555,-0.536986518382459
1.5,-0.361501256981825,-0.520412326041886
1.51,-0.398429153239959,-0.501426890658372
1.52,-0.432897051947171,-0.480334193566591
1.53,-0.464933538459216,-0.457405173698765
1.54,-0.494578082603327,-0.432881388870362
1.55,-0.521877497331404,-0.406978470114292
1.56,-0.546883266626159,-0.379889303455698
1.57,-0.569649556598871,-0.351786910945451
1.58,-0.590231759757285,-0.322827026804589
1.59,-0.608685452701005,-0.29315037927361
1.6,-0.625065672410875,-0.262884697167924
1.61,-0.639426436504164,-0.23214646430148
1.62,-0.651820449009468,-0.201042446437278
1.63,-0.662321812537759,-0.169518133546615
1.64,-0.670951632545978,-0.137654768114885
1.65,-0.677724339959045,-0.105689164820073
1.66,-0.682685222815319,-0.0737037670437664
1.67,-0.685878461428891,-0.0417765026800737
1.68,-0.687347298214029,-0.00998139265361997
1.69,-0.687134224631587,0.0216109360944063
