"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
1,-0.798404442946223,-0.496053951375448
1.01,-0.818019433490811,-0.456467947245392
1.02,-0.836026965333072,-0.41462695257961
1.03,-0.852177853867061,-0.370463560336826
1.04,-0.86618830710869,-0.32392164316436
1.05,-0.877735657290517,-0.274961789891315
1.06,-0.886454016508163,-0.223568384129882
1.07,-0.891930122550819,-0.169758712879001
1.08,-0.893699792731934,-0.113594539447502
1.09,-0.891245612480043,-0.0551965971136954
1.1,-0.883996763622051,0.00523756761225004
1.11,-0.871332252214291,0.067412089476026
1.12,-0.852589223024227,0.130907565317258
1.13,-0.827078518525643,0.195152551677653
1.14,-0.794110082478183,0.25939300286726
1.15,-0.753031081719926,0.322662068424406
1.16,-0.703286763486125,0.38365738050493
1.17,-0.644533668778348,0.440857013489935
1.18,-0.576631793304603,0.492724919291736
1.19,-0.499778901843737,0.537347646076322
1.2,-0.414627778666137,0.572665617650285
1.21,-0.322380640190773,0.59659218267676
1.22,-0.224850150695725,0.607181399046303
1.23,-0.124461575024189,0.602834859840694
1.24,-0.0241733700599072,0.582523577174834
1.25,0.072694918328737,0.545987402150468
1.26,0.162718502943223,0.493867646569138
1.27,0.242674118501175,0.427734121001861
1.28,0.309845744117148,0.349987459038769
1.29,0.362271745409742,0.263646690493535
1.3,0.398887901892841,0.172060437029327
1.31,0.419546671894473,0.078597023550258
1.32,0.425351658338301,-0.013627605279478
1.33,0.41734051567333,-0.102076368969659
1.34,0.397109833708408,-0.1846848774254
1.35,0.366624041580733,-0.259968841674636
1.36,0.32789566893429,-0.327004188618229
1.37,0.282851040046816,-0.385348450357158
1.38,0.233242413990476,-0.434943483466455
1.39,0.180600895645554,-0.476016776326151
1.4,0.126220855803706,-0.508992261605438
1.41,0.0711660827506847,-0.534416025202424
1.42,0.0162891389942877,-0.552898310505332
1.43,-0.0377426441077441,-0.565070775704537
1.44,-0.0904191096784362,-0.571556753969072
1.45,-0.141360045916267,-0.572951892173367
1.46,-0.190290398722177,-0.569812655937537
