"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
1,-0.801838683187731,-0.48145642406835
1.01,-0.820423259994547,-0.441285172364842
1.02,-0.837279796691296,-0.398901889976199
1.03,-0.852147245260807,-0.354254587014889
1.04,-0.864729695216438,-0.307306905125
1.05,-0.874692831583128,-0.258044469148701
1.06,-0.881660664090784,-0.206482964651556
1.07,-0.885212845595306,-0.152678188776544
1.08,-0.884883204801005,-0.0967383991319804
1.09,-0.880160050736275,-0.0388395306708228
1.1,-0.870489451692852,0.0207572882533793
1.11,-0.855282645451252,0.0816846558237915
1.12,-0.833929039050221,0.143446301704811
1.13,-0.805817205860317,0.205392268382542
1.14,-0.770365497576887,0.266695014552654
1.15,-0.727064062028441,0.326328751205081
1.16,-0.675530591441159,0.383056300377792
1.17,-0.615578721457516,0.435430306157669
1.18,-0.547297226586422,0.481814457804433
1.19,-0.471134074591213,0.52043391959152
1.2,-0.387974982155914,0.549459907427594
1.21,-0.299201616372496,0.567132531935509
1.22,-0.206710812354413,0.571915539160301
1.23,-0.112878469786242,0.562671118212994
1.24,-0.0204535479061212,0.538829919584762
1.25,0.0676153907103181,0.500525477365468
1.26,0.14840788908077,0.448661713069797
1.27,0.219280314167633,0.384891021978867
1.28,0.278095546431243,0.311497471994146
1.29,0.323392808874323,0.231201700038193
1.3,0.354470832525159,0.146921071636809
1.31,0.371376161204304,0.0615259900823758
1.32,0.374810526099191,-0.0223679028532524
1.33,0.365982971936235,-0.10254821428447
1.34,0.34643935483226,-0.177284369325839
1.35,0.317896714606961,-0.245343935659094
1.36,0.282102988984148,-0.305959014912167
1.37,0.240729781681767,-0.358762979376039
1.38,0.195302064303973,-0.403711426154611
1.39,0.147158940901128,-0.441002760581776
1.4,0.0974390320500033,-0.471005313746526
1.41,0.0470841195226725,-0.494195253854232
1.42,-0.00314651102087408,-0.511107392572005
1.43,-0.0526548766414486,-0.522297811275694
1.44,-0.100981634873654,-0.528317665889054
1.45,-0.147782815649732,-0.529695020699681
1.46,-0.192808478375759,-0.526924005005033
1.47,-0.235883360129187,-0.520458724228211
1.48,-0.276890501234939,-0.510711270787292
1.49,-0.315757450999787,-0.498052118824929
1.5,-0.352444703641181,-0.482812192230337
1.51,-0.386936824863,-0.465286001694998
1.52,-0.419234751739756,-0.445735322946569
1.53,-0.449351064355212,-0.424393468129749
1.54,-0.477304940070889,-0.401468989666991
1.55,-0.503119928463137,-0.377149388882232
1.56,-0.526821753940135,-0.351604896385181
1.57,-0.548436986023508,-0.324991285149187
1.58,-0.567992951220061,-0.297452938428012
1.59,-0.585516779007762,-0.269124530002367
1.6,-0.601036409009963,-0.240133452449658
1.61,-0.614580735693666,-0.210600956755038
1.62,-0.626180003758612,-0.180642957463611
1.63,-0.635866782433054,-0.150370783332638
1.64,-0.643676220598662,-0.119891800526225
1.65,-0.649646525177212,-0.0893086832951251
1.66,-0.653819513862215,-0.0587200811286874
1.67,-0.65624023164521,-0.0282197092049482
1.68,-0.656957214568583,0.00210385285430407
1.69,-0.65602253572006,0.0321675761454472
1.7,-0.653490555061337,0.0618944344687969
1.71,-0.649418005649865,0.0912136582289703
1.72,-0.643862629526037,0.120060961292035
1.73,-0.636883070230895,0.148378284243681
1.74,-0.628537311431605,0.17611378581014
1.75,-0.618882161927485,0.203221505933389
1.76,-0.607972602860773,0.229660541278277
1.77,-0.595861003041291,0.25539449928441
1.78,-0.582596674595004,0.28039018118774
1.79,-0.568225821590525,0.30461709337822
1.8,-0.552791266435493,0.328046100262817
1.81,-0.536332970779799,0.350648436285822
1.82,-0.5188883254569,0.372394696581302
1.83,-0.500493106243799,0.393254466795684
1.84,-0.481182172164352,0.413195102342242
