"Freq [GHz]","re(S(Antenna1_1_1,Antenna1_1_1)) []","im(S(Antenna1_1_1,Antenna1_1_1)) []"
1,-0.801840099268111,-0.48145487598084
1.01,-0.820424348701337,-0.441283041108757
1.02,-0.837280351611996,-0.398899218672489
1.03,-0.852147036806517,-0.354251476878559
1.04,-0.864728507044658,-0.30730354482123
1.05,-0.874690480619368,-0.258041142962971
1.06,-0.881657053639324,-0.206480044499966
1.07,-0.885207942580347,-0.152676119240324
1.08,-0.884877152449925,-0.0967377367301804
1.09,-0.880153175669575,-0.0388407770440228
1.1,-0.870482359828222,0.0207536467807793
1.11,-0.855276059037852,0.0816782878039415
1.12,-0.833923992901921,0.143437151571101
1.13,-0.805814914109117,0.205380499612141
1.14,-0.770367076935487,0.266681411877574
1.15,-0.727070505708641,0.326314581640481
1.16,-0.675542607607359,0.383043337204192
1.17,-0.615596372795676,0.435420754946869
1.18,-0.547319599960812,0.481810739083233
1.19,-0.471159262985313,0.52043826189272
1.2,-0.387999916453814,0.549473998933194
1.21,-0.299222349433596,0.567156743215309
1.22,-0.206723157036913,0.571948633919981
1.23,-0.112878449106742,0.562709922612794
1.24,-0.0204386809569212,0.538869488039862
1.25,0.0676456449419181,0.500559806113468
1.26,0.14845123456507,0.448684568717797
1.27,0.219332018652543,0.384897519694467
1.28,0.278148895178743,0.311484430252646
1.29,0.323440176109823,0.231169349140093
1.3,0.354505081998059,0.146872465097309
1.31,0.371391968703304,0.0614668475100258
1.32,0.374805083977191,-0.0224302435272524
1.33,0.365956347336835,-0.10260601070727
1.34,0.34639451533976,-0.177330550571039
1.35,0.317838848379361,-0.245373025651094
1.36,0.282038504302878,-0.305968008496167
1.37,0.240665665534167,-0.358751016164039
1.38,0.195244943613973,-0.403680028214011
1.39,0.147114330004428,-0.440955411291676
1.4,0.0974110542980033,-0.470946830423026
1.41,0.0470749123726725,-0.494131445590492
1.42,-0.00313647351987408,-0.511043929738105
1.43,-0.0526269507924486,-0.522240183900694
1.44,-0.100938495174654,-0.528270762847254
1.45,-0.147728349053832,-0.529662464549681
1.46,-0.192747313438059,-0.526908171345033
1.47,-0.235820283418137,-0.520460515847211
1.48,-0.276830555367439,-0.510730434717092
1.49,-0.315705099963587,-0.498086906489329
1.5,-0.352403874789781,-0.482859846272437
1.51,-0.3869103441318,-0.465342898044598
1.52,-0.419224556298056,-0.445797240683209
1.53,-0.449357673470112,-0.424456023563549
1.54,-0.477327999396989,-0.401527618543091
1.55,-0.503157693544237,-0.377200032985132
1.56,-0.526871720705535,-0.351644079773481
1.57,-0.548495695576708,-0.325016134554287
1.58,-0.568056379063581,-0.297461716993912
1.59,-0.585580672509562,-0.269116564889867
1.6,-0.601096462665963,-0.240109018104858
1.61,-0.614632920521766,-0.210561641508738
1.62,-0.626220650635312,-0.180591198486711
1.63,-0.635893131527154,-0.150309843618838
1.64,-0.643686124767762,-0.119825616164225
1.65,-0.649639295386812,-0.0892415266343251
1.66,-0.653795104170315,-0.0586563342075874
1.67,-0.65620002217091,-0.0281636262422482
1.68,-0.656903581081883,0.00214840652660407
1.69,-0.65595860674396,0.0321973720176472
1.7,-0.653420361387337,0.0619074143887969
1.71,-0.649345958775155,0.0912084016829703
1.72,-0.643793306646537,0.120037464900735
1.73,-0.636821177994895,0.148337535953581
1.74,-0.628486853188405,0.17605798050634
1.75,-0.618846789592185,0.203154008194489
1.76,-0.607955133685773,0.229585289363277
1.77,-0.595862915028291,0.255316174277963
1.78,-0.582618429251004,0.28031370911184
1.79,-0.568266605484525,0.30454747797762
1.8,-0.552848914437693,0.327988147149517
1.81,-0.536404332996199,0.350606073593022
1.82,-0.5189692250353,0.372371201103302
1.83,-0.500578640805688,0.393251828906684
1.84,-0.481266866467652,0.413214240787242
1.85,-0.461068985904564,0.432222191475845
1.86,-0.440021317237828,0.450237198238644
1.87,-0.418162905282299,0.467218632904752
1.88,-0.395537428160432,0.483124475470865
1.89,-0.372191784459523,0.497911844692612
1.9,-0.348179088868942,0.511538390899438
1.91,-0.323557522478894,0.523962776975982
1.92,-0.298391668978305,0.535147921958996
1.93,-0.272750811620863,0.545059160501236
1.94,-0.246709862647974,0.553668160350999
1.95,-0.220346782735902,0.560953105632728
1.96,-0.193743488605872,0.566899320442244
1.97,-0.166983290139484,0.571500110398979
1.98,-0.140149603474401,0.574757367265618
1.99,-0.113324244103963,0.576680748167495
2,-0.0865872063219285,0.57728785678998
2.01,-0.0600126483939228,0.576605000370984
2.02,-0.033672584875723,0.574661962062145
2.03,-0.00762862112325997,0.571495618248942
2.04,0.0180592085836266,0.567145133614883
2.05,0.0433404838471845,0.561652923427406
2.06,0.0681724744029643,0.5550607399136
