"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.0878555052931872,-0.093720499752987
3.002,0.0869639924615999,-0.0947857188324278
3.004,0.0860576433879265,-0.095839153363413
3.006,0.0851378732487175,-0.0968825009052325
3.008,0.0842038896420517,-0.0979146823376777
3.01,0.0832575348439745,-0.0989340592174913
3.012,0.0822964346898965,-0.0999438775484454
3.014,0.0813229349671269,-0.10094045605054
3.016,0.0803366144988395,-0.101925405451787
3.018,0.0793375025137024,-0.102897969304579
3.02,0.0783253852981835,-0.103858254684605
3.022,0.0773006666019498,-0.104806132595912
3.024,0.0762660831265409,-0.105741373686568
3.026,0.0752187000449275,-0.106664226347692
3.028,0.0741591643718056,-0.107573241606653
3.03,0.0730897744445071,-0.108469487672211
3.032,0.0720082049352373,-0.109352219834785
3.034,0.0709167516107112,-0.11022195058926
3.036,0.0698145347710525,-0.111077647554579
3.038,0.0687020736471368,-0.111920026183875
3.04,0.0675799376601017,-0.112748927962668
3.042,0.066448356235007,-0.113563282320776
3.044,0.06530708699544,-0.114364703593439
3.046,0.0641561441299701,-0.115151695119736
3.048,0.062996870612586,-0.115924661940516
3.05,0.0618293987715692,-0.116683599654654
3.052,0.060653188202158,-0.117428552181105
3.054,0.05946853877235,-0.118159663460439
3.056,0.0582765310769328,-0.118876020224482
3.058,0.0570767688069504,-0.119578676888212
3.06,0.0558692644511762,-0.12026696183574
3.062,0.0546552901666629,-0.120941257789613
3.064,0.0534335901410852,-0.121601597276873
3.066,0.0522056120723716,-0.122247386932234
3.068,0.0509709229191752,-0.122879262362356
3.07,0.0497300002660626,-0.123497421874171
3.072,0.0484832498933154,-0.124100834951862
3.074,0.0472301008648382,-0.124691006066031
3.076,0.0459717069738651,-0.125266095214072
3.078,0.0447075248091133,-0.125827635599742
3.08,0.0434379609931896,-0.126375718187173
3.082,0.0421630712331308,-0.12691040120999
3.084,0.040883349371347,-0.127431245083099
3.086,0.0395980478247667,-0.127937214159527
3.088,0.0383081853511046,-0.128429820868651
3.09,0.0370136502679499,-0.128909655743269
3.092,0.035714352310668,-0.129375470239325
3.094,0.0344107665840107,-0.129827069753758
3.096,0.0331026633844003,-0.130266345284994
3.098,0.0317902547760856,-0.130692238367797
3.1,0.0304734639830464,-0.131103591120616
3.102,0.0291523531527232,-0.13150194284788
3.104,0.0278266746980112,-0.131887494136892
3.106,0.026497218102991,-0.132259169322369
3.108,0.0251647843912803,-0.132617684536513
3.11,0.0238266087909195,-0.132962995036359
3.112,0.0224850197595531,-0.133295057241483
3.114,0.0211403749608184,-0.133613069846964
3.116,0.0197903644456798,-0.133917914177607
3.118,0.0184379545246776,-0.13420959942457
3.12,0.0170808963992086,-0.134487060605744
3.122,0.0157194644527388,-0.134751910751956
3.124,0.0143550038526793,-0.135001935044903
3.126,0.0129873896241858,-0.135239283901257
3.128,0.0116154616728227,-0.135462147954773
3.13,0.0102396569074671,-0.135670698920922
3.132,0.00886073822012008,-0.135866429890802
3.134,0.007478430734984,-0.136047007933531
3.136,0.00609240449352099,-0.136213439566417
3.138,0.00470349260557483,-0.136366145538832
3.14,0.0033111020106765,-0.136504212080134
3.142,0.00191558751084423,-0.13662659241231
3.144,0.000517056694002216,-0.136734813389805
3.146,-0.00088397502545118,-0.136828587294671
3.148,-0.00228839782373422,-0.136906304965898
3.15,-0.00369472357081211,-0.136969535905922
3.152,-0.00510359617856302,-0.137016760686095
3.154,-0.00651485819852304,-0.13704764703366
3.156,-0.0079283525668792,-0.137064673481185
3.158,-0.00934380903816567,-0.137064016226379
3.16,-0.0107604841585068,-0.137049704986569
3.162,-0.012178243533204,-0.137017363736053
3.164,-0.0135978078802148,-0.13696925403502
3.166,-0.0150182226623991,-0.13690442977816
3.168,-0.0164387658922878,-0.136823178049874
3.17,-0.0178602403008379,-0.136725241956521
3.172,-0.019281002340665,-0.136610745549384
3.174,-0.020702417267102,-0.136479439254955
3.176,-0.0221223546679904,-0.136331318383313
3.178,-0.0235429675998646,-0.136166789065005
3.18,-0.0249614831328719,-0.135984755717131
3.182,-0.0263795954783407,-0.135785328146746
3.184,-0.0277945374437394,-0.135569837603055
3.186,-0.0292076888353488,-0.135336320608473
3.188,-0.0306190132099233,-0.13508640608625
3.19,-0.0320275318094359,-0.134818946000957
3.192,-0.0334330214737417,-0.134535705509012
3.194,-0.0348336432951476,-0.134234745895298
3.196,-0.0362326571925375,-0.133916898447325
3.198,-0.0376266618848261,-0.133581774899317
3.2,-0.0390161791725982,-0.133231419108068
3.202,-0.0404015357276891,-0.132864068647132
3.204,-0.041781199469244,-0.132480178908845
3.206,-0.0431563908862399,-0.132080209904838
3.208,-0.0445257378878499,-0.131664348730886
3.21,-0.0458887645477584,-0.13123195290409
3.212,-0.0472474290660741,-0.130785125763509
3.214,-0.0485982260211763,-0.130321285664842
3.216,-0.0499433436664783,-0.129843320944967
3.218,-0.0512810759031802,-0.129349348404724
3.22,-0.0526120004719896,-0.128840872473205
3.222,-0.0539357734568105,-0.128318127878615
3.224,-0.0552512350169017,-0.127780305401018
3.226,-0.0565610202404182,-0.12722814377655
3.228,-0.0578613144231161,-0.126662360450584
3.23,-0.0591554508707065,-0.126082219016957
3.232,-0.0604412909988913,-0.125488982491135
3.234,-0.0617175009341804,-0.124882476850153
3.236,-0.062987462277383,-0.124263919788339
3.238,-0.0642481713044185,-0.123629935964194
3.24,-0.0655014969772694,-0.122984471103427
3.242,-0.0667462737303061,-0.122326925757543
3.244,-0.0679816383784684,-0.121656525431351
3.246,-0.069209041513413,-0.120974046460128
3.248,-0.0704271542138803,-0.120279944502557
3.25,-0.0716379379393992,-0.119574250805411
3.252,-0.0728408765957834,-0.118855869647933
3.254,-0.0740332776235331,-0.118126736001418
3.256,-0.0752180814897609,-0.117385781603693
3.258,-0.0763939056014437,-0.116634091030405
3.26,-0.077561813296243,-0.115871042078884
3.262,-0.0787212508347809,-0.115096820420683
3.264,-0.0798713676813725,-0.114312211904307
3.266,-0.0810133387321533,-0.113516444036273
3.268,-0.0821466360932015,-0.112709734410639
3.27,-0.0832711041592617,-0.111892526389225
3.272,-0.08438668996558,-0.111064832571346
3.274,-0.0854948489526763,-0.110226381818325
3.276,-0.0865931448732812,-0.109377187641629
3.278,-0.0876831281779644,-0.108517663654499
3.28,-0.0887645328545296,-0.107647685321904
3.282,-0.0898371384877639,-0.106766867391429
3.284,-0.0909009597683523,-0.105876000161405
3.286,-0.0919555545007987,-0.104974139125027
3.288,-0.0930013553529409,-0.104062554682923
3.29,-0.0940387162336162,-0.103139373632155
3.292,-0.0950658361720412,-0.102206291644899
3.294,-0.0960842276327289,-0.101262650729533
3.296,-0.097093742148492,-0.100308345157095
3.298,-0.0980928870597366,-0.099343942762131
3.3,-0.0990820951513752,-0.098369283094797
3.302,-0.100061912913751,-0.0973830061541929
3.304,-0.101031825924201,-0.0963878735867787
3.306,-0.101991409984906,-0.0953806900279146
3.308,-0.102940734595271,-0.0943645685571416
3.31,-0.103880161695096,-0.093337528557208
3.312,-0.104808921023464,-0.0922995779992905
3.314,-0.105724547611292,-0.0912525010400605
3.316,-0.106631873297856,-0.0901952851631823
3.318,-0.107526431912056,-0.0891269499851324
3.32,-0.108409732209698,-0.0880500054153342
3.322,-0.109281704905044,-0.0869625595749402
3.324,-0.110140108832521,-0.0858657035000309
3.326,-0.110988188942004,-0.0847592779115726
3.328,-0.111823700342294,-0.0836427399491507
3.33,-0.112646726533014,-0.0825183654775152
3.332,-0.113455790830603,-0.0813840417356489
3.334,-0.114252890589751,-0.0802411272675691
3.336,-0.115037060589904,-0.0790895332376056
3.338,-0.115807030393547,-0.0779297232686334
3.34,-0.116564513964702,-0.0767609668704142
3.342,-0.117307570856126,-0.0755854975530665
3.344,-0.118037969580999,-0.0744017705151455
3.346,-0.118752604892359,-0.0732111335192003
3.348,-0.119455201164031,-0.0720124138653729
3.35,-0.120142068015274,-0.070807086731105
3.352,-0.120815234214631,-0.0695946777018317
3.354,-0.121473691678332,-0.0683773461499076
3.356,-0.122118153457574,-0.0671534582108562
3.358,-0.122747529066641,-0.0659233132306293
3.36,-0.123362840250448,-0.0646873770279887
3.362,-0.123964022343594,-0.0634475461678171
3.364,-0.124549976796934,-0.0622007707798198
3.366,-0.125121900300897,-0.0609517708838916
3.368,-0.125678944234699,-0.0596974462722128
3.37,-0.126221297975704,-0.0584394058577807
3.372,-0.126749865552798,-0.0571767230027162
3.374,-0.127263891345668,-0.0559109478834304
3.376,-0.127763191049092,-0.0546418409276154
3.378,-0.128248223455892,-0.0533703211303588
3.38,-0.12871967858651,-0.0520953911482595
3.382,-0.129176625924014,-0.0508181830471676
3.384,-0.129619509930147,-0.0495381904864444
3.386,-0.130048765057424,-0.048256149342235
3.388,-0.130464462314749,-0.0469725828220745
3.39,-0.130866952404088,-0.0456868057464831
3.392,-0.131254800691759,-0.0443992716109763
3.394,-0.131630290080002,-0.0431103800510839
3.396,-0.131991778489827,-0.0418197941216036
3.398,-0.132340914422531,-0.0405282235472993
3.4,-0.132676953232588,-0.0392355604730265
3.402,-0.133000314141073,-0.0379414504205012
3.404,-0.133310318045357,-0.0366465947478835
3.406,-0.133607232585159,-0.0353505278210242
3.408,-0.133893126052536,-0.03405355173115
3.41,-0.134165772609074,-0.0327556389052889
3.412,-0.134426175476613,-0.0314577296554255
3.414,-0.134674621899888,-0.0301582478812291
3.416,-0.13491080751505,-0.0288582725844936
3.418,-0.135134953533692,-0.0275574000246381
3.42,-0.135346785862008,-0.0262555220170865
3.422,-0.135546106130825,-0.0249532298726317
3.424,-0.135734575005867,-0.023649990837223
3.426,-0.135911092820608,-0.0223461428022925
3.428,-0.136074818763579,-0.0210419284074146
3.43,-0.136226928784931,-0.0197363337924262
3.432,-0.136367697767648,-0.0184305461838924
3.434,-0.136495968663269,-0.0171233050568036
3.436,-0.136612428811843,-0.0158158229017868
3.438,-0.136716590947647,-0.0145077859122454
3.44,-0.136808372468215,-0.0131986705654102
3.442,-0.136888320542595,-0.0118885086311755
3.444,-0.136955999793902,-0.0105773323494369
3.446,-0.137011098827234,-0.00926634517048661
3.448,-0.137053798986294,-0.0079546752498652
3.45,-0.137083692058151,-0.00664268948924775
3.452,-0.137101024430474,-0.00532926993962222
3.454,-0.137105693274199,-0.00401592073704643
3.456,-0.137097377905082,-0.00270247034318083
3.458,-0.137076030833026,-0.00138872851092494
3.46,-0.137041679382975,-7.4695265091626E-05
3.462,-0.136993406547733,0.00123867749827019
3.464,-0.136932520709375,0.00255236477391692
3.466,-0.13685734767587,0.00386543108804004
3.468,-0.136768954531619,0.00517768705610474
3.47,-0.13666658024526,0.0064898159844226
3.472,-0.136550293832317,0.00780095185307292
3.474,-0.13642079826693,0.00911032439921661
3.476,-0.136276250224826,0.0104180966026116
3.478,-0.136118949850246,0.0117252259411468
3.48,-0.135946101339548,0.0130298795245556
3.482,-0.135760001069677,0.0143325226783513
3.484,-0.135559435993191,0.0156329150356373
3.486,-0.135343976121262,0.0169303204548406
3.488,-0.135115570026727,0.0182248600797411
3.49,-0.134871539587393,0.0195165242220974
3.492,-0.134613660507332,0.0208051597244197
3.494,-0.134341721812195,0.0220890838333293
3.496,-0.134055789180465,0.023369254171653
3.498,-0.133756129996301,0.0246455899335031
3.5,-0.133441541360795,0.0259169203011989
3.502,-0.133112756237924,0.0271828555813951
3.504,-0.132771121406003,0.0284445899180838
3.506,-0.132415559673821,0.0297001910755041
3.508,-0.132046223614933,0.0309510537832242
3.51,-0.131663459322248,0.0321952659734022
3.512,-0.131267414823518,0.0334331885706368
3.514,-0.130858396725546,0.0346653292403
3.516,-0.130436987520691,0.0358906637970318
3.518,-0.130001770091924,0.0371083126687331
3.52,-0.129555151418016,0.0383205070257474
3.522,-0.129095328744388,0.0395241992393514
3.524,-0.12862371098567,0.0407212638592149
3.526,-0.128140073161401,0.0419101713927455
3.528,-0.127645399168635,0.0430917948891167
3.53,-0.127138632378069,0.0442655541554345
3.532,-0.126620736844171,0.0454313198206371
3.534,-0.126092837551083,0.0465896298097984
3.536,-0.125552684046196,0.0477389620063535
3.538,-0.125002849681044,0.048880719474104
3.54,-0.12444255569836,0.0500139894940222
3.542,-0.123872155532491,0.0511389406074213
3.544,-0.12329279364387,0.0522553865572127
3.546,-0.1227025863966,0.0533635905716896
3.548,-0.122103260721629,0.0544633703440344
3.55,-0.121494752201667,0.0555550833960438
3.552,-0.120877728408699,0.0566383879709516
3.554,-0.120251078047378,0.0577135836137826
3.556,-0.119616118168374,0.0587802259947487
3.558,-0.118972364755016,0.0598385252036987
3.56,-0.118320419857694,0.0608883992195624
3.562,-0.117659689582187,0.0619302063366856
3.564,-0.116991142843337,0.0629636863613801
3.566,-0.116314546130582,0.0639895837151054
3.568,-0.11563000262167,0.0650070937045009
3.57,-0.114937408174969,0.0660163267649929
3.572,-0.114237393766001,0.0670178771616831
3.574,-0.113528979721228,0.0680114418652779
3.576,-0.112813563370273,0.0689973189570203
3.578,-0.112089975115398,0.069975108201679
3.58,-0.111359458597055,0.0709451483740963
3.582,-0.110621051319755,0.0719075826229891
3.584,-0.109874384218027,0.072862072480808
3.586,-0.109120569736277,0.0738085648689247
3.588,-0.108359997247663,0.0747476860619896
3.59,-0.107590578072749,0.0756789498002944
3.592,-0.106814249106201,0.0766024767555159
3.594,-0.106029922279232,0.0775180681199786
3.596,-0.105238299520671,0.0784256046199876
3.598,-0.104439146731606,0.0793260655663024
3.6,-0.103631804392306,0.0802178615353428
3.602,-0.102817232498256,0.081102309677511
3.604,-0.101994989901004,0.0819778689913087
3.606,-0.101165348390232,0.0828455408598682
3.608,-0.100327660421321,0.0837049237979054
3.61,-0.0994826635761481,0.0845556963011266
3.612,-0.0986291331884613,0.0853985450946414
3.614,-0.09776839965868,0.0862326538640679
3.616,-0.0969002942577138,0.0870578165442291
3.618,-0.0960233026665556,0.087874116918299
3.62,-0.0951399033713832,0.0886813454995858
3.622,-0.0942482421874115,0.0894791568511597
3.624,-0.0933494284020408,0.0902676974339054
3.626,-0.0924431362600196,0.0910472197162247
3.628,-0.0915289402132849,0.0918163965888085
3.63,-0.0906083362721032,0.0925759334368193
3.632,-0.0896793808943401,0.0933255701641473
3.634,-0.0887436094724142,0.0940648797805671
3.636,-0.0878017698829088,0.0947938514189339
3.638,-0.086852022238526,0.0955123895292541
3.64,-0.0858963482835427,0.0962196047084075
3.642,-0.0849334237792157,0.0969166872584843
3.644,-0.0839640718683463,0.0976029352066358
3.646,-0.0829889357704528,0.0982779720299665
3.648,-0.0820077331173769,0.0989409929252645
3.65,-0.0810200827141152,0.0995935993587599
3.652,-0.0800273055454452,0.100233826932508
3.654,-0.0790289434166651,0.100862946595048
3.656,-0.0780259956082843,0.101479602719721
3.658,-0.0770169352907853,0.102084758469148
3.66,-0.0760036383564404,0.102677829865307
3.662,-0.0749857830109945,0.103259657102442
3.664,-0.0739637629888343,0.103828925467497
3.666,-0.0729372041182627,0.104386253280751
3.668,-0.0719071476970171,0.104931718831092
3.67,-0.0708735573102047,0.105464420357007
3.672,-0.0698361987876319,0.105985301523368
3.674,-0.0687959655118532,0.106494044397469
3.676,-0.0677525526340999,0.106990493360903
3.678,-0.0667068870843344,0.107474666064489
3.68,-0.0656591580564285,0.107947330262218
3.682,-0.0646082035173316,0.108407388125447
3.684,-0.0635560757107687,0.108855529599262
3.686,-0.0625016522529483,0.109291797729165
3.688,-0.061445602489782,0.109716686493855
3.69,-0.0603886414361625,0.110129125422036
3.692,-0.0593300149256549,0.110530688065031
3.694,-0.058270889397415,0.110919891271301
3.696,-0.0572101173391013,0.111297623676426
3.698,-0.0561491135933635,0.111664375796334
3.7,-0.055087760724504,0.11201929484887
3.702,-0.0540255876473052,0.11236355876349
3.704,-0.0529630079548483,0.112696973306908
3.706,-0.0519010271782189,0.113019039487088
3.708,-0.0508385450167834,0.113330746986656
3.71,-0.0497763473910514,0.1136318706891
3.712,-0.0487137414906272,0.113921558641796
3.714,-0.047652183496979,0.114201160336408
3.716,-0.0465902495097147,0.114470936116611
3.718,-0.0455289635391621,0.114730313855269
3.72,-0.0444671642054527,0.114978434929434
3.722,-0.0434068766351388,0.115217711771007
3.724,-0.042346618260409,0.115447015273597
3.726,-0.0412863037302882,0.115666107123829
3.728,-0.0402274965674552,0.115875569587023
3.73,-0.0391689689382279,0.116075374515862
3.732,-0.0381111399228763,0.116264856037342
3.734,-0.0370536745848725,0.116445170467559
3.736,-0.0359968905018823,0.116615960444801
3.738,-0.0349406229965657,0.116777450686391
3.74,-0.0338848601318567,0.116928983522737
3.742,-0.0328295129232596,0.11707119611099
3.744,-0.031775124397863,0.1172041838035
3.746,-0.0307215407408577,0.117327330243393
3.748,-0.0296688357889832,0.11744195216777
3.75,-0.028616600632317,0.117546458013533
3.752,-0.0275647891757224,0.117641208996367
3.754,-0.0265136896105663,0.117726849433028
3.756,-0.0254635580013903,0.117803333825686
3.758,-0.0244137470675503,0.117869824948918
3.76,-0.0233652250170652,0.117927058035121
3.762,-0.0223177127960571,0.117974837115926
3.764,-0.0212708533167565,0.118012415671589
3.766,-0.0202250425768317,0.118040687453077
3.768,-0.0191808214540991,0.118059136274471
3.77,-0.0181371931207739,0.118068432265984
3.772,-0.0170944535061708,0.118066812178182
3.774,-0.0160537679357071,0.118056032056684
3.776,-0.0150144405072638,0.118035597818933
3.778,-0.0139766074357697,0.118005051834711
3.78,-0.0129400261440254,0.117964324844337
3.782,-0.0119053036190656,0.117914139358395
3.784,-0.0108727584584603,0.117853817304106
3.786,-0.00984247314744622,0.11778318403847
3.788,-0.00881379387071815,0.117702845111653
3.79,-0.00778726780374551,0.117612139314675
3.792,-0.00676314953974067,0.117511749848264
3.794,-0.00574237092326233,0.117400952821767
3.796,-0.00472380730988129,0.117280364170293
3.798,-0.00370793387306688,0.117149336681676
3.8,-0.00269545136924677,0.117008287728577
3.802,-0.00168618105789079,0.116857767104441
3.804,-0.000680051824764033,0.116696753528674
3.806,0.000322237422445508,0.116525920530795
3.808,0.00132131306399254,0.116345202312974
3.81,0.00231609231002977,0.116154643472013
3.812,0.00330702208276295,0.115954491651143
3.814,0.00429376828494017,0.115744661567462
3.816,0.00527605680919176,0.115525232668747
3.818,0.00625382195798423,0.115296265125696
3.82,0.00722748139286112,0.115057571190197
3.822,0.00819615545100717,0.114809895472044
3.824,0.00915949065583094,0.114552760082741
3.826,0.0101187170614321,0.114287118783183
3.828,0.011072306313825,0.114011876652735
3.83,0.0120206119638894,0.113727847227972
3.832,0.0129637384833344,0.11343537866503
3.834,0.013901282507361,0.113133950054452
3.836,0.0148333371971114,0.112824020986303
3.838,0.0157598950341129,0.112505817341617
3.84,0.0166808841906499,0.112179255384982
3.842,0.0175956530889472,0.111844893353189
3.844,0.0185047569831287,0.111502185771556
3.846,0.019407921746083,0.111151970010652
3.848,0.020304750045133,0.110793500566813
3.85,0.0211961525702055,0.110427765653816
3.852,0.022080789002429,0.11005452684995
3.854,0.0229593059044163,0.109673958609743
3.856,0.0238318985775514,0.109286035272631
3.858,0.0246982616699044,0.108890879475137
3.86,0.025558411135857,0.108489205447933
3.862,0.0264121047275504,0.10807994466257
3.864,0.0272593847397884,0.107664582566271
3.866,0.0281001178062671,0.107242141261733
3.868,0.0289347724748346,0.106813047439803
3.87,0.0297631792987021,0.106378195127982
3.872,0.0305855846186953,0.105936404460362
3.874,0.0314010400008171,0.105488246752904
3.876,0.0322104141551539,0.105034132907417
3.878,0.0330129883690217,0.104573709940489
3.88,0.0338092425564552,0.104107432796267
3.882,0.0345998704032898,0.103634920450665
3.884,0.0353834088197459,0.103156471309574
3.886,0.0361603531675243,0.102672259313657
3.888,0.0369310035244874,0.10218244119419
3.89,0.0376950220141979,0.101686491359309
3.892,0.0384529474396188,0.10118514455603
3.894,0.0392040114204007,0.100677987275406
3.896,0.0399487182378641,0.100165629353254
3.898,0.0406869414894394,0.0996469978890527
3.9,0.0414182707400206,0.099123546933371
3.902,0.0421430007856612,0.0985943580351952
3.904,0.0428612340323929,0.0980600431870038
3.906,0.0435725277536404,0.0975200251573163
3.908,0.044277074534216,0.0969749823376446
3.91,0.0449748151984693,0.0964244300729103
3.912,0.0456658234700804,0.0958689220807876
3.914,0.0463496547227523,0.0953085935224753
3.916,0.0470267865903932,0.0947426664106275
3.918,0.0476967855876741,0.0941723875952104
3.92,0.0483596496660666,0.0935967709195173
3.922,0.0490153021457624,0.0930163313787724
3.924,0.0496636763444271,0.0924304070778731
3.926,0.0503051379776164,0.091841007984292
3.928,0.050938862165885,0.091246343351545
3.93,0.0515654826635848,0.0906473129588947
3.932,0.0521844580712204,0.0900437635713046
3.934,0.0527959314584039,0.0894356197113398
3.936,0.053399672317906,0.0888234993621716
3.938,0.0539958302809307,0.0882070796497636
3.94,0.0545843091770051,0.0875865745805416
3.942,0.0551649833095135,0.0869622109310552
3.944,0.0557377727954523,0.0863336382031838
3.946,0.0563031170261205,0.0857020877745018
3.948,0.0568603634711044,0.0850669074548402
3.95,0.0574090385776577,0.0844276556722676
3.952,0.0579505012339652,0.0837850502628541
3.954,0.0584833384657124,0.0831396060851336
3.956,0.0590088294119523,0.0824909805117514
3.958,0.0595258680958937,0.0818394185729806
3.96,0.0600344949447685,0.0811846531624313
3.962,0.0605354021614747,0.080527402088015
3.964,0.0610279218257083,0.0798679828879756
3.966,0.0615124636676972,0.0792061269317196
3.968,0.0619892262441338,0.0785413657095658
3.97,0.0624576443764876,0.0778750291999179
3.972,0.0629175469030826,0.0772068767613179
3.974,0.063369790248355,0.0765362637942906
3.976,0.0638140595247891,0.0758644893404638
3.978,0.0642500890674457,0.0751904360848116
3.98,0.0646783457136389,0.0745148524711477
3.982,0.0650988744078241,0.0738384233832649
3.984,0.0655110715854694,0.0731605120672666
3.986,0.0659157776521246,0.0724814299766333
3.988,0.0663129160892891,0.0718017740906429
3.99,0.0667019125359362,0.0711206935043412
3.992,0.0670833491066295,0.0704389829707468
3.994,0.0674575540504969,0.0697562688974889
3.996,0.0678235062157482,0.0690731802707988
3.998,0.0681827954453338,0.0683892462473533
4,0.0685341048383144,0.0677053962832852
