"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.0828257643863872,-0.093928291493887
3.002,0.0819209332005748,-0.0946558548710952
3.004,0.0810239290618189,-0.095371689681627
3.006,0.0801350712956895,-0.0960769737682024
3.008,0.0792545976515011,-0.0967729054778589
3.01,0.0783826623465926,-0.0974606987742221
3.012,0.0775193343722831,-0.0981415781396549
3.014,0.0766645960765281,-0.0988167732745923
3.016,0.0758183420533098,-0.0994875136108672
3.018,0.07498037835979,-0.100155022649528
3.02,0.0741504220842532,-0.100820512148364
3.022,0.0733281012858709,-0.101485176164332
3.024,0.0725129553353131,-0.102150185005904
3.026,0.0717044356582341,-0.102816679081344
3.028,0.0709019069196618,-0.103485762707907
3.03,0.070104648652312,-0.104158497894998
3.032,0.0693118573368584,-0.104835898137274
3.034,0.0685226489651778,-0.105518922259719
3.036,0.0677360620625995,-0.106208468351691
3.038,0.0669510612021779,-0.10690536781897
3.04,0.0661665409900148,-0.107610379609791
3.042,0.0653813305246501,-0.108324184650915
3.044,0.0645941983300446,-0.109047380526711
3.046,0.0638038577312749,-0.10978047645629
3.048,0.06300897267946,-0.110523888603701
3.05,0.0622081639882683,-0.111277935763192
3.052,0.0614000159660153,-0.112042835457562
3.054,0.0605830834142981,-0.112818700492621
3.056,0.0597558989590351,-0.113605535997765
3.058,0.0589169806800758,-0.114403236990686
3.06,0.0580648400009678,-0.115211586496232
3.062,0.0571979897899063,-0.116030254240445
3.064,0.0563149526390479,-0.116858795961768
3.066,0.0554142692602059,-0.117696653333463
3.068,0.0544945069548369,-0.118543154540246
3.07,0.0535542681043338,-0.119397515496152
3.072,0.052592198627634,-0.120258841734655
3.074,0.0516069963461556,-0.121126130949055
3.076,0.0505974192090733,-0.121998276206149
3.078,0.0495622933189383,-0.122874069796208
3.08,0.048500520697658,-0.123752207739271
3.082,0.0474110867508397,-0.124631294900772
3.084,0.0462930673645072,-0.125509850714525
3.086,0.0451456355911979,-0.126386315473076
3.088,0.0439680678754461,-0.12725905716144
3.09,0.0427597497686617,-0.128126378790245
3.092,0.041520181095403,-0.128986526203491
3.094,0.0402489805270579,-0.129837696287847
3.096,0.0389458895319303,-0.130678045568197
3.098,0.0376107756647398,-0.131505699114257
3.1,0.0362436351755359,-0.132318759716174
3.102,0.0348445949120327,-0.133115317268221
3.104,0.033413913494362,-0.133893458304909
3.106,0.0319519817612533,-0.134651275626828
3.108,0.0304593224706343,-0.13538687796093
3.11,0.0289365892566617,-0.136098399587875
3.112,0.0273845648521759,-0.136784009881643
3.114,0.0258041585795852,-0.137441922694741
3.116,0.0241964031251762,-0.138070405542004
3.118,0.0225624506218522,-0.138667788505013
3.12,0.0209035680612978,-0.139232472827146
3.122,0.0192211320625688,-0.139762939119257
3.124,0.0175166230371074,-0.140257755157022
3.126,0.0157863067331796,-0.140707272313943
3.128,0.0140334548307332,-0.14110925960303
3.13,0.0122657675576756,-0.141470740800177
3.132,0.0104851782605672,-0.141790916885231
3.134,0.00869366826373026,-0.142069115616784
3.136,0.00689325769376528,-0.142304794324679
3.138,0.00508599616218032,-0.142497541991252
3.14,0.00327395336412073,-0.142647080631319
3.142,0.00145920965030387,-0.142753265960916
3.144,-0.000356153370851655,-0.142816087364803
3.146,-0.00217006214649964,-0.142835667175737
3.148,-0.00398046035565069,-0.142812259277531
3.15,-0.00578531789527228,-0.142746247044898
3.152,-0.00758263963280324,-0.1426381406611
3.154,-0.00937047386959267,-0.142488573821395
3.156,-0.0111469204826641,-0.142298299859307
3.158,-0.0129101387009103,-0.142068187342708
3.16,-0.014658354478924,-0.141799215148739
3.162,-0.0163898674334677,-0.141492467082556
3.164,-0.0181030573295865,-0.141149126064926
3.166,-0.0197963900643715,-0.140770467937669
3.168,-0.021468423161376,-0.140357854924951
3.17,-0.023117810728688,-0.139912728795441
3.172,-0.0247433078896676,-0.139436603783331
3.174,-0.0263437746703493,-0.138931059280229
3.176,-0.0279181793395183,-0.138397732379925
3.178,-0.0294656011964602,-0.137838310293039
3.18,-0.0309852328203945,-0.13725452267555
3.182,-0.0324763817765917,-0.136648133930219
3.184,-0.0339384717951809,-0.136020935493504
3.186,-0.0353710434306508,-0.135374738162965
3.188,-0.0367737542210506,-0.134711364496275
3.19,-0.0381463783588929,-0.134032641308138
3.192,-0.0394888058967635,-0.133340392300099
3.194,-0.0408010415066439,-0.13263643084928
3.196,-0.0420832028109475,-0.131922552980417
3.198,-0.0433355183222764,-0.131200530541615
3.2,-0.0445583249879008,-0.130472104607021
3.202,-0.0457520653989655,-0.12973897911641
3.204,-0.0469172846584276,-0.129002814776603
3.206,-0.0480546269407277,-0.128265223216794
3.208,-0.0491648317842011,-0.127527761435814
3.21,-0.0502487301032268,-0.12679192651831
3.212,-0.0513072399831252,-0.126059150644863
3.214,-0.0523413622427996,-0.125330796392023
3.216,-0.0533521758141314,-0.124608152329282
3.218,-0.054340832935128,-0.123892428900973
3.22,-0.0553085541848261,-0.123184754605106
3.222,-0.0562566233809571,-0.122486172469131
3.224,-0.0571863823363714,-0.121797636800637
3.226,-0.058099225512229,-0.121120010239987
3.228,-0.0589965945519553,-0.120454061081883
3.23,-0.0598799727379666,-0.119800460887871
3.232,-0.0607508793495669,-0.119159782373778
3.234,-0.061610863951167,-0.118532497569086
3.236,-0.0624615006100767,-0.117918976260245
3.238,-0.0633043820513281,-0.117319484696916
3.24,-0.0641411137567717,-0.116734184583159
3.242,-0.0649733080098051,-0.116163132336551
3.244,-0.0658025779030822,-0.115606278624246
3.246,-0.0666305312919538,-0.115063468189967
3.248,-0.0674587647291922,-0.114534439948945
3.25,-0.0682888573604992,-0.114018827389781
3.252,-0.0691319706188007,-0.113532987687262
3.254,-0.0699821032813259,-0.1130583185601
3.256,-0.0708406362544739,-0.112593952214619
3.258,-0.0717088932444671,-0.112138928487376
3.26,-0.0725881352087931,-0.11169219791472
3.262,-0.0734795549024336,-0.111252625119287
3.264,-0.0743842715588817,-0.110818992506441
3.266,-0.0753033257059493,-0.110390004270644
3.268,-0.0762376741383615,-0.109964290731768
3.27,-0.0771881850731399,-0.109540412983354
3.272,-0.0781556334977744,-0.109116867859795
3.274,-0.0791406967431841,-0.108692093234469
3.276,-0.0801439502994656,-0.108264473622814
3.278,-0.0811658638974283,-0.107832346103731
3.28,-0.0822067978929189,-0.107394006546041
3.282,-0.0832669999639315,-0.106947716131175
3.284,-0.0843466021545039,-0.106491708160409
3.286,-0.0854456183044006,-0.106024195133141
3.288,-0.0865639418635793,-0.105543376080708
3.29,-0.087701344148444,-0.10504744412805
3.292,-0.0888574730458796,-0.104534594278522
3.294,-0.0900318521980694,-0.104003031369538
3.296,-0.0912238806830973,-0.10345097819708
3.298,-0.0924328332333266,-0.102876683765136
3.3,-0.0936578609865629,-0.1022784316161
3.302,-0.094897992803993,-0.101654548231112
3.304,-0.0961521371659046,-0.101003411439355
3.306,-0.097419084658181,-0.100323458798301
3.308,-0.0986975110535724,-0.0996131959109094
3.31,-0.0999859810047436,-0.0988712046307804
3.312,-0.101282952337094,-0.0980961510992664
3.314,-0.102586780949349,-0.0972867935775382
3.316,-0.10389572631393,-0.0964419900276123
3.318,-0.105207957567085,-0.0955607053763381
3.32,-0.106521560166797,-0.0946420184333473
3.322,-0.107834543114455,-0.0936851284059701
3.324,-0.1091448467031,-0.0926893609551142
3.326,-0.110450350774729,-0.0916541737601155
3.328,-0.111748883445058,-0.0905791615425573
3.33,-0.113038230269011,-0.0894640605010623
3.332,-0.11431614380042,-0.0883087521190608
3.334,-0.115580353504587,-0.0871132663185328
3.336,-0.116828575974658,-0.0858777839047337
3.338,-0.11805852540112,-0.0846026382988975
3.34,-0.119267924240642,-0.083288316501927
3.342,-0.120454514025079,-0.0819354592950695
3.344,-0.121616066255532,-0.0805448606445824
3.346,-0.122750393313169,-0.0791174662973901
3.348,-0.123855359332792,-0.0776543715677366
3.35,-0.124928890968175,-0.0761568183128331
3.352,-0.125968987988139,-0.0746261910895101
3.354,-0.126973733631402,-0.0730640125138676
3.356,-0.127941304674163,-0.0714719378309343
3.358,-0.128869981121452,-0.0698517487183357
3.36,-0.129758155485231,-0.0682053463389727
3.362,-0.130604341565243,-0.0665347436927166
3.364,-0.131407182699618,-0.0648420572771205
3.366,-0.13216545940723,-0.0631294981261548
3.368,-0.132878096383806,-0.0613993622419632
3.37,-0.133544168799784,-0.0596540204996493
3.372,-0.13416290786193,-0.0578959080532925
3.374,-0.134733705578699,-0.0561275133192792
3.376,-0.135245834532352,-0.0543510601785892
3.378,-0.135698997761825,-0.0525710774355248
3.38,-0.136103577486354,-0.0507911045108835
3.382,-0.136459891928841,-0.049013704955176
3.384,-0.13676842895999,-0.0472414144912174
3.386,-0.137029843837183,-0.0454767290104518
3.388,-0.137244956062118,-0.043722092766132
3.39,-0.137414745368197,-0.0419798868195639
3.392,-0.137540346858675,-0.0402524178154113
3.394,-0.137623045328561,-0.038541907145071
3.396,-0.137664268799279,-0.0368504805581168
3.398,-0.137665581305084,-0.0351801582938188
3.4,-0.137628674975242,-0.033532845772741
3.402,-0.137555361458967,-0.0319103249104183
3.404,-0.137447562746123,-0.0303142461031195
3.406,-0.137307301429681,-0.0287461209136965
3.408,-0.137136690481951,-0.0272073155205271
3.41,-0.136937922598573,-0.0256990449375482
3.412,-0.136713259161275,-0.0242223680513908
3.414,-0.136465018911402,-0.022778183497613
3.416,-0.136195566377213,-0.0213672263770389
3.418,-0.135907300125856,-0.0199900658452035
3.42,-0.135602640917012,-0.018647103574909
3.422,-0.135284019818587,-0.0173385730778942
3.424,-0.134953866349173,-0.0160645399046215
3.426,-0.134614596718658,-0.0148249027011821
3.428,-0.13426860222382,-0.0136193950973253
3.43,-0.13391823787076,-0.0124475884326132
3.432,-0.13356581127183,-0.0113088952647041
3.434,-0.13321357188495,-0.0102025736607668
3.436,-0.132863700646714,-0.00912773221003078
3.438,-0.13251830003729,-0.0080833357474724
3.44,-0.13217938465011,-0.00706821172564005
3.442,-0.131848872282369,-0.00608105720362443
3.444,-0.131528575600311,-0.00512044640417201
3.446,-0.131220194415326,-0.00418483878694661
3.448,-0.130925308589852,-0.00327258759294136
3.45,-0.130645371612078,-0.00238194879804313
3.452,-0.13038170484847,-0.00151109043475329
3.454,-0.130135492504099,-0.000658102216062553
3.456,-0.129907777292792,0.000178994584510969
3.458,-0.129699456829099,0.00100223705272448
3.46,-0.129511280746083,0.00181371041824778
3.462,-0.129343848536938,0.00261553773613605
3.464,-0.12919760811943,0.00340986954093367
3.466,-0.129072855107171,0.0041988735024084
3.468,-0.128969732790729,0.00498472415241508
3.47,-0.128888232792573,0.00576959271378481
3.472,-0.128828196393857,0.00655563708593903
3.474,-0.128789316506052,0.00734499202252811
3.476,-0.128771140264415,0.00813975955259034
3.478,-0.128773072211321,0.00894199966773212
3.48,-0.128794378056433,0.00975372132042712
3.482,-0.128834188960739,0.010576873761732
3.484,-0.128891506336443,0.0114133382478204
3.486,-0.128965207113717,0.0122649201423298
3.488,-0.12905404945232,0.013133341431524
3.49,-0.129156678852088,0.014020233679269
3.492,-0.129271634641289,0.0149271314378182
3.494,-0.12939735679786,0.0158554661224133
3.496,-0.129532193075518,0.0168065603736902
3.498,-0.12967440639675,0.0177816228998995
3.5,-0.129822182484695,0.0187817438259327
3.502,-0.129986028579905,0.0198352529051582
3.504,-0.130148158376001,0.0209170260600634
3.506,-0.130306459722225,0.0220274517387078
3.508,-0.13045880200588,0.0231667784489777
3.51,-0.130603044914682,0.024335114605654
3.512,-0.130737047134008,0.025532428900278
3.514,-0.130858674921346,0.0267585511628331
3.516,-0.130965810550268,0.0280131737142238
3.518,-0.131056360594399,0.0292958531825659
3.52,-0.131128264033312,0.0306060127862817
3.522,-0.13117950015484,0.031942945042998
3.524,-0.131208096243503,0.0333058149072565
3.526,-0.131212135026766,0.034693663316022
3.528,-0.131189761874619,0.0361054111130064
3.53,-0.131139191726091,0.0375398633587908
3.532,-0.131058715736692,0.0389957139857607
3.534,-0.130946707628791,0.0404715507938467
3.536,-0.130801629731937,0.0419658607730712
3.538,-0.130622038705115,0.0434770357239079
3.54,-0.130406590925947,0.0450033781774435
3.542,-0.130154047535837,0.0465431075753578
3.544,-0.129863279131071,0.0480943667177045
3.546,-0.12953327008986,0.0496552284445085
3.548,-0.12916312252634,0.051223702541176
3.55,-0.128752059855527,0.0527977428497089
3.552,-0.128299429972233,0.0543752545757433
3.554,-0.127804708018937,0.0559541017563888
3.556,-0.127267498743626,0.0575321148888966
3.558,-0.12668753844359,0.0591070986966298
3.56,-0.1260646964642,0.0606768400032585
3.562,-0.125398976273638,0.0622391157122709
3.564,-0.124690516084611,0.0637917008565981
3.566,-0.123939589025032,0.065332376705365
3.568,-0.123146602844681,0.0668589389019543
3.57,-0.122312099165837,0.0683692056129977
3.572,-0.121436752246895,0.0698610256596848
3.574,-0.120521367286959,0.0713322866150994
3.576,-0.119566878241424,0.072780922826075
3.578,-0.118574345161535,0.0742049233548808
3.58,-0.117544951052937,0.0756023397887314
3.582,-0.116479998252214,0.0769712939121234
3.584,-0.115380904330408,0.0783099851890036
3.586,-0.114249197520542,0.079616698049763
3.588,-0.113086511683126,0.0808898089310656
3.59,-0.111894580808656,0.0821277930515052
