"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.0823847484853872,-0.043486732866587
3.002,0.0824660891085748,-0.0444741221997952
3.004,0.0825351745958189,-0.045467574263127
3.006,0.0825919077506895,-0.0464669393898024
3.008,0.0826361931145011,-0.0474720669950589
3.01,0.0826679369605926,-0.0484828056792221
3.012,0.0826870472875831,-0.0494990031996549
3.014,0.0826934338135281,-0.0505205065015923
3.016,0.0826870079713098,-0.0515471617278672
3.018,0.08266768289879,-0.0525788142375284
3.02,0.0826353734352532,-0.0536153086133642
3.022,0.0825899961168709,-0.0546564886683319
3.024,0.0825314691683131,-0.0557021974809044
3.026,0.0824597124982341,-0.0567522773793437
3.028,0.0823746476956618,-0.0578065699949069
3.03,0.082276198022312,-0.058864916193998
3.032,0.0821642884068584,-0.0599271561892742
3.034,0.0820388454511778,-0.0609931294797186
3.036,0.0818997974055995,-0.0620626748596914
3.038,0.0817470741801779,-0.0631356304669697
3.04,0.0815806073360149,-0.0642118337797914
3.042,0.0814003300986501,-0.0652911215929155
3.044,0.0812061773215446,-0.0663733300627109
3.046,0.0809980855096749,-0.0674582947112904
3.048,0.08077599280326,-0.0685458503997014
3.05,0.0805398389816383,-0.0696358313701917
3.052,0.0802895654673153,-0.0707280712375617
3.054,0.0800251153101981,-0.0718224030096213
3.056,0.0797464332220351,-0.0729186590567654
3.058,0.0794534655010758,-0.0740166711706856
3.06,0.0791461601169678,-0.0751162705222323
3.062,0.0788244666759063,-0.0762172876884452
3.064,0.0784883363960479,-0.0773195526687679
3.066,0.0781377221432059,-0.0784228948504631
3.068,0.0777725784368369,-0.0795271430532463
3.07,0.0773928614063338,-0.0806321255331524
3.072,0.076998528857634,-0.0817376699456552
3.074,0.0765895402201556,-0.0828436034080547
3.076,0.0761658565740733,-0.0839497524411486
3.078,0.0757274406679383,-0.0850559430402082
3.08,0.075274256896658,-0.0861620006152711
3.082,0.0748062713098397,-0.0872677500407723
3.084,0.0743234516305072,-0.0883730156445253
3.086,0.0738257672741979,-0.0894776212060759
3.088,0.0733131892984461,-0.0905813899844399
3.09,0.0727856904726617,-0.0916841446752449
3.092,0.072243245248403,-0.092785707477291
3.094,0.0716858297800579,-0.0938859000485466
3.096,0.0711134219259303,-0.0949845435415966
3.098,0.0705260012597398,-0.0960814585785573
3.1,0.069923549072536,-0.0971764652754745
3.102,0.0693060483950327,-0.0982693832662213
3.104,0.068673483990362,-0.0993600316759091
3.106,0.0680258423772533,-0.100448229123828
3.108,0.0673631118436343,-0.10153379377593
3.11,0.0666852824206617,-0.102616543286875
3.112,0.0659923459471759,-0.103696294881643
3.114,0.0652842960445851,-0.104772865266741
3.116,0.0645611281321762,-0.105846070741004
3.118,0.0638228394528522,-0.106915727126013
3.12,0.0630694290692978,-0.107981649816146
3.122,0.0623008978705688,-0.109043653758257
3.124,0.0615172486191074,-0.110101553491022
3.126,0.0606349425581795,-0.111194386893943
3.128,0.0596522198897332,-0.11231860065603
3.13,0.0586521099226756,-0.113433622364177
3.132,0.0576347032515672,-0.114539218391231
3.134,0.0566000932557303,-0.115635155963784
3.136,0.0555483760887653,-0.116721203159679
3.138,0.0544796506384803,-0.117797128975252
3.14,0.0533940185672207,-0.118862703272319
3.142,0.0522915842726039,-0.119917696914916
3.144,0.0511724549086483,-0.120961881685803
3.146,0.0500367403673004,-0.121995030392737
3.148,0.0488845533003493,-0.123016916854531
3.15,0.0477160090817277,-0.124027315956898
3.152,0.0465312258201968,-0.1250260036481
3.154,0.0453303243324073,-0.126012756994395
3.156,0.0441134282063359,-0.126987354205307
3.158,0.0428806636850897,-0.127949574645708
3.16,0.041632159791076,-0.128899198871739
3.162,0.0403680481905323,-0.129836008673556
3.164,0.0390884632984135,-0.130759787086926
3.166,0.0377935422136285,-0.131670318432669
3.168,0.036483424704624,-0.132567388343951
3.17,0.035158253255312,-0.133450783794441
3.172,0.0338181730013324,-0.134320293129331
3.174,0.0324633317666507,-0.135175706098229
3.176,0.0310938800104817,-0.136016813883125
3.178,0.0297099708845398,-0.136843409129639
3.18,0.0283117601506055,-0.13765528597855
3.182,0.0268994062384083,-0.138452240095219
3.184,0.0254730701838191,-0.139234068705904
3.186,0.0240329156673492,-0.140000570621765
3.188,0.0225791089629494,-0.140751546276375
3.19,0.0211118189371071,-0.141486797756738
3.192,0.0196312170782365,-0.142206128832199
3.194,0.0181374774263561,-0.14290934499028
3.196,0.0166307766130525,-0.143596253467417
3.198,0.0151112938017236,-0.144266663278615
3.2,0.0135792107180992,-0.144920385268021
3.202,0.0120347116310345,-0.14555723208841
3.204,0.0104779833135724,-0.146177018321603
3.206,0.00890921504427228,-0.146779560430794
3.208,0.00732859860879891,-0.147364676832814
3.21,0.00573632826177316,-0.14793218792031
3.212,0.00413260071887483,-0.148481916103863
3.214,0.00251761515920042,-0.149013685824023
3.216,0.000891573187868644,-0.149527323623282
3.218,-0.000745321171128022,-0.150022658137973
3.22,-0.0023928615118261,-0.150499520150106
3.222,-0.00405083900295711,-0.150957742639131
3.224,-0.00571904249437145,-0.151397160773637
