"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.0557302102023872,0.014569091603413
3.002,0.0569376996345749,0.0139677566802048
3.004,0.0581370391278189,0.013342020866873
3.006,0.0593278676426895,0.0126920117501976
3.008,0.0605098261895011,0.0120178609249411
3.01,0.0616825579035926,0.0113197047607779
3.012,0.0628457080402831,0.0105976839703451
3.014,0.0639989240495281,0.00985194367840769
3.016,0.0651418556203098,0.00908263309213278
3.018,0.06627415471479,0.00828990617247159
3.02,0.0673954755922532,0.00747392080663575
3.022,0.0685054748828709,0.00663483938166808
3.024,0.0696038116083131,0.00577282835909558
3.026,0.0706901472232341,0.00488805845065626
3.028,0.0717641456656618,0.00398070449509312
3.03,0.072825473385812,0.00305094553600199
3.032,0.0738737993958583,0.00209896470072585
3.034,0.0749087953041778,0.00112494898028136
3.036,0.0759301353575995,0.000129089810308625
3.038,0.0769374964781779,-0.000888417846969664
3.04,0.0779305583060148,-0.00192737471979142
3.042,0.0789090032386501,-0.00298757764291548
3.044,0.0798725164615446,-0.0040688197727109
3.046,0.0808207860096749,-0.0051708902012904
3.048,0.08175350275326,-0.00629357426970138
3.05,0.0826703605216383,-0.0074366532801917
3.052,0.0835710560673153,-0.00859990520756172
3.054,0.0844552891201981,-0.00978310400962129
3.056,0.0853227624420351,-0.0109860198367654
3.058,0.0861731818710758,-0.0122084195406856
3.06,0.0870062563369678,-0.0134500659822323
3.062,0.0878216978959063,-0.0147107186384452
3.064,0.0886192217960479,-0.0159901333087679
3.066,0.0893985464832059,-0.0172880625204631
3.068,0.0901593936668369,-0.0186042549332463
3.07,0.0909014883263338,-0.0199384560431524
3.072,0.091624558777634,-0.0212904077856552
3.074,0.0923283366901556,-0.0226598489380547
3.076,0.0930125571240733,-0.0240465145211486
3.078,0.0936769585779383,-0.0254501367002082
3.08,0.094321283016658,-0.0268704441052711
3.082,0.0949452758998397,-0.0283071622607723
