"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.106006932742387,-0.092855452299487
3.002,0.105121763664575,-0.0944974094890752
3.004,0.104205265037819,-0.096128740390527
3.006,0.10325762075269,-0.0977487440928024
3.008,0.102279031789501,-0.0993567240900589
3.01,0.101269716143593,-0.100951988713222
3.012,0.100229908620283,-0.102533851556655
3.014,0.0991598607395281,-0.104101631902592
3.016,0.0980598405603098,-0.105654655135867
3.018,0.09693013253479,-0.107192253163528
3.02,0.0957710372822532,-0.108713764821364
3.022,0.0945828714828709,-0.110218536281332
3.024,0.0933659675913131,-0.111705921445904
3.026,0.0921206737002341,-0.113175282350344
3.028,0.0908473532836618,-0.114625989543907
3.03,0.089546384980312,-0.116057422475998
3.032,0.0882181623768584,-0.117468969872274
3.034,0.0868630937111778,-0.118860030104719
3.036,0.0854816016855995,-0.120230011554691
3.038,0.084074123150178,-0.12157833296697
3.04,0.0826411088460148,-0.122904423809791
3.042,0.0811830231586501,-0.124207724602915
3.044,0.0797003437615446,-0.125487687252711
3.046,0.0781935613696749,-0.12674377539129
3.048,0.07666317942326,-0.127975464699701
3.05,0.0751097137516383,-0.129182243190192
3.052,0.0735336922873153,-0.130363611547562
3.054,0.0719356547201981,-0.131519083369621
3.056,0.0703161521520351,-0.132648185536765
3.058,0.0686757467810758,-0.133750458400686
3.06,0.0670150115069678,-0.134825456092232
3.062,0.0653345296359063,-0.135872746798445
3.064,0.0636348944570479,-0.136891912978768
3.066,0.0619167089272059,-0.137882551630463
3.068,0.0601805852618369,-0.138844274483246
3.07,0.0584271445693338,-0.139776708273152
3.072,0.056657016463634,-0.140679494905655
3.074,0.0548708386791556,-0.141552291688055
3.076,0.0530692566680733,-0.142394771491149
3.078,0.0512529232099383,-0.143206622970208
3.08,0.049422498003658,-0.143987550685271
3.082,0.0475786472608397,-0.144737275310772
3.084,0.0457220432965072,-0.145455533754525
3.086,0.0438533641141979,-0.146142079306076
3.088,0.0419732929894461,-0.14679668176444
3.09,0.0400825180466617,-0.147419127555245
3.092,0.038181731839403,-0.148009219817291
3.094,0.0362716309240579,-0.148566778568547
3.096,0.0343529154305303,-0.149091640691597
3.098,0.0324262886363398,-0.149583660078557
3.1,0.0304924565336359,-0.150042707675474
3.102,0.0285521273979327,-0.150468671546221
3.104,0.026606011355362,-0.150861456865909
3.106,0.0246548199472533,-0.151220986023828
3.108,0.0226992657006343,-0.15154719858593
3.11,0.0207400616866617,-0.151840051306875
3.112,0.0187779210951759,-0.152099518181643
3.114,0.0168135567935851,-0.152325590356741
3.116,0.0148476808971762,-0.152518276161004
