"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.106036093532387,-0.092888087098187
3.002,0.105149758164575,-0.0945309109292552
3.004,0.104232069017819,-0.096163070137727
3.006,0.10328321116269,-0.0977838631678024
3.008,0.102303386789501,-0.0993925929030589
3.01,0.101292815083593,-0.100988567101222
3.012,0.100251732090283,-0.102571098817655
3.014,0.0991803905795281,-0.104139506829592
3.016,0.0980790598703098,-0.105693116056867
3.018,0.09694802565479,-0.107231257974528
3.02,0.0957875898622532,-0.108753271026364
3.022,0.0945980704228709,-0.110258501025332
3.024,0.0933798011213131,-0.111746301556904
3.026,0.0921331313302341,-0.113216034373344
3.028,0.0908584258336618,-0.114667069779907
3.03,0.089556064600312,-0.116098787018998
3.032,0.0882264425068583,-0.117510574649274
3.034,0.0868699691311778,-0.118901830908719
3.036,0.0854870684955995,-0.120271964088691
3.038,0.084078178770178,-0.12162039287697
3.04,0.0826437520260148,-0.122946546729791
3.042,0.0811842539586501,-0.124249866172915
3.044,0.0797001635615446,-0.125529803182711
3.046,0.0781919728796749,-0.12678582149129
3.048,0.07666018666326,-0.128017396909701
3.05,0.0751053220416383,-0.129224017610192
3.052,0.0735279082573153,-0.130405184497562
3.054,0.0719284862801981,-0.131560411429621
3.056,0.0703076085120351,-0.132689225526765
3.058,0.0686658384210758,-0.133791167490686
3.06,0.0670037501669678,-0.134865791812232
3.062,0.0653219283159063,-0.135912667048445
3.064,0.0636209674090479,-0.136931376098768
3.066,0.0619014716152059,-0.137921516410463
3.068,0.0601640543688369,-0.138882700223246
3.07,0.0584093379793338,-0.139814554793152
3.072,0.056637953243634,-0.140716722585655
3.074,0.0548505390601556,-0.141588861518055
3.076,0.0530477420320733,-0.142430645091149
3.078,0.0512302160639383,-0.143241762600208
3.08,0.049398621966658,-0.144021919335271
3.082,0.0475536270388397,-0.144770836680772
3.084,0.0456959046625072,-0.145488252294525
3.086,0.0438261338861979,-0.146173920256076
3.088,0.0419449990064461,-0.14682761117444
3.09,0.0400531891456617,-0.147449112325245
3.092,0.038151397829403,-0.148038227747291
3.094,0.0362403225620579,-0.148594778308547
3.096,0.0343206643934303,-0.149118601851597
3.098,0.0323931274961398,-0.149609553208557
3.1,0.0304584187283359,-0.150067504315474
3.102,0.0285172472035327,-0.150492344226221
3.104,0.026570323856362,-0.150883979145909
3.106,0.0246183610092533,-0.151242332503828
3.108,0.0226620719366343,-0.15156734494593
3.11,0.0207021704286617,-0.151858974326875
3.112,0.0187393703621759,-0.152117195721643
3.114,0.0167743852595852,-0.152342001436741
3.116,0.0148079278591762,-0.152533400941004
3.118,0.0128407096818522,-0.152691420856013
3.12,0.0108734406012978,-0.152816104876146
3.122,0.00890682841156877,-0.152907513758257
3.124,0.00694157840110743,-0.152965725231022
3.126,0.00499078654517955,-0.152962167583943
3.128,0.00305742646973316,-0.15289796347603
3.13,0.00113051311167556,-0.152802340804177
3.132,-0.000789319684432759,-0.152675558241231
3.134,-0.00270144644626974,-0.152517888983784
3.136,-0.00460525041123472,-0.152329620439679
3.138,-0.00650012388151968,-0.152111053985252
3.14,-0.00838546855277927,-0.151862504712319
3.142,-0.0102606958173961,-0.151584301154916
3.144,-0.0121252271313517,-0.151276784995803
3.146,-0.0139784942626996,-0.150940310802737
3.148,-0.0158199396696507,-0.150575245704531
3.15,-0.0176490167182723,-0.150181969106898
3.152,-0.0194651900298032,-0.1497608723881
3.154,-0.0212679357375927,-0.149312358564395
3.156,-0.0230567417236641,-0.148836841975307
3.158,-0.0248311079449103,-0.148334747948708
3.16,-0.026590546638924,-0.147806512495739
3.162,-0.0283345825694677,-0.147252581935556
3.164,-0.0300627532815865,-0.146673412556926
3.166,-0.0317746093063715,-0.146069470261669
3.168,-0.033469714395376,-0.145441230226951
3.17,-0.035147645704688,-0.144789176525441
3.172,-0.0368079939886676,-0.144113801763331
3.174,-0.0384503638333493,-0.143415606708229
3.176,-0.0400743737695183,-0.142695099914925
3.178,-0.0416796564554602,-0.141952797344039
3.18,-0.0432658588893945,-0.14118922198155
3.182,-0.0448326424715917,-0.140404903449219
3.184,-0.0463796831861809,-0.139600377615904
3.186,-0.0479066717226508,-0.138776186207765
3.188,-0.0494133136070506,-0.137932876408375
3.19,-0.0508993292528929,-0.137071000465738
3.192,-0.0523644541217635,-0.136191115289199
3.194,-0.0538084387536439,-0.13529378204928
3.196,-0.0552310488769475,-0.134379565777317
3.198,-0.0566320654582764,-0.133449034956915
3.2,-0.0580112847219008,-0.132502761122121
3.202,-0.0593685182789655,-0.13154131845041
3.204,-0.0607035930464276,-0.130565283356603
3.206,-0.0620163513757277,-0.129575234085794
3.208,-0.0633066509612011,-0.128571750308814
3.21,-0.0645743649182268,-0.12755541271231
3.212,-0.0658193817411252,-0.126526802599863
3.214,-0.0670416052807996,-0.125486501480023
3.216,-0.0682409547221314,-0.124435090669282
3.218,-0.069417364511128,-0.123373150884973
3.22,-0.0705707843618261,-0.122301261850106
3.222,-0.0717011791129571,-0.121220001890131
3.224,-0.0728085287443715,-0.120129947542637
