"Freq [GHz]","re(S(Antenna1_1_p1,Antenna1_1_p1)) []","im(S(Antenna1_1_p1,Antenna1_1_p1)) []"
3,0.106051492722387,-0.091003945359587
3.002,0.105225897664575,-0.0926491494657952
3.004,0.104368831327819,-0.094285538137127
3.006,0.10348042501269,-0.0959124053529024
3.008,0.102560827249501,-0.0975290480233502
3.01,0.101610203793593,-0.0991347664238221
3.012,0.100628737460283,-0.100728864629655
3.014,0.0996166280595281,-0.102310650946592
3.016,0.0985740922803098,-0.103879438336867
3.018,0.09750136355479,-0.105434544842528
3.02,0.0963986919122532,-0.106975294009364
3.022,0.0952663438428709,-0.108501015296332
3.024,0.0941046021413131,-0.110011044496904
3.026,0.0929137657302341,-0.111504724136344
3.028,0.0916941494736618,-0.112981403882907
3.03,0.090446084010312,-0.114440440942998
3.032,0.0891699155468584,-0.115881200454274
3.034,0.0878660056211778,-0.117303055869719
3.036,0.0865347309355995,-0.118705389348691
3.038,0.0851764830801779,-0.12008759212097
3.04,0.0837916683260149,-0.121449064867791
3.042,0.0823807073586501,-0.122789218077915
3.044,0.0809440350515446,-0.124107472402711
3.046,0.0794821001596749,-0.12540325903129
3.048,0.07799536509326,-0.126676019979701
3.05,0.0764843056016383,-0.127925208480192
3.052,0.0749494104773153,-0.129150289287562
3.054,0.0733911813101981,-0.130350739019621
3.056,0.0718101321220351,-0.131526046416765
3.058,0.0702067891010758,-0.132675712700686
3.06,0.0685816902369678,-0.133799251872232
3.062,0.0669353850159063,-0.134896190958445
3.064,0.0652684341160479,-0.135966070328768
3.066,0.0635814089932059,-0.137008443940463
3.068,0.0618748916068369,-0.138022879623246
3.07,0.0601494740163338,-0.139008959333152
3.072,0.058405758025634,-0.139966279365655
3.074,0.0566443548511556,-0.140894450638055
3.076,0.0548658847080733,-0.141793098871149
3.078,0.0530709764549383,-0.142661864830208
3.08,0.051260267204658,-0.143500404515271
3.082,0.0494344019348397,-0.144308389390772
3.084,0.0475940330985072,-0.145085506514525
3.086,0.0457398202261979,-0.145831458776076
3.088,0.0438724295234461,-0.14654596502444
3.09,0.0419925334646617,-0.147228760215245
3.092,0.040100810389403,-0.147879595607291
3.094,0.0381979440820579,-0.148498238838547
3.096,0.0362846233659303,-0.149084474091597
3.098,0.0343615416767398,-0.149638102188557
3.1,0.0324293966485359,-0.150158940695474
3.102,0.0304888896850327,-0.150646824026221
3.104,0.028540725537562,-0.151101603495909
3.106,0.0265856118792233,-0.151523147443828
3.108,0.0246242588735343,-0.15191134122593
3.11,0.0226573787466617,-0.152266087326875
3.112,0.0206856853571759,-0.152587305371643
3.114,0.0187098937615852,-0.152874932116741
3.116,0.0167307197891762,-0.153128921551004
3.118,0.0147488796038522,-0.153349244826013
3.12,0.0127650892742978,-0.153535890266146
3.122,0.0107800643445688,-0.153688863398257
3.124,0.00879451940210743,-0.153808186851022
3.126,0.00681847166917955,-0.153863911733943
3.128,0.00485500926573316,-0.15385685866603
3.13,0.00289629527567556,-0.153817445354177
3.132,0.00094299154756724,-0.153745882041231
3.134,-0.00100424709926974,-0.153642394283784
3.136,-0.00294477324723472,-0.153507222669679
3.138,-0.00487794724051968,-0.153340622645252
3.14,-0.00680313754877926,-0.153142864282319
3.142,-0.00871972111739613,-0.152914232014916
3.144,-0.0106270836913517,-0.152655024435803
3.146,-0.0125246202126996,-0.152365553992737
3.148,-0.0144117350596507,-0.152046146754531
3.15,-0.0162878424582723,-0.151697142146898
3.152,-0.0181523667498032,-0.1513188926381
3.154,-0.0200047427075927,-0.150911763484395
3.156,-0.0218444158336641,-0.150476132445307
3.158,-0.0236708426849103,-0.150012389428708
3.16,-0.025483491098924,-0.149520936245739
3.162,-0.0272818405194677,-0.149002186255556
3.164,-0.0290653822515865,-0.148456564069926
3.166,-0.0308336197063715,-0.147884505187669
3.168,-0.032586068655376,-0.147286455718951
3.17,-0.034322257494688,-0.146662871979441
3.172,-0.0360417274386676,-0.146014220203331
3.174,-0.0377440327933493,-0.145340976154229
3.176,-0.0394287410995183,-0.144643624786925
3.178,-0.0410954334254602,-0.143922659882039
3.18,-0.0427437044793945,-0.14317858368055
3.182,-0.0443731628315917,-0.142411906516219
3.184,-0.0459834311161809,-0.141623146438904
3.186,-0.0475741461426508,-0.140812828837765
3.188,-0.0491449590770506,-0.139981486061375
3.19,-0.0506955356028929,-0.139129657029738
3.192,-0.0522255560217635,-0.138257886850199
3.194,-0.0537347154036439,-0.13736672642128
3.196,-0.0552227237169475,-0.136456732044417
3.198,-0.0566893058782764,-0.135528465025615
3.2,-0.0581342019019008,-0.134582491276021
3.202,-0.0595571669489655,-0.13361938091541
3.204,-0.0609579714164276,-0.132639707868603
3.206,-0.0623364010157277,-0.131644049462694
3.208,-0.0636922567812011,-0.130632986024114
3.21,-0.0650253551482268,-0.12960710047431
3.212,-0.0663355279811252,-0.128566977922863
3.214,-0.0676226225807996,-0.127513205265023
3.216,-0.0688865017121314,-0.126446370774282
3.218,-0.070127043571128,-0.125367063699973
3.22,-0.0713441418318261,-0.124275873859106
3.222,-0.0725377055529571,-0.123173391236131
3.224,-0.0737076592143714,-0.122060205579637
3.226,-0.074853942653229,-0.120936906000987
3.228,-0.0759765109599553,-0.119804080574883
3.23,-0.0770753345239666,-0.118662315941871
3.232,-0.0781503988391669,-0.117512196914778
3.234,-0.079201704529217,-0.116354306082086
3.236,-0.0802292671825767,-0.115189223419245
3.238,-0.0812331172773281,-0.114017525904916
3.24,-0.0822133000657717,-0.112839787127159
3.242,-0.0831698754688051,-0.111656576922551
3.244,-0.0841029179000822,-0.110468460969246
3.246,-0.0850125161699538,-0.109276000429967
3.248,-0.0858987733191922,-0.108079751601945
3.25,-0.0867618064324992,-0.106880265517781
3.252,-0.0875564328218007,-0.105714086956262
3.254,-0.0883300258393259,-0.1045481136931
3.256,-0.0890828322004739,-0.103382804371619
3.258,-0.0898151094164671,-0.102218608103376
3.26,-0.0905271254967931,-0.10105596421872
3.262,-0.0912191586814336,-0.0998953019872874
3.264,-0.0918914971328817,-0.0987370404084412
3.266,-0.0925444385979493,-0.0975815879816435
3.268,-0.0931782901393615,-0.0964293424367683
3.27,-0.0937933677571399,-0.0952806905443541
3.272,-0.0943899961297744,-0.0941360079057946
3.274,-0.0949685082311841,-0.0929956587534693
3.276,-0.0955292450214656,-0.0918599957608136
3.278,-0.0960725551014283,-0.0907293598423305
3.28,-0.0965987943709189,-0.0896040800135405
3.282,-0.0971083256799315,-0.0884844731908749
3.284,-0.0976015184785039,-0.0873708440615093
3.286,-0.0980787484644006,-0.086263484963141
3.288,-0.0985403972225793,-0.0851626756737075
3.29,-0.098986851866444,-0.0840686833610502
3.292,-0.0994185046738796,-0.0829817624525215
3.294,-0.0998357527240694,-0.0819021545045384
3.296,-0.100238997528097,-0.0808300881020802
3.298,-0.100628644659327,-0.0797657788281365
3.3,-0.101005103383563,-0.0787094291331
3.302,-0.101368786286993,-0.077661228284112
3.304,-0.101720108898205,-0.0766213523243552
3.306,-0.102059489320381,-0.0755899640223012
3.308,-0.102387347851272,-0.0745672128209094
3.31,-0.102704106609744,-0.0735532348067804
3.312,-0.103010189161094,-0.0725481527592664
3.314,-0.103306020138349,-0.0715520760395382
3.316,-0.10359202487093,-0.0705651006896124
3.318,-0.103868629011085,-0.0695873094013381
3.32,-0.104136258156797,-0.0686187715353473
3.322,-0.104395337481455,-0.0676595431899701
3.324,-0.1046462913663,-0.0667096672201141
